group,molecule_yaml,molecule_xml,normalized_key
intersection,"2,4-D","2,4-D",24d
intersection,abamectin,Abamectin,abamectin
intersection,atrazine,Atrazine,atrazine
intersection,azoxystrobin,Azoxystrobin,azoxystrobin
intersection,butachlor,Butachlor,butachlor
intersection,chlorothalonil,Chlorothalonil,chlorothalonil
intersection,chlorpyrifos,Chlorpyrifos,chlorpyrifos
intersection,difenoconazole,Difenoconazole,difenoconazole
intersection,diuron,Diuron,diuron
intersection,fipronil,Fipronil,fipronil
intersection,glufosinate-ammonium,Glufosinate ammonium,glufosinateammonium
intersection,glyphosate,Glyphosate,glyphosate
intersection,imidacloprid,Imidacloprid,imidacloprid
intersection,lambda-cyhalothrin,Lambda-cyhalothrin,lambdacyhalothrin
intersection,mancozeb,Mancozeb,mancozeb
intersection,metalaxyl-M,Metalaxyl-M,metalaxylm
intersection,propanil,Propanil,propanil
intersection,thiamethoxam,Thiamethoxam,thiamethoxam
only_in_crop_xml,,"2-[4-(2,4-Dichlorophenoxy)phenoxy]propanoic acid",2424dichlorophenoxyphenoxypropanoicacid
only_in_crop_xml,,2-Methyl-4-chlorophenoxyacetic acid,2methyl4chlorophenoxyaceticacid
only_in_crop_xml,,Beflubutamid,beflubutamid
only_in_crop_xml,,Bromoxynil,bromoxynil
only_in_crop_xml,,Diclofop-methyl,diclofopmethyl
only_in_crop_xml,,Diflufenican,diflufenican
only_in_crop_xml,,Fatty acid methyl ester,fattyacidmethylester
only_in_crop_xml,,Florasulam,florasulam
only_in_crop_xml,,Flufenacet,flufenacet
only_in_crop_xml,,Iodosulfuron-methyl-sodium,iodosulfuronmethylsodium
only_in_crop_xml,,Ioxynil,ioxynil
only_in_crop_xml,,Isoxaben,isoxaben
only_in_crop_xml,,Mecoprop,mecoprop
only_in_crop_xml,,Mefenpyr-diethyl,mefenpyrdiethyl
only_in_crop_xml,,Mesosulfuron-methyl (prop),mesosulfuronmethylprop
only_in_crop_xml,,Metazachlor,metazachlor
only_in_crop_xml,,Metribuzin,metribuzin
only_in_crop_xml,,Pendimethalin,pendimethalin
only_in_crop_xml,,Pinoxaden,pinoxaden
only_in_crop_xml,,Prosulfocarb,prosulfocarb
only_in_crop_xml,,Prothioconazole,prothioconazole
only_in_crop_xml,,Surfactants,surfactants
only_in_crop_xml,,Tebuconazole,tebuconazole
only_in_crop_xml,,Thifensulfuron-methyl,thifensulfuronmethyl
only_in_crop_xml,,Tribenuron-methyl,tribenuronmethyl
