count,Region,Province,Crop,Category,Seeding_date,Harvest_date,Cycle_length_months,Area_ha,Yield_kgha,Straw_kgha,Export_straw_percent,Irrig_m3,Water_source,Irrig_equipment,Packaging_type1,Packaging_type1_kgha,Packaging_type2,Packaging_type2_kgha,Fuel_type,Fuel_unit,Fuel_ha,Urea_kgha,NPK_kgha,NPK_N_percent,NPK_P_percent,NPK_K_percent,MAP_kgha,UAN_kgha,AN_kgha,AP_kgha,AS_kgha,CAN_kgha,Total_fert_min_kgha,Manure_kgha,Manure_type,Compost_kg_ha,Digestate_kg_ha,Total_fert_org_kgha,N_tot,N_min,N_orga,P_tot,P_min,P_orga,K_tot,K_min,K_orga,Insecticide_kgha,Herbicide_kgha,Fungicide_kgha,Acaricide_kgha,Biocide_NE_kgha,Total_pesticides_kgha,Seed_kgha,Equipement_phyto,Molecule_name_1,Dose_kgha_1,Phase_application_1,Molecule_name_2,Dose_kgha_2,Phase_application_2,Molecule_name_3,Dose_kgha_3,Phase_application_3,Molecule_name_4,Dose_kgha_4,Phase_application_4,Molecule_name_5,Dose_kgha_5,Phase_application_5,Molecule_name_6,Dose_kgha_6,Phase_application_6,Molecule_name_7,Dose_kgha_7,Phase_application_7,Molecule_name_8,Dose_kgha_8,Phase_application_8,Molecule_name_9,Dose_kgha_9,Phase_application_9,Transport_1,Transport_type_1,Transport_tkm_1,Transport_2,Transport_type_2,Transport_tkm_2,Transport_3,Transport_type_3,Transport_tkm_3,Transport_4,Transport_type_4,Transport_tkm_4,Transport_tkm,Transport_type,Organic_estiercol_kgha,Organic_fermentado_kgha,Organic_liquido_kgha,Irrig_lake_m3,Irrig_river_m3,Irrig_well_m3,Irrigation_source,Source_module,Output_basis,Yield_data_status,Yield_basis_note
9,costa,EL ORO,ARROZ (EN CÁSCARA),transitory,2024-01-01,2024-12-01,11,7.0,4336.363636363635,,,10000.0,,surcos,QUINTAL,,PILADO,,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,4514.9985,,90.718474,,,,,,136.077711,136.077711,90.718474,,226.796185,0.0,,,,0.0,,,,,,,,,,0.3333333333333333,1.0,0.5,0.0,0.0,1.7000000000000002,1135.6818181818176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,10000.0,0.0,river,ctnac,observed harvested product,direct_espac_output,Yield_kgha is reconstructed from direct ESPAC harvested production variables.
3,costa,EL ORO,ARVEJA SECA (GRANO SECO),transitory,2024-03-01,2024-08-01,5,0.15,227.27272727272734,,,,,sin riego,,,,,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,2002.4955,,,,,,,,,,,,0.0,0.0,,,,0.0,,,,,,,,,,,,,0.0,0.0,0.0,2.2727272727272734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,river,ctnac,observed harvested product,direct_espac_output,Yield_kgha is reconstructed from direct ESPAC harvested production variables.
108,costa,EL ORO,BANANO (FRUTA FRESCA),permanent,2024-01-01,2024-12-01,11,8.365,34090.909090909,,,29565.21739130435,,aspersi?n,CAJA,,FRUTA FRESCA,,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,2294.5065000000004,,371.6937476388889,,,,,,493.018029787234,,256.8930372232704,,206.07692307692307,0.0,,,,0.0,,,,,,,,,,2.5,2.928571428571429,10.49090909090909,0.0,0.0,2.392857142857143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,river,cpnac,observed harvested product,direct_espac_output,Yield_kgha is reconstructed from direct ESPAC harvested production variables.
11,costa,EL ORO,BRACHIARIA,cultivated_pasture,2024-01-01,2024-12-01,11,10.0,25000.0,,,,,sin riego,,,,,Diesel (estimated irrigation/mechanisation proxy),MJ/ha,0.0,,,,,,,,,,,,0.0,0.0,,,,0.0,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,river,pcnac,observed managed pasture area,ecuador_proxy_dm_yield,Cultivated-pasture dry-matter yield proxy for Brachiaria based on Ecuador evidence from humid-tropics cultivar studies and Guayas field-response studies; working range retained at 20-30 t DM/ha/year.
169,costa,EL ORO,CACAO (ALMENDRA SECA),permanent,2024-01-01,2024-12-01,11,1.65,443.47402597402606,,,15652.17391304348,,sin riego,CAJA,,ALMENDRA SECA,,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,4871.9952,,150.8485229415462,,,,,,166.66666666666666,120.95796533333333,100.0,,66.20234565217392,0.0,,,,0.0,,,,,,,,,,1.0,2.6470588235294117,1.125,0.0,0.0,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,river,cpnac,observed harvested product,direct_espac_output,Yield_kgha is reconstructed from direct ESPAC harvested production variables.
26,costa,EL ORO,CAFÉ (GRANO ORO),permanent,2024-01-01,2024-12-01,11,0.88,175.65909090909082,,,0.0,,sin riego,QUINTAL,,GRANO ORO,,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,4871.9952,,,,,,,,,,,,0.0,0.0,,,,0.0,,,,,,,,,,,2.6666666666666665,0.5968320657894737,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,river,cpnac,observed harvested product,direct_espac_output,Yield_kgha is reconstructed from direct ESPAC harvested production variables.
33,costa,EL ORO,CAÑA DE AZÚCAR / OTROS USOS (TALLO FRESCO),permanent,2024-01-01,2024-12-01,11,0.49,4363.636363636359,,,34782.608695652176,,sin riego,QUINTAL,,TALLO FRESCO,,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,2832.0108,,,,,,,,,,,,0.0,0.0,,,,0.0,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,river,cpnac,observed harvested product,direct_espac_output,Yield_kgha is reconstructed from direct ESPAC harvested production variables.
16,costa,EL ORO,FREJOL SECO (GRANO SECO),transitory,2023-12-01,2024-08-01,8,0.13,278.40909090909054,,,,,sin riego,,,,,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,2002.4955,,,,,,,,,,,,0.0,0.0,,,,0.0,,,,,,,,,,,,,0.0,0.0,0.0,2.2272727272727266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,river,ctnac,observed harvested product,direct_espac_output,Yield_kgha is reconstructed from direct ESPAC harvested production variables.
3,costa,EL ORO,FREJOL TIERNO (VAINA),transitory,2024-01-01,2024-06-01,5,0.13,629.3706293706292,,,6956.521739130435,,surcos,SACO,,VAINA,,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,2002.4955,,28.162603192307692,,,,,,,,,,17.445860384615386,647.9890999999999,,,,647.9890999999999,,,,,,,,,,,,,0.0,0.0,0.0,3.146853146853146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,647.9890999999999,0.0,0.0,0.0,0.0,0.0,river,ctnac,observed harvested product,direct_espac_output,Yield_kgha is reconstructed from direct ESPAC harvested production variables.
2,costa,EL ORO,GRAMALOTE,cultivated_pasture,2024-01-01,2024-12-01,11,11.0,15000.0,,,,,sin riego,,,,,Diesel (estimated irrigation/mechanisation proxy),MJ/ha,1237.8500000000001,,,,,,,,,,,,0.0,20.41165665,,,,20.41165665,,,,,,,,,,,1.2,,0.0,0.0,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.41165665,0.0,0.0,0.0,0.0,0.0,river,pcnac,observed managed pasture area,ecuador_proxy_dm_yield,"Cultivated-pasture dry-matter yield proxy for gramalote or Axonopus-type pasture; Ecuador references support a working range near 10-20 t DM/ha/year, with the midpoint retained as proxy."
