Region,Province,Crop,Category,Irrigated_area_ha__minValue,Irrigated_area_ha__maxValue,Electricity_kWh_ha__minValue,Electricity_kWh_ha__maxValue,Seed_share_pct__minValue,Seed_share_pct__maxValue,count__minValue,count__maxValue,Seeding_date__minValue,Seeding_date__maxValue,Harvest_date__minValue,Harvest_date__maxValue,Cycle_length_months__minValue,Cycle_length_months__maxValue,Area_ha__minValue,Area_ha__maxValue,Yield_kgha__minValue,Yield_kgha__maxValue,Straw_kgha__minValue,Straw_kgha__maxValue,Export_straw_percent__minValue,Export_straw_percent__maxValue,Irrig_m3__minValue,Irrig_m3__maxValue,Water_source__minValue,Water_source__maxValue,Irrig_equipment__minValue,Irrig_equipment__maxValue,Packaging_type1__minValue,Packaging_type1__maxValue,Packaging_type1_kgha__minValue,Packaging_type1_kgha__maxValue,Packaging_type2__minValue,Packaging_type2__maxValue,Packaging_type2_kgha__minValue,Packaging_type2_kgha__maxValue,Fuel_type__minValue,Fuel_type__maxValue,Fuel_unit__minValue,Fuel_unit__maxValue,Fuel_ha__minValue,Fuel_ha__maxValue,Urea_kgha__minValue,Urea_kgha__maxValue,NPK_kgha__minValue,NPK_kgha__maxValue,NPK_N_percent__minValue,NPK_N_percent__maxValue,NPK_P_percent__minValue,NPK_P_percent__maxValue,NPK_K_percent__minValue,NPK_K_percent__maxValue,MAP_kgha__minValue,MAP_kgha__maxValue,UAN_kgha__minValue,UAN_kgha__maxValue,AN_kgha__minValue,AN_kgha__maxValue,AP_kgha__minValue,AP_kgha__maxValue,AS_kgha__minValue,AS_kgha__maxValue,CAN_kgha__minValue,CAN_kgha__maxValue,Total_fert_min_kgha__minValue,Total_fert_min_kgha__maxValue,Manure_kgha__minValue,Manure_kgha__maxValue,Manure_type__minValue,Manure_type__maxValue,Compost_kg_ha__minValue,Compost_kg_ha__maxValue,Digestate_kg_ha__minValue,Digestate_kg_ha__maxValue,Total_fert_org_kgha__minValue,Total_fert_org_kgha__maxValue,N_tot__minValue,N_tot__maxValue,N_min__minValue,N_min__maxValue,N_orga__minValue,N_orga__maxValue,P_tot__minValue,P_tot__maxValue,P_min__minValue,P_min__maxValue,P_orga__minValue,P_orga__maxValue,K_tot__minValue,K_tot__maxValue,K_min__minValue,K_min__maxValue,K_orga__minValue,K_orga__maxValue,Insecticide_kgha__minValue,Insecticide_kgha__maxValue,Herbicide_kgha__minValue,Herbicide_kgha__maxValue,Fungicide_kgha__minValue,Fungicide_kgha__maxValue,Acaricide_kgha__minValue,Acaricide_kgha__maxValue,Biocide_NE_kgha__minValue,Biocide_NE_kgha__maxValue,Total_pesticides_kgha__minValue,Total_pesticides_kgha__maxValue,Seed_kgha__minValue,Seed_kgha__maxValue,Equipement_phyto__minValue,Equipement_phyto__maxValue,Molecule_name_1__minValue,Molecule_name_1__maxValue,Dose_kgha_1__minValue,Dose_kgha_1__maxValue,Phase_application_1__minValue,Phase_application_1__maxValue,Molecule_name_2__minValue,Molecule_name_2__maxValue,Dose_kgha_2__minValue,Dose_kgha_2__maxValue,Phase_application_2__minValue,Phase_application_2__maxValue,Molecule_name_3__minValue,Molecule_name_3__maxValue,Dose_kgha_3__minValue,Dose_kgha_3__maxValue,Phase_application_3__minValue,Phase_application_3__maxValue,Molecule_name_4__minValue,Molecule_name_4__maxValue,Dose_kgha_4__minValue,Dose_kgha_4__maxValue,Phase_application_4__minValue,Phase_application_4__maxValue,Molecule_name_5__minValue,Molecule_name_5__maxValue,Dose_kgha_5__minValue,Dose_kgha_5__maxValue,Phase_application_5__minValue,Phase_application_5__maxValue,Molecule_name_6__minValue,Molecule_name_6__maxValue,Dose_kgha_6__minValue,Dose_kgha_6__maxValue,Phase_application_6__minValue,Phase_application_6__maxValue,Molecule_name_7__minValue,Molecule_name_7__maxValue,Dose_kgha_7__minValue,Dose_kgha_7__maxValue,Phase_application_7__minValue,Phase_application_7__maxValue,Molecule_name_8__minValue,Molecule_name_8__maxValue,Dose_kgha_8__minValue,Dose_kgha_8__maxValue,Phase_application_8__minValue,Phase_application_8__maxValue,Molecule_name_9__minValue,Molecule_name_9__maxValue,Dose_kgha_9__minValue,Dose_kgha_9__maxValue,Phase_application_9__minValue,Phase_application_9__maxValue,Transport_1__minValue,Transport_1__maxValue,Transport_type_1__minValue,Transport_type_1__maxValue,Transport_tkm_1__minValue,Transport_tkm_1__maxValue,Transport_2__minValue,Transport_2__maxValue,Transport_type_2__minValue,Transport_type_2__maxValue,Transport_tkm_2__minValue,Transport_tkm_2__maxValue,Transport_3__minValue,Transport_3__maxValue,Transport_type_3__minValue,Transport_type_3__maxValue,Transport_tkm_3__minValue,Transport_tkm_3__maxValue,Transport_4__minValue,Transport_4__maxValue,Transport_type_4__minValue,Transport_type_4__maxValue,Transport_tkm_4__minValue,Transport_tkm_4__maxValue,Transport_tkm__minValue,Transport_tkm__maxValue,Transport_type__minValue,Transport_type__maxValue,Organic_estiercol_kgha__minValue,Organic_estiercol_kgha__maxValue,Organic_fermentado_kgha__minValue,Organic_fermentado_kgha__maxValue,Organic_liquido_kgha__minValue,Organic_liquido_kgha__maxValue,Source_module__minValue,Source_module__maxValue,Output_basis__minValue,Output_basis__maxValue,Yield_data_status__minValue,Yield_data_status__maxValue,Yield_basis_note__minValue,Yield_basis_note__maxValue
costa,EL ORO,ARROZ (EN CÁSCARA),transitory,2.0,40.0,0.0,0.0,1.0,40.0,9.0,9.0,,,,,3.0,11.0,0.3,40.0,681.8181818181835,5661.363636363632,,,,,10000.0,10000.0,,,,,,,,,,,,,,,,,1653.741,4514.9985,,,64.79891,170.09713875,,,,,,,,,,,0.0,170.09713875,136.077711,136.077711,64.79891,170.09713875,,,0.0,510.29141625,0.0,0.0,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.21428571428571427,0.3347280334728034,0.5333333333333333,1.25,0.3,1.25,0.0,0.0,0.0,0.5,0.0,2.5,6.818181818181834,2264.545454545453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
costa,EL ORO,ARVEJA SECA (GRANO SECO),transitory,,,0.0,0.0,1.0,1.0,3.0,3.0,,,,,5.0,8.0,0.05,0.17,133.68983957219234,454.545454545454,,,,,,,,,,,,,,,,,,,,,,,1653.741,3993.7619999999997,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,680.388555,,,,,,,0.0,680.388555,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.3368983957219234,4.54545454545454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,680.388555,,,,,,,,,,,,
costa,EL ORO,BANANO (FRUTA FRESCA),permanent,0.02,211.0,0.0,0.0,,,108.0,108.0,,,,,11.0,11.0,0.0,211.0,288.7700534759353,94405.59440559447,,,,,0.0,29565.21739130435,,,,,,,,,,,,,,,,,2294.5065000000004,8375.2513,,,22.679618500000004,2514.315789473684,,,,,,,,,,,0.0,1587.573295,,,3.62873896,2400.0,,,0.0,2514.315789473684,0.0,13607.7711,,,,,,,0.0,13607.7711,,,,,,,,,,,,,,,,,,,0.5063291139240506,10.1010101010101,0.024,16.611295681063122,0.5217391304347826,30.0,0.0,0.0,0.0,44.224022145810665,0.0,44.224022145810665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,13607.7711,0.0,1935.98482557971,0.0,724.80181200453,,,,,,,,
costa,EL ORO,BRACHIARIA,cultivated_pasture,13.0,25.0,0.0,0.0,,,11.0,11.0,,,,,11.0,11.0,3.0,34.98,20000.0,30000.0,,,,,,,,,,,,,,,,,,,,,,,0.0,2475.7000000000003,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
costa,EL ORO,CACAO (ALMENDRA SECA),permanent,0.02,60.0,0.0,0.0,,,169.0,169.0,,,,,11.0,11.0,0.01,59.0,68.181818181818,2424.242424242422,,,,,0.0,15652.17391304348,,,,,,,,,,,,,,,,,3851.9916,6864.0084,,,9.642857142857142,2500.0,,,,,,,,,,,0.0,428.5714285714286,120.95796533333333,120.95796533333333,54.431084399999996,272.155422,,,0.0,2500.0,0.0,9449.841041666667,,,,,,,0.0,9449.841041666667,,,,,,,,,,,,,,,,,,,0.027272727272727268,50.0,0.15,12.0,0.01425494563167819,14.0,0.0,0.0,0.0,16.0,0.0,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,711.1111111111111,0.0,9449.841041666667,0.0,750.0,,,,,,,,
costa,EL ORO,CAFÉ (GRANO ORO),permanent,0.02,10.0,0.0,0.0,,,26.0,26.0,,,,,11.0,11.0,0.01,12.0,89.39393939393933,1340.9090909090899,,,,,0.0,15652.17391304348,,,,,,,,,,,,,,,,,3851.9916,6864.0084,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,3400.0,,,,,,,0.0,3400.0,,,,,,,,,,,,,,,,,,,,,2.6666666666666665,2.6666666666666665,0.5968320657894737,0.5968320657894737,0.0,0.0,0.0,45.359237,0.0,45.359237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3400.0,,,0.0,26.666666666666668,,,,,,,,
costa,EL ORO,CAÑA DE AZÚCAR / OTROS USOS (TALLO FRESCO),permanent,0.1,1.0,0.0,0.0,,,33.0,33.0,,,,,11.0,11.0,0.01,4.0,113.63636363636374,37878.78787878783,,,,,34782.608695652176,34782.608695652176,,,,,,,,,,,,,,,,,2832.0108,6864.0084,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,925.6987142857143,,,,,,,0.0,925.6987142857143,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,377.9936416666667,0.0,925.6987142857143,,,,,,,,,,
costa,EL ORO,FREJOL SECO (GRANO SECO),transitory,0.08,0.42,0.0,0.0,0.25,2.0,16.0,16.0,,,,,6.0,9.0,0.05,0.25,196.3636363636364,389.6103896103899,,,,,,,,,,,,,,,,,,,,,,,1653.741,3993.7619999999997,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1457.975475,,,,,,,0.0,1457.975475,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.6493506493506489,6.363636363636361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1457.975475,,,,,,,,,,,,
costa,EL ORO,FREJOL TIERNO (VAINA),transitory,0.07,0.13,0.0,0.0,0.5,0.5,3.0,3.0,,,,,3.0,5.0,0.07,0.3,389.6103896103899,757.5757575757567,,,,,6956.521739130435,6956.521739130435,,,,,,,,,,,,,,,,,1653.741,3993.7619999999997,,,17.445860384615386,38.879346,,,,,,,,,,,,,,,,,,,0.0,38.879346,0.0,1209.5796533333335,,,,,,,0.0,1209.5796533333335,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,3.146853146853146,3.146853146853146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1209.5796533333335,,,,,,,,,,,,
costa,EL ORO,GRAMALOTE,cultivated_pasture,20.0,20.0,0.0,0.0,,,2.0,2.0,,,,,11.0,11.0,2.0,20.0,10000.0,20000.0,,,,,,,,,,,,,,,,,,,,,,,0.0,2475.7000000000003,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,40.8233133,,,,,,,0.0,40.8233133,,,,,,,,,,,,,,,,,,,,,1.2,1.2,,,0.0,0.0,0.0,0.0,0.0,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,40.8233133,,,,,,,,,,,,
