count,Region,Province,Crop,Category,Seeding_date,Harvest_date,Cycle_length_months,Area_ha,Yield_kgha,Irrig_m3,Irrig_equipment,Packaging_type1,Packaging_type2,Fuel_type,Fuel_unit,Fuel_ha,NPK_kgha,AN_kgha,AP_kgha,AS_kgha,Total_fert_min_kgha,Total_fert_org_kgha,Insecticide_kgha,Herbicide_kgha,Fungicide_kgha,Total_pesticides_kgha,Seed_kgha,Organic_estiercol_kgha,Organic_fermentado_kgha,Organic_liquido_kgha,Crop_group
8601,(all regions confounded),(all provinces confounded),(all crops in group),transitory,2024-01-01,2024-08-01,7.0,0.74,2931.818181818175,0.0,sin riego,QUINTAL,GRANO SECO,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,1537.4895,150.0,145.45454545454547,100.0,100.0,133.33333333333334,0.0,1.0204081632653061,1.6,1.0050251256281406,1.2,9.201324990798664,1357.081326402341,240.0,3.0,cereals
3178,(all regions confounded),(all provinces confounded),(all crops in group),permanent,2024-01-01,2024-12-01,11.0,1.48,7728.181818181817,0.0,sin riego,OTRA,FRUTA FRESCA,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,2294.5065000000004,177.15419501133786,134.20908416008638,82.87878787878788,101.01010101010101,0.0,0.0,1.0033444816053512,2.0,2.0,0.0,4454.545454545452,666.0041327541246,200.0,8.056398177344253,fruits
7267,(all regions confounded),(all provinces confounded),(all crops in group),permanent,2024-01-01,2024-12-01,11.0,2.0,649.35064935065,0.0,sin riego,QUINTAL,ALMENDRA SECA,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,4871.9952,150.0,128.84753042233356,75.0,100.0,2.0,0.0,1.0,1.4285714285714286,1.0,0.0,10.887337662337657,362.873896,238.0952380952381,4.82831227729187,industrial_cash
31,(all regions confounded),(all provinces confounded),(all crops in group),transitory,2024-06-01,2024-12-01,6.0,22.0,909.0909090909101,7500.0,goteo,CAJA,HOJA SECA,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,3101.0014,200.0,80.0,405.12820512820514,105.01779359430606,200.0,0.0,1.0,2.0,2.089590212633452,2.0,182.9454545454545,1000.0,181.436948,1.5,industrial_cash
2201,(all regions confounded),(all provinces confounded),(all crops in group),permanent,2024-01-01,2024-12-01,11.0,0.645,4832.162876103331,0.0,sin riego,CAJA,FRUTA FRESCA,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,4871.9952,203.39216767788196,125.0,53.333333333333336,110.0,62.363579669473026,0.0,3.6935378699999992,2.0,4.0,0.0,,1511.9745666666668,590.7643397435897,50.0,other
1786,(all regions confounded),(all provinces confounded),(all crops in group),transitory,2024-01-01,2024-12-01,11.0,0.18,4090.9090909090883,0.0,sin riego,QUINTAL,REPOLLO,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,2216.2455,181.436948,151.19745666666668,63.75,100.11764705882354,45.359237,0.0,2.9705882352941178,2.272727272727273,3.5087719298245617,0.0,12.845849802371522,3401.942775,4535.9237,52.0,other
2664,(all regions confounded),(all provinces confounded),(all crops in group),transitory,2023-10-01,2024-07-01,9.0,0.13,681.8181818181819,0.0,sin riego,QUINTAL,VAINA,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,2002.4955,113.39809249999999,100.0,100.50251256281408,55.0,0.0,0.0,1.417233560090703,1.8896447467876039,2.0,0.0,2.9137529137529232,1360.7771099999998,470.34639283687943,5.555555555555555,pulses_oilseeds
1007,(all regions confounded),(all provinces confounded),(all crops in group),transitory,2024-01-01,2024-12-01,11.0,0.25,5454.5454545454495,0.0,sin riego,QUINTAL,TUBERCULO FRESCO,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,5272.5,323.99454999999995,181.436948,9.285714285714285,143.0388555,136.077711,0.0,2.270344561363636,2.834467120181406,3.125,1.0,152.46212121212127,2177.6305103129444,1814.36948,80.0,roots_tubers
101,(all regions confounded),(all provinces confounded),(all crops in group),permanent,2024-01-01,2024-12-01,11.0,0.235,10909.090909090917,0.0,sin riego,COSTAL,FRUTA FRESCA,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,4871.9952,412.3567,200.0,,1046.0114956666666,255.59570055555557,0.0,2.249747219413549,2.0,2.857142857142857,0.5,,4535.9237,,160.0,vegetables
976,(all regions confounded),(all provinces confounded),(all crops in group),transitory,2024-01-01,2024-12-01,11.0,0.2,6818.1818181818,6923.076923076923,sin riego,ATADO,TALLO FRESCO,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,10178.9935,226.79618499999998,226.796185,60.0,151.19745666666668,227.93016592499998,1209.5796533333335,2.75,1.25,5.909090909090908,3.846153846153846,25.568181818181817,2563.782960869565,4767.96185,14.0,vegetables
