Crop_group,Category,Irrigated_area_ha__minValue,Irrigated_area_ha__maxValue,Electricity_kWh_ha__minValue,Electricity_kWh_ha__maxValue,Manure_kgha__minValue,Manure_kgha__maxValue,Urea_kgha__minValue,Urea_kgha__maxValue,MAP_kgha__minValue,MAP_kgha__maxValue,UAN_kgha__minValue,UAN_kgha__maxValue,CAN_kgha__minValue,CAN_kgha__maxValue,Compost_kg_ha__minValue,Compost_kg_ha__maxValue,Digestate_kg_ha__minValue,Digestate_kg_ha__maxValue,Acaricide_kgha__minValue,Acaricide_kgha__maxValue,Biocide_NE_kgha__minValue,Biocide_NE_kgha__maxValue,Seed_share_pct__minValue,Seed_share_pct__maxValue,Manure_type__minValue,Manure_type__maxValue,count__minValue,count__maxValue,Region__minValue,Region__maxValue,Province__minValue,Province__maxValue,Crop__minValue,Crop__maxValue,Seeding_date__minValue,Seeding_date__maxValue,Harvest_date__minValue,Harvest_date__maxValue,Cycle_length_months__minValue,Cycle_length_months__maxValue,Area_ha__minValue,Area_ha__maxValue,Yield_kgha__minValue,Yield_kgha__maxValue,Irrig_m3__minValue,Irrig_m3__maxValue,Irrig_equipment__minValue,Irrig_equipment__maxValue,Packaging_type1__minValue,Packaging_type1__maxValue,Packaging_type2__minValue,Packaging_type2__maxValue,Fuel_type__minValue,Fuel_type__maxValue,Fuel_unit__minValue,Fuel_unit__maxValue,Fuel_ha__minValue,Fuel_ha__maxValue,NPK_kgha__minValue,NPK_kgha__maxValue,AN_kgha__minValue,AN_kgha__maxValue,AP_kgha__minValue,AP_kgha__maxValue,AS_kgha__minValue,AS_kgha__maxValue,Total_fert_min_kgha__minValue,Total_fert_min_kgha__maxValue,Total_fert_org_kgha__minValue,Total_fert_org_kgha__maxValue,Insecticide_kgha__minValue,Insecticide_kgha__maxValue,Herbicide_kgha__minValue,Herbicide_kgha__maxValue,Fungicide_kgha__minValue,Fungicide_kgha__maxValue,Total_pesticides_kgha__minValue,Total_pesticides_kgha__maxValue,Seed_kgha__minValue,Seed_kgha__maxValue,Organic_estiercol_kgha__minValue,Organic_estiercol_kgha__maxValue,Organic_fermentado_kgha__minValue,Organic_fermentado_kgha__maxValue,Organic_liquido_kgha__minValue,Organic_liquido_kgha__maxValue
cereals,transitory,0.01,592.0,0.0,0.0,0.0,90718.474,,,,,,,,,,,,,0.0,0.0,0.0,20.0,0.0,100.0,,,8601.0,8601.0,,,,,,,,,,,1.0,11.0,0.01,1600.0,35.88516746411484,29545.454545454504,0.0,11304.347826086958,,,,,,,,,,,1537.4895,3993.7619999999997,0.19841269841269843,56699.04625,0.0,56699.04625,0.0018899682083333336,1172.093023255814,0.11810279667422524,695.5083006666667,0.0,113398.0925,0.0,90718.474,0.0074055897142857145,150.0,0.022736459649122808,2000.0,0.014285714285714287,97.198365,0.0,2150.0,0.0,10227.27272727273,0.0,90718.474,0.0,6803.88555,0.0,800.0
fruits,permanent,0.01,1660.0,0.0,0.0,0.0,120957.96533333334,,,,,,,,,,,,,0.0,0.0,0.0,723.3046296952516,10.0,100.0,,,3178.0,3178.0,,,,,,,,,,,11.0,11.0,0.0,1660.0,7.575757575757567,119506.49350649344,0.0,29565.21739130435,,,,,,,,,,,2294.5065000000004,8375.2513,0.15,13325.042589437819,0.0,1632.932532,1.0,648.0,0.5660377358490566,2400.0,0.0,13325.042589437819,0.0,120957.96533333334,0.016129032258064516,50.72463768115942,0.024,100.0,0.06666666666666667,600.0,0.0,808.3506963146705,122.72727272727299,9090.909090909085,0.0,60478.98266666667,0.0,60478.98266666667,0.0,1363.6363636363637
industrial_cash,permanent,0.01,8607.25,0.0,0.0,0.0,100788.224614,,,,,,,,,,,,,0.0,0.0,0.0,6000.0,0.1,10.0,,,7267.0,7267.0,,,,,,,,,,,11.0,11.0,0.0,8607.25,3.18181818181818,120000.0,0.0,34782.608695652176,,,,,,,,,,,3851.9916,6864.0084,0.024,127005.8636,0.0,127005.8636,0.6666666666666666,294.11764705882354,0.024,800.0,0.0,254011.7272,0.0,100788.224614,0.01587721619476052,50.0,0.025025025025025023,72.57477920000001,0.008372093023255813,50.0,0.0,6000.8,0.26818181818181797,21.818181818181802,0.0,36000.0,0.0,100788.224614,0.0,100000.0
industrial_cash,transitory,0.6,711.0,0.0,0.0,0.0,2200.0,,,,,,,,,,,,,0.0,0.0,0.0,2.0256410256410255,24.0,28.0,,,31.0,31.0,,,,,,,,,,,2.0,7.0,0.6,702.0,592.2865013774103,2673.7967914438527,7500.0,10434.782608695654,,,,,,,,,,,3101.0014,3101.0014,80.0,1000.0,0.0,101.28205128205128,405.12820512820514,405.12820512820514,105.01779359430606,202.56410256410257,0.0,1000.0,0.0,2200.0,0.2,10.006060606060606,0.4,6.0,0.2,14.179487179487179,0.0,23.74358974358974,168.872727272727,197.01818181818203,0.0,1200.0,0.0,1000.0,0.0,2.0
other,permanent,0.01,110.0,0.0,0.0,0.0,75296.33342,,,,,,,,,,,,,0.0,0.0,0.0,453.59236999999996,,,,,2201.0,2201.0,,,,,,,,,,,11.0,11.0,0.0,599.0,11.086474501108647,109090.90909090919,0.0,26153.846153846152,,,,,,,,,,,3851.9916,6864.0084,0.5025125628140703,10000.0,0.0,1209.5796533333335,5.0,416.6666666666667,2.1772433760000003,625.0,0.0,10000.0,0.0,75296.33342,0.05,66.66666666666667,0.0044444444444444444,400.0,0.226796185,100.0,0.0,493.59236999999996,,,0.0,45359.237,0.0,75296.33342,0.0,3333.3333333333335
other,transitory,0.01,30.0,0.0,0.0,0.0,136077.711,,,,,,,,,,,,,0.0,0.0,0.0,60.0,0.1,65.0,,,1786.0,1786.0,,,,,,,,,,,0.0,11.0,0.0,30.0,22.7272727272725,119318.18181818198,0.0,10434.782608695654,,,,,,,,,,,1653.741,3993.7619999999997,0.25,9071.8474,0.0,1814.36948,1.7094017094017095,544.310844,0.4724920520833334,290.0,0.0,9071.8474,0.0,136077.711,0.030239491333333337,125.0,0.18899682083333336,56.699046249999995,0.06666666666666667,60.478982666666674,0.0,125.0,0.45454545454545503,6969.696969696977,0.0,136077.711,0.0,10000.0,0.0,1200.0
pulses_oilseeds,transitory,0.01,40.0,0.0,0.0,0.0,56699.04625,,,,,,,,,,,,,0.0,0.0,0.0,166.66666666666669,0.0,50.0,,,2664.0,2664.0,,,,,,,,,,,0.0,11.0,0.01,300.0,39.77272727272725,22727.2727272727,0.0,10434.782608695654,,,,,,,,,,,1653.741,3993.7619999999997,0.4166666666666667,666.6666666666667,0.0,725.747792,2.1433164249482033,302.39491333333336,0.4,181.436948,0.0,729.747792,0.0,56699.04625,0.030239491333333337,72.0,0.015119745666666668,50.0,0.014285714285714287,39.689332375,0.0,166.66666666666669,0.0,555.5555555555555,0.0,56699.04625,0.0,6803.88555,0.0,400.0
roots_tubers,transitory,0.01,89.74,0.0,0.0,0.0,36287.3896,,,,,,,,,,,,,0.0,0.0,0.0,39.473684210526315,0.0,100.0,,,1007.0,1007.0,,,,,,,,,,,0.0,11.0,0.0,89.74,113.63636363636374,81818.1818181818,0.0,10434.782608695654,,,,,,,,,,,1653.741,5272.5,0.07257477920000001,2500.0,0.0,1295.9782000000002,0.75,150.0,0.75,500.0,0.0,2500.0,0.0,36287.3896,0.08754385964912281,144.0,0.05555555555555556,50.0,0.025199576111111115,64.28571428571429,0.0,144.0,0.0,63636.363636363596,0.0,36287.3896,0.0,9071.8474,0.0,1578.9473684210527
vegetables,permanent,0.01,1.5,0.0,0.0,0.0,45359.237,,,,,,,,,,,,,0.0,0.0,0.0,24.0,,,,,101.0,101.0,,,,,,,,,,,11.0,11.0,0.01,2.0,454.5454545454547,44545.45454545454,0.0,10434.782608695654,,,,,,,,,,,3851.9916,6864.0084,50.0,2061.7835,0.0,250.0,,,30.239491333333334,2061.7835,0.0,4123.567,0.0,45359.237,0.25,50.0,0.5,15.0,0.25,40.0,0.0,80.0,,,0.0,45359.237,,,0.0,160.0
vegetables,transitory,0.01,170.0,0.0,0.0,0.0,70440.22687058825,,,,,,,,,,,,,0.0,0.0,0.0,256.25,1.0,1.0,,,976.0,976.0,,,,,,,,,,,0.0,11.0,0.01,170.0,227.2727272727273,112500.0,0.0,10434.782608695654,,,,,,,,,,,5180.503900000001,10178.9935,0.888888888888889,1562.5,0.0,453.59237,5.172413793103448,226.796185,1.133980925,604.7898266666667,0.0,1562.5,0.0,70440.22687058825,0.028571428571428574,42.857142857142854,0.125,25.0,0.03359943481481482,69.78344153846155,0.0,312.5,22.727272727272734,28.4090909090909,0.0,70440.22687058825,0.0,22679.6185,0.0,700.0
