count,Region,Province,Crop,Category,Seeding_date,Harvest_date,Cycle_length_months,Area_ha,Yield_kgha,Irrig_m3,Irrig_equipment,Packaging_type1,Packaging_type2,Fuel_type,Fuel_unit,Fuel_ha,NPK_kgha,AN_kgha,AP_kgha,AS_kgha,Total_fert_min_kgha,Total_fert_org_kgha,Insecticide_kgha,Herbicide_kgha,Fungicide_kgha,Total_pesticides_kgha,Seed_kgha,Organic_estiercol_kgha,Organic_fermentado_kgha,Organic_liquido_kgha
217,(all regions confounded),(all provinces confounded),AGUACATE (FRUTA FRESCA),permanent,2024-01-01,2024-12-01,11.0,0.5,3977.2727272727243,11250.0,surcos,CAJA,FRUTA FRESCA,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,4871.9952,277.825326625,54.08988764044943,59.696969696969695,45.359237,90.718474,0.0,3.8532488259999997,2.0,8.0,0.0,,1919.66770875,5669.904625,52.0
2345,(all regions confounded),(all provinces confounded),ARROZ (EN CÁSCARA),transitory,2024-05-01,2024-12-01,7.0,2.5,4500.0,10000.0,surcos,SACA,EN CASCARA,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,4514.9985,150.0,140.0,100.0,100.0,283.4467120181406,0.0,1.0,1.3333333333333333,1.0,2.5,175.0,136.077711,129.59782,2.49840717594084
72,(all regions confounded),(all provinces confounded),ARVEJA SECA (GRANO SECO),transitory,2024-04-01,2024-08-01,4.0,0.2,498.0519480519482,0.0,sin riego,QUINTAL,GRANO SECO,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,2002.4955,79.37866475,98.27834683333334,,2.0833333333333335,0.0,0.0,1.0,1.8333333333333335,1.4285714285714286,0.0,3.4090909090909,1133.980925,,11.11111111111111
297,(all regions confounded),(all provinces confounded),ARVEJA TIERNA (VAINA),transitory,2024-01-01,2024-12-01,11.0,0.11,1818.1818181818198,2130.1775147928993,sin riego,SACO,VAINA,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,2002.4955,200.0,153.087424875,131.20982643910907,3.846153846153846,0.0,40.0,2.8926815157651142,2.0,4.205882352941176,0.0,25.383707201889003,2267.96185,1058.3821966666667,40.0
707,(all regions confounded),(all provinces confounded),BANANO (FRUTA FRESCA),permanent,2024-01-01,2024-12-01,11.0,7.0,29323.636363636368,26153.846153846152,aspersi?n,CAJA,FRUTA FRESCA,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,2294.5065000000004,240.0,136.07771100000002,63.32787167019961,120.0,135.33834586466165,0.0,1.1111111111111112,2.0,3.215392561983471,1.417233560090703,7484.326018808775,652.6707994207914,160.71847400000001,20.333333333333332
258,(all regions confounded),(all provinces confounded),BROCOLI,transitory,2024-01-01,2024-03-01,2.0,2.2,16363.63636363636,9230.76923076923,aspersi?n,TONELADA,REPOLLO,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,6389.4948,217.72433759999998,272.155422,60.0,151.19745666666668,385.0,0.0,2.6685393258426964,1.25,6.0,9.807692307692307,,4535.9237,4000.0,14.0
5628,(all regions confounded),(all provinces confounded),CACAO (ALMENDRA SECA),permanent,2024-01-01,2024-12-01,11.0,2.0,568.1818181818176,0.0,sin riego,QUINTAL,ALMENDRA SECA,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,4871.9952,150.0,120.95796533333333,75.0,75.0,40.080321285140556,0.0,1.0,1.36986301369863,1.0,0.25,21.818181818181802,204.37956204379563,136.077711,4.0
522,(all regions confounded),(all provinces confounded),CAFÉ (GRANO ORO),permanent,2024-01-01,2024-12-01,11.0,1.0,223.1060606060605,0.0,sin riego,QUINTAL,GRANO ORO,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,4871.9952,135.0,160.0,160.0,60.0,0.0,0.0,1.0,2.0,1.5,0.0,5.6818181818181746,453.59237,483.83186133333334,20.0
124,(all regions confounded),(all provinces confounded),CAÑA DE AZÚCAR / AZÚCAR (TALLO FRESCO),permanent,2024-01-01,2024-12-01,11.0,39.0,70000.0,34782.608695652176,surcos,TONELADA METR.,TALLO FRESCO,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,2832.0108,300.0,200.0,46.805206826826826,100.0,453.59237,0.0,1.0,4.0,1.75,3.0,,400.0,,3.0
407,(all regions confounded),(all provinces confounded),CAÑA DE AZÚCAR / OTROS USOS (TALLO FRESCO),permanent,2024-01-01,2024-12-01,11.0,0.7,13636.363636363598,0.0,sin riego,QUINTAL,TALLO FRESCO,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,2832.0108,53.544095121951216,510.29141625,110.0,140.0,0.0,0.0,2.4390243902439024,1.0101010101010102,1.25,0.0,,953.5923700000001,226.796185,60.0
