count,Region,Province,Crop,Category,Seeding_date,Harvest_date,Cycle_length_months,Area_ha,Yield_kgha,Irrig_m3,Irrig_equipment,Packaging_type1,Packaging_type2,Fuel_type,Fuel_unit,Fuel_ha,NPK_kgha,AN_kgha,AP_kgha,AS_kgha,Total_fert_min_kgha,Total_fert_org_kgha,Insecticide_kgha,Herbicide_kgha,Fungicide_kgha,Total_pesticides_kgha,Seed_kgha,Organic_estiercol_kgha,Organic_fermentado_kgha,Organic_liquido_kgha,Irrig_lake_m3,Irrig_river_m3,Irrig_well_m3,Irrigation_source,Source_module,Output_basis,Yield_data_status,Yield_basis_note
15,(all regions confounded),(all provinces confounded),ACELGA,transitory,2024-08-01,2024-12-01,4.0,0.01,2272.7272727272702,7500.0,goteo,ATADO,HOJA FRESCA,Diesel (estimated irrigation/mechanisation proxy),MJ/ha,371.355,,,,,0.0,9071.8474,,,,0.0,,4535.9237,4535.9237,,0.0,7500.0,0.0,river,ctnac,observed harvested product,direct_espac_output,Yield_kgha is reconstructed from direct ESPAC harvested production variables.
16,(all regions confounded),(all provinces confounded),AJI,transitory,2024-07-01,2024-12-01,5.0,0.875,6806.81818181818,10434.782608695654,sin riego,SACO,FRUTA FRESCA,Diesel (estimated irrigation/mechanisation proxy),MJ/ha,1237.8500000000001,60.47898266666667,,,50.0,45.359237,0.0,1.0,0.75,,1.75,43.6363636363636,36.2873896,13.607771099999999,,0.0,0.0,0.0,river,ctnac,observed harvested product,direct_espac_output,Yield_kgha is reconstructed from direct ESPAC harvested production variables.
3,(all regions confounded),(all provinces confounded),AJONJOLI,transitory,2024-02-01,2024-06-01,4.0,1.0,545.454545454546,,aspersi?n,QUINTAL,GRANO SECO,Diesel (estimated irrigation/mechanisation proxy),MJ/ha,371.355,50.06265664160401,100.0,,,150.0,0.0,3.0037593984962405,1.0025062656641603,,4.010025062656641,,,,,0.0,0.0,0.0,river,ctnac,observed harvested product,direct_espac_output,Yield_kgha is reconstructed from direct ESPAC harvested production variables.
17,(all regions confounded),(all provinces confounded),ALFALFA,transitory,2024-05-01,2024-11-01,6.0,0.09,10101.010101010099,10434.782608695654,surcos,SACO,REPOLLO,Diesel (estimated irrigation/mechanisation proxy),MJ/ha,2475.7000000000003,251.9957611111111,,,,0.0,697.8344153846153,5.192307692307692,4.545454545454546,3.9393939393939394,5.555555555555555,222.10743801652882,2551.45708125,,,0.0,10434.782608695654,0.0,river,ctnac,observed harvested product,direct_espac_output,Yield_kgha is reconstructed from direct ESPAC harvested production variables.
39,(all regions confounded),(all provinces confounded),APIO,transitory,2024-08-01,2024-12-01,4.0,0.1,6060.606060606055,10434.782608695654,surcos,CARGA,HOJA FRESCA,Diesel (estimated irrigation/mechanisation proxy),MJ/ha,1732.99,174.45860384615384,,,,0.0,9071.8474,1.8543956043956042,,3.489172076923077,1.3888888888888888,,4535.9237,4535.9237,,0.0,10434.782608695654,0.0,river,ctnac,observed harvested product,direct_espac_output,Yield_kgha is reconstructed from direct ESPAC harvested production variables.
1,(all regions confounded),(all provinces confounded),ARROZ,transitory,2024-09-01,2024-11-01,2.0,1.0,2727.27272727273,,,GAVETA,FRUTA FRESCA,Diesel (estimated irrigation/mechanisation proxy),MJ/ha,1732.99,181.436948,,,,181.436948,0.0,10.0,,,10.0,,,,,0.0,0.0,0.0,river,ctnac,observed harvested product,direct_espac_output,Yield_kgha is reconstructed from direct ESPAC harvested production variables.
19,(all regions confounded),(all provinces confounded),AVENA,transitory,2023-11-01,2024-07-01,8.0,0.81,1239.6694214875997,,sin riego,QUINTAL,GRANO SECO,Diesel (estimated irrigation/mechanisation proxy),MJ/ha,0.0,97.19836500000001,56.699046249999995,,,107.99818333333334,0.0,0.37499999999999994,1.0,2.3833333333333333,0.0,6.477272727272734,761.9047619047619,,,0.0,0.0,0.0,river,ctnac,observed harvested product,direct_espac_output,Yield_kgha is reconstructed from direct ESPAC harvested production variables.
8,(all regions confounded),(all provinces confounded),AVENA FORRAJERA,transitory,2024-01-01,2024-12-01,11.0,0.22499999999999998,1790.3525046382179,10434.782608695654,sin riego,QUINTAL,TUBERCULO FRESCO,Diesel (estimated irrigation/mechanisation proxy),MJ/ha,0.0,217.09094284909912,,,,127.83174375000002,0.0,2.8061224489795915,,,0.13513513513513514,53.030303030303,647.9890999999999,,,0.0,0.0,0.0,river,ctnac,observed harvested product,direct_espac_output,Yield_kgha is reconstructed from direct ESPAC harvested production variables.
1,(all regions confounded),(all provinces confounded),CACAO CCN51 O RAMILLA (ALMENDRA FRESCA),transitory,2024-03-01,2024-06-01,3.0,1.5,533.3333333333334,,sin riego,KILOGRAMO,FRUTA FRESCA,,,0.0,0.6666666666666666,,,,0.6666666666666666,0.0,0.3333333333333333,2.6666666666666665,,3.0,,,,,0.0,0.0,0.0,river,ctnac,observed harvested product,direct_espac_output,Yield_kgha is reconstructed from direct ESPAC harvested production variables.
13,(all regions confounded),(all provinces confounded),CAMOTE,transitory,2024-07-01,2024-11-01,4.0,0.25,2840.909090909085,10434.782608695654,sin riego,SACO,RAIZ FRESCA,Diesel (estimated irrigation/mechanisation proxy),MJ/ha,0.0,200.0,,,,0.0,0.0,,,,0.0,,,,,0.0,0.0,0.0,river,ctnac,observed harvested product,direct_espac_output,Yield_kgha is reconstructed from direct ESPAC harvested production variables.
7,(all regions confounded),(all provinces confounded),CEBADA FORRAJERA,transitory,2024-08-01,2023-11-01,4.0,0.02,2272.727272727272,10434.782608695654,surcos,CARGA,RAIZ FRESCA,Diesel (estimated irrigation/mechanisation proxy),MJ/ha,2475.7000000000003,,566.9904625,,,566.9904625,0.0,5.0,,,2.0,11.363636363636399,4535.9237,,,0.0,10434.782608695654,0.0,river,ctnac,observed harvested product,direct_espac_output,Yield_kgha is reconstructed from direct ESPAC harvested production variables.
80,(all regions confounded),(all provinces confounded),CEBOLLA COLORADA,transitory,2024-01-01,2024-12-01,11.0,0.34,9382.284382284402,7826.08695652174,surcos,SACO,BULBO FRESCO,Diesel (estimated irrigation/mechanisation proxy),MJ/ha,2475.7000000000003,45.359237,113.39809249999999,11.11111111111111,27.77777777777778,45.359237,15.0,1.25,1.25,1.0,1.7857142857142856,21.8181818181818,4211.92915,,150.0,0.0,7826.08695652174,0.0,river,ctnac,observed harvested product,direct_espac_output,Yield_kgha is reconstructed from direct ESPAC harvested production variables.
12,(all regions confounded),(all provinces confounded),CEBOLLA PERLA,transitory,2024-07-01,2024-12-01,5.0,0.065,14962.121212121212,7826.08695652174,surcos,QUINTAL,BULBO FRESCO,Diesel (estimated irrigation/mechanisation proxy),MJ/ha,2475.7000000000003,226.79618500000004,64.1025641025641,,,210.59645749999999,0.0,1.5476190476190477,1.6,,1.3392857142857144,,3401.942775,,,0.0,7826.08695652174,0.0,river,ctnac,observed harvested product,direct_espac_output,Yield_kgha is reconstructed from direct ESPAC harvested production variables.
2,(all regions confounded),(all provinces confounded),CENTENO,transitory,2023-11-01,2024-07-01,8.0,0.36000000000000004,2957.8877005347613,,sin riego,QUINTAL,TUBERCULO FRESCO,,,0.0,133.4095205882353,66.70476029411765,,,100.05714044117646,0.0,,,,0.0,,,,,0.0,0.0,0.0,river,ctnac,observed harvested product,direct_espac_output,Yield_kgha is reconstructed from direct ESPAC harvested production variables.
130,(all regions confounded),(all provinces confounded),CHOCHO,transitory,2024-01-01,2024-10-01,9.0,0.3,1938.2133018496656,,sin riego,QUINTAL,GRANO SECO,Diesel (estimated irrigation/mechanisation proxy),MJ/ha,0.0,49.30351847826087,133.28637333846154,,,0.0,0.0,2.0344827586206895,3.75,3.7037037037037033,0.0,11.36363636363636,635.029318,,,0.0,0.0,0.0,river,ctnac,observed harvested product,direct_espac_output,Yield_kgha is reconstructed from direct ESPAC harvested production variables.
176,(all regions confounded),(all provinces confounded),CILANTRO,transitory,2024-08-01,2024-07-01,2.0,0.16,4772.72727272727,10434.782608695654,surcos,CARGA,HOJA FRESCA,Diesel (estimated irrigation/mechanisation proxy),MJ/ha,2475.7000000000003,125.99788055555555,150.0,,,75.0,4535.9237,2.3333333333333335,2.272727272727273,2.7777777777777777,3.9097276939102565,54.545454545454476,4535.9237,4535.9237,,0.0,10434.782608695654,0.0,river,ctnac,observed harvested product,direct_espac_output,Yield_kgha is reconstructed from direct ESPAC harvested production variables.
139,(all regions confounded),(all provinces confounded),COL,transitory,2024-08-01,2024-10-01,2.0,0.18,6818.181818181808,10434.782608695654,surcos,CARGA,REPOLLO,Diesel (estimated irrigation/mechanisation proxy),MJ/ha,2475.7000000000003,164.99722453703703,192.59978805555556,60.0,290.0,114.85191419871794,4535.9237,4.0,3.0017921146953404,3.7037037037037033,8.0,,4535.9237,4535.9237,100.0,0.0,10434.782608695654,0.0,river,ctnac,observed harvested product,direct_espac_output,Yield_kgha is reconstructed from direct ESPAC harvested production variables.
47,(all regions confounded),(all provinces confounded),COLIFLOR,transitory,2024-01-01,2024-12-01,11.0,0.31,7272.727272727249,10434.782608695654,surcos,CARGA,REPOLLO,Diesel (estimated irrigation/mechanisation proxy),MJ/ha,2475.7000000000003,147.41752025,180.0,80.0,180.0,147.41752025,3779.936416666667,3.7037037037037033,1.6363636363636365,3.464755077658303,6.451612903225807,,3489.172076923077,5000.0,20.0,0.0,10434.782608695654,0.0,river,ctnac,observed harvested product,direct_espac_output,Yield_kgha is reconstructed from direct ESPAC harvested production variables.
21,(all regions confounded),(all provinces confounded),ESPINACA,transitory,2024-08-01,2024-12-01,4.0,0.01,9090.909090909088,7500.0,aspersi?n,ATADO,HOJA FRESCA,Diesel (estimated irrigation/mechanisation proxy),MJ/ha,371.355,241.91593066666667,,,,0.0,9071.8474,1.5,1.5,0.37799364166666666,0.0,,4535.9237,4535.9237,,0.0,0.0,0.0,river,ctnac,observed harvested product,direct_espac_output,Yield_kgha is reconstructed from direct ESPAC harvested production variables.
3,(all regions confounded),(all provinces confounded),FREJOL SECO (VAINA SECA),transitory,2024-06-01,2024-09-01,3.0,0.03,4242.424242424232,6956.521739130435,sin riego,SACO,REPOLLO,Diesel (estimated irrigation/mechanisation proxy),MJ/ha,0.0,566.9904625,,,,0.0,0.0,25.0,,,0.0,,5669.904625,,,0.0,0.0,0.0,river,ctnac,observed harvested product,direct_espac_output,Yield_kgha is reconstructed from direct ESPAC harvested production variables.
4,(all regions confounded),(all provinces confounded),FREJOL TIERNO (GRANO TIERNO),transitory,2024-02-01,2024-04-01,2.0,0.6,2272.7272727272666,6956.521739130435,surcos,UNIDAD,FRUTA FRESCA,Diesel (estimated irrigation/mechanisation proxy),MJ/ha,2475.7000000000003,291.91593066666667,,,,50.0,188.99682083333335,0.6166666666666667,,0.6166666666666667,0.8666666666666667,,377.9936416666667,,,0.0,6956.521739130435,0.0,river,ctnac,observed harvested product,direct_espac_output,Yield_kgha is reconstructed from direct ESPAC harvested production variables.
2,(all regions confounded),(all provinces confounded),HABA TIERNA (GRANO TIERNO),transitory,2024-07-01,2024-10-01,3.0,0.5700000000000001,8009.740259740259,5217.391304347827,surcos,COSTAL,RAIZ FRESCA,Diesel (estimated irrigation/mechanisation proxy),MJ/ha,1856.775,80.0,,,,40.0,0.0,1.2,1.2,1.0,1.7,,,,,0.0,2608.6956521739135,0.0,river,ctnac,observed harvested product,direct_espac_output,Yield_kgha is reconstructed from direct ESPAC harvested production variables.
2,(all regions confounded),(all provinces confounded),HUERTO FRUTAL,transitory,2024-03-01,2024-10-01,7.0,0.5,1272.727272727272,,sin riego,,,,,0.0,,,,,0.0,136.077711,,,,0.0,12.727272727272721,272.155422,,,0.0,0.0,0.0,river,ctnac,observed harvested product,direct_espac_output,Yield_kgha is reconstructed from direct ESPAC harvested production variables.
296,(all regions confounded),(all provinces confounded),HUERTO HORTICOLA,transitory,2024-01-01,2024-03-01,2.0,0.02,1363.636363636364,0.0,sin riego,ATADO,HOJA FRESCA,Diesel (estimated irrigation/mechanisation proxy),MJ/ha,0.0,366.6666666666667,,,,0.0,0.0,2.0,11.666666666666666,,0.0,60.606060606060666,2267.96185,,,0.0,0.0,0.0,river,ctnac,observed harvested product,direct_espac_output,Yield_kgha is reconstructed from direct ESPAC harvested production variables.
160,(all regions confounded),(all provinces confounded),LECHUGA,transitory,2024-01-01,2024-10-01,9.0,0.15,6230.687916734423,10434.782608695654,surcos,CARGA,REPOLLO,Diesel (estimated irrigation/mechanisation proxy),MJ/ha,2475.7000000000003,161.99727499999997,226.79618499999998,,,90.718474,4535.9237,3.7037037037037033,2.272727272727273,3.489172076923077,6.451612903225807,,4535.9237,4535.9237,,0.0,10434.782608695654,0.0,river,ctnac,observed harvested product,direct_espac_output,Yield_kgha is reconstructed from direct ESPAC harvested production variables.
2,(all regions confounded),(all provinces confounded),LENTEJA,transitory,2024-01-01,2024-10-01,9.0,0.53,162.87878787878802,,sin riego,,,,,0.0,,,,,0.0,0.0,,,,0.0,1.36363636363636,,,,0.0,0.0,0.0,river,ctnac,observed harvested product,direct_espac_output,Yield_kgha is reconstructed from direct ESPAC harvested production variables.
4,(all regions confounded),(all provinces confounded),MAIZ DURO SECO (MAZORCA),transitory,2024-01-01,2024-08-01,7.0,0.12,1038.9610389610398,,sin riego,SACO,GRANO SECO,Diesel (estimated irrigation/mechanisation proxy),MJ/ha,0.0,,,,,0.0,0.0,1.0,,,0.0,8.658008658008667,345.5941866666667,,,0.0,0.0,0.0,river,ctnac,observed harvested product,direct_espac_output,Yield_kgha is reconstructed from direct ESPAC harvested production variables.
12,(all regions confounded),(all provinces confounded),MAIZ SUAVE SECO (MAZORCA),transitory,2024-01-01,2024-12-01,11.0,0.5,657.4675324675316,11304.347826086958,sin riego,QUINTAL,GRANO SECO,Diesel (estimated irrigation/mechanisation proxy),MJ/ha,0.0,56.699046249999995,127.0058636,,,9.071847400000001,0.0,1.5692307692307692,,,0.15625,21.1229946524064,725.747792,,,0.0,0.0,0.0,river,ctnac,observed harvested product,direct_espac_output,Yield_kgha is reconstructed from direct ESPAC harvested production variables.
1,(all regions confounded),(all provinces confounded),MANDARINA,transitory,2024-08-01,2024-12-01,4.0,0.12,7575.757575757574,18260.869565217392,surcos,QUINTAL,VAINA,Diesel (estimated irrigation/mechanisation proxy),MJ/ha,2475.7000000000003,75.59872833333334,37.79936416666667,,,113.3980925,1511.9745666666668,8.333333333333334,,,8.333333333333334,,1511.9745666666668,,,0.0,18260.869565217392,0.0,river,ctnac,observed harvested product,direct_espac_output,Yield_kgha is reconstructed from direct ESPAC harvested production variables.
1,(all regions confounded),(all provinces confounded),MARACUYA,transitory,2023-09-01,2024-06-01,9.0,2.0,1363.636363636365,,sin riego,BULTO,RAIZ FRESCA,,,0.0,,,,,0.0,0.0,,,,0.0,,,,,0.0,0.0,0.0,river,ctnac,observed harvested product,direct_espac_output,Yield_kgha is reconstructed from direct ESPAC harvested production variables.
2,(all regions confounded),(all provinces confounded),MASHUA,transitory,2024-03-01,2024-08-01,5.0,0.3,22878.787878787916,10434.782608695654,surcos,SACO,RAIZ FRESCA,Diesel (estimated irrigation/mechanisation proxy),MJ/ha,2475.7000000000003,113.39809250000002,,,,113.39809250000002,453.59237,,,1.8899682083333336,1.8899682083333336,484.84848484848334,453.59237,,,0.0,10434.782608695654,0.0,river,ctnac,observed harvested product,direct_espac_output,Yield_kgha is reconstructed from direct ESPAC harvested production variables.
22,(all regions confounded),(all provinces confounded),MELLOCO,transitory,2024-01-01,2024-08-01,7.0,0.14500000000000002,8181.818181818184,,sin riego,QUINTAL,TUBERCULO FRESCO,Diesel (estimated irrigation/mechanisation proxy),MJ/ha,0.0,226.79618499999998,,,,226.79618499999998,0.0,1.8867924528301885,11.666666666666666,22.6796185,0.5,194.80519480519425,793.7866475000001,,,0.0,0.0,0.0,river,ctnac,observed harvested product,direct_espac_output,Yield_kgha is reconstructed from direct ESPAC harvested production variables.
11,(all regions confounded),(all provinces confounded),MELON,transitory,2024-06-01,2024-12-01,6.0,6.0,16000.0,7500.0,sin riego,TONELADA METR.,FRUTA FRESCA,Diesel (estimated irrigation/mechanisation proxy),MJ/ha,1732.99,250.0,188.0,,100.0,400.0,0.0,3.8793103448275863,1.5,2.2,2.7586206896551726,423.19749216301034,,,,0.0,0.0,0.0,river,ctnac,observed harvested product,direct_espac_output,Yield_kgha is reconstructed from direct ESPAC harvested production variables.
46,(all regions confounded),(all provinces confounded),NABO,transitory,2024-01-01,2024-07-01,6.0,0.265,4318.18181818182,10434.782608695654,surcos,CARGA,HOJA FRESCA,Diesel (estimated irrigation/mechanisation proxy),MJ/ha,2475.7000000000003,125.99788055555555,,,,114.85191419871794,4084.7699986559137,3.2258064516129035,2.272727272727273,3.2258064516129035,8.333333333333334,,4084.7699986559137,,,0.0,10434.782608695654,0.0,river,ctnac,observed harvested product,direct_espac_output,Yield_kgha is reconstructed from direct ESPAC harvested production variables.
5,(all regions confounded),(all provinces confounded),OCA,transitory,2023-05-01,2024-02-01,9.0,0.1,1363.6363636363599,,sin riego,SACA,TUBERCULO FRESCO,Diesel (estimated irrigation/mechanisation proxy),MJ/ha,0.0,,,,,0.0,1860.7771099999998,2.5,,,0.0,147.727272727273,4535.9237,1360.7771099999998,500.0,0.0,0.0,0.0,river,ctnac,observed harvested product,direct_espac_output,Yield_kgha is reconstructed from direct ESPAC harvested production variables.
