count,Region,Province,Crop,Category,Area_ha,Yield_kgha,Irrig_m3,Irrig_equipment,Packaging_type1,Packaging_type2,Fuel_type,Fuel_unit,Fuel_ha,NPK_kgha,AN_kgha,AP_kgha,AS_kgha,Total_fert_min_kgha,Total_fert_org_kgha,Insecticide_kgha,Herbicide_kgha,Fungicide_kgha,Total_pesticides_kgha,Organic_estiercol_kgha,Organic_fermentado_kgha,Organic_liquido_kgha,Irrig_lake_m3,Irrig_river_m3,Irrig_well_m3,Irrigation_source,Source_module,Output_basis,Yield_data_status,Yield_basis_note
37,(all regions confounded),(all provinces confounded),ABACÁ,permanent,6.0,2881.35593220339,,sin riego,TONELADA METR.,,,,0.0,150.0,,,,0.0,0.0,,1.0,,0.0,15.266623196000001,90.718474,2.0,0.0,0.0,0.0,river,cpnac,observed harvested product,direct_espac_output,Yield_kgha is reconstructed from direct ESPAC harvested production variables.
6,(all regions confounded),(all provinces confounded),ACHIOTE,permanent,0.7,795.454545454546,,sin riego,QUINTAL,,,,0.0,,,,,0.0,0.0,,,,0.0,,,,0.0,0.0,0.0,river,cpnac,observed harvested product,direct_espac_output,Yield_kgha is reconstructed from direct ESPAC harvested production variables.
2,(all regions confounded),(all provinces confounded),ALCACHOFA,permanent,3.85,12467.532467532466,5625.0,goteo,CAJA,,Diesel (estimated irrigation/mechanisation proxy),MJ/ha,1237.8500000000001,176.7243,,,,176.7243,0.0,0.4051948051948052,0.935064935064935,0.3116883116883117,0.92987012987013,,,,0.0,0.0,5625.0,well,cpnac,observed harvested product,direct_espac_output,Yield_kgha is reconstructed from direct ESPAC harvested production variables.
13,(all regions confounded),(all provinces confounded),ARÁNDANO,permanent,1.15,8386.363636363625,11250.0,goteo,UNIDAD,FRUTA FRESCA,Diesel (estimated irrigation/mechanisation proxy),MJ/ha,2475.7000000000003,200.0,125.45666666666666,116.5,345.0,190.20666666666665,0.0,2.1333333333333333,6.410256410256411,7.711538461538462,0.0,,13356.0,105.0,0.0,0.0,0.0,river,cpnac,observed harvested product,direct_espac_output,Yield_kgha is reconstructed from direct ESPAC harvested production variables.
13,(all regions confounded),(all provinces confounded),BABACO,permanent,0.18,28800.0,11250.0,sin riego,CAJA,FRUTA FRESCA,Diesel (estimated irrigation/mechanisation proxy),MJ/ha,0.0,524.1511831111111,,,503.9915222222222,503.9915222222222,2834.9523125,10.0,,8.055555555555555,1.0,4535.9237,,,0.0,0.0,0.0,river,cpnac,observed harvested product,direct_espac_output,Yield_kgha is reconstructed from direct ESPAC harvested production variables.
31,(all regions confounded),(all provinces confounded),BAMBÚ O CAÑA GUADUA,permanent,1.74,6818.1818181818,,sin riego,LIBRA,TALLO FRESCO,Diesel (estimated irrigation/mechanisation proxy),MJ/ha,0.0,,,,,0.0,0.0,1.48,2.0,,0.0,,,,0.0,0.0,0.0,river,cpnac,observed harvested product,direct_espac_output,Yield_kgha is reconstructed from direct ESPAC harvested production variables.
1,(all regions confounded),(all provinces confounded),CABUYA,permanent,,,,sin riego,,,,,0.0,,,,,,0.0,,,,0.0,,,,0.0,0.0,0.0,river,cpnac,observed harvested product,direct_espac_output,Yield_kgha is reconstructed from direct ESPAC harvested production variables.
1,(all regions confounded),(all provinces confounded),CARDAMOMO,permanent,,,,sin riego,,,,,0.0,,,,,,0.0,,,,0.0,,,,0.0,0.0,0.0,river,cpnac,observed harvested product,direct_espac_output,Yield_kgha is reconstructed from direct ESPAC harvested production variables.
8,(all regions confounded),(all provinces confounded),CAUCHO,permanent,12.49,7004.0053404539385,,sin riego,UNIDAD,,,,0.0,160.41666666666666,125.20868113522538,30.05008347245409,50.08347245409015,0.0,0.0,,2.3862520868113526,,0.5,,,,0.0,0.0,0.0,river,cpnac,observed harvested product,direct_espac_output,Yield_kgha is reconstructed from direct ESPAC harvested production variables.
7,(all regions confounded),(all provinces confounded),CAÑA DE AZÚCAR /BIOCOMBUSTIBLE,permanent,5.0,41014.79915433396,,sin riego,,,Diesel (estimated irrigation/mechanisation proxy),MJ/ha,0.0,23.69644350097466,47.7465652631579,,279.06976744186045,66.3793712195122,0.0,7.317073170731708,4.803333333333333,0.9756097560975611,5.4399999999999995,,,,0.0,0.0,0.0,river,cpnac,observed harvested product,direct_espac_output,Yield_kgha is reconstructed from direct ESPAC harvested production variables.
1,(all regions confounded),(all provinces confounded),CEIBO,permanent,,,,sin riego,,,,,0.0,,,,,,0.0,,,,0.0,,,,0.0,0.0,0.0,river,cpnac,observed harvested product,direct_espac_output,Yield_kgha is reconstructed from direct ESPAC harvested production variables.
4,(all regions confounded),(all provinces confounded),CHIRIMOYA,permanent,0.875,4259.8793578417435,15652.17391304348,surcos,CAJA,FRUTA FRESCA,Diesel (estimated irrigation/mechanisation proxy),MJ/ha,1237.8500000000001,66.66856060606061,21.33783960292581,,,88.00640020898642,0.0,12.0,,19.199973876698014,15.597701149425287,,,,0.0,7826.08695652174,0.0,river,cpnac,observed harvested product,direct_espac_output,Yield_kgha is reconstructed from direct ESPAC harvested production variables.
14,(all regions confounded),(all provinces confounded),CIRUELO,permanent,1.16,5454.5454545454495,,sin riego,CAJA,FRUTA FRESCA,,,0.0,,150.0,,,0.0,0.0,0.5,1.5,0.3333333333333333,0.125,,,,0.0,0.0,0.0,river,cpnac,observed harvested product,direct_espac_output,Yield_kgha is reconstructed from direct ESPAC harvested production variables.
78,(all regions confounded),(all provinces confounded),CLAUDIA,permanent,0.155,3218.1818181818167,15652.17391304348,surcos,CAJA,FRUTA FRESCA,Diesel (estimated irrigation/mechanisation proxy),MJ/ha,2475.7000000000003,226.79618499999998,82.399455,16.666666666666668,90.0,0.0,415.7930058333333,6.0,7.692307692307692,5.833333333333334,0.0,907.1847399999999,58876.289626,15.0,0.0,5625.0,0.0,river,cpnac,observed harvested product,direct_espac_output,Yield_kgha is reconstructed from direct ESPAC harvested production variables.
69,(all regions confounded),(all provinces confounded),COCO (COCOTERO),permanent,1.9649999999999999,3721.2934716290415,15652.17391304348,sin riego,LIBRA,FRUTA FRESCA,Diesel (estimated irrigation/mechanisation proxy),MJ/ha,2475.7000000000003,120.48192771084337,66.77933521947615,141.7233560090703,130.0,90.54054054054055,0.0,1.417233560090703,1.5,1.75,1.0,0.06719886962962963,4800.219885,2.0,0.0,0.0,0.0,river,cpnac,observed harvested product,direct_espac_output,Yield_kgha is reconstructed from direct ESPAC harvested production variables.
22,(all regions confounded),(all provinces confounded),DURAZNO (MELOCOTON),permanent,0.25,7272.727272727279,13451.08695652174,surcos,CAJA,FRUTA FRESCA,Diesel (estimated irrigation/mechanisation proxy),MJ/ha,2475.7000000000003,600.0,181.436948,,,132.8377655,1270.058636,6.0,8.0,6.0,3.3125,1837.0490985000001,58876.289626,,0.0,11250.0,0.0,river,cpnac,observed harvested product,direct_espac_output,Yield_kgha is reconstructed from direct ESPAC harvested production variables.
4,(all regions confounded),(all provinces confounded),ESPARRAGO,permanent,2.7,4000.0,11250.0,goteo,CAJA,TALLO FRESCO,Diesel (estimated irrigation/mechanisation proxy),MJ/ha,2475.7000000000003,500.0,487.037037037037,,300.0,1100.0,300.0,3.333333333333333,1.1111111111111112,2.222222222222222,5.505050505050505,600.0,,,0.0,11250.0,0.0,river,cpnac,observed harvested product,direct_espac_output,Yield_kgha is reconstructed from direct ESPAC harvested production variables.
59,(all regions confounded),(all provinces confounded),FRUTILLAS O FRESAS,permanent,0.2,14727.272727272719,11250.0,goteo,CAJA,FRUTA FRESCA,Diesel (estimated irrigation/mechanisation proxy),MJ/ha,2475.7000000000003,170.0,175.71847400000001,59.375,32.0,109.48781344827589,0.0,3.3333333333333335,5.555555555555555,7.692307692307692,1.44,1360.7771099999998,2721.55422,555.7894736842105,0.0,0.0,0.0,river,cpnac,observed harvested product,direct_espac_output,Yield_kgha is reconstructed from direct ESPAC harvested production variables.
