Crop,Category,Irrigated_area_ha__minValue,Irrigated_area_ha__maxValue,Electricity_kWh_ha__minValue,Electricity_kWh_ha__maxValue,Manure_kgha__minValue,Manure_kgha__maxValue,Urea_kgha__minValue,Urea_kgha__maxValue,MAP_kgha__minValue,MAP_kgha__maxValue,UAN_kgha__minValue,UAN_kgha__maxValue,CAN_kgha__minValue,CAN_kgha__maxValue,Compost_kg_ha__minValue,Compost_kg_ha__maxValue,Digestate_kg_ha__minValue,Digestate_kg_ha__maxValue,Acaricide_kgha__minValue,Acaricide_kgha__maxValue,Biocide_NE_kgha__minValue,Biocide_NE_kgha__maxValue,Seed_share_pct__minValue,Seed_share_pct__maxValue,Manure_type__minValue,Manure_type__maxValue,count__minValue,count__maxValue,Region__minValue,Region__maxValue,Province__minValue,Province__maxValue,Seeding_date__minValue,Seeding_date__maxValue,Harvest_date__minValue,Harvest_date__maxValue,Cycle_length_months__minValue,Cycle_length_months__maxValue,Area_ha__minValue,Area_ha__maxValue,Yield_kgha__minValue,Yield_kgha__maxValue,Irrig_m3__minValue,Irrig_m3__maxValue,Irrig_equipment__minValue,Irrig_equipment__maxValue,Packaging_type1__minValue,Packaging_type1__maxValue,Packaging_type2__minValue,Packaging_type2__maxValue,Fuel_type__minValue,Fuel_type__maxValue,Fuel_unit__minValue,Fuel_unit__maxValue,Fuel_ha__minValue,Fuel_ha__maxValue,NPK_kgha__minValue,NPK_kgha__maxValue,AN_kgha__minValue,AN_kgha__maxValue,AP_kgha__minValue,AP_kgha__maxValue,AS_kgha__minValue,AS_kgha__maxValue,Total_fert_min_kgha__minValue,Total_fert_min_kgha__maxValue,Total_fert_org_kgha__minValue,Total_fert_org_kgha__maxValue,Insecticide_kgha__minValue,Insecticide_kgha__maxValue,Herbicide_kgha__minValue,Herbicide_kgha__maxValue,Fungicide_kgha__minValue,Fungicide_kgha__maxValue,Total_pesticides_kgha__minValue,Total_pesticides_kgha__maxValue,Seed_kgha__minValue,Seed_kgha__maxValue,Organic_estiercol_kgha__minValue,Organic_estiercol_kgha__maxValue,Organic_fermentado_kgha__minValue,Organic_fermentado_kgha__maxValue,Organic_liquido_kgha__minValue,Organic_liquido_kgha__maxValue,Irrig_lake_m3__minValue,Irrig_lake_m3__maxValue,Irrig_river_m3__minValue,Irrig_river_m3__maxValue,Irrig_well_m3__minValue,Irrig_well_m3__maxValue,Irrigation_source__minValue,Irrigation_source__maxValue,Source_module__minValue,Source_module__maxValue,Output_basis__minValue,Output_basis__maxValue,Yield_data_status__minValue,Yield_data_status__maxValue,Yield_basis_note__minValue,Yield_basis_note__maxValue
ACELGA,transitory,0.0099,0.0101,0.0,1e-12,8981.128926000001,9162.565874,,,,,,,,,,,,,0.0,1e-12,0.0,1e-12,,,,,14.85,15.15,,,,,,,,,3.96,4.04,0.0099,0.0101,2249.9999999999977,2295.4545454545428,7425.0,7575.0,,,,,,,,,,,367.64145,375.06855,,,,,,,,,0.0,1e-12,8981.128926000001,9162.565874,,,,,,,0.0,1e-12,,,4490.564463000001,4581.282937,4490.564463000001,4581.282937,,,0.0,1e-12,7425.0,7575.0,0.0,1e-12,,,,,,,,,,
AJI,transitory,1.485,1.515,0.0,1e-12,0.0,1e-12,,,,,,,,,,,,,0.0,1e-12,0.0,1e-12,0.99,1.01,,,15.84,16.16,,,,,,,,,4.95,5.05,0.86625,0.88375,6738.749999999998,6874.886363636362,10330.434782608698,10539.13043478261,,,,,,,,,,,1225.4715,1250.2285000000002,59.87419284,61.083772493333335,,,,,49.5,50.5,44.90564463,45.81282937,0.0,1e-12,0.99,1.01,0.7425,0.7575,,,1.7325,1.7675,43.19999999999996,44.072727272727235,35.924515704,36.650263495999994,13.471693388999999,13.743848811,,,0.0,1e-12,0.0,1e-12,0.0,1e-12,,,,,,,,,,
AJONJOLI,transitory,2.47005,2.51995,0.0,1e-12,0.0,1e-12,,,,,,,,,,,,,0.0,1e-12,0.0,1e-12,,,,,2.97,3.03,,,,,,,,,3.96,4.04,0.99,1.01,540.0000000000005,550.9090909090914,,,,,,,,,,,,,367.64145,375.06855,49.56203007518797,50.563283208020046,99.0,101.0,,,,,148.5,151.5,0.0,1e-12,2.9737218045112783,3.0337969924812027,0.9924812030075187,1.012531328320802,,,3.969924812030075,4.050125313283208,,,,,,,,,0.0,1e-12,0.0,1e-12,0.0,1e-12,,,,,,,,,,
ALFALFA,transitory,0.0891,0.0909,0.0,1e-12,690.8560712307692,704.8127595384615,,,,,,,,,,,,,0.0,1e-12,0.0,1e-12,4.95,5.05,,,16.83,17.17,,,,,,,,,5.94,6.06,0.0891,0.0909,9999.999999999998,10202.0202020202,10330.434782608698,10539.13043478261,,,,,,,,,,,2450.943,2500.4570000000003,249.47580349999998,254.51571872222223,,,,,,,0.0,1e-12,690.8560712307692,704.8127595384615,5.140384615384614,5.244230769230769,4.5,4.590909090909092,3.9,3.978787878787879,5.5,5.611111111111111,219.88636363636354,224.3285123966941,2525.9425104375,2576.9716520625,,,,,0.0,1e-12,10330.434782608698,10539.13043478261,0.0,1e-12,,,,,,,,,,
APIO,transitory,0.099,0.101,0.0,1e-12,8981.128926000001,9162.565874,,,,,,,,,,,,,0.0,1e-12,0.0,1e-12,,,,,38.61,39.39,,,,,,,,,3.96,4.04,0.099,0.101,5999.999999999994,6121.212121212116,10330.434782608698,10539.13043478261,,,,,,,,,,,1715.6601,1750.3199,172.7140178076923,176.20318988461537,,,,,,,0.0,1e-12,8981.128926000001,9162.565874,1.8358516483516483,1.8729395604395602,,,3.454280356153846,3.524063797692308,1.375,1.4027777777777777,,,4490.564463000001,4581.282937,4490.564463000001,4581.282937,,,0.0,1e-12,10330.434782608698,10539.13043478261,0.0,1e-12,,,,,,,,,,
ARROZ,transitory,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,1.0,1.0,,,,,,,,,2.0,2.0,1.0,1.0,2727.27272727273,2727.27272727273,,,,,,,,,,,,,1732.99,1732.99,181.436948,181.436948,,,,,,,181.436948,181.436948,0.0,0.0,10.0,10.0,,,,,10.0,10.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
AVENA,transitory,1.0890000000000002,1.111,0.0,1e-12,0.0,1e-12,,,,,,,,,,,,,0.0,1e-12,0.0,1e-12,0.99,1.01,,,18.81,19.19,,,,,,,,,7.92,8.08,0.8019000000000001,0.8181,1227.2727272727236,1252.0661157024758,,,,,,,,,,,,,0.0,1e-12,96.22638135000001,98.17034865000001,56.13205578749999,57.2660367125,,,,,106.91820150000001,109.07816516666668,0.0,1e-12,0.37124999999999997,0.3787499999999999,0.99,1.01,2.3595,2.4071666666666665,0.0,1e-12,6.412500000000007,6.542045454545461,754.2857142857143,769.5238095238095,,,,,0.0,1e-12,0.0,1e-12,0.0,1e-12,,,,,,,,,,
AVENA FORRAJERA,transitory,0.14355,0.14645000000000002,0.0,1e-12,303.41651777027033,309.5461443918919,,,,,,,,,,,,,0.0,1e-12,0.0,1e-12,0.99,1.01,,,7.92,8.08,,,,,,,,,10.89,11.11,0.22274999999999998,0.22724999999999998,1772.4489795918357,1808.2560296846,10330.434782608698,10539.13043478261,,,,,,,,,,,0.0,1e-12,214.92003342060812,219.26185227759012,,,,,,,126.55342631250002,129.1100611875,0.0,1e-12,2.7780612244897958,2.8341836734693873,,,,,0.1337837837837838,0.13648648648648648,52.49999999999997,53.560606060606034,641.5092089999999,654.4689909999998,,,,,0.0,1e-12,0.0,1e-12,0.0,1e-12,,,,,,,,,,
CACAO CCN51 O RAMILLA (ALMENDRA FRESCA),transitory,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,1.0,1.0,,,,,,,,,3.0,3.0,1.5,1.5,533.3333333333334,533.3333333333334,,,,,,,,,,,,,0.0,0.0,0.6666666666666666,0.6666666666666666,,,,,,,0.6666666666666666,0.6666666666666666,0.0,0.0,0.3333333333333333,0.3333333333333333,2.6666666666666665,2.6666666666666665,,,3.0,3.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
CAMOTE,transitory,0.349272,0.356328,0.0,1e-12,0.0,1e-12,,,,,,,,,,,,,0.0,1e-12,0.0,1e-12,,,,,12.87,13.13,,,,,,,,,3.96,4.04,0.2475,0.2525,2812.499999999994,2869.318181818176,10330.434782608698,10539.13043478261,,,,,,,,,,,0.0,1e-12,198.0,202.0,,,,,,,0.0,1e-12,0.0,1e-12,,,,,,,0.0,1e-12,,,,,,,,,0.0,1e-12,0.0,1e-12,0.0,1e-12,,,,,,,,,,
CEBADA FORRAJERA,transitory,0.0198,0.0202,0.0,1e-12,0.0,1e-12,,,,,,,,,,,,,0.0,1e-12,0.0,1e-12,0.495,0.505,,,6.93,7.07,,,,,,,,,3.96,4.04,0.0198,0.0202,2249.9999999999995,2295.4545454545446,10330.434782608698,10539.13043478261,,,,,,,,,,,2450.943,2500.4570000000003,,,561.3205578750001,572.660367125,,,,,561.3205578750001,572.660367125,0.0,1e-12,4.95,5.05,,,,,1.98,2.02,11.250000000000036,11.477272727272762,4490.564463000001,4581.282937,,,,,0.0,1e-12,10330.434782608698,10539.13043478261,0.0,1e-12,,,,,,,,,,
CEBOLLA COLORADA,transitory,0.3366,0.34340000000000004,0.0,1e-12,64.35,65.65,,,,,,,,,,,,,0.0,1e-12,0.0,1e-12,0.99,1.01,,,79.2,80.8,,,,,,,,,10.89,11.11,0.3366,0.34340000000000004,9288.461538461559,9476.107226107246,7747.826086956523,7904.347826086957,,,,,,,,,,,2450.943,2500.4570000000003,44.90564463,45.81282937,112.26411157499999,114.532073425,11.0,11.222222222222221,27.5,28.055555555555557,44.90564463,45.81282937,14.85,15.15,1.2375,1.2625,1.2375,1.2625,0.99,1.01,1.7678571428571428,1.8035714285714284,21.59999999999998,22.036363636363618,4169.8098585,4254.0484415,,,148.5,151.5,0.0,1e-12,7747.826086956523,7904.347826086957,0.0,1e-12,,,,,,,,,,
CEBOLLA PERLA,transitory,0.06435,0.06565,0.0,1e-12,0.0,1e-12,,,,,,,,,,,,,0.0,1e-12,0.0,1e-12,,,,,11.88,12.12,,,,,,,,,4.95,5.05,0.06435,0.06565,14812.5,15111.742424242424,7747.826086956523,7904.347826086957,,,,,,,,,,,2450.943,2500.4570000000003,224.52822315000003,229.06414685000004,63.46153846153846,64.74358974358974,,,,,208.49049292499998,212.702422075,0.0,1e-12,1.5321428571428573,1.563095238095238,1.584,1.616,,,1.3258928571428572,1.3526785714285716,,,3367.92334725,3435.96220275,,,,,0.0,1e-12,7747.826086956523,7904.347826086957,0.0,1e-12,,,,,,,,,,
CENTENO,transitory,,,0.0,1e-12,0.0,1e-12,,,,,,,,,,,,,0.0,1e-12,0.0,1e-12,,,,,1.98,2.02,,,,,,,,,7.92,8.08,0.35640000000000005,0.36360000000000003,2928.3088235294135,2987.466577540109,,,,,,,,,,,,,0.0,1e-12,132.07542538235293,134.74361579411766,66.03771269117647,67.37180789705883,,,,,99.0565690367647,101.05771184558822,0.0,1e-12,,,,,,,0.0,1e-12,,,,,,,,,0.0,1e-12,0.0,1e-12,0.0,1e-12,,,,,,,,,,
CHOCHO,transitory,0.2871,0.29290000000000005,0.0,1e-12,0.0,1e-12,,,,,,,,,,,,,0.0,1e-12,0.0,1e-12,0.7425,0.7575,,,128.7,131.3,,,,,,,,,8.91,9.09,0.297,0.303,1918.831168831169,1957.5954348681623,,,,,,,,,,,,,0.0,1e-12,48.81048329347826,49.796553663043476,131.95350960507693,134.61923707184616,,,,,0.0,1e-12,0.0,1e-12,2.0141379310344827,2.0548275862068963,3.7125,3.7875,3.666666666666666,3.7407407407407405,0.0,1e-12,11.249999999999996,11.477272727272723,628.67902482,641.37961118,,,,,0.0,1e-12,0.0,1e-12,0.0,1e-12,,,,,,,,,,
CILANTRO,transitory,0.1782,0.1818,0.0,1e-12,4490.564463000001,4581.282937,,,,,,,,,,,,,0.0,1e-12,0.0,1e-12,23.76,24.24,,,174.24,177.76,,,,,,,,,1.98,2.02,0.1584,0.1616,4724.999999999997,4820.454545454543,10330.434782608698,10539.13043478261,,,,,,,,,,,2450.943,2500.4570000000003,124.73790174999999,127.25785936111112,148.5,151.5,,,,,74.25,75.75,4490.564463000001,4581.282937,2.31,2.356666666666667,2.25,2.295454545454546,2.75,2.8055555555555554,3.870630416971154,3.9488249708493592,53.99999999999993,55.09090909090902,4490.564463000001,4581.282937,4490.564463000001,4581.282937,,,0.0,1e-12,10330.434782608698,10539.13043478261,0.0,1e-12,,,,,,,,,,
COL,transitory,0.1782,0.1818,0.0,1e-12,4490.564463000001,4581.282937,,,,,,,,,,,,,0.0,1e-12,0.0,1e-12,,,,,137.61,140.39,,,,,,,,,1.98,2.02,0.1782,0.1818,6749.99999999999,6886.363636363626,10330.434782608698,10539.13043478261,,,,,,,,,,,2450.943,2500.4570000000003,163.34725229166665,166.6471967824074,190.67379017500002,194.5257859361111,59.4,60.6,287.1,292.9,113.70339505673076,116.00043334070511,4490.564463000001,4581.282937,3.96,4.04,2.971774193548387,3.0318100358422937,3.666666666666666,3.7407407407407405,7.92,8.08,,,4490.564463000001,4581.282937,4490.564463000001,4581.282937,99.0,101.0,0.0,1e-12,10330.434782608698,10539.13043478261,0.0,1e-12,,,,,,,,,,
