Crop,Category,Cycle_length_months__minValue,Cycle_length_months__maxValue,Irrigated_area_ha__minValue,Irrigated_area_ha__maxValue,Electricity_kWh_ha__minValue,Electricity_kWh_ha__maxValue,Manure_kgha__minValue,Manure_kgha__maxValue,Urea_kgha__minValue,Urea_kgha__maxValue,MAP_kgha__minValue,MAP_kgha__maxValue,UAN_kgha__minValue,UAN_kgha__maxValue,CAN_kgha__minValue,CAN_kgha__maxValue,Compost_kg_ha__minValue,Compost_kg_ha__maxValue,Digestate_kg_ha__minValue,Digestate_kg_ha__maxValue,Acaricide_kgha__minValue,Acaricide_kgha__maxValue,Biocide_NE_kgha__minValue,Biocide_NE_kgha__maxValue,Seed_share_pct__minValue,Seed_share_pct__maxValue,Seed_kgha__minValue,Seed_kgha__maxValue,Seeding_date__minValue,Seeding_date__maxValue,Harvest_date__minValue,Harvest_date__maxValue,Manure_type__minValue,Manure_type__maxValue,count__minValue,count__maxValue,Region__minValue,Region__maxValue,Province__minValue,Province__maxValue,Area_ha__minValue,Area_ha__maxValue,Yield_kgha__minValue,Yield_kgha__maxValue,Irrig_m3__minValue,Irrig_m3__maxValue,Irrig_equipment__minValue,Irrig_equipment__maxValue,Packaging_type1__minValue,Packaging_type1__maxValue,Packaging_type2__minValue,Packaging_type2__maxValue,Fuel_type__minValue,Fuel_type__maxValue,Fuel_unit__minValue,Fuel_unit__maxValue,Fuel_ha__minValue,Fuel_ha__maxValue,NPK_kgha__minValue,NPK_kgha__maxValue,AN_kgha__minValue,AN_kgha__maxValue,AP_kgha__minValue,AP_kgha__maxValue,AS_kgha__minValue,AS_kgha__maxValue,Total_fert_min_kgha__minValue,Total_fert_min_kgha__maxValue,Total_fert_org_kgha__minValue,Total_fert_org_kgha__maxValue,Insecticide_kgha__minValue,Insecticide_kgha__maxValue,Herbicide_kgha__minValue,Herbicide_kgha__maxValue,Fungicide_kgha__minValue,Fungicide_kgha__maxValue,Total_pesticides_kgha__minValue,Total_pesticides_kgha__maxValue,Organic_estiercol_kgha__minValue,Organic_estiercol_kgha__maxValue,Organic_fermentado_kgha__minValue,Organic_fermentado_kgha__maxValue,Organic_liquido_kgha__minValue,Organic_liquido_kgha__maxValue,Irrig_lake_m3__minValue,Irrig_lake_m3__maxValue,Irrig_river_m3__minValue,Irrig_river_m3__maxValue,Irrig_well_m3__minValue,Irrig_well_m3__maxValue,Irrigation_source__minValue,Irrigation_source__maxValue,Source_module__minValue,Source_module__maxValue,Output_basis__minValue,Output_basis__maxValue,Yield_data_status__minValue,Yield_data_status__maxValue,Yield_basis_note__minValue,Yield_basis_note__maxValue
ABACÁ,permanent,,,,,0.0,1e-12,0.0,1e-12,,,,,,,,,,,,,0.0,1e-12,0.0,1e-12,,,,,,,,,,,36.63,37.37,,,,,5.94,6.06,2852.5423728813557,2910.169491525424,,,,,,,,,,,,,0.0,1e-12,148.5,151.5,,,,,,,0.0,1e-12,0.0,1e-12,,,0.99,1.01,,,0.0,1e-12,0.0,1e-12,0.0,1e-12,0.0,1e-12,0.0,1e-12,0.0,1e-12,0.0,1e-12,,,,,,,,,,
ACHIOTE,permanent,,,,,0.0,1e-12,0.0,1e-12,,,,,,,,,,,,,0.0,1e-12,0.0,1e-12,,,,,,,,,,,5.94,6.06,,,,,0.693,0.707,787.5000000000005,803.4090909090914,,,,,,,,,,,,,0.0,1e-12,,,,,,,,,0.0,1e-12,0.0,1e-12,,,,,,,0.0,1e-12,0.0,1e-12,0.0,1e-12,0.0,1e-12,0.0,1e-12,0.0,1e-12,0.0,1e-12,,,,,,,,,,
ALCACHOFA,permanent,,,1.92555,1.96445,0.0,1e-12,0.0,1e-12,,,,,,,,,,,,,0.0,1e-12,0.20571428571428574,0.20987012987012987,,,,,,,,,,,1.98,2.02,,,,,3.8115,3.8885,12342.857142857141,12592.207792207791,5568.75,5681.25,,,,,,,,,,,1225.4715,1250.2285000000002,174.957057,178.491543,,,,,,,174.957057,178.491543,0.0,1e-12,0.4011428571428572,0.40924675324675325,0.9257142857142857,0.9444155844155844,0.30857142857142855,0.3148051948051948,0.9205714285714287,0.9391688311688312,0.0,1e-12,0.0,1e-12,0.0,1e-12,0.0,1e-12,0.0,1e-12,5568.75,5681.25,,,,,,,,,,
ARÁNDANO,permanent,,,0.7821,0.7979,0.0,1e-12,0.0,1e-12,,,,,,,,,,,,,0.0,1e-12,0.0,1e-12,,,,,,,,,,,12.87,13.13,,,,,1.1384999999999998,1.1615,8302.499999999989,8470.227272727261,11137.5,11362.5,,,,,,,,,,,2450.943,2500.4570000000003,198.0,202.0,124.2021,126.71123333333333,115.335,117.665,341.55,348.45,188.3046,192.1087333333333,0.0,1e-12,2.112,2.1546666666666665,6.346153846153847,6.4743589743589745,7.634423076923077,7.788653846153847,0.0,1e-12,0.0,1e-12,0.0,1e-12,0.0,1e-12,0.0,1e-12,0.0,1e-12,0.0,1e-12,,,,,,,,,,
BABACO,permanent,,,0.2079,0.21209999999999998,0.0,1e-12,2806.602789375,2863.301835625,,,,,,,,,,,,,0.0,1e-12,0.99,1.01,,,,,,,,,,,12.87,13.13,,,,,0.1782,0.1818,28512.0,29088.0,11137.5,11362.5,,,,,,,,,,,0.0,1e-12,518.90967128,529.3926949422222,,,,,498.95160699999997,509.03143744444446,498.95160699999997,509.03143744444446,2806.602789375,2863.301835625,9.9,10.1,,,7.975,8.136111111111111,0.99,1.01,2806.602789375,2863.301835625,0.0,1e-12,0.0,1e-12,0.0,1e-12,0.0,1e-12,0.0,1e-12,,,,,,,,,,
BAMBÚ O CAÑA GUADUA,permanent,,,0.0198,0.0202,0.0,1e-12,0.0,1e-12,,,,,,,,,,,,,0.0,1e-12,0.0,1e-12,,,,,,,,,,,30.69,31.31,,,,,1.7226,1.7574,6749.999999999982,6886.363636363618,,,,,,,,,,,,,0.0,1e-12,,,,,,,,,0.0,1e-12,0.0,1e-12,1.4652,1.4948,1.98,2.02,,,0.0,1e-12,0.0,1e-12,0.0,1e-12,0.0,1e-12,0.0,1e-12,0.0,1e-12,0.0,1e-12,,,,,,,,,,
CABUYA,permanent,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
CARDAMOMO,permanent,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
CAUCHO,permanent,,,,,0.0,1e-12,0.0,1e-12,,,,,,,,,,,,,0.0,1e-12,0.0,1e-12,,,,,,,,,,,7.92,8.08,,,,,12.3651,12.6149,6933.965287049399,7074.045393858478,,,,,,,,,,,,,0.0,1e-12,158.8125,162.02083333333331,123.95659432387312,126.46076794657763,29.74958263772955,30.350584307178632,49.58263772954925,50.58430717863105,0.0,1e-12,0.0,1e-12,,,2.3623895659432392,2.410114607679466,,,0.495,0.505,0.0,1e-12,0.0,1e-12,0.0,1e-12,0.0,1e-12,0.0,1e-12,0.0,1e-12,,,,,,,,,,
CAÑA DE AZÚCAR /BIOCOMBUSTIBLE,permanent,,,4.6035,4.6965,0.0,1e-12,0.0,1e-12,,,,,,,,,,,,,0.0,1e-12,0.0,1e-12,,,,,,,,,,,6.93,7.07,,,,,4.95,5.05,40604.65116279062,41424.9471458773,,,,,,,,,,,,,0.0,1e-12,23.459479065964914,23.933407935984405,47.26909961052632,48.22403091578948,,,276.27906976744185,281.86046511627904,65.71557750731708,67.04316493170731,0.0,1e-12,7.2439024390243905,7.390243902439025,4.755299999999999,4.851366666666666,0.9658536585365854,0.9853658536585367,5.385599999999999,5.4944,0.0,1e-12,0.0,1e-12,0.0,1e-12,0.0,1e-12,0.0,1e-12,0.0,1e-12,,,,,,,,,,
CEIBO,permanent,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
