count,Region,Province,Crop,Category,Seeding_date,Harvest_date,Cycle_length_months,Area_ha,Yield_kgha,Irrig_m3,Irrig_equipment,Packaging_type1,Packaging_type2,Fuel_type,Fuel_unit,Fuel_ha,NPK_kgha,AN_kgha,AP_kgha,AS_kgha,Total_fert_min_kgha,Total_fert_org_kgha,Insecticide_kgha,Herbicide_kgha,Fungicide_kgha,Total_pesticides_kgha,Seed_kgha,Organic_estiercol_kgha,Organic_fermentado_kgha,Organic_liquido_kgha,Cropping_system
1,costa,(all provinces confounded),ARROZ (EN CÁSCARA),transitory,2024-01-01,2024-05-01,4.0,0.5,1704.5454545454538,0.0,sin riego,SACO,EN CASCARA,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,4514.9985,,,,,0.0,0.0,,,,0.0,,,,,in association
1,costa,(all provinces confounded),ARVEJA SECA (GRANO SECO),transitory,2023-12-01,2024-08-01,8.0,0.15,227.27272727272734,0.0,sin riego,,,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,2002.4955,,,,,0.0,0.0,,,,0.0,2.2727272727272734,,,,in association
19,costa,(all provinces confounded),BANANO (FRUTA FRESCA),permanent,2024-01-01,2024-12-01,11.0,1.0,7196.969696969696,0.0,sin riego,OTRA,FRUTA FRESCA,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,2294.5065000000004,25.357142857142858,,,,0.0,0.0,0.5,0.7142857142857143,,0.0,,440.0,,0.8333333333333333,in association
352,costa,(all provinces confounded),CACAO (ALMENDRA SECA),permanent,2024-01-01,2024-12-01,11.0,2.0,538.2327952421413,0.0,sin riego,QUINTAL,ALMENDRA SECA,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,4871.9952,126.26262626262627,126.92376521116678,120.95796533333333,191.69243224714876,100.0,0.0,0.6477987421383647,1.0,0.5,0.0,,666.6666666666666,48.21347470238096,0.8583690987124464,in association
21,costa,(all provinces confounded),CAFÉ (GRANO ORO),permanent,2024-01-01,2024-12-01,11.0,1.245,133.8636363636365,0.0,sin riego,QUINTAL,GRANO ORO,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,4871.9952,150.0,317.337807606264,,,0.0,0.0,0.4217687074829932,2.0134228187919465,,0.0,,,,,in association
18,costa,(all provinces confounded),FREJOL SECO (GRANO SECO),transitory,2023-12-01,2024-08-01,8.0,0.14,293.56060606060623,0.0,sin riego,SACA,VAINA SECA,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,2002.4955,50.0,,,,0.0,0.0,0.5,,0.5,0.0,2.2727272727272734,566.9904625,,,in association
23,costa,(all provinces confounded),FREJOL TIERNO (VAINA),transitory,2024-01-01,2024-07-01,6.0,2.0,1818.1818181818198,0.0,sin riego,QUINTAL,VAINA,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,2002.4955,75.0,100.0,,53.57142857142857,110.0,0.0,0.5,0.5357142857142857,0.375,1.0,12.121212121212132,928.7843766666667,,1.4285714285714286,in association
7,costa,(all provinces confounded),HABA SECA (GRANO SECO),transitory,2023-12-01,2024-06-01,6.0,0.125,265.1515151515157,4615.384615384615,sin riego,QUINTAL,GRANO SECO,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,2002.4955,,,,,0.0,0.0,,8.0,,0.0,0.9469696969696959,177.1170206666667,,,in association
3,costa,(all provinces confounded),HABA TIERNA (VAINA),transitory,2024-05-01,2024-12-01,7.0,0.5,1018.1818181818181,7500.0,goteo,SACO,VAINA,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,2002.4955,,226.79618499999998,,,0.0,0.0,1.0,2.5,,1.0,,,,,in association
22,costa,(all provinces confounded),LIMÓN (FRUTA FRESCA),permanent,2024-01-01,2024-12-01,11.0,2.0,3397.612488521581,16153.846153846152,surcos,COSTAL,FRUTA FRESCA,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,8855.9988,111.94029850746269,125.0,120.95796533333333,101.01010101010101,76.92307692307692,0.0,1.5104166666666667,1.0204081632653061,0.5050505050505051,0.5,,,75.0,,in association
