Region,Cropping_system,Crop,Category,Irrigated_area_ha__minValue,Irrigated_area_ha__maxValue,Electricity_kWh_ha__minValue,Electricity_kWh_ha__maxValue,Manure_kgha__minValue,Manure_kgha__maxValue,Urea_kgha__minValue,Urea_kgha__maxValue,MAP_kgha__minValue,MAP_kgha__maxValue,UAN_kgha__minValue,UAN_kgha__maxValue,CAN_kgha__minValue,CAN_kgha__maxValue,Compost_kg_ha__minValue,Compost_kg_ha__maxValue,Digestate_kg_ha__minValue,Digestate_kg_ha__maxValue,Acaricide_kgha__minValue,Acaricide_kgha__maxValue,Biocide_NE_kgha__minValue,Biocide_NE_kgha__maxValue,Seed_share_pct__minValue,Seed_share_pct__maxValue,Manure_type__minValue,Manure_type__maxValue,count__minValue,count__maxValue,Province__minValue,Province__maxValue,Seeding_date__minValue,Seeding_date__maxValue,Harvest_date__minValue,Harvest_date__maxValue,Cycle_length_months__minValue,Cycle_length_months__maxValue,Area_ha__minValue,Area_ha__maxValue,Yield_kgha__minValue,Yield_kgha__maxValue,Irrig_m3__minValue,Irrig_m3__maxValue,Irrig_equipment__minValue,Irrig_equipment__maxValue,Packaging_type1__minValue,Packaging_type1__maxValue,Packaging_type2__minValue,Packaging_type2__maxValue,Fuel_type__minValue,Fuel_type__maxValue,Fuel_unit__minValue,Fuel_unit__maxValue,Fuel_ha__minValue,Fuel_ha__maxValue,NPK_kgha__minValue,NPK_kgha__maxValue,AN_kgha__minValue,AN_kgha__maxValue,AP_kgha__minValue,AP_kgha__maxValue,AS_kgha__minValue,AS_kgha__maxValue,Total_fert_min_kgha__minValue,Total_fert_min_kgha__maxValue,Total_fert_org_kgha__minValue,Total_fert_org_kgha__maxValue,Insecticide_kgha__minValue,Insecticide_kgha__maxValue,Herbicide_kgha__minValue,Herbicide_kgha__maxValue,Fungicide_kgha__minValue,Fungicide_kgha__maxValue,Total_pesticides_kgha__minValue,Total_pesticides_kgha__maxValue,Seed_kgha__minValue,Seed_kgha__maxValue,Organic_estiercol_kgha__minValue,Organic_estiercol_kgha__maxValue,Organic_fermentado_kgha__minValue,Organic_fermentado_kgha__maxValue,Organic_liquido_kgha__minValue,Organic_liquido_kgha__maxValue
costa,in association,ARROZ (EN CÁSCARA),transitory,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,1.0,1.0,,,,,,,4.0,4.0,0.5,0.5,1704.5454545454538,1704.5454545454538,0.0,0.0,,,,,,,,,,,1653.741,4514.9985,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,,,,,,,,
costa,in association,ARVEJA SECA (GRANO SECO),transitory,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,1.0,,,1.0,1.0,,,,,,,8.0,8.0,0.15,0.15,227.27272727272734,227.27272727272734,0.0,0.0,,,,,,,,,,,1653.741,3993.7619999999997,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,2.2727272727272734,2.2727272727272734,,,,,,
costa,in association,BANANO (FRUTA FRESCA),permanent,0.02,0.75,0.0,0.0,0.0,641.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,19.0,19.0,,,,,,,11.0,11.0,0.0,5.0,436.36363636363666,16363.636363636399,0.0,26153.846153846152,,,,,,,,,,,2294.5065000000004,8375.2513,0.7142857142857143,50.0,,,,,,,0.0,50.0,0.0,641.0,0.5,0.5,0.6,2.6666666666666665,,,0.0,2.6666666666666665,,,0.0,640.0,,,0.0,1.0
costa,in association,CACAO (ALMENDRA SECA),permanent,0.05,20.0,0.0,0.0,0.0,3023.9491333333335,,,,,,,,,,,,,0.0,0.0,0.0,48.21347470238096,,,,,352.0,352.0,,,,,,,11.0,11.0,0.05,33.0,32.46753246753257,2500.0,0.0,15652.17391304348,,,,,,,,,,,3851.9916,6864.0084,0.5,1100.0,0.0,510.2040816326531,120.95796533333333,120.95796533333333,111.11111111111111,272.155422,0.0,1100.0,0.0,3023.9491333333335,0.03,18.333333333333332,0.025025025025025023,26.3578125,0.2,17.857142857142858,0.0,53.882408942743766,,,0.0,3023.9491333333335,0.0,135.13513513513513,0.0,12.0
costa,in association,CAFÉ (GRANO ORO),permanent,0.02,3.9,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,21.0,21.0,,,,,,,11.0,11.0,0.02,19.98,38.1818181818182,896.8883465527784,0.0,15652.17391304348,,,,,,,,,,,3851.9916,6864.0084,150.0,150.0,0.0,510.2040816326531,,,,,0.0,510.2040816326531,0.0,0.0,0.3333333333333333,0.5102040816326531,0.025025025025025023,2.6666666666666665,,,0.0,2.6666666666666665,,,,,,,,
costa,in association,FREJOL SECO (GRANO SECO),transitory,0.08,0.42,0.0,0.0,0.0,1457.975475,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.25,2.0,,,18.0,18.0,,,,,,,6.0,9.0,0.05,6.0,196.3636363636364,1363.6363636363633,0.0,6153.846153846153,,,,,,,,,,,1653.741,3993.7619999999997,50.0,50.0,,,,,,,0.0,50.0,0.0,1457.975475,0.5,0.5,,,0.5,0.5,0.0,1.0,0.6493506493506489,6.363636363636361,0.0,1457.975475,,,,
costa,in association,FREJOL TIERNO (VAINA),transitory,0.07,0.25,0.0,0.0,0.0,1209.5796533333335,,,,,,,,,,,,,0.0,0.0,0.0,1.0,0.5,1.0,,,23.0,23.0,,,,,,,3.0,9.0,0.07,7.0,389.6103896103899,4227.27272727273,0.0,6956.521739130435,,,,,,,,,,,1653.741,3993.7619999999997,17.445860384615386,126.66666666666667,0.0,116.66666666666667,,,50.0,66.66666666666667,0.0,200.0,0.0,1209.5796533333335,0.16666666666666666,2.142857142857143,0.3333333333333333,9.0,0.17142857142857143,0.5714285714285714,0.0,11.0,3.146853146853146,21.5909090909091,0.0,1209.5796533333335,,,0.0,1.4285714285714286
costa,in association,HABA SECA (GRANO SECO),transitory,0.08,0.42,0.0,0.0,0.0,181.436948,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.25,2.0,,,7.0,7.0,,,,,,,6.0,8.0,0.05,0.42,151.51515151515144,545.454545454544,0.0,10434.782608695654,,,,,,,,,,,1653.741,3993.7619999999997,,,,,,,,,0.0,0.0,0.0,181.436948,,,8.0,8.0,,,0.0,8.0,0.3787878787878786,4.54545454545456,0.0,181.436948,,,,
costa,in association,HABA TIERNA (VAINA),transitory,0.5,0.75,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.0,0.0,0.0,3.4999999999999996,,,,,3.0,3.0,,,,,,,5.0,7.0,0.2,0.75,681.8181818181799,1018.1818181818186,0.0,7500.0,,,,,,,,,,,1653.741,3993.7619999999997,,,0.0,226.79618499999998,,,,,0.0,226.79618499999998,0.0,0.0,0.3333333333333333,2.5,2.5,2.5,,,0.3333333333333333,8.5,,,,,,,,
costa,in association,LIMÓN (FRUTA FRESCA),permanent,0.48,19.74,0.0,0.0,0.0,75.0,,,,,,,,,,,,,0.0,0.0,0.0,10.03344481605351,,,,,22.0,22.0,,,,,,,11.0,11.0,0.2,19.74,1200.0,19418.181818181834,0.0,18260.869565217392,,,,,,,,,,,3851.9916,8855.9988,37.925783444816055,204.08163265306123,0.0,272.155422,120.95796533333333,120.95796533333333,50.0,272.155422,0.0,665.2688093333334,0.0,75.0,0.9375,2.0833333333333335,0.16666666666666666,2.4242424242424243,0.5050505050505051,0.5050505050505051,0.0,10.03344481605351,,,,,0.0,75.0,,
