Region,Province,Product,Species,System,Functional_unit,Normalized_product_output_kg,Area_ha_per_1kg_product,Animals_total_live_weight_kg_per_1kg_product,Producing_animals_live_weight_kg_per_1kg_product,Animals_sold_live_weight_kg_per_1kg_product,Animal_input_age_related_factor,Animal_input_economic_allocation_factor,Animal_input_live_weight_kg_per_1kg_product,Animal_input_calf_live_weight_kg_per_1kg_product,Animal_input_one_day_chicken_live_weight_kg_per_1kg_product,Animal_input_piglet_live_weight_kg_per_1kg_product,Animal_input_kid_goat_live_weight_kg_per_1kg_product,Animal_input_dairy_cow_live_weight_kg_per_1kg_product,Animal_input_laying_hen_live_weight_kg_per_1kg_product,Water_l_per_1kg_product,Electricity_kWh_per_1kg_product,Live_weight_equivalent_kg_per_1kg_product,Milk_output_l_per_1kg_product,Milk_output_kg_fpcm_per_1kg_product,Milk_sales_l_per_1kg_product,Milk_sales_kg_fpcm_per_1kg_product,Egg_output_reported_per_1kg_product,Egg_output_kg_per_1kg_product,Egg_sales_reported_per_1kg_product,Egg_sales_kg_per_1kg_product,Birds_sold_head_per_1kg_product,Birds_consumed_head_per_1kg_product,Cultivated_pasture_area_ha_per_1kg_product,Natural_pasture_area_ha_per_1kg_product,Linked_pasture_area_ha_per_1kg_product,Intake_assumption_kg_per_1kg_product,Pasture_feed_kg_per_1kg_product,Cultivated_pasture_feed_kg_per_1kg_product,Natural_pasture_feed_kg_per_1kg_product,Unmatched_pasture_feed_kg_per_1kg_product,Supplement_feed_kg_per_1kg_product,Common_feed_kg_per_1kg_product,Waste_feed_kg_per_1kg_product,Unallocated_feed_kg_per_1kg_product,Total_feed_kg_per_1kg_product,Proxy_total_feed_kg_per_1kg_product,Proxy_forage_kg_per_1kg_product,Proxy_tree_forage_kg_per_1kg_product,Proxy_compound_feed_kg_per_1kg_product,Proxy_mineral_kg_per_1kg_product,Vaccinated_head_per_1kg_product,Area_ha,Animals_total_head,Producing_animals_head,Animals_sold_head,Animal_input_key,Animal_input_name,Milking_system_ESPAC,Infrastructure_type,Infrastructure_source,Infrastructure_area_m2_head,Infrastructure_area_ha,Water_l_head_day,Electricity_kWh_head_day,Representative_live_weight_kg,Live_weight_equivalent_kg,Milk_output_l_day,Milk_output_kg_fpcm_day,Milk_sales_l_7d,Milk_sales_kg_fpcm_7d,Milk_yield_l_head_day,Egg_output_reported,Egg_output_kg,Egg_sales_reported,Egg_sales_kg,Eggs_per_head_reported,Birds_sold_head,Birds_consumed_head,Pasture_share_pct,Cultivated_pasture_area_ha,Natural_pasture_area_ha,Linked_pasture_area_ha,Cultivated_pasture_area_share_pct,Natural_pasture_area_share_pct,Cultivated_pasture_area_ha_per_head,Natural_pasture_area_ha_per_head,Cultivated_pasture_feed_share_pct,Natural_pasture_feed_share_pct,Unmatched_pasture_feed_share_pct,Supplement_share_pct,Common_feed_share_pct,Waste_feed_share_pct,Intake_assumption_kg_head_day,Pasture_feed_kg_head_day,Cultivated_pasture_feed_kg_head_day,Natural_pasture_feed_kg_head_day,Unmatched_pasture_feed_kg_head_day,Supplement_feed_kg_head_day,Common_feed_kg_head_day,Waste_feed_kg_head_day,Unallocated_feed_share_pct,Unallocated_feed_kg_head_day,Total_feed_kg_head_day,Proxy_total_feed_kg_head_day,Proxy_body_weight_kg,Proxy_forage_share_pct,Proxy_tree_forage_share_pct,Proxy_compound_feed_share_pct,Proxy_mineral_share_pct,Proxy_forage_kg_head_day,Proxy_tree_forage_kg_head_day,Proxy_compound_feed_kg_head_day,Proxy_mineral_kg_head_day,Vaccinated_head,Vaccination_share_pct,Infra_water_electricity_status,Infra_water_electricity_note,Infra_water_electricity_citations,Reference_output_kg,Reference_output_kg_for_dfe,Normalization_factor_to_1kg,Reference_output_basis_note,Output_unit,Sales_unit,Diet_basis,Proxy_diet_basis,Diet_data_status,Ration_composition_note,Diet_proxy_source_key,Diet_proxy_quality,Diet_proxy_note,Diet_proxy_citations
(all regions confounded),(all provinces confounded),cattle_live,cattle,(unknown),1 kg meat (carcass-weight proxy),1.0,0.00275,2.0,0.9090909090909091,0.4,5.0,0.0673,0.673,0.673,0.0,0.0,0.0,0.0,0.0,0.0325925925925926,0.0,2.0,,,,,,,,,,,0.0008888888888888889,0.0,0.0013458017262741452,0.0059259259259259265,0.005280000000000001,0.0024000000000000002,0.0,0.0,0.0003125,0.0,0.0,0.0,0.005714285714285714,,,,,,0.0047321428571428575,5.0,8.0,4.0,3.0,calf,"calf, at farm {BR} Economic, U",Mecánico,milking system: Mecánico,ESPAC direct (gl_sistema_ordenio),,,50.0,0.0,400.0,3600.0,,,,,,,,,,,,,90.0,1.2530000000000001,0.0,2.02,100.0,0.0,0.15,0.0,90.0,0.0,0.0,10.0,,,10.0,9.5,8.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,10.0,,,,,,,,,,,9.0,100.0,mixed: direct ESPAC infrastructure + literature proxy water/electricity,infrastructure from ESPAC cattle milking-system field; water/electricity from literature proxy,"FAO small-scale dairy manual - Uses 4 to 6 L water per kg dry matter intake; the worked example for a 300 kg cow producing 10 kg milk/day gives about 66 L/day, adopted here as the dairy drinking-water proxy. (https://www.fao.org/4/t1265e/t1275e01.htm) | FAO Livestock housing water requirements - Reports dry dairy cow water requirements around 40 to 60 L/day, supporting the order of magnitude adopted for low-intensity tropical dairy systems. (https://www.fao.org/3/S1250E/S1250E12.htm) | Uruguay MGAP dairy intermediate-consumption report - Provides Latin American dairy infrastructure energy benchmarks for milking-room electricity and milk cooling; a rounded 1.5 kWh/cow/day proxy was adopted as a moderate regional milking-plus-cooling estimate. (https://www.gub.uy/ministerio-ganaderia-agricultura-pesca/sites/ministerio-ganaderia-agricultura-pesca/files/documentos/publicaciones/informe_consumo_intermedio.pdf)",1800.0,1800.0,0.0005555555555555556,"Animals_total_head multiplied by representative live weight, then converted to estimated meat output with the configured carcass-yield proxy.",kg meat (carcass-weight proxy),,as-fed kg/head/day,,"share-based, absolute kg/head/day estimated from configured intake assumption","pasture + supplement shares from ESPAC cattle module; pasture share split across linked cultivated pasture, linked natural pasture, and unmatched residual using holding-level ESPAC pasture areas",,,,
(all regions confounded),(all provinces confounded),donkey_live,asnal,(unknown),1 kg live weight equivalent,1.0,0.02363888888888889,,,,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,1.0,,,,,,,,,,,,,,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.02,0.02,0.0,0.0,0.0,,5.01,1.0,,,,,,donkey holding with shelter and trough,literature/system proxy,,,18.0,0.0,180.0,180.0,,,,,,,,,,,,,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,3.6,3.6,3.6,180.0,100.0,0.0,0.0,0.0,3.6,0.0,0.0,0.0,,,literature/system proxy,ESPAC livestock modules do not expose direct infrastructure/water/electricity variables for this row; literature/system proxy attached,WSU horse winter water note - Donkey water proxy was scaled from the horse baseline by representative body weight because no ESPAC or Ecuador-specific donkey water field was available. (https://s3.wp.wsu.edu/uploads/sites/2070/2024/01/1.24.pdf),180.0,180.0,0.005555555555555556,Animals_total_head multiplied by representative live weight to express kg live weight equivalent.,kg live weight equivalent,,dry-matter kg/head/day,dry-matter kg/head/day,no diet share data in ESPAC; literature proxy attached from config,no diet/ration fields found in other livestock module; literature proxy diet attached from inputs/02-05_espac_lci_coefficients.yml; main feed columns mapped from proxy diet components,donkey_live,Non-Ecuador fallback inference,"Derived as 2.0% of body weight in dry matter, using the midpoint of the 1.75% to 2.25% maintenance guideline for a representative 180 kg donkey.","Management recommendations for donkeys and mules - Ontario guidance gives 1.75% to 2.25% of body weight dry matter intake for maintenance in donkeys and mules; proxy uses the midpoint and a representative 180 kg body weight. (https://www.ontario.ca/page/management-recommendations-donkeys-and-mules) | Feeding Donkeys Straw and Hay Q and A with The Donkey Sanctuary - Reports research-based guidance that donkeys need about 1.5% of their body weight per day in dry feed, supporting a forage-first maintenance proxy. (https://www.thehaypillow.com/blogs/news/feeding-donkeys-straw-and-hay-q-a-with-the-donkey-sanctuary)"
(all regions confounded),(all provinces confounded),eggs,chicken,(unknown),1 kg shell eggs,1.0,1.7322049015729678e-06,0.061131893262971415,0.09169783989445712,,1.0,1.0,0.061131893262971415,0.0,0.0,0.0,0.0,0.0,0.061131893262971415,5.122204304351633e-07,2.3303722285563737e-08,0.061131893262971415,,,,,0.33917298772058113,1.0,0.3379738879956213,0.9964646367241139,0.020045684853462246,0.0009044613005882165,,,,1.868912381317488e-07,0.0,0.0,0.0,0.0,0.0,1.2459415875449918e-07,0.0,0.0,1.2459415875449918e-07,1.2459415875449918e-07,0.0,0.0,1.2459415875449918e-07,0.0,,0.722436,25260.0,25260.0,,laying_hen,"laying hen <17 weeks, at farm {RER} Economic, U",,non-cage layer house on deep litter with drinkers and lighting,literature/system proxy,0.286,0.722436,0.222,0.0101,1.514,25495.76,,,,,,147000.0,433407.156,127087.5,374698.17645,5.6,14000.0,20.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,99.99999999999999,0.0,0.081,0.0,0.0,0.0,0.0,0.0,0.054,0.0,0.0,0.0,0.054,0.054,,0.0,0.0,100.0,0.0,0.0,0.0,0.054,0.0,,,literature/system proxy,ESPAC livestock modules do not expose direct infrastructure/water/electricity variables for this row; literature/system proxy attached,"Producción sostenible en avicultura - Reports 222.03 L per 1000 hens per day, equivalent to 0.222 L/hen/day; used as the preferred Latin American-style layer water proxy. (https://dokumen.pub/produccion-sostenible-en-avicultura-l-6359269.html) | FAO small-scale poultry production - Reports that a laying hen can consume up to about 0.25 L/day of water, supporting the adopted 0.222 L/hen/day proxy. (https://www.fao.org/4/y4628e/y4628e03.htm) | Iowa layer-house electricity summary - Layer-house electricity around 10.1 kWh/day per 1000 birds was used, equivalent to 0.0101 kWh/bird/day. (https://blogs.millersville.edu/aest/2022/05/13/dr-haughery-publishes-research-findings/) | FAO small-scale poultry production - Intensive deep-litter housing is described for egg production with about 3 to 4 birds per m2; the midpoint 3.5 birds per m2 was retained, equivalent to 0.286 m2 per hen, as the non-cage layer-house footprint proxy. (https://www.fao.org/4/y5169e/y5169e02.htm)",433407.156,433407.156,2.3072992361944293e-06,ESPAC egg counts are treated as weekly output and annualized with 52 periods/year before conversion to kg shell eggs using 0.056699 kg/egg; laying-hen live weight and feed are amortized over 1.50 producing years before normalization.,kg shell eggs/year,kg shell eggs/year,as-fed kg/head/day,as-fed kg/head/day,no diet share data in ESPAC; literature proxy attached from config,"no diet/ration fields found in avian module; literature proxy diet attached from inputs/02-05_espac_lci_coefficients.yml; main feed columns mapped from proxy diet as common compound feed, with no pasture or waste component",eggs,Ecuador direct,Semipasture or free-range scavenging was not quantified in the source; proxy covers balanced feed only.,Evaluación de parámetros productivos en crianza de gallinas criollas (gallina feliz). Patoa de Vallejo-Pujilí - Reports 0.081 ± 0.002 kg balanced feed per hen per day in a semipasture system in Cotopaxi. (https://repositorio.utc.edu.ec/handle/27000/7769)
(all regions confounded),(all provinces confounded),goat_live,caprine,(unknown),1 kg meat (carcass-weight proxy),1.0,0.1260239445494644,2.1739130434782608,,,1.0,1.0,2.1739130434782608,0.0,0.0,0.0,2.1739130434782608,0.0,0.0,0.22448015122873347,0.0,2.1739130434782608,,,,,,,,,,,,,,0.02388941398865784,0.023889413988657848,0.0,0.0,0.023889413988657848,0.0,0.0,0.0,0.0,0.023889413988657848,0.023889413988657848,0.018879962192816638,0.00500945179584121,0.0,0.0,,7.0,4.0,,,kid_goat,"kid goat, conventional, intensive forage area, at farm gate {FR} U",,grazing goat holding with shelter and trough,literature/system proxy,,,9.5,0.0,23.0,92.0,,,,,,,,,,,,,100.00000000000001,,,,,,,,0.0,0.0,100.00000000000001,0.0,0.0,0.0,1.011,1.0110000000000001,0.0,0.0,1.0110000000000001,0.0,0.0,0.0,0.0,0.0,1.0110000000000001,1.011,23.0,79.0,21.0,0.0,0.0,0.799,0.212,0.0,0.0,,,literature/system proxy,ESPAC livestock modules do not expose direct infrastructure/water/electricity variables for this row; literature/system proxy attached,FAO-linked livestock watering structures guideline - Reports ewe or doe water requirements around 9.5 L/day and milking ewe or doe requirements around 13.2 L/day; 9.5 L/head/day was adopted as a general goat live-animal proxy. (https://www.fao.org/fileadmin/user_upload/emergencies/docs/UNEP_FAO_South_Sudan_WH_Structures_guidelines.pdf),42.32,42.32,0.023629489603024575,"Animals_total_head multiplied by representative live weight, then converted to estimated meat output with the configured carcass-yield proxy.",kg meat (carcass-weight proxy),,dry-matter kg/head/day,dry-matter kg/head/day,no diet share data in ESPAC; literature proxy attached from config,"no diet/ration fields found in other livestock module; literature proxy diet attached from inputs/02-05_espac_lci_coefficients.yml; main feed columns mapped from proxy diet as unmatched pasture for forage plus browse, with mineral or compound feed retained separately",goat_live,Ecuador plus fallback composite,Composite proxy. Total intake is a fallback mature-doe dry matter intake example; tree-forage share is based on Ecuadorian caprine preference data and native browse literature from the Ecuadorian Sierra.,Evaluación de la preferencia de consumo de leguminosas arbóreas con potencial forrajero en rumiantes menores - Reports caprine Acacia melanoxylon voluntary intake of 211.07 g/kg MS and 20.155 g/kg PV^0.75 at 23 kg live weight. (https://repositorio.uta.edu.ec/items/770d67bf-97e2-485a-8227-d941b7f4e1b2) | Cabras Lecheras Selección y Hábitos de Consumo de Plantas Nativas en la Sierra Ecuatoriana - Ecuador review identifying native browse and shrub resources as a central component of dairy goat feeding in the Sierra. (https://polodelconocimiento.com/ojs/index.php/es/article/download/7592/pdf) | Goat Nutrition - Provides a mature-doe dry matter intake example of about 1.011 kg/day (2.23 lb/day) used as fallback total intake. (https://sfyl.ifas.ufl.edu/duval/agriculture-and-agribusiness-management/livestock-and-poultry/goats/goat-nutrition/)
(all regions confounded),(all provinces confounded),horse_live,equine,(unknown),1 kg live weight equivalent,1.0,0.04807692307692307,,,,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.07211538461538461,0.0,1.0,,,,,,,,,,,,,,0.010817307692307692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010817307692307692,0.010817307692307692,0.010817307692307692,0.010817307692307692,0.0,0.0,0.0,,27.0,2.0,,,,,,"horse holding with shelter, trough, and simple handling area",literature/system proxy,,,45.0,0.0,312.0,624.0,,,,,,,,,,,,,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,6.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,6.75,6.75,6.75,312.0,100.0,0.0,0.0,0.0,6.75,0.0,0.0,0.0,,,literature/system proxy,ESPAC livestock modules do not expose direct infrastructure/water/electricity variables for this row; literature/system proxy attached,WSU horse winter water note - Horses need at least 10 to 12 gallons/day; a rounded 45 L/day proxy was adopted. (https://s3.wp.wsu.edu/uploads/sites/2070/2024/01/1.24.pdf),624.0,624.0,0.0016025641025641025,Animals_total_head multiplied by representative live weight to express kg live weight equivalent.,kg live weight equivalent,,dry-matter kg/head/day,dry-matter kg/head/day,no diet share data in ESPAC; literature proxy attached from config,no diet/ration fields found in other livestock module; literature proxy diet attached from inputs/02-05_espac_lci_coefficients.yml; main feed columns mapped from proxy diet components,horse_live,Non-Ecuador fallback inference,Derived as 1.5% of body weight in forage dry matter for a representative Ecuadorian criollo horse at the midpoint of the reported 290 to 334 kg live-weight range.,Caracterización cromohipológica y zoométrica de caballos criollos - Reports an approximate live-weight range of 290 to 334 kg for the evaluated Ecuadorian criollo horse population; the midpoint was used as the representative horse live weight. (https://redi.cedia.edu.ec/document/74588) | Understanding Hay Quality Even Good Hay Can Have Bad Things In It - AAEP guidance indicates horses should receive about 1 to 1.5% of body weight in forage; proxy uses the upper end and the Ecuadorian criollo horse weight midpoint adopted above. (https://aaep.org/post/understanding-hay-quality-even-good-hay-can-have-bad-things-in-it/)
(all regions confounded),(all provinces confounded),meat_poultry,chicken,(unknown),1 kg meat (carcass-weight proxy),1.0,6e-06,1.3333333333333333,,0.0,1.0,1.0,1.3333333333333333,0.0,1.3333333333333333,0.0,0.0,0.0,0.0,4.990740740740742e-06,9.074074074074073e-08,1.3333333333333333,,,,,,,,,0.0,,,,,1.2340740740740742e-06,0.0,0.0,0.0,0.0,0.0,1.2340740740740742e-06,0.0,0.0,1.2340740740740742e-06,1.2340740740740742e-06,0.0,0.0,1.2340740740740742e-06,0.0,,0.33075,36750.0,,0.0,one_day_chicken,"one-day-chicken, at farm {BR} Economic, U",,broiler house or coop for meat birds,literature/system proxy,0.09,0.33075,0.275,0.005,2.0,73500.0,,,,,,,,,,,0.0,,0.0,,,,,,,,0.0,0.0,0.0,0.0,100.0,0.0,0.068,0.0,0.0,0.0,0.0,0.0,0.068,0.0,0.0,0.0,0.068,0.068,2.0,0.0,0.0,100.0,0.0,0.0,0.0,0.068,0.0,,,literature/system proxy,ESPAC livestock modules do not expose direct infrastructure/water/electricity variables for this row; literature/system proxy attached,"FAO Rural structures in the tropics - Table 10.15 reports broiler drinking-water requirements around 0.20 to 0.35 L/bird/day at 9 to 12 weeks; the midpoint 0.275 L/bird/day was adopted. (https://www.fao.org/4/s1250e/S1250E0q.htm) | Iowa layer-house electricity summary - In the absence of a stronger broiler electricity factor in ESPAC, a conservative small-poultry-house electricity proxy of 0.005 kWh/bird/day was retained. (https://blogs.millersville.edu/aest/2022/05/13/dr-haughery-publishes-research-findings/) | FAO Good practices for the small-scale production of broiler chickens - Reports that under tropical conditions about 900 cm2 per broiler is sufficient for a 1.65 kg bird in the deep-litter system, described there as the most widely used broiler housing system; this was retained as a dominant broiler-house area proxy for Ecuador. (https://www.fao.org/4/y4991e/y4991e00.pdf)",55125.0,55125.0,1.8148148148148147e-05,"Animals_total_head multiplied by representative live weight, then converted to estimated meat output with the configured carcass-yield proxy.",kg meat (carcass-weight proxy),head,as-fed kg/head/day,as-fed kg/head/day,no diet share data in ESPAC; literature proxy attached from config,"no diet/ration fields found in avian module; literature proxy diet attached from inputs/02-05_espac_lci_coefficients.yml; main feed columns mapped from proxy diet as common compound feed, with no pasture or waste component",meat_poultry,FAO direct,"Broiler feed proxy based on FAO cumulative feed demand of 4 to 6 kg per bird to reach 2 kg live weight by 9 to 12 weeks, converted to an average daily intake.",FAO Rural structures in the tropics - Reports that one broiler grown from day-old chick to 2 kg live weight at 9 to 12 weeks requires 4 to 6 kg feed; the midpoint was annualized to about 0.068 kg/bird/day. (https://www.fao.org/4/s1250e/S1250E0q.htm)
(all regions confounded),(all provinces confounded),milk,cattle,(unknown),1 kg FPCM,1.0,0.3186252946387246,14.800957254130557,81.40526489771806,,1.0,0.0376,0.5565159927553089,0.0,0.0,0.0,0.0,0.5565159927553089,0.0,3.35796717703087,0.050878290561073784,14.800957254130557,1.0175658112214756,1.0,6.9533663766800835,6.833333333333334,,,,,,,0.08479715093512297,0.0,0.13355551272281868,0.6105394867328854,0.09764520410711129,0.0527284102178401,0.0,0.0,0.0003975114233966492,0.0,0.0,0.0,0.09760657880199636,,,,,,0.5257423357977624,6.74,10.0,3.0,,dairy_cow,"dairy cow, at farm {BR} Economic, U",Mecánico,milking system: Mecánico,ESPAC direct (gl_sistema_ordenio),,,60.0,0.6,400.0,245.45454545454547,18.0,17.68927356,144.5,142.00555719,5.0,,,,,,,,90.0,2.0,0.0,2.8684982154342498,100.0,0.0,0.1850925925925926,0.0,90.0,0.0,0.0,10.0,,,10.0,1.7454545454545454,1.6363636363636365,0.0,0.0,0.21818181818181817,0.0,0.0,0.0,0.0,1.8181818181818181,,,,,,,,,,,10.0,100.0,mixed: direct ESPAC infrastructure + literature proxy water/electricity,infrastructure from ESPAC cattle milking-system field; water/electricity from literature proxy,"FAO small-scale dairy manual - Uses 4 to 6 L water per kg dry matter intake; the worked example for a 300 kg cow producing 10 kg milk/day gives about 66 L/day, adopted here as the milk-row water proxy. (https://www.fao.org/4/t1265e/t1275e01.htm) | FAO Milking, milk collection and transport - Gives wash-water benchmarks for hand, bucket, and pipeline milking plus plate-cooler water loads, supporting a dedicated dairy handling infrastructure proxy. (https://www.fao.org/4/i2433e/i2433e07.pdf) | Uruguay MGAP dairy intermediate-consumption report - Provides Latin American dairy infrastructure energy benchmarks for milking-room electricity and milk cooling; a rounded 1.5 kWh/cow/day proxy was adopted as a moderate regional milking-plus-cooling estimate. (https://www.gub.uy/ministerio-ganaderia-agricultura-pesca/sites/ministerio-ganaderia-agricultura-pesca/files/documentos/publicaciones/informe_consumo_intermedio.pdf)",17.68927356,6456.5848494,0.050878290561073784,Milk liters/day converted to kg FPCM using 0.982737 kg FPCM/L; live-weight-equivalent per kg FPCM is based on total herd live weight divided by total milk output; DFE annualizes this daily output by multiplying by 365.,kg FPCM/day,kg FPCM/7d,as-fed kg/head/day,,"share-based, absolute kg/head/day estimated from configured intake assumption","pasture + supplement shares from ESPAC cattle module; pasture share split across linked cultivated pasture, linked natural pasture, and unmatched residual using holding-level ESPAC pasture areas",,,,
(all regions confounded),(all provinces confounded),mule_live,mule,(unknown),1 kg live weight equivalent,1.0,0.07147619047619047,,,,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,1.0,,,,,,,,,,,,,,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.02,0.02,0.0,0.0,0.0,,40.0,1.0,,,,,,mule holding with shelter and trough,literature/system proxy,,,35.0,0.0,350.0,350.0,,,,,,,,,,,,,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,7.0,7.0,7.0,350.0,100.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,,,literature/system proxy,ESPAC livestock modules do not expose direct infrastructure/water/electricity variables for this row; literature/system proxy attached,WSU horse winter water note - Mule water proxy was scaled from the horse baseline by representative body weight because no ESPAC or Ecuador-specific mule water field was available. (https://s3.wp.wsu.edu/uploads/sites/2070/2024/01/1.24.pdf),350.0,350.0,0.002857142857142857,Animals_total_head multiplied by representative live weight to express kg live weight equivalent.,kg live weight equivalent,,dry-matter kg/head/day,dry-matter kg/head/day,no diet share data in ESPAC; literature proxy attached from config,no diet/ration fields found in other livestock module; literature proxy diet attached from inputs/02-05_espac_lci_coefficients.yml; main feed columns mapped from proxy diet components,mule_live,Non-Ecuador fallback inference,"Derived as 2.0% of body weight in dry matter, using the midpoint of the 1.75% to 2.25% maintenance guideline for a representative 350 kg mule.",Management recommendations for donkeys and mules - Ontario guidance gives 1.75% to 2.25% of body weight dry matter intake for maintenance in donkeys and mules; proxy uses the midpoint and a representative 350 kg body weight. (https://www.ontario.ca/page/management-recommendations-donkeys-and-mules)
(all regions confounded),(all provinces confounded),ovine_live,ovine,(unknown),1 kg meat (carcass-weight proxy),1.0,0.0119743859043344,2.1739130434782608,,1.0869565217391304,2.0,1.0,4.3478260869565215,0.0,0.0,0.0,4.3478260869565215,0.0,0.0,0.06833942393462435,0.0,2.1739130434782608,,,,,,,,,,,,,,0.011437861479584498,0.011392901332259085,0.0,0.0,0.011392901332259085,8.992029465082152e-05,0.0,0.0,2.0746250530971727e-18,0.011482821626909908,0.011437861479584498,0.008938077288291659,0.0024548240439674278,0.0,4.496014732541076e-05,,1.45,4.0,,2.0,kid_goat,"kid goat, conventional, intensive forage area, at farm gate {FR} U",,grazing ovine holding with shelter and trough,literature/system proxy,,,7.6,0.0,60.44,241.76,,,,,,,,,,,,,99.6069182389937,,,,,,,,0.0,0.0,99.6069182389937,0.3930817610062893,0.0,0.0,1.272,1.267,0.0,0.0,1.267,0.005,0.0,0.0,9.069112511985665e-15,1.1535911115245767e-16,1.272,1.272,60.44,78.1,21.5,0.0,0.4,0.994,0.273,0.0,0.005,,,literature/system proxy,ESPAC livestock modules do not expose direct infrastructure/water/electricity variables for this row; literature/system proxy attached,FAO-linked livestock watering structures guideline - Reports feeder lamb and kid water requirements around 7.6 L/day and adult ewe or doe requirements above that level; 7.6 L/head/day was retained as a conservative live-animal proxy for mixed ovine rows. (https://www.fao.org/fileadmin/user_upload/emergencies/docs/UNEP_FAO_South_Sudan_WH_Structures_guidelines.pdf),111.2096,111.2096,0.008992029465082152,"Animals_total_head multiplied by representative live weight, then converted to estimated meat output with the configured carcass-yield proxy.",kg meat (carcass-weight proxy),head,dry-matter kg/head/day,dry-matter kg/head/day,no diet share data in ESPAC; literature proxy attached from config,"no diet/ration fields found in ovine module; literature proxy diet attached from inputs/02-05_espac_lci_coefficients.yml; main feed columns mapped from proxy diet as unmatched pasture for forage plus browse, with mineral or compound feed retained separately",ovine_live,Ecuador composite,Composite Ecuador proxy. Total intake is based on an ovine feeding trial; tree-forage share comes from Acacia mearnsii voluntary intake; mineral intake comes from a Blackbelly sheep grazing study in the Ecuadorian Amazon.,UTA thesis by Erika Esthefanía Lluay Guilcapi (bitstream 32507) - Reports voluntary dry matter intake of 1268.85 g/day in weaned sheep in Ecuador. (https://repositorio.uta.edu.ec/bitstream/123456789/32507/1/Tesis%20182%20Medicina%20Veterinaria%20y%20Zootecnia%20-Lluay%20Guilcapi%20Erika%20Esthefan%C3%ADa.pdf) | Evaluación de la preferencia de consumo de leguminosas arbóreas con potencial forrajero en rumiantes menores - Reports ovine Acacia mearnssi voluntary intake of 272.50 g/kg MS and 12.60 g/kg PV^0.75 at 60.44 kg live weight. (https://repositorio.uta.edu.ec/items/770d67bf-97e2-485a-8227-d941b7f4e1b2) | Effect of Mineral Supplementation on the Macromineral Concentration in Blood in Pre- and Postpartum Blackbelly Sheep - Reports 0.005 kg per animal per day mineral supplementation under free-grazing conditions in the Ecuadorian Amazon. (https://pmc.ncbi.nlm.nih.gov/articles/PMC7401505/)
(all regions confounded),(all provinces confounded),swine_live,swine,(unknown),1 kg meat (carcass-weight proxy),1.0,0.030210385121989536,1.5151515151515154,,1.5151515151515154,1.0,0.9372,1.4200000000000002,0.0,0.0,1.4200000000000002,0.0,0.0,0.0,0.07049089861797558,0.0006243479591877837,1.5151515151515154,,,,,,,,,,,,,,0.02517532093499128,0.0,0.0,0.0,0.0,0.00943772431210953,0.014156586468164293,0.01769573308520537,0.0,0.023594310780273825,,,,,,,3.83,2.0,,2.0,piglet,"piglet, at farm {BR} Economic, U",,Ecuador smallholder pigsty or swine pen with feeder and drinker,literature/system proxy,,,7.0,0.062,75.23,150.46,,,,,,,,,,,,,0.0,,,,,,,,0.0,0.0,0.0,30.0,50.0,60.0,2.5,0.0,0.0,0.0,0.0,0.75,1.25,1.5,0.0,0.0,2.5,,,,,,,,,,,,,literature/system proxy,ESPAC livestock modules do not expose direct infrastructure/water/electricity variables for this row; literature/system proxy attached,"FAO Livestock housing for pigs - Pig water consumption varies by class from about 2.5 L/day at 25 kg to 7.0 L/day at 90 to 120 kg; 7.0 L/head/day was adopted as a practical market-pig proxy for mixed ESPAC swine rows. (https://www.fao.org/3/s1250e/S1250E14.htm) | Caracterización de granjas porcinas de Banasur, Pasaje, El Oro - Provides Ecuador smallholder swine-system context and supports the use of a simple pen-based infrastructure proxy, although it does not provide a clean biological drinking-water factor. (https://polodelconocimiento.com/ojs/index.php/es/article/view/1043/html) | National Hog Farmer study summary - Finishing-barn electricity around 11.2 kWh per finished pig produced was annualized over a 180-day finishing period to derive a daily proxy. (https://www.nationalhogfarmer.com/livestock-management/study-goes-to-pig-barns-to-find-actual-energy-use)",99.3036,99.3036,0.010070128373996512,"Animals_total_head multiplied by representative live weight, then converted to estimated meat output with the configured carcass-yield proxy.",kg meat (carcass-weight proxy),head,as-fed kg/head/day,,"share-based, absolute kg/head/day estimated from configured intake assumption",common feed + supplement + waste shares from ESPAC swine module,,,,
