Region,Province,Product,System,count,Normalized_product_output_kg,Area_ha_per_1kg_product,Animals_total_live_weight_kg_per_1kg_product,Producing_animals_live_weight_kg_per_1kg_product,Animals_sold_live_weight_kg_per_1kg_product,Water_l_per_1kg_product,Electricity_kWh_per_1kg_product,Live_weight_equivalent_kg_per_1kg_product,Milk_output_kg_fpcm_per_1kg_product,Milk_sales_kg_fpcm_per_1kg_product,Egg_output_kg_per_1kg_product,Egg_sales_kg_per_1kg_product,Cultivated_pasture_area_ha_per_1kg_product,Natural_pasture_area_ha_per_1kg_product,Linked_pasture_area_ha_per_1kg_product,Intake_assumption_kg_per_1kg_product,Pasture_feed_kg_per_1kg_product,Cultivated_pasture_feed_kg_per_1kg_product,Natural_pasture_feed_kg_per_1kg_product,Unmatched_pasture_feed_kg_per_1kg_product,Supplement_feed_kg_per_1kg_product,Common_feed_kg_per_1kg_product,Waste_feed_kg_per_1kg_product,Unallocated_feed_kg_per_1kg_product,Total_feed_kg_per_1kg_product,Vaccinated_head_per_1kg_product,Area_ha,Animals_total_head,Producing_animals_head,Animals_sold_head,Water_l_head_day,Electricity_kWh_head_day,Representative_live_weight_kg,Live_weight_equivalent_kg,Milk_output_kg_fpcm_day,Milk_sales_kg_fpcm_7d,Egg_output_kg,Egg_sales_kg,Pasture_share_pct,Cultivated_pasture_area_ha,Natural_pasture_area_ha,Linked_pasture_area_ha,Cultivated_pasture_area_share_pct,Natural_pasture_area_share_pct,Cultivated_pasture_area_ha_per_head,Natural_pasture_area_ha_per_head,Cultivated_pasture_feed_share_pct,Natural_pasture_feed_share_pct,Unmatched_pasture_feed_share_pct,Supplement_share_pct,Common_feed_share_pct,Waste_feed_share_pct,Intake_assumption_kg_head_day,Pasture_feed_kg_head_day,Cultivated_pasture_feed_kg_head_day,Natural_pasture_feed_kg_head_day,Unmatched_pasture_feed_kg_head_day,Supplement_feed_kg_head_day,Common_feed_kg_head_day,Waste_feed_kg_head_day,Unallocated_feed_share_pct,Unallocated_feed_kg_head_day,Total_feed_kg_head_day,Vaccinated_head,Vaccination_share_pct,Reference_output_kg,Reference_output_kg_for_dfe,Normalization_factor_to_1kg,Milk_output_l_per_1kg_product,Milk_sales_l_per_1kg_product,Milk_output_l_day,Milk_sales_l_7d,Milk_yield_l_head_day,Proxy_total_feed_kg_per_1kg_product,Proxy_forage_kg_per_1kg_product,Proxy_tree_forage_kg_per_1kg_product,Proxy_compound_feed_kg_per_1kg_product,Proxy_mineral_kg_per_1kg_product,Proxy_total_feed_kg_head_day,Proxy_body_weight_kg,Proxy_forage_share_pct,Proxy_tree_forage_share_pct,Proxy_compound_feed_share_pct,Proxy_mineral_share_pct,Proxy_forage_kg_head_day,Proxy_tree_forage_kg_head_day,Proxy_compound_feed_kg_head_day,Proxy_mineral_kg_head_day,Egg_output_reported_per_1kg_product,Egg_sales_reported_per_1kg_product,Birds_sold_head_per_1kg_product,Birds_consumed_head_per_1kg_product,Egg_output_reported,Egg_sales_reported,Eggs_per_head_reported,Birds_sold_head,Birds_consumed_head,Species,Milking_system_ESPAC,Infrastructure_type,Infrastructure_source,Functional_unit,Infra_water_electricity_status,Infra_water_electricity_note,Infra_water_electricity_citations,Reference_output_basis_note,Output_unit,Sales_unit,Diet_basis,Proxy_diet_basis,Diet_data_status,Ration_composition_note,Diet_proxy_source_key,Diet_proxy_quality,Diet_proxy_note,Diet_proxy_citations
(unknown),ZONA NO DELIMITADA,cattle_live,dairy,28,1.0,0.004501960784313726,2.0,0.7692307692307692,,0.017794117647058825,0.00040441176470588236,2.0,,,,,0.002494912494912495,0.0,0.002494912494912495,0.003235294117647059,0.003120588235294118,0.003120588235294118,0.0,0.0,0.00016666666666666666,0.0,0.0,0.0,0.003235294117647059,0.0044444444444444444,15.36,16.5,6.0,,66.0,1.5,450.0,7425.0,,,,,95.0,6.375,0.0,6.375,100.0,0.0,0.5613553113553114,0.0,95.0,0.0,0.0,5.0,,,12.0,11.4,11.4,0.0,0.0,0.6,0.0,0.0,0.0,0.0,12.0,14.0,100.0,3712.5,3712.5,0.00026960784313725494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cattle,Mecánico,milking system: Mecánico,ESPAC direct (gl_sistema_ordenio),1 kg meat (carcass-weight proxy),mixed: direct ESPAC infrastructure + literature proxy water/electricity,infrastructure from ESPAC cattle milking-system field; water/electricity from literature proxy,"FAO small-scale dairy manual - Uses 4 to 6 L water per kg dry matter intake; the worked example for a 300 kg cow producing 10 kg milk/day gives about 66 L/day, adopted here as the dairy drinking-water proxy. (https://www.fao.org/4/t1265e/t1275e01.htm) | FAO Livestock housing water requirements - Reports dry dairy cow water requirements around 40 to 60 L/day, supporting the order of magnitude adopted for low-intensity tropical dairy systems. (https://www.fao.org/3/S1250E/S1250E12.htm) | Uruguay MGAP dairy intermediate-consumption report - Provides Latin American dairy infrastructure energy benchmarks for milking-room electricity and milk cooling; a rounded 1.5 kWh/cow/day proxy was adopted as a moderate regional milking-plus-cooling estimate. (https://www.gub.uy/ministerio-ganaderia-agricultura-pesca/sites/ministerio-ganaderia-agricultura-pesca/files/documentos/publicaciones/informe_consumo_intermedio.pdf)","Animals_total_head multiplied by representative live weight, then converted to estimated meat output with the configured carcass-yield proxy.",kg meat (carcass-weight proxy),,as-fed kg/head/day,,"share-based, absolute kg/head/day estimated from configured intake assumption","pasture + supplement shares from ESPAC cattle module; pasture share split across linked cultivated pasture, linked natural pasture, and unmatched residual using holding-level ESPAC pasture areas",,,,
(unknown),ZONA NO DELIMITADA,donkey_live,(all holdings),2,1.0,0.06204166666666667,,,,0.07500000000000001,0.0,1.0,,,,,,,,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015,0.015,,15.53,1.5,,,18.0,0.0,180.0,270.0,,,,,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,3.6,3.6,,,270.0,270.0,0.004166666666666667,,,,,,0.015,0.015,0.0,0.0,0.0,3.6,180.0,100.0,0.0,0.0,0.0,3.6,0.0,0.0,0.0,,,,,,,,,,asnal,,donkey holding with shelter and trough,literature/system proxy,1 kg live weight equivalent,literature/system proxy,ESPAC livestock modules do not expose direct infrastructure/water/electricity variables for this row; literature/system proxy attached,WSU horse winter water note - Donkey water proxy was scaled from the horse baseline by representative body weight because no ESPAC or Ecuador-specific donkey water field was available. (https://s3.wp.wsu.edu/uploads/sites/2070/2024/01/1.24.pdf),Animals_total_head multiplied by representative live weight to express kg live weight equivalent.,kg live weight equivalent,,dry-matter kg/head/day,dry-matter kg/head/day,no diet share data in ESPAC; literature proxy attached from config,no diet/ration fields found in other livestock module; literature proxy diet attached from inputs/02-05_espac_lci_coefficients.yml; main feed columns mapped from proxy diet components,donkey_live,Non-Ecuador fallback inference,"Derived as 2.0% of body weight in dry matter, using the midpoint of the 1.75% to 2.25% maintenance guideline for a representative 180 kg donkey.","Management recommendations for donkeys and mules - Ontario guidance gives 1.75% to 2.25% of body weight dry matter intake for maintenance in donkeys and mules; proxy uses the midpoint and a representative 180 kg body weight. (https://www.ontario.ca/page/management-recommendations-donkeys-and-mules) | Feeding Donkeys Straw and Hay Q and A with The Donkey Sanctuary - Reports research-based guidance that donkeys need about 1.5% of their body weight per day in dry feed, supporting a forage-first maintenance proxy. (https://www.thehaypillow.com/blogs/news/feeding-donkeys-straw-and-hay-q-a-with-the-donkey-sanctuary)"
(unknown),ZONA NO DELIMITADA,horse_live,(all holdings),18,1.0,0.04283653846153846,,,,0.10817307692307691,0.0,1.0,,,,,,,,0.016225961538461536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016225961538461536,0.016225961538461536,,25.58,1.5,,,45.0,0.0,312.0,468.0,,,,,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,6.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,6.75,6.75,,,468.0,468.0,0.002403846153846154,,,,,,0.016225961538461536,0.016225961538461536,0.0,0.0,0.0,6.75,312.0,100.0,0.0,0.0,0.0,6.75,0.0,0.0,0.0,,,,,,,,,,equine,,"horse holding with shelter, trough, and simple handling area",literature/system proxy,1 kg live weight equivalent,literature/system proxy,ESPAC livestock modules do not expose direct infrastructure/water/electricity variables for this row; literature/system proxy attached,WSU horse winter water note - Horses need at least 10 to 12 gallons/day; a rounded 45 L/day proxy was adopted. (https://s3.wp.wsu.edu/uploads/sites/2070/2024/01/1.24.pdf),Animals_total_head multiplied by representative live weight to express kg live weight equivalent.,kg live weight equivalent,,dry-matter kg/head/day,dry-matter kg/head/day,no diet share data in ESPAC; literature proxy attached from config,no diet/ration fields found in other livestock module; literature proxy diet attached from inputs/02-05_espac_lci_coefficients.yml; main feed columns mapped from proxy diet components,horse_live,Non-Ecuador fallback inference,Derived as 1.5% of body weight in forage dry matter for a representative Ecuadorian criollo horse at the midpoint of the reported 290 to 334 kg live-weight range.,Caracterización cromohipológica y zoométrica de caballos criollos - Reports an approximate live-weight range of 290 to 334 kg for the evaluated Ecuadorian criollo horse population; the midpoint was used as the representative horse live weight. (https://redi.cedia.edu.ec/document/74588) | Understanding Hay Quality Even Good Hay Can Have Bad Things In It - AAEP guidance indicates horses should receive about 1 to 1.5% of body weight in forage; proxy uses the upper end and the Ecuadorian criollo horse weight midpoint adopted above. (https://aaep.org/post/understanding-hay-quality-even-good-hay-can-have-bad-things-in-it/)
(unknown),ZONA NO DELIMITADA,milk,dairy,28,1.0,0.28466403568920784,174.43985335225295,50.87829056107378,,1.9188383868747827,0.043609963338063246,174.43985335225295,1.0,6.8493150684931505,,,0.22098651455819926,0.0,0.22098651455819926,0.34887970670450597,0.34887970670450597,0.34887970670450597,0.0,0.0,0.020351316224429514,0.0,0.0,0.0,0.34887970670450597,0.38158717920805335,15.36,16.5,4.0,,66.0,1.5,450.0,7425.0,29.4821226,266.32184082000003,,,95.0,6.375,0.0,6.375,100.0,0.0,0.5613553113553114,0.0,95.0,0.0,0.0,5.0,,,12.0,11.4,11.4,0.0,0.0,0.6,0.0,0.0,0.0,0.0,12.0,14.0,100.0,29.4821226,10760.974749,0.02907330889204216,1.0175658112214756,6.9696288439827105,30.0,271.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,cattle,Mecánico,milking system: Mecánico,ESPAC direct (gl_sistema_ordenio),1 kg FPCM,mixed: direct ESPAC infrastructure + literature proxy water/electricity,infrastructure from ESPAC cattle milking-system field; water/electricity from literature proxy,"FAO small-scale dairy manual - Uses 4 to 6 L water per kg dry matter intake; the worked example for a 300 kg cow producing 10 kg milk/day gives about 66 L/day, adopted here as the milk-row water proxy. (https://www.fao.org/4/t1265e/t1275e01.htm) | FAO Milking, milk collection and transport - Gives wash-water benchmarks for hand, bucket, and pipeline milking plus plate-cooler water loads, supporting a dedicated dairy handling infrastructure proxy. (https://www.fao.org/4/i2433e/i2433e07.pdf) | Uruguay MGAP dairy intermediate-consumption report - Provides Latin American dairy infrastructure energy benchmarks for milking-room electricity and milk cooling; a rounded 1.5 kWh/cow/day proxy was adopted as a moderate regional milking-plus-cooling estimate. (https://www.gub.uy/ministerio-ganaderia-agricultura-pesca/sites/ministerio-ganaderia-agricultura-pesca/files/documentos/publicaciones/informe_consumo_intermedio.pdf)",Milk liters/day converted to kg FPCM using 0.982737 kg FPCM/L; live-weight-equivalent per kg FPCM is based on total herd live weight divided by total milk output; DFE annualizes this daily output by multiplying by 365.,kg FPCM/day,kg FPCM/7d,as-fed kg/head/day,,"share-based, absolute kg/head/day estimated from configured intake assumption","pasture + supplement shares from ESPAC cattle module; pasture share split across linked cultivated pasture, linked natural pasture, and unmatched residual using holding-level ESPAC pasture areas",,,,
(unknown),ZONA NO DELIMITADA,mule_live,(all holdings),3,1.0,0.0435,,,,0.1,0.0,1.0,,,,,,,,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,,22.11,1.0,,,35.0,0.0,350.0,350.0,,,,,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,7.0,7.0,,,350.0,350.0,0.002857142857142857,,,,,,0.02,0.02,0.0,0.0,0.0,7.0,350.0,100.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,,,,,,,,,,mule,,mule holding with shelter and trough,literature/system proxy,1 kg live weight equivalent,literature/system proxy,ESPAC livestock modules do not expose direct infrastructure/water/electricity variables for this row; literature/system proxy attached,WSU horse winter water note - Mule water proxy was scaled from the horse baseline by representative body weight because no ESPAC or Ecuador-specific mule water field was available. (https://s3.wp.wsu.edu/uploads/sites/2070/2024/01/1.24.pdf),Animals_total_head multiplied by representative live weight to express kg live weight equivalent.,kg live weight equivalent,,dry-matter kg/head/day,dry-matter kg/head/day,no diet share data in ESPAC; literature proxy attached from config,no diet/ration fields found in other livestock module; literature proxy diet attached from inputs/02-05_espac_lci_coefficients.yml; main feed columns mapped from proxy diet components,mule_live,Non-Ecuador fallback inference,"Derived as 2.0% of body weight in dry matter, using the midpoint of the 1.75% to 2.25% maintenance guideline for a representative 350 kg mule.",Management recommendations for donkeys and mules - Ontario guidance gives 1.75% to 2.25% of body weight dry matter intake for maintenance in donkeys and mules; proxy uses the midpoint and a representative 350 kg body weight. (https://www.ontario.ca/page/management-recommendations-donkeys-and-mules)
(unknown),ZONA NO DELIMITADA,ovine_live,(all ovine),11,1.0,0.1442321526199177,2.1739130434782608,,1.0869565217391304,0.06833942393462435,0.0,2.1739130434782608,,,,,,,,0.011437861479584498,0.011392901332259085,0.0,0.0,0.011392901332259085,4.496014732541076e-05,0.0,0.0,1.0373125265485864e-18,0.011437861479584498,,4.01,4.0,,2.0,7.6,0.0,60.44,241.76,,,,,99.6069182389937,,,,,,,,0.0,0.0,99.6069182389937,0.3930817610062893,0.0,0.0,1.272,1.267,0.0,0.0,1.267,0.005,0.0,0.0,9.069112511985665e-15,1.1535911115245767e-16,1.272,,,111.2096,111.2096,0.008992029465082152,,,,,,0.011437861479584498,0.008938077288291659,0.0024548240439674278,0.0,4.496014732541076e-05,1.272,60.44,78.1,21.5,0.0,0.4,0.994,0.273,0.0,0.005,,,,,,,,,,ovine,,grazing ovine holding with shelter and trough,literature/system proxy,1 kg meat (carcass-weight proxy),literature/system proxy,ESPAC livestock modules do not expose direct infrastructure/water/electricity variables for this row; literature/system proxy attached,FAO-linked livestock watering structures guideline - Reports feeder lamb and kid water requirements around 7.6 L/day and adult ewe or doe requirements above that level; 7.6 L/head/day was retained as a conservative live-animal proxy for mixed ovine rows. (https://www.fao.org/fileadmin/user_upload/emergencies/docs/UNEP_FAO_South_Sudan_WH_Structures_guidelines.pdf),"Animals_total_head multiplied by representative live weight, then converted to estimated meat output with the configured carcass-yield proxy.",kg meat (carcass-weight proxy),head,dry-matter kg/head/day,dry-matter kg/head/day,no diet share data in ESPAC; literature proxy attached from config,"no diet/ration fields found in ovine module; literature proxy diet attached from inputs/02-05_espac_lci_coefficients.yml; main feed columns mapped from proxy diet as unmatched pasture for forage plus browse, with mineral or compound feed retained separately",ovine_live,Ecuador composite,Composite Ecuador proxy. Total intake is based on an ovine feeding trial; tree-forage share comes from Acacia mearnsii voluntary intake; mineral intake comes from a Blackbelly sheep grazing study in the Ecuadorian Amazon.,UTA thesis by Erika Esthefanía Lluay Guilcapi (bitstream 32507) - Reports voluntary dry matter intake of 1268.85 g/day in weaned sheep in Ecuador. (https://repositorio.uta.edu.ec/bitstream/123456789/32507/1/Tesis%20182%20Medicina%20Veterinaria%20y%20Zootecnia%20-Lluay%20Guilcapi%20Erika%20Esthefan%C3%ADa.pdf) | Evaluación de la preferencia de consumo de leguminosas arbóreas con potencial forrajero en rumiantes menores - Reports ovine Acacia mearnssi voluntary intake of 272.50 g/kg MS and 12.60 g/kg PV^0.75 at 60.44 kg live weight. (https://repositorio.uta.edu.ec/items/770d67bf-97e2-485a-8227-d941b7f4e1b2) | Effect of Mineral Supplementation on the Macromineral Concentration in Blood in Pre- and Postpartum Blackbelly Sheep - Reports 0.005 kg per animal per day mineral supplementation under free-grazing conditions in the Ecuadorian Amazon. (https://pmc.ncbi.nlm.nih.gov/articles/PMC7401505/)
(unknown),ZONA NO DELIMITADA,swine_live,(all swine),2,1.0,0.15774856097865533,1.5151515151515154,,1.8939393939393943,0.10573634792696338,0.0009365219387816755,1.5151515151515154,,,,,,,,0.03776298140248692,0.0,0.0,0.0,0.0,,,0.03776298140248692,0.0,0.03776298140248692,,9.105,1.5,,1.5,7.0,0.062,75.23,112.845,,,,,0.0,,,,,,,,0.0,0.0,0.0,,,100.0,2.5,0.0,0.0,0.0,0.0,,,2.5,0.0,0.0,2.5,,,74.4777,74.4777,0.015105192560994768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,swine,,Ecuador smallholder pigsty or swine pen with feeder and drinker,literature/system proxy,1 kg meat (carcass-weight proxy),literature/system proxy,ESPAC livestock modules do not expose direct infrastructure/water/electricity variables for this row; literature/system proxy attached,"FAO Livestock housing for pigs - Pig water consumption varies by class from about 2.5 L/day at 25 kg to 7.0 L/day at 90 to 120 kg; 7.0 L/head/day was adopted as a practical market-pig proxy for mixed ESPAC swine rows. (https://www.fao.org/3/s1250e/S1250E14.htm) | Caracterización de granjas porcinas de Banasur, Pasaje, El Oro - Provides Ecuador smallholder swine-system context and supports the use of a simple pen-based infrastructure proxy, although it does not provide a clean biological drinking-water factor. (https://polodelconocimiento.com/ojs/index.php/es/article/view/1043/html) | National Hog Farmer study summary - Finishing-barn electricity around 11.2 kWh per finished pig produced was annualized over a 180-day finishing period to derive a daily proxy. (https://www.nationalhogfarmer.com/livestock-management/study-goes-to-pig-barns-to-find-actual-energy-use)","Animals_total_head multiplied by representative live weight, then converted to estimated meat output with the configured carcass-yield proxy.",kg meat (carcass-weight proxy),head,as-fed kg/head/day,,"share-based, absolute kg/head/day estimated from configured intake assumption",common feed + supplement + waste shares from ESPAC swine module,,,,
Costa,EL ORO,cattle_live,(unknown),2,1.0,0.004305,2.0,1.2916666666666665,,0.011458333333333334,0.0,2.0,,,,,0.004305,0.0,0.004305,0.0022916666666666667,0.0020625,0.0020625,0.0,0.0,0.00022916666666666666,0.0,0.0,0.0,0.0022916666666666667,0.004750000000000001,17.29,27.5,17.5,,50.0,0.0,400.0,11000.0,,,,,90.0,17.29,0.0,17.29,100.0,0.0,0.861,0.0,90.0,0.0,0.0,10.0,,,10.0,9.0,9.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,10.0,25.5,95.0,5500.0,5500.0,0.00022916666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cattle,,milking system: nan,ESPAC direct (gl_sistema_ordenio),1 kg meat (carcass-weight proxy),mixed: direct ESPAC infrastructure + literature proxy water/electricity,infrastructure from ESPAC cattle milking-system field; water/electricity from literature proxy,FAO Livestock housing water requirements - Reports dry dairy cow water requirements around 40 to 60 L/day; the midpoint 50 L/day was adopted when the cattle system is unspecified. (https://www.fao.org/3/S1250E/S1250E12.htm),"Animals_total_head multiplied by representative live weight, then converted to estimated meat output with the configured carcass-yield proxy.",kg meat (carcass-weight proxy),,as-fed kg/head/day,,"share-based, absolute kg/head/day estimated from configured intake assumption","pasture + supplement shares from ESPAC cattle module; pasture share split across linked cultivated pasture, linked natural pasture, and unmatched residual using holding-level ESPAC pasture areas",,,,
Costa,EL ORO,cattle_live,beef,163,1.0,0.00521875,2.0,0.8,,0.011363636363636364,0.0,2.0,,,,,0.00392156862745098,0.0,0.004,0.0018181818181818182,0.0017142857142857144,0.0015840000000000001,0.0,0.0,8e-05,0.0,0.0,0.0,0.0018181818181818182,0.005,29.0,22.0,9.0,,50.0,0.0,400.0,8800.0,,,,,95.0,14.37,0.0,14.37,100.0,0.0,0.7843137254901961,0.0,95.0,0.0,0.0,5.0,,,8.0,7.6,7.6,0.0,0.0,0.4,0.0,0.0,0.0,0.0,8.0,24.0,100.0,4400.0,4400.0,0.00022727272727272727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cattle,Mecánico,milking system: nan,ESPAC direct (gl_sistema_ordenio),1 kg meat (carcass-weight proxy),mixed: direct ESPAC infrastructure + literature proxy water/electricity,infrastructure from ESPAC cattle milking-system field; water/electricity from literature proxy,FAO Livestock housing water requirements - Reports dry dairy cow water requirements around 40 to 60 L/day; the midpoint 50 L/day was adopted for beef cattle. (https://www.fao.org/3/S1250E/S1250E12.htm),"Animals_total_head multiplied by representative live weight, then converted to estimated meat output with the configured carcass-yield proxy.",kg meat (carcass-weight proxy),,as-fed kg/head/day,,"share-based, absolute kg/head/day estimated from configured intake assumption","pasture + supplement shares from ESPAC cattle module; pasture share split across linked cultivated pasture, linked natural pasture, and unmatched residual using holding-level ESPAC pasture areas",,,,
Costa,EL ORO,cattle_live,dairy,47,1.0,0.0044444444444444444,2.0,0.9230769230769231,,0.014666666666666668,0.0003333333333333334,2.0,,,,,0.0031063321385902034,0.0,0.0031063321385902034,0.002666666666666667,0.0023333333333333335,0.0017471264367816092,0.0,0.0,0.00016666666666666666,0.0,0.0,0.0,0.002666666666666667,0.0044444444444444444,28.0,20.0,8.0,,66.0,1.5,450.0,9000.0,,,,,90.0,10.5,0.0,10.5,100.0,0.0,0.6989247311827957,0.0,90.0,0.0,0.0,10.0,,,12.0,10.8,10.8,0.0,0.0,1.2,0.0,0.0,0.0,0.0,12.0,20.5,100.0,4500.0,4500.0,0.00022222222222222223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cattle,Mecánico,milking system: Mecánico,ESPAC direct (gl_sistema_ordenio),1 kg meat (carcass-weight proxy),mixed: direct ESPAC infrastructure + literature proxy water/electricity,infrastructure from ESPAC cattle milking-system field; water/electricity from literature proxy,"FAO small-scale dairy manual - Uses 4 to 6 L water per kg dry matter intake; the worked example for a 300 kg cow producing 10 kg milk/day gives about 66 L/day, adopted here as the dairy drinking-water proxy. (https://www.fao.org/4/t1265e/t1275e01.htm) | FAO Livestock housing water requirements - Reports dry dairy cow water requirements around 40 to 60 L/day, supporting the order of magnitude adopted for low-intensity tropical dairy systems. (https://www.fao.org/3/S1250E/S1250E12.htm) | Uruguay MGAP dairy intermediate-consumption report - Provides Latin American dairy infrastructure energy benchmarks for milking-room electricity and milk cooling; a rounded 1.5 kWh/cow/day proxy was adopted as a moderate regional milking-plus-cooling estimate. (https://www.gub.uy/ministerio-ganaderia-agricultura-pesca/sites/ministerio-ganaderia-agricultura-pesca/files/documentos/publicaciones/informe_consumo_intermedio.pdf)","Animals_total_head multiplied by representative live weight, then converted to estimated meat output with the configured carcass-yield proxy.",kg meat (carcass-weight proxy),,as-fed kg/head/day,,"share-based, absolute kg/head/day estimated from configured intake assumption","pasture + supplement shares from ESPAC cattle module; pasture share split across linked cultivated pasture, linked natural pasture, and unmatched residual using holding-level ESPAC pasture areas",,,,
