Region,Province,Product,Species,System,Functional_unit,Normalized_product_output_kg,ch4_enteric_kg_per_kg_product,ch4_manure_kg_per_kg_product,n2o_direct_kg_per_kg_product,total_direct_gas_kg_per_kg_product,water_l_per_kg_product,electricity_kwh_per_kg_product,area_ha_per_kg_product,total_feed_kg_per_kg_product,supplement_feed_kg_per_kg_product,pasture_feed_kg_per_kg_product,unmatched_pasture_feed_kg_per_kg_product,nh3_total_kg_per_kg_product,nh3_housing_kg_per_kg_product,nh3_grazing_kg_per_kg_product,nox_as_no2_kg_per_kg_product,animals_total_live_weight_kg_per_kg_product
(unknown),(all provinces confounded),cattle_meat,cattle,v2_integrated,1 kg product,1.0,0.21233043089404607,0.01930276644491324,0.0011581659866947455,0.23279136332565412,43.43122450105488,0.5790829933473983,0.006686688616004784,9.65138322245664,3.8605532889826564,5.790829933473984,0.8686244900210975,0.002547965170728507,0.0017835756195099303,0.0007643895512185183,0.00046326639467787485,1.0
(unknown),(all provinces confounded),milk,cattle,v2_integrated,1 kg FPCM,1.0,0.023624276240044335,0.0021476614763676367,0.0001288596885820116,0.02590079740499407,4.8322383218272575,0.06442984429103006,0.0008634785053757909,1.073830738183835,0.42953229527353404,0.644298442910301,0.09664476643654511,0.0002834913148804988,0.00019844392041632456,8.504739446414913e-05,5.154387543282334e-05,0.14710010112107327
(unknown),(all provinces confounded),other_livestock_live,other,v2_integrated,1 kg product,1.0,0.02773143245720251,0.006932858114300593,0.000346642905714973,0.035010933477218176,16.638859474321528,0.013865716228601211,0.016604086178491018,2.773143245720254,1.386571622860127,1.386571622860127,0.20798574342901907,0.0007626143925730071,0.0005338300748010881,0.00022878431777191777,0.00013865716228595189,1.0
(unknown),(all provinces confounded),ovine_live,ovine,v2_integrated,1 kg live weight equivalent,1.0,0.2640604002156949,0.035208053362092616,0.0017604026681045917,0.3010288562458921,66.89530138797603,0.0880201334052316,0.014669403987795024,10.562416008627794,2.112483201725559,8.449932806902238,1.2674899210353352,0.0038728858698301185,0.0027110201088810983,0.0011618657609489855,0.0007041610672417817,1.0
(unknown),(all provinces confounded),swine_live,swine,v2_integrated,1 kg live weight equivalent,1.0,0.045625000000000006,0.0684375,0.00136875,0.11543124999999993,31.937500000000004,0.136875,0.001176732876962533,10.0375,7.02625,0.0,0.0,0.00301125,0.002107875,0.0009033749999999204,0.0005474999999999796,1.0
Costa,(all provinces confounded),cattle_meat,cattle,v2_integrated,1 kg product,1.0,0.21302364514924504,0.019365785922658595,0.0011619471553594681,0.2335513782272632,43.57301832598195,0.5809735776797592,0.0005013446590712348,9.68289296132932,3.8731571845317294,5.809735776797592,0.871460366519639,0.002556283741790892,0.001789398619253609,0.0007668851225372335,0.0004647788621437584,1.0
Costa,(all provinces confounded),eggs,poultry,v2_integrated,1 kg shell eggs,1.0,0.0,0.004703198763058699,0.0007054798144587998,0.0054086785775174975,6.466898299205747,0.11757996907646809,5.931284447315688e-07,1.5990875794399666,1.5990875794399666,0.0,0.0,0.0015520555918093,0.0010864389142664999,0.0004656166775427999,0.00028219192578349993,0.12241202260015858
Costa,(all provinces confounded),meat_poultry,poultry,v2_integrated,1 kg meat product,1.0,0.0,0.012204791761705825,0.0018307187642558134,0.01403551052596164,16.78158867234553,0.30511979404264594,1.014176714454094e-05,4.149629198979985,4.149629198979985,0.0,0.0,0.004027581281362864,0.002819306896953986,0.0012082743844088752,0.0007322875057022882,1.0
Costa,(all provinces confounded),milk,cattle,v2_integrated,1 kg FPCM,1.0,0.04732829651679565,0.004302572410617759,0.00025815434463702006,0.051889023272050507,9.680787923890026,0.12907717231853366,8.76976350599995e-05,2.1512862053088946,0.8605144821235577,1.2907717231853366,0.19361575847780046,0.000567939558201515,0.00039755769074103315,0.00017038186746043207,0.00010326173785480675,0.2946967404532732
Costa,(all provinces confounded),other_livestock_live,other,v2_integrated,1 kg product,1.0,0.03436195609581827,0.00859048902395453,0.000429524451197676,0.04338196957097057,20.617173657490984,0.017180978047909093,0.00872896266096583,3.43619560958183,1.718097804790915,1.718097804790915,0.2577146707186373,0.0009449537926349387,0.0006614676548444405,0.00028348613779048324,0.00017180978047903392,1.0
Costa,(all provinces confounded),ovine_live,ovine,v2_integrated,1 kg live weight equivalent,1.0,0.2759448402878255,0.03679264537171003,0.0018396322685854643,0.3145771179281211,69.90602620624914,0.09198161342927515,0.001564959939090328,11.03779361151302,2.2075587223026045,8.830234889210418,1.3245352333815625,0.0040471909908880565,0.002833033693621635,0.00121415729726638,0.0007358529074341317,1.0
Costa,(all provinces confounded),swine_live,swine,v2_integrated,1 kg live weight equivalent,1.0,0.05874103851474632,0.08811155777211949,0.0017622311554423475,0.1486148274423082,41.11872696032244,0.17622311554423897,0.0005766027799803204,12.923028473244193,9.046119931270937,0.0,0.0,0.003876908541973215,0.00271383597938124,0.0011630725625919299,0.0007048924621769093,1.0
Oriente,(all provinces confounded),cattle_meat,cattle,v2_integrated,1 kg product,1.0,0.2081976414197909,0.01892705831089004,0.0011356234986533537,0.2282603232293344,42.5858811995027,0.5678117493267025,0.00021909232881822102,9.463529155445043,3.785411662178017,5.678117493267026,0.8517176239900538,0.0024983716970374418,0.001748860187926195,0.0007495115091111986,0.0004542493994613119,1.0
Oriente,(all provinces confounded),eggs,poultry,v2_integrated,1 kg shell eggs,1.0,0.0,0.004703198763058699,0.0007054798144588,0.0054086785775175,6.466898299205746,0.1175799690764681,6.405847429418779e-06,1.5990875794399666,1.5990875794399666,0.0,0.0,0.0015520555918093,0.0010864389142665,0.0004656166775428,0.0002821919257835,0.12241202260015852
Oriente,(all provinces confounded),meat_poultry,poultry,v2_integrated,1 kg meat product,1.0,0.0,0.013696368606387095,0.002054455290958011,0.01575082389734511,18.832506833782286,0.34240921515967787,1.3882624863610897e-06,4.6567653261716195,4.6567653261716195,0.0,0.0,0.004519801640107691,0.0031638611480753623,0.001355940492032324,0.0008217821163831709,1.0
Oriente,(all provinces confounded),milk,cattle,v2_integrated,1 kg FPCM,1.0,0.048335357312359266,0.004394123392032634,0.0002636474035219062,0.05299312810791388,9.88677763207349,0.13182370176097985,4.3876132010707526e-05,2.1970616960163314,0.8788246784065326,1.3182370176097986,0.19773555264146975,0.0005800242877482795,0.0004060170014237718,0.0001740072863244692,0.00010545896140876613,0.3009673556186755
Oriente,(all provinces confounded),other_livestock_live,other,v2_integrated,1 kg product,1.0,0.02714390033002259,0.0067859750825056174,0.0003392987541252206,0.034269174166653524,16.286340198013573,0.013571950165011245,0.017029366843484287,2.714390033002262,1.357195016501131,1.357195016501131,0.20357925247516964,0.0007464572590755557,0.0005225200813528709,0.00022393717772267496,0.0001357195016500484,1.0
Oriente,(all provinces confounded),ovine_live,ovine,v2_integrated,1 kg live weight equivalent,1.0,0.2702894023416167,0.036038586978882195,0.0018019293489440781,0.30812991866944306,68.47331525987623,0.09009646744720552,0.002232292270212216,10.81157609366467,2.162315218732934,8.649260874931736,1.29738913123976,0.003964244567677,0.002774971197373899,0.0011892733703030593,0.0007207717395775966,1.0
