Product,Region,product_output_kg_year__min,product_output_kg_year__max,ch4_enteric_kg_per_kg_product__min,ch4_enteric_kg_per_kg_product__max,ch4_manure_kg_per_kg_product__min,ch4_manure_kg_per_kg_product__max,n2o_direct_kg_per_kg_product__min,n2o_direct_kg_per_kg_product__max,total_direct_gas_kg_per_kg_product__min,total_direct_gas_kg_per_kg_product__max,water_l_per_kg_product__min,water_l_per_kg_product__max,electricity_kwh_per_kg_product__min,electricity_kwh_per_kg_product__max,area_ha_per_kg_product__min,area_ha_per_kg_product__max,total_feed_kg_per_kg_product__min,total_feed_kg_per_kg_product__max,supplement_feed_kg_per_kg_product__min,supplement_feed_kg_per_kg_product__max,pasture_feed_kg_per_kg_product__min,pasture_feed_kg_per_kg_product__max,unmatched_pasture_feed_kg_per_kg_product__min,unmatched_pasture_feed_kg_per_kg_product__max,nh3_total_kg_per_kg_product__min,nh3_total_kg_per_kg_product__max,nh3_housing_kg_per_kg_product__min,nh3_housing_kg_per_kg_product__max,nh3_grazing_kg_per_kg_product__min,nh3_grazing_kg_per_kg_product__max,nox_as_no2_kg_per_kg_product__min,nox_as_no2_kg_per_kg_product__max,animals_total_live_weight_kg_per_kg_product__min,animals_total_live_weight_kg_per_kg_product__max,farm_total_live_weight_kg__min,farm_total_live_weight_kg__max,attributed_live_weight_kg__min,attributed_live_weight_kg__max
cattle_meat,(unknown),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
milk,(unknown),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
other_livestock_live,(unknown),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ovine_live,(unknown),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
swine_live,(unknown),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cattle_meat,Costa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eggs,Costa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meat_poultry,Costa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
milk,Costa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
other_livestock_live,Costa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ovine_live,Costa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
swine_live,Costa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cattle_meat,Oriente,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eggs,Oriente,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meat_poultry,Oriente,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
milk,Oriente,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
other_livestock_live,Oriente,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ovine_live,Oriente,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
swine_live,Oriente,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cattle_meat,Sierra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eggs,Sierra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meat_poultry,Sierra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
milk,Sierra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
other_livestock_live,Sierra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ovine_live,Sierra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
swine_live,Sierra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
