Region,Province,Product,System,count,Normalized_product_output_kg,Area_ha_per_1kg_product,Animals_total_live_weight_kg_per_1kg_product,Producing_animals_live_weight_kg_per_1kg_product,Animals_sold_live_weight_kg_per_1kg_product,Water_l_per_1kg_product,Electricity_kWh_per_1kg_product,Live_weight_equivalent_kg_per_1kg_product,Milk_output_l_per_1kg_product,Milk_output_kg_fpcm_per_1kg_product,Milk_sales_l_per_1kg_product,Milk_sales_kg_fpcm_per_1kg_product,Egg_output_kg_per_1kg_product,Egg_sales_kg_per_1kg_product,Cultivated_pasture_area_ha_per_1kg_product,Natural_pasture_area_ha_per_1kg_product,Linked_pasture_area_ha_per_1kg_product,Intake_assumption_kg_per_1kg_product,Pasture_feed_kg_per_1kg_product,Cultivated_pasture_feed_kg_per_1kg_product,Natural_pasture_feed_kg_per_1kg_product,Unmatched_pasture_feed_kg_per_1kg_product,Supplement_feed_kg_per_1kg_product,Common_feed_kg_per_1kg_product,Waste_feed_kg_per_1kg_product,Unallocated_feed_kg_per_1kg_product,Total_feed_kg_per_1kg_product,Vaccinated_head_per_1kg_product,Area_ha,Animals_total_head,Producing_animals_head,Animals_sold_head,Water_l_head_day,Electricity_kWh_head_day,Representative_live_weight_kg,Live_weight_equivalent_kg,Milk_output_l_day,Milk_output_kg_fpcm_day,Milk_sales_l_7d,Milk_sales_kg_fpcm_7d,Milk_yield_l_head_day,Egg_output_kg,Egg_sales_kg,Pasture_share_pct,Cultivated_pasture_area_ha,Natural_pasture_area_ha,Linked_pasture_area_ha,Cultivated_pasture_area_share_pct,Natural_pasture_area_share_pct,Cultivated_pasture_area_ha_per_head,Natural_pasture_area_ha_per_head,Cultivated_pasture_feed_share_pct,Natural_pasture_feed_share_pct,Unmatched_pasture_feed_share_pct,Supplement_share_pct,Common_feed_share_pct,Waste_feed_share_pct,Intake_assumption_kg_head_day,Pasture_feed_kg_head_day,Cultivated_pasture_feed_kg_head_day,Natural_pasture_feed_kg_head_day,Unmatched_pasture_feed_kg_head_day,Supplement_feed_kg_head_day,Common_feed_kg_head_day,Waste_feed_kg_head_day,Unallocated_feed_share_pct,Unallocated_feed_kg_head_day,Total_feed_kg_head_day,Vaccinated_head,Vaccination_share_pct,Reference_output_kg,Reference_output_kg_for_dfe,Normalization_factor_to_1kg,Species,Milking_system_ESPAC,Infrastructure_type,Infrastructure_source,Functional_unit,Infra_water_electricity_status,Infra_water_electricity_note,Infra_water_electricity_citations,Reference_output_basis_note,Output_unit,Sales_unit,Diet_basis,Diet_data_status,Ration_composition_note
(unknown),ZONA NO DELIMITADA,milk,dairy,28,1.0,0.28466403568920784,174.43985335225295,50.87829056107378,,1.9188383868747827,0.043609963338063246,174.43985335225295,1.0175658112214756,1.0,6.9696288439827105,6.8493150684931505,,,0.22098651455819926,0.0,0.22098651455819926,0.34887970670450597,0.34887970670450597,0.34887970670450597,0.0,0.0,0.020351316224429514,0.0,0.0,0.0,0.34887970670450597,0.38158717920805335,15.36,16.5,4.0,,66.0,1.5,450.0,7425.0,30.0,29.4821226,271.0,266.32184082000003,9.0,,,95.0,6.375,0.0,6.375,100.0,0.0,0.5613553113553114,0.0,95.0,0.0,0.0,5.0,,,12.0,11.4,11.4,0.0,0.0,0.6,0.0,0.0,0.0,0.0,12.0,14.0,100.0,29.4821226,10760.974749,0.02907330889204216,cattle,Mecánico,milking system: Mecánico,ESPAC direct (gl_sistema_ordenio),1 kg FPCM,mixed: direct ESPAC infrastructure + literature proxy water/electricity,infrastructure from ESPAC cattle milking-system field; water/electricity from literature proxy,"FAO small-scale dairy manual - Uses 4 to 6 L water per kg dry matter intake; the worked example for a 300 kg cow producing 10 kg milk/day gives about 66 L/day, adopted here as the milk-row water proxy. (https://www.fao.org/4/t1265e/t1275e01.htm) | FAO Milking, milk collection and transport - Gives wash-water benchmarks for hand, bucket, and pipeline milking plus plate-cooler water loads, supporting a dedicated dairy handling infrastructure proxy. (https://www.fao.org/4/i2433e/i2433e07.pdf) | Uruguay MGAP dairy intermediate-consumption report - Provides Latin American dairy infrastructure energy benchmarks for milking-room electricity and milk cooling; a rounded 1.5 kWh/cow/day proxy was adopted as a moderate regional milking-plus-cooling estimate. (https://www.gub.uy/ministerio-ganaderia-agricultura-pesca/sites/ministerio-ganaderia-agricultura-pesca/files/documentos/publicaciones/informe_consumo_intermedio.pdf)",Milk liters/day converted to kg FPCM using 0.982737 kg FPCM/L; live-weight-equivalent per kg FPCM is based on total herd live weight divided by total milk output; DFE annualizes this daily output by multiplying by 365.,kg FPCM/day,kg FPCM/7d,as-fed kg/head/day,"share-based, absolute kg/head/day estimated from configured intake assumption","pasture + supplement shares from ESPAC cattle module; pasture share split across linked cultivated pasture, linked natural pasture, and unmatched residual using holding-level ESPAC pasture areas"
Costa,EL ORO,milk,(unknown),2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.29,27.5,17.5,,60.0,0.6,400.0,11000.0,,,,,,,,90.0,17.29,0.0,17.29,100.0,0.0,0.861,0.0,90.0,0.0,0.0,10.0,,,10.0,9.0,9.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,10.0,25.5,95.0,,,,cattle,,milking system: nan,ESPAC direct (gl_sistema_ordenio),1 kg FPCM,mixed: direct ESPAC infrastructure + literature proxy water/electricity,infrastructure from ESPAC cattle milking-system field; water/electricity from literature proxy,FAO small-scale dairy manual - Lactating-cow water use increases with dry matter intake and milk output; a reduced 60 L/day proxy was retained for milk rows with unspecified system. (https://www.fao.org/4/t1265e/t1275e01.htm) | Uruguay MGAP dairy intermediate-consumption report - Latin American dairy energy benchmarks were scaled to 0.6 kWh/head/day for milk rows with unspecified system. (https://www.gub.uy/ministerio-ganaderia-agricultura-pesca/sites/ministerio-ganaderia-agricultura-pesca/files/documentos/publicaciones/informe_consumo_intermedio.pdf),Milk liters/day converted to kg FPCM using 0.982737 kg FPCM/L; live-weight-equivalent per kg FPCM is based on total herd live weight divided by total milk output; DFE annualizes this daily output by multiplying by 365.,kg FPCM/day,kg FPCM/7d,as-fed kg/head/day,"share-based, absolute kg/head/day estimated from configured intake assumption","pasture + supplement shares from ESPAC cattle module; pasture share split across linked cultivated pasture, linked natural pasture, and unmatched residual using holding-level ESPAC pasture areas"
Costa,EL ORO,milk,beef,146,1.0,0.2734708117657716,227.13522571907936,81.76868125886858,,4.088434062943429,0.020442170314717144,227.13522571907936,1.0175658112214756,1.0,,,,,0.5096914465136141,0.0,0.5096914465136141,0.5451245417257905,0.5160512328337483,0.5160512328337483,0.0,0.0,0.05814661778408432,0.0,0.0,0.0,0.5451245417257905,0.4724412694956851,30.0,25.0,9.5,,60.0,0.3,400.0,10000.0,15.0,14.741061299999998,,,5.0,,,95.0,17.0,0.0,17.0,100.0,0.0,0.7527777777777778,0.0,95.0,0.0,0.0,5.0,,,8.0,7.6,7.6,0.0,0.0,0.4,0.0,0.0,0.0,0.0,8.0,25.0,99.50248756218906,14.741061299999998,5380.4873744999995,0.06814056771572381,cattle,Mecánico,milking system: nan,ESPAC direct (gl_sistema_ordenio),1 kg FPCM,mixed: direct ESPAC infrastructure + literature proxy water/electricity,infrastructure from ESPAC cattle milking-system field; water/electricity from literature proxy,FAO small-scale dairy manual - Lactating-cow water use increases with dry matter intake and milk output; a reduced 60 L/day proxy was retained for low-intensity milk output in non-dairy systems. (https://www.fao.org/4/t1265e/t1275e01.htm) | Uruguay MGAP dairy intermediate-consumption report - Latin American dairy energy benchmarks were strongly downscaled to 0.3 kWh/head/day for occasional milk handling in beef-oriented systems. (https://www.gub.uy/ministerio-ganaderia-agricultura-pesca/sites/ministerio-ganaderia-agricultura-pesca/files/documentos/publicaciones/informe_consumo_intermedio.pdf),Milk liters/day converted to kg FPCM using 0.982737 kg FPCM/L; live-weight-equivalent per kg FPCM is based on total herd live weight divided by total milk output; DFE annualizes this daily output by multiplying by 365.,kg FPCM/day,kg FPCM/7d,as-fed kg/head/day,"share-based, absolute kg/head/day estimated from configured intake assumption","pasture + supplement shares from ESPAC cattle module; pasture share split across linked cultivated pasture, linked natural pasture, and unmatched residual using holding-level ESPAC pasture areas"
Costa,EL ORO,milk,dairy,45,1.0,0.6359786320134223,249.76615366345314,78.49793400851384,,1.343186870812348,0.030526974336644273,249.76615366345314,1.0175658112214756,1.0,6.783772074809838,6.666666666666667,,,0.37141152109583864,0.0,0.37141152109583864,0.2442157946931542,0.21134059156138343,0.21134059156138343,0.0,0.0,0.020351316224429514,0.0,0.0,0.0,0.2442157946931542,0.5550358970298959,30.0,25.0,6.0,,66.0,1.5,450.0,11250.0,50.0,49.136871,210.0,206.3748582,5.833333333333333,,,90.0,10.5,0.0,10.5,100.0,0.0,0.6989247311827957,0.0,90.0,0.0,0.0,10.0,,,12.0,10.8,10.8,0.0,0.0,1.2,0.0,0.0,0.0,0.0,12.0,24.5,100.0,49.136871,17934.957915,0.020351316224429514,cattle,Mecánico,milking system: Mecánico,ESPAC direct (gl_sistema_ordenio),1 kg FPCM,mixed: direct ESPAC infrastructure + literature proxy water/electricity,infrastructure from ESPAC cattle milking-system field; water/electricity from literature proxy,"FAO small-scale dairy manual - Uses 4 to 6 L water per kg dry matter intake; the worked example for a 300 kg cow producing 10 kg milk/day gives about 66 L/day, adopted here as the milk-row water proxy. (https://www.fao.org/4/t1265e/t1275e01.htm) | FAO Milking, milk collection and transport - Gives wash-water benchmarks for hand, bucket, and pipeline milking plus plate-cooler water loads, supporting a dedicated dairy handling infrastructure proxy. (https://www.fao.org/4/i2433e/i2433e07.pdf) | Uruguay MGAP dairy intermediate-consumption report - Provides Latin American dairy infrastructure energy benchmarks for milking-room electricity and milk cooling; a rounded 1.5 kWh/cow/day proxy was adopted as a moderate regional milking-plus-cooling estimate. (https://www.gub.uy/ministerio-ganaderia-agricultura-pesca/sites/ministerio-ganaderia-agricultura-pesca/files/documentos/publicaciones/informe_consumo_intermedio.pdf)",Milk liters/day converted to kg FPCM using 0.982737 kg FPCM/L; live-weight-equivalent per kg FPCM is based on total herd live weight divided by total milk output; DFE annualizes this daily output by multiplying by 365.,kg FPCM/day,kg FPCM/7d,as-fed kg/head/day,"share-based, absolute kg/head/day estimated from configured intake assumption","pasture + supplement shares from ESPAC cattle module; pasture share split across linked cultivated pasture, linked natural pasture, and unmatched residual using holding-level ESPAC pasture areas"
Costa,EL ORO,milk,dual-purpose,118,1.0,0.8844342842533326,317.27180165264474,81.40526489771806,,2.035131622442951,0.020351316224429514,317.27180165264474,1.0175658112214756,1.0,6.26194345367062,6.153846153846154,,,0.5087829056107378,0.0,0.5087829056107378,0.33918860374049187,0.3052697433664427,0.28831031317941813,0.0,0.0,0.03230367654671351,0.0,0.0,0.0,0.33918860374049187,0.7931795041316119,25.9,21.0,5.0,,60.0,0.6,400.0,8400.0,30.0,29.4821226,420.0,412.7497164,5.0,,,90.0,15.0,0.0,15.0,100.0,0.0,0.7321428571428572,0.0,90.0,0.0,0.0,10.0,,,10.0,9.0,9.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,10.0,23.5,100.0,29.4821226,10760.974749,0.03391886037404919,cattle,Mecánico,milking system: Mecánico,ESPAC direct (gl_sistema_ordenio),1 kg FPCM,mixed: direct ESPAC infrastructure + literature proxy water/electricity,infrastructure from ESPAC cattle milking-system field; water/electricity from literature proxy,FAO small-scale dairy manual - Lactating-cow water use increases with dry matter intake and milk output; a reduced 60 L/day proxy was retained for lower-intensity dual-purpose milk systems. (https://www.fao.org/4/t1265e/t1275e01.htm) | Uruguay MGAP dairy intermediate-consumption report - Latin American dairy energy benchmarks were scaled down to 0.6 kWh/head/day for lower-intensity dual-purpose milk handling. (https://www.gub.uy/ministerio-ganaderia-agricultura-pesca/sites/ministerio-ganaderia-agricultura-pesca/files/documentos/publicaciones/informe_consumo_intermedio.pdf),Milk liters/day converted to kg FPCM using 0.982737 kg FPCM/L; live-weight-equivalent per kg FPCM is based on total herd live weight divided by total milk output; DFE annualizes this daily output by multiplying by 365.,kg FPCM/day,kg FPCM/7d,as-fed kg/head/day,"share-based, absolute kg/head/day estimated from configured intake assumption","pasture + supplement shares from ESPAC cattle module; pasture share split across linked cultivated pasture, linked natural pasture, and unmatched residual using holding-level ESPAC pasture areas"
Costa,ESMERALDAS,milk,(unknown),5,1.0,2.374320226183443,244.21579469315415,122.10789734657708,,6.1053948673288545,0.06105394867328854,244.21579469315415,1.0175658112214756,1.0,6.331520603155848,6.222222222222222,,,2.374320226183443,0.0,2.374320226183443,1.0175658112214756,0.9666875206604019,0.9666875206604019,0.0,0.0,0.01130628679134973,0.0,0.0,0.0,1.0175658112214756,0.6105394867328854,11.0,15.0,7.0,,60.0,0.6,400.0,6000.0,10.0,9.8273742,560.0,550.3329552,3.3333333333333335,,,95.0,6.5,0.0,6.5,100.0,0.0,1.0833333333333333,0.0,95.0,0.0,0.0,5.0,,,10.0,9.5,9.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,10.0,12.5,100.0,9.8273742,3586.991583,0.10175658112214757,cattle,Mecánico,milking system: Mecánico,ESPAC direct (gl_sistema_ordenio),1 kg FPCM,mixed: direct ESPAC infrastructure + literature proxy water/electricity,infrastructure from ESPAC cattle milking-system field; water/electricity from literature proxy,FAO small-scale dairy manual - Lactating-cow water use increases with dry matter intake and milk output; a reduced 60 L/day proxy was retained for milk rows with unspecified system. (https://www.fao.org/4/t1265e/t1275e01.htm) | Uruguay MGAP dairy intermediate-consumption report - Latin American dairy energy benchmarks were scaled to 0.6 kWh/head/day for milk rows with unspecified system. (https://www.gub.uy/ministerio-ganaderia-agricultura-pesca/sites/ministerio-ganaderia-agricultura-pesca/files/documentos/publicaciones/informe_consumo_intermedio.pdf),Milk liters/day converted to kg FPCM using 0.982737 kg FPCM/L; live-weight-equivalent per kg FPCM is based on total herd live weight divided by total milk output; DFE annualizes this daily output by multiplying by 365.,kg FPCM/day,kg FPCM/7d,as-fed kg/head/day,"share-based, absolute kg/head/day estimated from configured intake assumption","pasture + supplement shares from ESPAC cattle module; pasture share split across linked cultivated pasture, linked natural pasture, and unmatched residual using holding-level ESPAC pasture areas"
Costa,ESMERALDAS,milk,beef,112,1.0,1.2719572640268446,610.5394867328854,135.67544149619675,,3.0526974336644273,0.015263487168322135,610.5394867328854,1.0175658112214756,1.0,5.596611961718116,5.5,,,0.7631743584161068,0.0,0.9327686602863527,0.4070263244885903,0.40295606124370437,0.13823535548669105,0.0,0.0,0.021247286121102514,0.0,0.0,0.0,0.4070263244885903,1.3816947534722979,22.09,24.0,8.0,,60.0,0.3,400.0,9600.0,17.5,17.19790485,320.0,314.4759744,3.0,,,95.0,9.5,0.0,11.95,100.0,0.0,0.4459574625759597,0.0,90.0,0.0,0.0,5.0,,,8.0,7.6,7.2,0.0,0.0,0.4,0.0,0.0,0.0,0.0,8.0,23.0,100.0,17.19790485,6277.23527025,0.050878290561073784,cattle,Mecánico,milking system: nan,ESPAC direct (gl_sistema_ordenio),1 kg FPCM,mixed: direct ESPAC infrastructure + literature proxy water/electricity,infrastructure from ESPAC cattle milking-system field; water/electricity from literature proxy,FAO small-scale dairy manual - Lactating-cow water use increases with dry matter intake and milk output; a reduced 60 L/day proxy was retained for low-intensity milk output in non-dairy systems. (https://www.fao.org/4/t1265e/t1275e01.htm) | Uruguay MGAP dairy intermediate-consumption report - Latin American dairy energy benchmarks were strongly downscaled to 0.3 kWh/head/day for occasional milk handling in beef-oriented systems. (https://www.gub.uy/ministerio-ganaderia-agricultura-pesca/sites/ministerio-ganaderia-agricultura-pesca/files/documentos/publicaciones/informe_consumo_intermedio.pdf),Milk liters/day converted to kg FPCM using 0.982737 kg FPCM/L; live-weight-equivalent per kg FPCM is based on total herd live weight divided by total milk output; DFE annualizes this daily output by multiplying by 365.,kg FPCM/day,kg FPCM/7d,as-fed kg/head/day,"share-based, absolute kg/head/day estimated from configured intake assumption","pasture + supplement shares from ESPAC cattle module; pasture share split across linked cultivated pasture, linked natural pasture, and unmatched residual using holding-level ESPAC pasture areas"
Costa,ESMERALDAS,milk,dairy,59,1.0,0.7631743584161068,446.45699967342244,105.82684436703347,,3.632888466378426,0.08256564696314606,446.45699967342244,1.0175658112214756,1.0,7.080562103082769,6.958333333333333,,,0.16959430187024593,0.0,0.34784683915176234,0.6605251757051684,0.6224110878638026,0.18316184601986563,0.0,0.0,0.03052697433664427,0.0,0.0,0.0,0.6605251757051684,0.7631743584161067,12.0,12.0,4.0,,66.0,1.5,450.0,5400.0,18.0,17.68927356,175.0,171.9790485,4.166666666666667,,,95.0,1.995,0.0,4.7526893736849996,100.0,0.0,0.10777777777777778,0.0,95.0,0.0,0.0,5.0,,,12.0,11.4,11.4,0.0,0.0,0.6,0.0,0.0,0.0,0.0,12.0,15.0,100.0,17.68927356,6456.5848494,0.05504376464209737,cattle,Mecánico,milking system: Mecánico,ESPAC direct (gl_sistema_ordenio),1 kg FPCM,mixed: direct ESPAC infrastructure + literature proxy water/electricity,infrastructure from ESPAC cattle milking-system field; water/electricity from literature proxy,"FAO small-scale dairy manual - Uses 4 to 6 L water per kg dry matter intake; the worked example for a 300 kg cow producing 10 kg milk/day gives about 66 L/day, adopted here as the milk-row water proxy. (https://www.fao.org/4/t1265e/t1275e01.htm) | FAO Milking, milk collection and transport - Gives wash-water benchmarks for hand, bucket, and pipeline milking plus plate-cooler water loads, supporting a dedicated dairy handling infrastructure proxy. (https://www.fao.org/4/i2433e/i2433e07.pdf) | Uruguay MGAP dairy intermediate-consumption report - Provides Latin American dairy infrastructure energy benchmarks for milking-room electricity and milk cooling; a rounded 1.5 kWh/cow/day proxy was adopted as a moderate regional milking-plus-cooling estimate. (https://www.gub.uy/ministerio-ganaderia-agricultura-pesca/sites/ministerio-ganaderia-agricultura-pesca/files/documentos/publicaciones/informe_consumo_intermedio.pdf)",Milk liters/day converted to kg FPCM using 0.982737 kg FPCM/L; live-weight-equivalent per kg FPCM is based on total herd live weight divided by total milk output; DFE annualizes this daily output by multiplying by 365.,kg FPCM/day,kg FPCM/7d,as-fed kg/head/day,"share-based, absolute kg/head/day estimated from configured intake assumption","pasture + supplement shares from ESPAC cattle module; pasture share split across linked cultivated pasture, linked natural pasture, and unmatched residual using holding-level ESPAC pasture areas"
Costa,ESMERALDAS,milk,dual-purpose,146,1.0,1.0321024656674966,488.43158938630836,101.75658112214757,,2.180498166903162,0.02180498166903162,488.43158938630836,1.0175658112214756,1.0,6.359786320134223,6.25,,,0.5814661778408432,0.0,0.6250709612441542,0.363416361150527,0.3052697433664427,0.2543914528053689,0.0,0.0,0.020351316224429514,0.0,0.0,0.0,0.363416361150527,1.2210789734657708,20.0,24.0,6.0,,60.0,0.6,400.0,9600.0,28.0,27.516647759999998,367.5,361.15600185,4.0,,,95.0,12.0,0.0,12.48,100.0,0.0,0.5231203007518797,0.0,95.0,0.0,0.0,5.0,,,10.0,9.5,9.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,10.0,24.0,100.0,27.516647759999998,10043.5764324,0.0363416361150527,cattle,Mecánico,milking system: Mecánico,ESPAC direct (gl_sistema_ordenio),1 kg FPCM,mixed: direct ESPAC infrastructure + literature proxy water/electricity,infrastructure from ESPAC cattle milking-system field; water/electricity from literature proxy,FAO small-scale dairy manual - Lactating-cow water use increases with dry matter intake and milk output; a reduced 60 L/day proxy was retained for lower-intensity dual-purpose milk systems. (https://www.fao.org/4/t1265e/t1275e01.htm) | Uruguay MGAP dairy intermediate-consumption report - Latin American dairy energy benchmarks were scaled down to 0.6 kWh/head/day for lower-intensity dual-purpose milk handling. (https://www.gub.uy/ministerio-ganaderia-agricultura-pesca/sites/ministerio-ganaderia-agricultura-pesca/files/documentos/publicaciones/informe_consumo_intermedio.pdf),Milk liters/day converted to kg FPCM using 0.982737 kg FPCM/L; live-weight-equivalent per kg FPCM is based on total herd live weight divided by total milk output; DFE annualizes this daily output by multiplying by 365.,kg FPCM/day,kg FPCM/7d,as-fed kg/head/day,"share-based, absolute kg/head/day estimated from configured intake assumption","pasture + supplement shares from ESPAC cattle module; pasture share split across linked cultivated pasture, linked natural pasture, and unmatched residual using holding-level ESPAC pasture areas"
Costa,GUAYAS,milk,(unknown),15,1.0,0.38158717920805335,542.701765984787,135.67544149619675,,15.263487168322134,0.15263487168322135,542.701765984787,1.0175658112214756,1.0,7.12296067855033,7.0,,,0.08479715093512297,0.0,0.08479715093512297,2.543914528053689,1.7807401696375824,1.7807401696375824,0.0,0.0,0.38413109373610704,0.0,0.0,0.0,2.543914528053689,1.2719572640268444,5.99,16.0,4.0,,60.0,0.6,400.0,6400.0,4.0,3.93094968,252.0,247.64982984,3.0,,,100.0,0.25,0.0,5.11314510497,99.99999999999999,0.0,0.0,0.0,50.0,0.0,0.0,20.0,,,10.0,10.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,10.0,18.0,100.0,3.93094968,1434.7966331999999,0.2543914528053689,cattle,Mecánico,milking system: nan,ESPAC direct (gl_sistema_ordenio),1 kg FPCM,mixed: direct ESPAC infrastructure + literature proxy water/electricity,infrastructure from ESPAC cattle milking-system field; water/electricity from literature proxy,FAO small-scale dairy manual - Lactating-cow water use increases with dry matter intake and milk output; a reduced 60 L/day proxy was retained for milk rows with unspecified system. (https://www.fao.org/4/t1265e/t1275e01.htm) | Uruguay MGAP dairy intermediate-consumption report - Latin American dairy energy benchmarks were scaled to 0.6 kWh/head/day for milk rows with unspecified system. (https://www.gub.uy/ministerio-ganaderia-agricultura-pesca/sites/ministerio-ganaderia-agricultura-pesca/files/documentos/publicaciones/informe_consumo_intermedio.pdf),Milk liters/day converted to kg FPCM using 0.982737 kg FPCM/L; live-weight-equivalent per kg FPCM is based on total herd live weight divided by total milk output; DFE annualizes this daily output by multiplying by 365.,kg FPCM/day,kg FPCM/7d,as-fed kg/head/day,"share-based, absolute kg/head/day estimated from configured intake assumption","pasture + supplement shares from ESPAC cattle module; pasture share split across linked cultivated pasture, linked natural pasture, and unmatched residual using holding-level ESPAC pasture areas"
