count,Region,Province,Crop,Category,Seeding_date,Harvest_date,Cycle_length_months,Area_ha,Yield_kgha,Irrig_m3,Irrig_equipment,Packaging_type1,Packaging_type2,Fuel_type,Fuel_unit,Fuel_ha,NPK_kgha,AN_kgha,AP_kgha,AS_kgha,Total_fert_min_kgha,Total_fert_org_kgha,Insecticide_kgha,Herbicide_kgha,Fungicide_kgha,Total_pesticides_kgha,Seed_kgha,Organic_estiercol_kgha,Organic_fermentado_kgha,Organic_liquido_kgha,Crop_group,crop_type_dfe,N_min,P_min,K_min,N_orga,P_orga,K_orga,N_tot,P_tot,K_tot,kgNH3N_ha,kgNOxN_ha,kgNO3N_ha,kgN2ON_ha_direct,kgN2ON_ha_indirect,kgN2ON_ha,kgCO2urea_ha,kgCO2limestone_ha,kgCO2_fert_ha,soil_erosion_tha,kgP_ha_erosion,kgP_ha_runoff,kgP_ha_leaching,kgP_ha_drainage,kgP_total,Cd_kg_ha,Cu_kg_ha,Zn_kg_ha,Pb_kg_ha,Ni_kg_ha,Cr_kg_ha,Hg_kg_ha,trace_metals_from_organic
8601,(all regions confounded),(all provinces confounded),(all crops in group),transitory,2024-01-01,2024-08-01,7.0,0.74,2931.818181818175,0.0,sin riego,QUINTAL,GRANO SECO,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,1537.4895,150.0,145.45454545454547,100.0,100.0,133.33333333333334,0.0,1.020408163265306,1.6,1.0050251256281406,1.2,9.201324990798664,1357.081326402341,240.0,3.0,cereals,cereal,71.95454545454547,29.457,68.48325,13.513103473380252,4.940757890029939,16.43204675430206,85.46764892792572,34.397757890029936,84.91529675430206,2.4230868755797816,4.802142066505222,26.494971167656974,0.4273382446396286,0.3534075443291615,0.7807457889687901,0.0,0.0,0.0,2.8851659999999995,1.0196176644,0.19153402622272617,0.07350036084825,0.44100216508949996,1.725654216560476,0.0002765064791799617,0.0699355755551797,0.2856876609616355,0.0040593256267837914,0.006581204100544841,0.010112547245993494,0.00011043642387809629,True
3178,(all regions confounded),(all provinces confounded),(all crops in group),permanent,2024-01-01,2024-12-01,11.0,1.48,7728.181818181817,0.0,sin riego,OTRA,FRUTA FRESCA,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,2294.5065000000004,177.15419501133786,134.20908416008638,82.87878787878788,101.010101010101,0.0,0.0,1.0033444816053512,2.0,2.0,0.0,4454.545454545452,666.0041327541246,200.0,8.056398177344253,fruits,fruit,72.20421786613005,27.87224996907854,72.36744550092763,7.2587303220350154,2.694437032905008,8.729225536869468,79.46294818816507,30.566687001983546,81.0966710377971,1.9654459213164912,4.481377304996027,24.633513938331173,0.39731474094082536,0.32237135982003295,0.7196861007608584,0.0,0.0,0.0,2.8851659999999995,1.0196176644,0.1889903166638633,0.07350096904572787,0.4410058142743672,1.7231147643839582,0.000166122605383101,0.040994772176506884,0.16166860953190224,0.0026905273994096346,0.004032634133218471,0.0063128269584583506,5.709584437269106e-05,True
7267,(all regions confounded),(all provinces confounded),(all crops in group),permanent,2024-01-01,2024-12-01,11.0,2.0,649.35064935065,0.0,sin riego,QUINTAL,ALMENDRA SECA,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,4871.9952,150.0,128.84753042233356,75.0,100.0,2.0,0.0,1.0,1.4285714285714286,1.0,0.0,10.887337662337655,362.873896,238.0952380952381,4.82831227729187,industrial_cash,fruit,66.30816034359341,24.5475,68.48325,4.905516877756658,1.8851619067287049,5.779994166088591,71.21367722135007,26.432661906728704,74.26324416608858,1.6747442542733058,4.021164384617918,22.07623993861852,0.35606838610675035,0.28703347977130805,0.6431018658780584,0.0,0.0,0.0,2.8851659999999995,1.0196176644,0.1867186387624777,0.07350058076267857,0.4410034845760714,1.7208403685012277,0.00013334284479443452,0.031167684500489103,0.11231931599106167,0.0025449217350582034,0.0033689434026881603,0.005430021800393532,3.5531220047452416e-05,True
31,(all regions confounded),(all provinces confounded),(all crops in group),transitory,2024-06-01,2024-12-01,6.0,22.0,909.09090909091,7500.0,goteo,CAJA,HOJA SECA,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,3101.0014,200.0,80.0,405.12820512820514,105.01779359430606,200.0,0.0,1.0,2.0,2.089590212633452,2.0,182.9454545454545,1000.0,181.436948,1.5,industrial_cash,cereal,57.2,92.65107692307693,77.20816227758007,9.988736567800002,3.65506423627954,12.143235648917663,67.1887365678,96.30614115935647,89.35139792649774,1.8704975315386851,3.7770981703577196,20.828508336018,0.33594368283900006,0.277082331227136,0.6130260140661361,0.0,0.0,0.0,2.8851659999999995,1.0196176644,0.218221215792477,0.073500180424125,0.44100108254475,1.752340143161352,0.00020490919284,0.05172661818284,0.210682099853374,0.0030282385158,0.004884615757711999,0.0075128811451577,8.152555080634001e-05,True
2201,(all regions confounded),(all provinces confounded),(all crops in group),permanent,2024-01-01,2024-12-01,11.0,0.645,4832.162876103331,0.0,sin riego,CAJA,FRUTA FRESCA,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,4871.9952,203.392167677882,125.0,53.333333333333336,110.0,62.36357966947303,0.0,3.6935378699999992,2.0,4.0,0.0,0.0,1511.9745666666668,590.7643397435897,50.0,other,fruit,73.00882515168229,23.787651296194156,80.11197575841146,17.59319789878205,6.579040544699397,20.96617269902083,90.60202305046434,30.36669184089355,101.07814845743229,2.7457146932837033,5.080386526741314,28.086627145643945,0.4530101152523217,0.3784620325909091,0.8314721478432308,0.0,0.0,0.0,2.8851659999999995,1.0196176644,0.1895166645191252,0.0735060141375,0.441036084825,1.723676427881625,0.0004381074824668846,0.10762058894114103,0.42258445794088134,0.0073067802987916396,0.010676852933887692,0.01684836680329234,0.00013470877911092948,True
1786,(all regions confounded),(all provinces confounded),(all crops in group),transitory,2024-01-01,2024-12-01,11.0,0.18,4090.909090909088,0.0,sin riego,QUINTAL,REPOLLO,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,2216.2455,181.436948,151.19745666666668,63.75,100.11764705882354,45.359237,0.0,2.9705882352941178,2.272727272727273,3.5087719298245617,0.0,12.845849802371522,3401.942775,4535.9237,52.0,other,cereal,78.62267746666667,24.396087616080003,72.45621687433764,62.945244198750004,25.114221308496628,72.45230103180953,141.5679216654167,49.510308924576634,144.90851790614715,6.211077112162921,7.82715666329685,43.886055716279174,0.7078396083270835,0.6328392262909334,1.340678834618017,0.0,0.0,0.0,2.8851659999999995,1.0196176644,0.19485917170225056,0.073506254703,0.441037528218,1.7290206190232507,0.002013704134290875,0.4495838030677501,1.4843145070377248,0.0431073335343485,0.052479849494605005,0.08640499831679127,0.00041199356111600006,True
2664,(all regions confounded),(all provinces confounded),(all crops in group),transitory,2023-10-01,2024-07-01,9.0,0.13,681.8181818181819,0.0,sin riego,QUINTAL,VAINA,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,2002.4955,113.3980925,100.0,100.50251256281408,55.0,0.0,0.0,1.417233560090703,1.889644746787604,2.0,0.0,2.9137529137529232,1360.7771099999998,470.3463928368794,5.555555555555555,pulses_oilseeds,cereal,51.009713875,27.159722552135428,41.513063487637496,15.24693465551773,5.697310667832509,18.30174214775754,66.25664853051774,32.85703321996794,59.81480563539503,2.1369234165661712,3.7077928000676335,20.5395610444605,0.3312832426525887,0.27955267524250077,0.6108359178950895,0.0,0.0,0.0,2.8851659999999995,1.0196176644,0.1905414516004788,0.0735006682375,0.44100400942499995,1.7246637936629785,0.00035433181273029793,0.0861302352248255,0.3312647396201545,0.005992900635927343,0.008699394997538737,0.013703956642676351,0.00011862693697220767,True
1007,(all regions confounded),(all provinces confounded),(all crops in group),transitory,2024-01-01,2024-12-01,11.0,0.25,5454.5454545454495,0.0,sin riego,QUINTAL,TUBERCULO FRESCO,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,5272.5,323.99454999999995,181.436948,9.285714285714285,143.0388555,136.077711,0.0,2.270344561363636,2.834467120181406,3.125,1.0,152.46212121212127,2177.6305103129444,1814.36948,80.0,roots_tubers,cereal,110.28774482,23.03221181442857,111.58411376357998,32.44811959220697,12.590888850994478,37.84635575493917,142.73586441220698,35.62310066542305,149.43046951851915,4.581976568133677,7.9888987318529345,44.24811796778416,0.7136793220610349,0.6017709643510997,1.3154502864121347,0.0,0.0,0.0,2.8851659999999995,1.0196176644,0.19100342751354504,0.07350962261999999,0.44105773571999995,1.7251884502535448,0.0009529413465805031,0.22168646891735805,0.7939707777891007,0.01858338314904811,0.02416333965153287,0.03918036530581873,0.0002270760854899647,True
101,(all regions confounded),(all provinces confounded),(all crops in group),permanent,2024-01-01,2024-12-01,11.0,0.235,10909.090909090915,0.0,sin riego,COSTAL,FRUTA FRESCA,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,4871.9952,412.3567,200.0,0.0,1046.0114956666666,255.5957005555556,0.0,2.249747219413549,2.0,2.857142857142857,0.5,0.0,4535.9237,0.0,160.0,vegetables,fruit,129.85350499999998,26.992869582,572.3210800322399,39.78774000500001,14.022847764137968,48.87891299508211,169.641245005,41.01571734613797,621.1999930273221,5.511937848508041,9.490955587744969,52.58878595155,0.848206225025,0.7166345735756,1.5648407986006,0.0,0.0,0.0,2.8851659999999995,1.0196176644,0.1991481052357457,0.07351924524,0.44111547144,1.7334004863157457,0.0007344657510545001,0.204312131329,0.9504673476045,0.007139694185798,0.01609194073574,0.023435026250464997,0.0003436350546100001,True
976,(all regions confounded),(all provinces confounded),(all crops in group),transitory,2024-01-01,2024-12-01,11.0,0.2,6818.1818181818,6923.076923076923,sin riego,ATADO,TALLO FRESCO,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,10178.9935,226.796185,226.796185,60.0,151.19745666666668,227.930165925,1209.5796533333337,2.75,1.25,5.909090909090908,3.846153846153846,25.568181818181817,2563.782960869565,4767.96185,14.0,vegetables,cereal,111.13013065000001,26.628878270100003,103.544932242675,57.269542209021736,23.266522065904994,65.24106295301277,168.39967285902173,49.895400336005,168.78599519568778,6.434465037954052,9.365814191392175,52.20389858629674,0.8419983642951087,0.7321840721776912,1.5741824364727999,0.0,0.0,0.0,2.8851659999999995,1.0196176644,0.1935475812009761,0.0735016839585,0.441010103751,1.727677033310476,0.0019503428350090652,0.4261652308627609,1.3434063359436315,0.043710378161211906,0.05152897869160086,0.08553066556473407,0.0003563229920327282,True
