Region,Province,Crop,Category,count__minValue,count__maxValue,Cycle_length_months__minValue,Cycle_length_months__maxValue,Area_ha__minValue,Area_ha__maxValue,Yield_kgha__minValue,Yield_kgha__maxValue,Irrig_m3__minValue,Irrig_m3__maxValue,Fuel_ha__minValue,Fuel_ha__maxValue,NPK_kgha__minValue,NPK_kgha__maxValue,AN_kgha__minValue,AN_kgha__maxValue,AP_kgha__minValue,AP_kgha__maxValue,AS_kgha__minValue,AS_kgha__maxValue,Total_fert_min_kgha__minValue,Total_fert_min_kgha__maxValue,Total_fert_org_kgha__minValue,Total_fert_org_kgha__maxValue,Insecticide_kgha__minValue,Insecticide_kgha__maxValue,Herbicide_kgha__minValue,Herbicide_kgha__maxValue,Fungicide_kgha__minValue,Fungicide_kgha__maxValue,Total_pesticides_kgha__minValue,Total_pesticides_kgha__maxValue,Seed_kgha__minValue,Seed_kgha__maxValue,Organic_estiercol_kgha__minValue,Organic_estiercol_kgha__maxValue,Organic_fermentado_kgha__minValue,Organic_fermentado_kgha__maxValue,Organic_liquido_kgha__minValue,Organic_liquido_kgha__maxValue,N_min__minValue,N_min__maxValue,P_min__minValue,P_min__maxValue,K_min__minValue,K_min__maxValue,N_orga__minValue,N_orga__maxValue,P_orga__minValue,P_orga__maxValue,K_orga__minValue,K_orga__maxValue,N_tot__minValue,N_tot__maxValue,P_tot__minValue,P_tot__maxValue,K_tot__minValue,K_tot__maxValue,kgNH3N_ha__minValue,kgNH3N_ha__maxValue,kgNOxN_ha__minValue,kgNOxN_ha__maxValue,kgNO3N_ha__minValue,kgNO3N_ha__maxValue,kgN2ON_ha_direct__minValue,kgN2ON_ha_direct__maxValue,kgN2ON_ha_indirect__minValue,kgN2ON_ha_indirect__maxValue,kgN2ON_ha__minValue,kgN2ON_ha__maxValue,kgCO2urea_ha__minValue,kgCO2urea_ha__maxValue,kgCO2limestone_ha__minValue,kgCO2limestone_ha__maxValue,kgCO2_fert_ha__minValue,kgCO2_fert_ha__maxValue,soil_erosion_tha__minValue,soil_erosion_tha__maxValue,kgP_ha_erosion__minValue,kgP_ha_erosion__maxValue,kgP_ha_runoff__minValue,kgP_ha_runoff__maxValue,kgP_ha_leaching__minValue,kgP_ha_leaching__maxValue,kgP_ha_drainage__minValue,kgP_ha_drainage__maxValue,kgP_total__minValue,kgP_total__maxValue,Cd_kg_ha__minValue,Cd_kg_ha__maxValue,Cu_kg_ha__minValue,Cu_kg_ha__maxValue,Zn_kg_ha__minValue,Zn_kg_ha__maxValue,Pb_kg_ha__minValue,Pb_kg_ha__maxValue,Ni_kg_ha__minValue,Ni_kg_ha__maxValue,Cr_kg_ha__minValue,Cr_kg_ha__maxValue,Hg_kg_ha__minValue,Hg_kg_ha__maxValue,trace_metals_from_organic__minValue,trace_metals_from_organic__maxValue
(all regions confounded),(all provinces confounded),(all crops in group),transitory,8601.0,8601.0,1.0,11.0,0.01,1600.0,35.88516746411484,29545.454545454504,0.0,11304.347826086958,1537.4895,3993.762,0.1984126984126984,56699.04625,0.0,56699.04625,0.0018899682083333,1172.093023255814,0.1181027966742252,695.5083006666667,0.0,113398.0925,0.0,90718.474,0.0074055897142857,150.0,0.0227364596491228,2000.0,0.0142857142857142,97.198365,0.0,2150.0,0.0,10227.27272727273,0.0,90718.474,0.0,6803.88555,0.0,800.0,0.02976190476190476,27782.5326625,0.013359247194847731,3941.695195431977,0.08352763605442173,7406.286608048789,0.0,837.4833588925002,0.0,300.8483127108491,0.0,1026.4990098298892,0.02976190476190476,28620.0160213925,0.013359247194847731,4242.543508142826,0.08352763605442173,8432.785617878679,0.0005888480392156863,611.6268345589278,0.0016869637148337596,1619.6155486299413,0.009226190476190476,8872.204966631676,0.0001488095238095238,143.1000801069625,0.0001175595238095238,114.0289188144046,0.0002663690476190476,257.1289989213671,0.0,0.0,0.0,0.0,0.0,0.0,2.8851659999999995,2.8851659999999995,1.0196176644,1.0196176644,0.17500584467064775,2.143860488873904,0.0735,0.07359622619999999,0.44099999999999995,0.4415773571999999,1.7091235090706474,3.678651736673904,0.0,0.01573459725259,0.0,4.148150183436501,0.0,17.967356946591526,0.0,0.19528632805845997,0.0,0.361773155629,0.0,0.5418398179527137,0.0,0.00707422799743775,False,True
(all regions confounded),(all provinces confounded),(all crops in group),permanent,3178.0,3178.0,11.0,11.0,0.0,1660.0,7.575757575757567,119506.49350649344,0.0,29565.21739130435,2294.5065000000004,8375.2513,0.15,13325.04258943782,0.0,1632.932532,1.0,648.0,0.5660377358490566,2400.0,0.0,13325.04258943782,0.0,120957.96533333334,0.0161290322580645,50.72463768115942,0.024,100.0,0.0666666666666666,600.0,0.0,808.3506963146705,122.727272727273,9090.909090909085,0.0,60478.98266666667,0.0,60478.98266666667,0.0,1363.6363636363635,0.0225,2553.953449295673,0.206199,999.5115279045998,0.30059800471698106,2854.5116780238495,0.0,972.3682681212122,0.0,381.68877035738467,0.0,1129.2446367713706,0.0225,3526.3217174168853,0.206199,1381.2002982619845,0.30059800471698106,3983.75631479522,0.0004451691176470588,122.44822123000733,0.0012753445684143224,196.83268477950205,0.006974999999999999,1093.1597323992344,0.0001125,17.631608587084425,8.887499999999999e-05,15.066641657498513,0.000201375,32.69825024458294,0.0,0.0,0.0,0.0,0.0,0.0,2.8851659999999995,2.8851659999999995,1.0196176644,1.0196176644,0.17509021206249997,0.7760311134716902,0.0735,0.07366402193181817,0.44099999999999995,0.44198413159090905,1.7092078764624996,2.311296931394417,0.0,0.029366092475878184,0.0,6.6982965998787884,0.0,23.090164585851333,0.0,0.5988099731985188,0.0,0.7546038563199273,0.0,1.2319777014224031,0.0,0.006640478269640606,False,True
(all regions confounded),(all provinces confounded),(all crops in group),permanent,7267.0,7267.0,11.0,11.0,0.0,8607.25,3.18181818181818,120000.0,0.0,34782.608695652176,3851.9916,6864.0084,0.024,127005.8636,0.0,127005.8636,0.6666666666666666,294.11764705882354,0.024,800.0,0.0,254011.7272,0.0,100788.224614,0.0158772161947605,50.0,0.025025025025025,72.57477920000001,0.0083720930232558,50.0,0.0,6000.8,0.2681818181818179,21.8181818181818,0.0,36000.0,0.0,100788.224614,0.0,100000.0,0.0036,62232.873164000004,0.13249103999999998,8371.562654785412,0.014941799999999998,16212.583106153998,0.0,1397.1934509129,0.0,501.25937647653325,0.0,1391.282787533683,0.0036,63630.0666149129,0.13249103999999998,8872.822031261945,0.014941799999999998,17603.86589368768,7.122705882352941e-05,1334.633770722484,0.00020405513094629157,3602.3011166423157,0.001116,19725.320650622998,1.8e-05,318.1503330745645,1.422e-05,252.97347946647403,3.222e-05,571.1238125410385,0.0,0.0,0.0,0.0,0.0,0.0,2.8851659999999995,2.8851659999999995,1.0196176644,1.0196176644,0.17505796483,4.034449466221827,0.0735,0.085528275,0.44099999999999995,0.51316965,1.7091756292299998,5.652765055621827,0.0,0.08845437412262,0.0,24.89658527556762,0.0,120.61617871854925,0.0,1.0759611155269,0.0,1.9278159034090159,0.0,3.028528126135102,0.0,0.00745826122292187,False,True
(all regions confounded),(all provinces confounded),(all crops in group),transitory,31.0,31.0,2.0,7.0,0.6,702.0,592.2865013774103,2673.7967914438527,7500.0,10434.782608695654,3101.0014,3101.0014,80.0,1000.0,0.0,101.28205128205128,405.12820512820514,405.12820512820514,105.01779359430606,202.56410256410257,0.0,1000.0,0.0,2200.0,0.2,10.006060606060606,0.4,6.0,0.2,14.17948717948718,0.0,23.74358974358974,168.872727272727,197.01818181818203,0.0,1200.0,0.0,1000.0,0.0,2.0,12.0,184.43589743589743,84.79587692307693,145.01907692307694,62.266362277580065,225.4040769230769,0.0,17.736900000000006,0.0,6.911331165836575,0.0,20.7695969909973,12.0,202.17279743589745,84.79587692307693,151.9304080889135,62.266362277580065,246.1736739140742,0.2374235294117647,4.960960467562594,0.680183769820972,11.403988833386322,3.7199999999999998,62.67356720512821,0.06,1.0108639871794873,0.0474,0.8193347228717949,0.1074,1.8301987100512822,0.0,0.0,0.0,0.0,0.0,0.0,2.8851659999999995,2.8851659999999995,1.0196176644,1.0196176644,0.21209819615384615,0.24166969019145312,0.0735,0.07350024056549999,0.44099999999999995,0.44100144339299996,1.7462158605538458,1.775789038549953,0.0,0.0005041420000000001,0.0,0.11516700000000002,0.0,0.3972815,0.0,0.010166248,0.0,0.01293824,0.0,0.021042065000000002,0.0,0.00012459100000000001,False,True
(all regions confounded),(all provinces confounded),(all crops in group),permanent,2201.0,2201.0,11.0,11.0,0.0,599.0,11.086474501108649,109090.9090909092,0.0,26153.846153846152,3851.9916,6864.0084,0.5025125628140703,10000.0,0.0,1209.5796533333337,5.0,416.6666666666667,2.1772433760000003,625.0,0.0,10000.0,0.0,75296.33342,0.05,66.66666666666667,0.0044444444444444,400.0,0.226796185,100.0,0.0,493.59237,0.0,0.0,0.0,45359.237,0.0,75296.33342,0.0,3333.333333333333,0.07537688442211055,1911.2570821333334,1.014794472361809,736.4250000000001,1.1469681876093538,1556.4374999999998,0.0,957.2854506870001,0.0,384.4136491789061,0.0,1088.894502490087,0.07537688442211055,2868.5425328203337,1.014794472361809,1120.838649178906,1.1469681876093538,2645.332002490087,0.0014913538279633458,108.61674165543172,0.004272511116965903,159.5957087934487,0.023366834170854268,889.2481851743034,0.00037688442211055275,14.342712664101668,0.00029773869346733664,12.450766981944108,0.0006746231155778893,26.793479646045775,0.0,0.0,0.0,0.0,0.0,0.0,2.8851659999999995,2.8851659999999995,1.0196176644,1.0196176644,0.17544397258165828,0.6223106029362073,0.0735,0.0739009425,0.44099999999999995,0.44340565499999995,1.709561636981658,2.159234864836207,0.0,0.03305911420581166,0.0,7.4390716091686,0.0,25.050037415195206,0.0,0.7032413259149799,0.0,0.85749944680788,0.0,1.4144011044117621,0.0,0.0060343949640644335,False,True
(all regions confounded),(all provinces confounded),(all crops in group),transitory,1786.0,1786.0,0.0,11.0,0.0,30.0,22.7272727272725,119318.18181818198,0.0,10434.782608695654,1653.741,3993.762,0.25,9071.8474,0.0,1814.36948,1.7094017094017095,544.310844,0.4724920520833334,290.0,0.0,9071.8474,0.0,136077.711,0.0302394913333333,125.0,0.1889968208333333,56.69904625,0.0666666666666666,60.478982666666674,0.0,125.0,0.454545454545455,6969.696969696977,0.0,136077.711,0.0,10000.0,0.0,1200.0,0.0375,1977.6627332,0.35205730769230775,700.7348943487201,0.266458141460625,1274.018479011,0.0,1254.7122001500004,0.0,450.60807172413905,0.0,1538.1179134524634,0.0375,3232.3749333500004,0.35205730769230775,1151.342966072859,0.266458141460625,2812.1363924634634,0.0007419485294117646,131.92862929696597,0.002125574280690537,179.2866775821972,0.011625,1002.0362293385001,0.0001875,16.161874666750002,0.000148125,14.235894260908001,0.000335625,30.397768927658003,0.0,0.0,0.0,0.0,0.0,0.0,2.8851659999999995,2.8851659999999995,1.0196176644,1.0196176644,0.17515402507211536,0.8481247775861867,0.0735,0.07364433929999999,0.44099999999999995,0.44186603579999995,1.7092716894721152,2.3832528170861864,0.0,0.023533972531635,0.0,6.20826393987,0.0,26.913075428135,0.0,0.29121082557394,0.0,0.5407982220722001,0.0,0.8095960375139499,0.0,0.0106043016383,False,True
(all regions confounded),(all provinces confounded),(all crops in group),transitory,2664.0,2664.0,0.0,11.0,0.01,300.0,39.77272727272725,22727.2727272727,0.0,10434.782608695654,1653.741,3993.762,0.4166666666666667,666.6666666666667,0.0,725.747792,2.1433164249482037,302.39491333333336,0.4,181.436948,0.0,729.747792,0.0,56699.04625,0.0302394913333333,72.0,0.0151197456666666,50.0,0.0142857142857142,39.689332375,0.0,166.66666666666669,0.0,555.5555555555555,0.0,56699.04625,0.0,6803.88555,0.0,400.0,0.0625,346.75424928,0.44817947953132825,103.02431308040002,0.25110525,173.37648632088,0.0,541.8353088550001,0.0,196.2006344798143,0.0,661.5673623667733,0.0625,888.5895581350001,0.44817947953132825,299.22494756021433,0.25110525,834.9438486876533,0.0012365808823529413,46.935411704769045,0.003542623801150895,48.669565858791614,0.019375,275.46276302185004,0.0003125,4.442947790675,0.00024687499999999997,4.1438760659936005,0.000559375,8.586823856668602,0.0,0.0,0.0,0.0,0.0,0.0,2.8851659999999995,2.8851659999999995,1.0196176644,1.0196176644,0.17519607852229493,0.372703426892934,0.0735,0.0735481131,0.44099999999999995,0.44128867860000004,1.7093137429222947,1.907157882992934,0.0,0.01062610411968125,0.0,2.7490091984690004,0.0,11.604451839557772,0.0,0.143178621664975,0.0,0.24828360011094996,0.0,0.37655712107422623,0.0,0.00450736508786275,False,True
(all regions confounded),(all provinces confounded),(all crops in group),transitory,1007.0,1007.0,0.0,11.0,0.0,89.74,113.63636363636374,81818.1818181818,0.0,10434.782608695654,1653.741,5272.5,0.0725747792,2500.0,0.0,1295.9782000000002,0.75,150.0,0.75,500.0,0.0,2500.0,0.0,36287.3896,0.0875438596491228,144.0,0.0555555555555555,50.0,0.0251995761111111,64.28571428571429,0.0,144.0,0.0,63636.3636363636,0.0,36287.3896,0.0,9071.8474,0.0,1578.9473684210527,0.010886216879999999,815.6325880000002,0.152035745046432,193.107,0.38258164863208793,560.3174999999999,0.0,386.01136685105274,0.0,141.66166963125846,0.0,463.5201610579686,0.010886216879999999,1201.643954851053,0.152035745046432,334.7686696312585,0.38258164863208793,1023.8376610579685,0.00021538700279929407,44.687385468841335,0.0006170523363772581,66.90227118601484,0.0033747272327999994,372.50962600382644,5.44310844e-05,6.008219774255265,4.3000556675999996e-05,5.1981269208773915,9.7431641076e-05,11.206346695132655,0.0,0.0,0.0,0.0,0.0,0.0,2.8851659999999995,2.8851659999999995,1.0196176644,1.0196176644,0.1750665156384578,0.3584937626121237,0.0735,0.07368992013157895,0.44099999999999995,0.4421395207894737,1.7091841800384575,1.8939408679331762,0.0,0.009018909334646526,0.0,2.2996151966161054,0.0,9.562911405083646,0.0,0.1334055845395419,0.0,0.2134718400873095,0.0,0.33083547778792083,0.0,0.0030632692929864745,False,True
(all regions confounded),(all provinces confounded),(all crops in group),permanent,101.0,101.0,11.0,11.0,0.01,2.0,454.5454545454547,44545.45454545454,0.0,10434.782608695654,3851.9916,6864.0084,50.0,2061.7835,0.0,250.0,0.0,0.0,30.239491333333334,2061.7835,0.0,4123.567,0.0,45359.237,0.25,50.0,0.5,15.0,0.25,40.0,0.0,80.0,0.0,0.0,0.0,45359.237,0.0,0.0,0.0,160.0,7.5,394.267525,3.273,134.96434791000001,21.28683105348,1283.6148625125,0.0,392.9094000500001,0.0,139.28585364137967,0.0,485.8007699508211,7.5,787.1769250500001,3.273,274.2502015513797,21.28683105348,1769.4156324633211,0.14838970588235295,36.86074041721277,0.4251148561381074,43.38784893746118,2.325,244.02484676550003,0.0375,3.935884625250001,0.029625,3.569052852006,0.06712499999999999,7.504937477256001,0.0,0.0,0.0,0.0,0.0,0.0,2.8851659999999995,2.8851659999999995,1.0196176644,1.0196176644,0.1764319375,0.3559907571468322,0.0735,0.07351924524,0.44099999999999995,0.44111547144,1.7105496019,1.890243138226832,0.0,0.006624657510545,0.0,1.8033613132900002,0.0,8.126593476045,0.0,0.06880494185797999,0.0,0.14795940735739999,0.0,0.21548626250464997,0.0,0.0034176305461,False,True
(all regions confounded),(all provinces confounded),(all crops in group),transitory,976.0,976.0,0.0,11.0,0.01,170.0,227.2727272727273,112500.0,0.0,10434.782608695654,5180.503900000001,10178.9935,0.888888888888889,1562.5,0.0,453.59237,5.172413793103448,226.796185,1.133980925,604.7898266666667,0.0,1562.5,0.0,70440.22687058825,0.0285714285714285,42.85714285714285,0.125,25.0,0.0335994348148148,69.78344153846155,0.0,312.5,22.727272727272734,28.4090909090909,0.0,70440.22687058825,0.0,22679.6185,0.0,700.0,0.13333333333333333,388.5964058,1.0739452873563218,146.8194848103,0.6754705395054998,495.7763085696,0.0,778.4181584055884,0.0,289.80629999946126,0.0,935.0282220570002,0.13333333333333333,1167.0145642055884,1.0739452873563218,436.6257848097613,0.6754705395054998,1430.8045306266004,0.0026380392156862744,65.26121696355956,0.0075575974424552435,63.71008486225646,0.04133333333333333,361.7745149037324,0.0006666666666666666,5.835072821027942,0.0005266666666666666,5.520456773946613,0.0011933333333333331,11.355529594974556,0.0,0.0,0.0,0.0,0.0,0.0,2.8851659999999995,2.8851659999999995,1.0196176644,1.0196176644,0.17546985106321838,0.4290577514804398,0.0735,0.073584197925,0.44099999999999995,0.44150518755,1.7095875154632183,1.9637648013554396,0.0,0.017997742239022823,0.0,4.414052209375942,0.0,17.2349352621181,0.0,0.29703759477209835,0.0,0.43895049055137414,0.0,0.6891501684460514,0.0,0.006089005434147795,False,True
