Region,Province,Crop,Category,count__minValue,count__maxValue,Cycle_length_months__minValue,Cycle_length_months__maxValue,Area_ha__minValue,Area_ha__maxValue,Yield_kgha__minValue,Yield_kgha__maxValue,Irrig_m3__minValue,Irrig_m3__maxValue,Fuel_ha__minValue,Fuel_ha__maxValue,NPK_kgha__minValue,NPK_kgha__maxValue,AN_kgha__minValue,AN_kgha__maxValue,AP_kgha__minValue,AP_kgha__maxValue,AS_kgha__minValue,AS_kgha__maxValue,Total_fert_min_kgha__minValue,Total_fert_min_kgha__maxValue,Total_fert_org_kgha__minValue,Total_fert_org_kgha__maxValue,Insecticide_kgha__minValue,Insecticide_kgha__maxValue,Herbicide_kgha__minValue,Herbicide_kgha__maxValue,Fungicide_kgha__minValue,Fungicide_kgha__maxValue,Total_pesticides_kgha__minValue,Total_pesticides_kgha__maxValue,Seed_kgha__minValue,Seed_kgha__maxValue,Organic_estiercol_kgha__minValue,Organic_estiercol_kgha__maxValue,Organic_fermentado_kgha__minValue,Organic_fermentado_kgha__maxValue,Organic_liquido_kgha__minValue,Organic_liquido_kgha__maxValue,Irrig_lake_m3__minValue,Irrig_lake_m3__maxValue,Irrig_river_m3__minValue,Irrig_river_m3__maxValue,Irrig_well_m3__minValue,Irrig_well_m3__maxValue,N_min__minValue,N_min__maxValue,P_min__minValue,P_min__maxValue,K_min__minValue,K_min__maxValue,N_orga__minValue,N_orga__maxValue,P_orga__minValue,P_orga__maxValue,K_orga__minValue,K_orga__maxValue,N_tot__minValue,N_tot__maxValue,P_tot__minValue,P_tot__maxValue,K_tot__minValue,K_tot__maxValue,kgNH3N_ha__minValue,kgNH3N_ha__maxValue,kgNOxN_ha__minValue,kgNOxN_ha__maxValue,kgNO3N_ha__minValue,kgNO3N_ha__maxValue,kgN2ON_ha_direct__minValue,kgN2ON_ha_direct__maxValue,kgN2ON_ha_indirect__minValue,kgN2ON_ha_indirect__maxValue,kgN2ON_ha__minValue,kgN2ON_ha__maxValue,kgCO2urea_ha__minValue,kgCO2urea_ha__maxValue,kgCO2limestone_ha__minValue,kgCO2limestone_ha__maxValue,kgCO2_fert_ha__minValue,kgCO2_fert_ha__maxValue,soil_erosion_tha__minValue,soil_erosion_tha__maxValue,kgP_ha_erosion__minValue,kgP_ha_erosion__maxValue,kgP_ha_runoff__minValue,kgP_ha_runoff__maxValue,kgP_ha_leaching__minValue,kgP_ha_leaching__maxValue,kgP_ha_drainage__minValue,kgP_ha_drainage__maxValue,kgP_total__minValue,kgP_total__maxValue,Cd_kg_ha__minValue,Cd_kg_ha__maxValue,Cu_kg_ha__minValue,Cu_kg_ha__maxValue,Zn_kg_ha__minValue,Zn_kg_ha__maxValue,Pb_kg_ha__minValue,Pb_kg_ha__maxValue,Ni_kg_ha__minValue,Ni_kg_ha__maxValue,Cr_kg_ha__minValue,Cr_kg_ha__maxValue,Hg_kg_ha__minValue,Hg_kg_ha__maxValue,trace_metals_from_organic__minValue,trace_metals_from_organic__maxValue,SOC_mean_rate_kgChayr__minValue,SOC_mean_rate_kgChayr__maxValue,SOC_mean_rate_kgChayr__minValue__minValue,SOC_mean_rate_kgChayr__minValue__maxValue,SOC_mean_rate_kgChayr__maxValue__minValue,SOC_mean_rate_kgChayr__maxValue__maxValue
(all regions confounded),(all provinces confounded),ACELGA,transitory,14.85,15.15,3.96,4.04,0.0099,0.0101,2249.9999999999977,2295.4545454545428,7425.0,7575.0,367.64145,375.06855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-12,8981.128926000001,9162.565874,,,,,,,0.0,1e-12,0.0,0.0,4490.564463000001,4581.282937,4490.564463000001,4581.282937,0.0,1e-12,0.0,1e-12,7425.0,7575.0,0.0,1e-12,0.0,1e-12,0.0,1e-12,0.0,1e-12,71.849031408,73.300526992,28.274112949035818,28.845307150026432,83.63629521777426,85.32591734338585,71.849031408,73.300526992,28.274112949035818,28.845307150026432,83.63629521777426,85.32591734338585,5.314038891207924,5.421393212242428,3.8474582629275416,3.9251846924816345,22.27319973648,22.72316336752,0.35924515704000004,0.36650263496,0.36786704080895993,0.37529869819904,0.72711219784896,0.7418013331590401,0.0,1e-12,0.0,1e-12,0.0,1e-12,2.8563143399999995,2.9140176599999994,1.009421487756,1.0298138410439999,0.18705656431568451,0.18730013127155692,0.072765,0.074235,0.4365899999999999,0.44541,1.7211742287156842,1.7214177956715568,0.0021298073663339554,0.002172833777775045,0.4804903975410001,0.4901972742590002,1.6175484704994616,1.6502262173782394,0.044279390509990024,0.04517392365160597,0.05511808633175461,0.05623158302532541,0.09014796933061345,0.09196914042820158,0.000491739261520815,0.0005016733880161849,0.99,1.01,0.0,1e-12,0.0,1e-12,0.0,1e-12
(all regions confounded),(all provinces confounded),AJI,transitory,15.84,16.16,4.95,5.05,0.86625,0.88375,6738.749999999998,6874.886363636362,10330.434782608698,10539.13043478261,1225.4715,1250.2285000000002,59.87419284,61.083772493333335,0.0,0.0,0.0,0.0,49.5,50.5,44.90564463,45.81282937,0.0,1e-12,0.99,1.01,0.7425,0.7575,,,1.7325,1.7675,43.19999999999996,44.07272727272724,0.0,1e-12,0.0,1e-12,0.0,1e-12,0.0,1e-12,0.0,1e-12,0.0,1e-12,8.981128926,9.162565874,3.9193646633064003,3.9985437474136005,32.1092051214726,32.757875932007394,0.0,1.9450000000000002e-14,0.0,6.950938284863813e-15,0.0,2.0700145802497747e-14,8.981128926,9.16256587400002,3.9193646633064003,3.9985437474136076,32.1092051214726,32.757875932007416,0.17769427730941764,0.18128406068940733,0.5090681775112381,0.5193523831175267,2.78414996706,2.840395420940006,0.044905644630000005,0.0458128293700001,0.035475459257699994,0.036192135202300094,0.0803811038877,0.08200496457230019,0.0,1e-12,0.0,1e-12,0.0,1e-12,2.8563143399999995,2.9140176599999994,1.009421487756,1.0298138410439999,0.17671472204019653,0.17674936288949342,0.072765,0.074235,0.4365899999999999,0.44541,1.7108323864401962,1.7108670272894932,0.0,9.742849999999999e-19,0.0,2.735e-16,0.0,1.3172104999999999e-15,0.0,1.1660539999999998e-17,0.0,2.12742e-17,0.0,3.3174974999999996e-17,0.0,1.22505e-19,0.0,1.0,0.0,1e-12,0.0,1e-12,0.0,1e-12
(all regions confounded),(all provinces confounded),AJONJOLI,transitory,2.97,3.03,3.96,4.04,0.99,1.01,540.0000000000005,550.9090909090914,,,367.64145,375.06855,49.56203007518797,50.563283208020046,99.0,101.0,0.0,0.0,0.0,0.0,148.5,151.5,0.0,1e-12,2.9737218045112783,3.0337969924812027,0.9924812030075189,1.012531328320802,,,3.969924812030075,4.050125313283208,0.0,0.0,0.0,1e-12,0.0,1e-12,0.0,1e-12,0.0,1e-12,0.0,1e-12,0.0,1e-12,41.094304511278196,41.92449248120301,3.2443304887218045,3.3098725187969924,6.171216174812029,6.295887208646615,0.0,1.9450000000000002e-14,0.0,6.950938284863813e-15,0.0,2.0700145802497747e-14,41.094304511278196,41.92449248120303,3.2443304887218045,3.3098725187969995,6.171216174812029,6.2958872086466355,0.8130629013157895,0.8294884144736857,2.329306580054348,2.3763632786413056,12.73923439849624,12.996592669172939,0.20547152255639098,0.20962246240601518,0.16232250281954885,0.16560174530075197,0.36779402537593986,0.3752242077067671,0.0,1e-12,0.0,1e-12,0.0,1e-12,2.8563143399999995,2.9140176599999994,1.009421487756,1.0298138410439999,0.17641939458881578,0.17644806922697368,0.072765,0.074235,0.4365899999999999,0.44541,1.7105370589888156,1.7105657336269733,0.0,9.742849999999999e-19,0.0,2.735e-16,0.0,1.3172104999999999e-15,0.0,1.1660539999999998e-17,0.0,2.12742e-17,0.0,3.3174974999999996e-17,0.0,1.22505e-19,0.0,1.0,0.0,1e-12,0.0,1e-12,0.0,1e-12
(all regions confounded),(all provinces confounded),ALFALFA,transitory,16.83,17.17,5.94,6.06,0.0891,0.0909,9999.999999999998,10202.0202020202,10330.434782608698,10539.13043478261,2450.943,2500.4570000000003,249.4758035,254.51571872222223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-12,690.8560712307692,704.8127595384615,5.140384615384614,5.244230769230769,4.5,4.590909090909092,3.9,3.978787878787879,5.5,5.611111111111111,219.88636363636357,224.3285123966941,690.8560712307692,704.8127595384615,0.0,1e-12,0.0,1e-12,0.0,1e-12,10330.434782608698,10539.13043478261,0.0,1e-12,37.421370525,38.17735780833333,16.330686097110004,16.660598947556668,31.063479672802497,31.6910247166975,5.975905016146155,6.096630370007704,2.1198354840763978,2.162660443350672,7.394062194635583,7.543437188466614,43.39727554114616,44.273988178341035,18.4505215811864,18.82325939090734,38.45754186743808,39.23446190516411,1.1823777875932326,1.2062642075446117,2.441122348357626,2.4904379513547497,13.453155417755308,13.72493633528572,0.2169863777057308,0.22136994089170517,0.1784110472564183,0.1820153108373561,0.3953974249621491,0.40338525172906126,0.0,1e-12,0.0,1e-12,0.0,1e-12,2.8563143399999995,2.9140176599999994,1.009421487756,1.0298138410439999,0.18399953121605248,0.1841813399274879,0.072765,0.074235,0.4365899999999999,0.44541,1.7181171956160521,1.7182990043274877,9.968016823753153e-05,0.00010169390901000773,0.02706083231010923,0.02760751579112177,0.12144213448130076,0.12389551093546959,0.001043565729836926,0.0010646478657932376,0.0022316032812896304,0.0022766861758611564,0.0032500978443015917,0.003315756386610743,5.202146216367692e-05,5.3072400793246196e-05,0.99,1.01,0.0,1e-12,0.0,1e-12,0.0,1e-12
(all regions confounded),(all provinces confounded),APIO,transitory,38.61,39.39,3.96,4.04,0.099,0.101,5999.999999999994,6121.212121212116,10330.434782608698,10539.13043478261,1715.6601,1750.3199,172.7140178076923,176.20318988461537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-12,4490.564463000001,4581.282937,1.8358516483516485,1.87293956043956,,,3.454280356153846,3.524063797692308,1.375,1.4027777777777777,0.0,0.0,4490.564463000001,4581.282937,0.0,1e-12,0.0,1e-12,0.0,1e-12,10330.434782608698,10539.13043478261,0.0,1e-12,25.907102671153844,26.430478482692305,11.30585960569154,11.534260809846923,21.505485927324806,21.93994018848288,38.84338260495001,39.62809740505001,13.778930646496589,14.057292881779349,48.061404265131294,49.03234172503294,64.75048527610386,66.05857588774232,25.084790252188128,25.591553691626274,69.5668901924561,70.97228191351581,3.3854819216441436,3.4538754958187723,3.548498020062236,3.620184848750362,20.072650435592195,20.47815852520012,0.3237524263805193,0.3302928794387116,0.30121117448840173,0.30729624872049066,0.624963600868921,0.6375891281592023,0.0,1e-12,0.0,1e-12,0.0,1e-12,2.8563143399999995,2.9140176599999994,1.009421487756,1.0298138410439999,0.19200287789317458,0.19234637037586497,0.072765,0.074235,0.4365899999999999,0.44541,1.7261205422931742,1.7264640347758649,0.000647921093543955,0.0006610104085650458,0.17589541001571002,0.1794488526422902,0.789373874128455,0.8053208210805461,0.006783177243940021,0.00692021112765599,0.0145054213283826,0.014798460143097417,0.02112563598796035,0.021552416512969675,0.00033813950406390005,0.00034497060515610003,0.99,1.01,0.0,1e-12,0.0,1e-12,0.0,1e-12
(all regions confounded),(all provinces confounded),ARROZ,transitory,1.0,1.0,2.0,2.0,1.0,1.0,2727.27272727273,2727.27272727273,,,1732.99,1732.99,181.436948,181.436948,0.0,0.0,0.0,0.0,0.0,0.0,181.436948,181.436948,0.0,0.0,10.0,10.0,,,,,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.215542199999998,27.215542199999998,11.87686261608,11.87686261608,22.591621580219996,22.591621580219996,0.0,0.0,0.0,0.0,0.0,0.0,27.215542199999998,27.215542199999998,11.87686261608,11.87686261608,22.591621580219996,22.591621580219996,0.5384675069982352,0.5384675069982352,1.5426308409431455,1.5426308409431455,8.436818081999998,8.436818081999998,0.136077711,0.136077711,0.10750139168999998,0.10750139168999998,0.24357910268999997,0.24357910268999997,0.0,0.0,0.0,0.0,0.0,0.0,2.8851659999999995,2.8851659999999995,1.0196176644,1.0196176644,0.18019612739453497,0.18019612739453497,0.0735,0.0735,0.44099999999999995,0.44099999999999995,1.7143137917945346,1.7143137917945346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
(all regions confounded),(all provinces confounded),AVENA,transitory,18.81,19.19,7.92,8.08,0.8019000000000001,0.8181,1227.2727272727236,1252.0661157024758,,,0.0,1e-12,96.22638135,98.17034865,56.13205578749999,57.2660367125,0.0,0.0,0.0,0.0,106.9182015,109.07816516666668,0.0,1e-12,0.3712499999999999,0.3787499999999999,0.99,1.01,2.3595,2.4071666666666665,0.0,1e-12,6.412500000000007,6.542045454545461,0.0,1e-12,0.0,1e-12,0.0,1e-12,0.0,1e-12,0.0,1e-12,0.0,1e-12,33.51885617025,34.19600477975,6.298978923171,6.426231022629,11.981627873795249,12.223680962154749,0.0,1.9450000000000002e-14,0.0,6.950938284863813e-15,0.0,2.0700145802497747e-14,33.51885617025,34.19600477975002,6.298978923171,6.426231022629007,11.981627873795249,12.22368096215477,0.663180427815505,0.6765780122158198,1.8999151624972992,1.9382972869921948,10.390845412777498,10.600761481722506,0.16759428085125,0.1709800238987501,0.13239948187248746,0.1350742188800126,0.29999376272373746,0.3060542427787627,0.0,1e-12,0.0,1e-12,0.0,1e-12,2.8563143399999995,2.9140176599999994,1.009421487756,1.0298138410439999,0.17775580327888732,0.1778114760724002,0.072765,0.074235,0.4365899999999999,0.44541,1.711873467678887,1.7119291404724,0.0,9.742849999999999e-19,0.0,2.735e-16,0.0,1.3172104999999999e-15,0.0,1.1660539999999998e-17,0.0,2.12742e-17,0.0,3.3174974999999996e-17,0.0,1.22505e-19,0.0,1.0,0.0,1e-12,0.0,1e-12,0.0,1e-12
(all regions confounded),(all provinces confounded),AVENA FORRAJERA,transitory,7.92,8.08,10.89,11.11,0.2227499999999999,0.2272499999999999,1772.4489795918355,1808.2560296846,10330.434782608698,10539.13043478261,0.0,1e-12,214.9200334206081,219.26185227759007,0.0,0.0,0.0,0.0,0.0,0.0,126.55342631250002,129.1100611875,0.0,1e-12,2.778061224489796,2.8341836734693877,,,,,0.1337837837837838,0.1364864864864864,52.49999999999997,53.560606060606034,0.0,1e-12,0.0,1e-12,0.0,1e-12,0.0,1e-12,0.0,1e-12,0.0,1e-12,32.23800501309121,32.88927784163851,14.068665387713006,14.352880850091047,26.760767961367012,27.301389536344125,0.0,1.9450000000000002e-14,0.0,6.950938284863813e-15,0.0,2.0700145802497747e-14,32.23800501309121,32.88927784163853,14.068665387713006,14.352880850091054,26.760767961367012,27.301389536344146,0.6378384109501899,0.6507240354138315,1.8273139817759807,1.8642294157512544,9.993781554058275,10.195676130907945,0.16119002506545607,0.16444638920819266,0.12734011980171028,0.1299126474744722,0.2885301448671663,0.29435903668266483,0.0,1e-12,0.0,1e-12,0.0,1e-12,2.8563143399999995,2.9140176599999994,1.009421487756,1.0298138410439999,0.1811550411071244,0.18127938537191482,0.072765,0.074235,0.4365899999999999,0.44541,1.715272705507124,1.7153970497719144,0.0,9.742849999999999e-19,0.0,2.735e-16,0.0,1.3172104999999999e-15,0.0,1.1660539999999998e-17,0.0,2.12742e-17,0.0,3.3174974999999996e-17,0.0,1.22505e-19,0.0,1.0,0.0,1e-12,0.0,1e-12,0.0,1e-12
(all regions confounded),(all provinces confounded),CACAO CCN51 O RAMILLA (ALMENDRA FRESCA),transitory,1.0,1.0,3.0,3.0,1.5,1.5,533.3333333333334,533.3333333333334,,,0.0,0.0,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.6666666666666666,0.0,0.0,0.3333333333333333,0.3333333333333333,2.6666666666666665,2.6666666666666665,,,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09999999999999999,0.09999999999999999,0.04364,0.04364,0.08300999999999999,0.08300999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.09999999999999999,0.09999999999999999,0.04364,0.04364,0.08300999999999999,0.08300999999999999,0.001978529411764706,0.001978529411764706,0.005668198081841432,0.005668198081841432,0.030999999999999996,0.030999999999999996,0.0005,0.0005,0.00039499999999999995,0.00039499999999999995,0.000895,0.000895,0.0,0.0,0.0,0.0,0.0,0.0,2.8851659999999995,2.8851659999999995,1.0196176644,1.0196176644,0.17501909249999997,0.17501909249999997,0.0735,0.0735,0.44099999999999995,0.44099999999999995,1.7091367568999996,1.7091367568999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,800.0,150.0,150.0,800.0,800.0
(all regions confounded),(all provinces confounded),CAMOTE,transitory,12.87,13.13,3.96,4.04,0.2475,0.2525,2812.499999999994,2869.318181818176,10330.434782608698,10539.13043478261,0.0,1e-12,198.0,202.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-12,0.0,1e-12,,,,,,,0.0,1e-12,0.0,0.0,0.0,1e-12,0.0,1e-12,0.0,1e-12,0.0,1e-12,0.0,1e-12,0.0,1e-12,29.7,30.299999999999997,12.96108,13.22292,24.653969999999997,25.152029999999996,0.0,1.9450000000000002e-14,0.0,6.950938284863813e-15,0.0,2.0700145802497747e-14,29.7,30.300000000000015,12.96108,13.222920000000007,24.653969999999997,25.152030000000018,0.5876232352941176,0.5994944117647073,1.6834548303069055,1.7174640187979549,9.206999999999999,9.393000000000004,0.1485,0.15150000000000008,0.11731499999999997,0.11968500000000007,0.26581499999999997,0.2711850000000001,0.0,1e-12,0.0,1e-12,0.0,1e-12,2.8563143399999995,2.9140176599999994,1.009421487756,1.0298138410439999,0.18067047249999998,0.1807850275,0.072765,0.074235,0.4365899999999999,0.44541,1.7147881368999998,1.7149026918999999,0.0,9.742849999999999e-19,0.0,2.735e-16,0.0,1.3172104999999999e-15,0.0,1.1660539999999998e-17,0.0,2.12742e-17,0.0,3.3174974999999996e-17,0.0,1.22505e-19,0.0,1.0,0.0,1e-12,0.0,1e-12,0.0,1e-12
