Region,Province,Crop,Category,count__minValue,count__maxValue,Area_ha__minValue,Area_ha__maxValue,Yield_kgha__minValue,Yield_kgha__maxValue,Irrig_m3__minValue,Irrig_m3__maxValue,Fuel_ha__minValue,Fuel_ha__maxValue,NPK_kgha__minValue,NPK_kgha__maxValue,AN_kgha__minValue,AN_kgha__maxValue,AP_kgha__minValue,AP_kgha__maxValue,AS_kgha__minValue,AS_kgha__maxValue,Total_fert_min_kgha__minValue,Total_fert_min_kgha__maxValue,Total_fert_org_kgha__minValue,Total_fert_org_kgha__maxValue,Insecticide_kgha__minValue,Insecticide_kgha__maxValue,Herbicide_kgha__minValue,Herbicide_kgha__maxValue,Fungicide_kgha__minValue,Fungicide_kgha__maxValue,Total_pesticides_kgha__minValue,Total_pesticides_kgha__maxValue,Organic_estiercol_kgha__minValue,Organic_estiercol_kgha__maxValue,Organic_fermentado_kgha__minValue,Organic_fermentado_kgha__maxValue,Organic_liquido_kgha__minValue,Organic_liquido_kgha__maxValue,Irrig_lake_m3__minValue,Irrig_lake_m3__maxValue,Irrig_river_m3__minValue,Irrig_river_m3__maxValue,Irrig_well_m3__minValue,Irrig_well_m3__maxValue,Seed_kgha__minValue,Seed_kgha__maxValue,N_min__minValue,N_min__maxValue,P_min__minValue,P_min__maxValue,K_min__minValue,K_min__maxValue,N_orga__minValue,N_orga__maxValue,P_orga__minValue,P_orga__maxValue,K_orga__minValue,K_orga__maxValue,N_tot__minValue,N_tot__maxValue,P_tot__minValue,P_tot__maxValue,K_tot__minValue,K_tot__maxValue,kgNH3N_ha__minValue,kgNH3N_ha__maxValue,kgNOxN_ha__minValue,kgNOxN_ha__maxValue,kgNO3N_ha__minValue,kgNO3N_ha__maxValue,kgN2ON_ha_direct__minValue,kgN2ON_ha_direct__maxValue,kgN2ON_ha_indirect__minValue,kgN2ON_ha_indirect__maxValue,kgN2ON_ha__minValue,kgN2ON_ha__maxValue,kgCO2urea_ha__minValue,kgCO2urea_ha__maxValue,kgCO2limestone_ha__minValue,kgCO2limestone_ha__maxValue,kgCO2_fert_ha__minValue,kgCO2_fert_ha__maxValue,soil_erosion_tha__minValue,soil_erosion_tha__maxValue,kgP_ha_erosion__minValue,kgP_ha_erosion__maxValue,kgP_ha_runoff__minValue,kgP_ha_runoff__maxValue,kgP_ha_leaching__minValue,kgP_ha_leaching__maxValue,kgP_ha_drainage__minValue,kgP_ha_drainage__maxValue,kgP_total__minValue,kgP_total__maxValue,Cd_kg_ha__minValue,Cd_kg_ha__maxValue,Cu_kg_ha__minValue,Cu_kg_ha__maxValue,Zn_kg_ha__minValue,Zn_kg_ha__maxValue,Pb_kg_ha__minValue,Pb_kg_ha__maxValue,Ni_kg_ha__minValue,Ni_kg_ha__maxValue,Cr_kg_ha__minValue,Cr_kg_ha__maxValue,Hg_kg_ha__minValue,Hg_kg_ha__maxValue,trace_metals_from_organic__minValue,trace_metals_from_organic__maxValue,SOC_mean_rate_kgChayr__minValue,SOC_mean_rate_kgChayr__maxValue,SOC_mean_rate_kgChayr__minValue__minValue,SOC_mean_rate_kgChayr__minValue__maxValue,SOC_mean_rate_kgChayr__maxValue__minValue,SOC_mean_rate_kgChayr__maxValue__maxValue
(all regions confounded),(all provinces confounded),ABACÁ,permanent,36.63,37.37,5.94,6.06,2852.542372881356,2910.169491525424,,,0.0,1e-12,148.5,151.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-12,0.0,1e-12,,,0.99,1.01,,,0.0,1e-12,15.113956964040002,15.41928942796,89.81128926,91.62565874,1.98,2.02,0.0,1e-12,0.0,1e-12,0.0,1e-12,0.0,0.0,22.275,22.724999999999998,9.72081,9.917190000000002,18.490477499999997,18.864022499999997,0.797679703799946,0.8137944452908541,0.3375756977695645,0.34439540883561626,0.8773677689795011,0.8950923703730266,23.072679703799945,23.53879444529085,10.058385697769564,10.261585408835618,19.367845268979497,19.759114870373025,0.4997147558103426,0.5098100034024706,1.305306233948964,1.3316760568570236,7.152530708177983,7.297026278040164,0.11536339851899972,0.11769397222645425,0.09207037008345571,0.09393037755988916,0.20743376860245544,0.21162434978634342,0.0,1e-12,0.0,1e-12,0.0,1e-12,2.8563143399999995,2.9140176599999994,1.009421487756,1.0298138410439999,0.17929541799112889,0.17938219411216186,0.07350023815984501,0.073500242971155,0.44100142895907,0.44100145782693,1.7134147495100438,1.713501559310247,3.280844273635651e-05,3.347123955931321e-05,0.007013583444787247,0.007155271999227396,0.021115158852343895,0.02154172771804782,0.0007763185018734608,0.0007920017039315107,0.000878894403852682,0.0008966498463547565,0.0014774875216925396,0.001507335754454005,4.235816108530512e-06,4.321388151127088e-06,0.99,1.01,0.0,1e-12,0.0,1e-12,0.0,1e-12
(all regions confounded),(all provinces confounded),ACHIOTE,permanent,5.94,6.06,0.693,0.707,787.5000000000005,803.4090909090914,,,0.0,1e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-12,0.0,1e-12,,,,,,,0.0,1e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-12,0.0,1e-12,0.0,1e-12,0.0,0.0,0.0,1e-12,0.0,1e-12,0.0,1e-12,0.0,1e-12,0.0,1e-12,0.0,1e-12,0.0,1e-12,0.0,1e-12,0.0,1e-12,0.0,1e-12,0.0,1e-12,0.0,1e-12,0.0,1e-12,0.0,1e-12,0.0,1e-12,0.0,1e-12,0.0,1e-12,0.0,1e-12,2.8563143399999995,2.9140176599999994,1.009421487756,1.0298138410439999,0.17325,0.17675,0.072765,0.074235,0.4365899999999999,0.44541,1.6920264877559998,1.726208841044,0.0,1e-12,0.0,1e-12,0.0,1e-12,0.0,1e-12,0.0,1e-12,0.0,1e-12,0.0,1e-12,0.0,1e-12,0.0,1e-12,0.0,1e-12,0.0,1e-12
(all regions confounded),(all provinces confounded),ALCACHOFA,permanent,1.98,2.02,3.8115,3.8885,12342.85714285714,12592.207792207791,5568.75,5681.25,1225.4715,1250.2285000000002,174.957057,178.491543,0.0,0.0,0.0,0.0,0.0,0.0,174.957057,178.491543,0.0,1e-12,0.4011428571428572,0.4092467532467532,0.9257142857142856,0.9444155844155844,0.3085714285714285,0.3148051948051948,0.9205714285714288,0.9391688311688312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-12,0.0,1e-12,5568.75,5681.25,0.0,0.0,26.24355855,26.77373145,11.45268895122,11.684056404780002,21.784777952354997,22.224874476645,0.0,1e-12,0.0,1e-12,0.0,1e-12,26.24355855,26.77373145,11.45268895122,11.684056404780002,21.784777952354997,22.224874476645,0.5192365246054412,0.5297261513651471,1.4875368823380333,1.517588132486276,8.1355031505,8.2998567495,0.13121779275,0.13386865725,0.1036620562725,0.10575623922749999,0.2348798490225,0.2396248964775,0.0,1e-12,0.0,1e-12,0.0,1e-12,2.8563143399999995,2.9140176599999994,1.009421487756,1.0298138410439999,0.1800105514161587,0.18011177467709125,0.072765,0.074235,0.4365899999999999,0.44541,1.7141282158161584,1.7142294390770911,0.0,1e-12,0.0,1e-12,0.0,1e-12,0.0,1e-12,0.0,1e-12,0.0,1e-12,0.0,1e-12,0.0,1e-12,0.0,1e-12,0.0,1e-12,0.0,1e-12
(all regions confounded),(all provinces confounded),ARÁNDANO,permanent,12.87,13.13,1.1384999999999998,1.1615,8302.499999999989,8470.227272727261,11137.5,11362.5,2450.943,2500.4570000000003,198.0,202.0,124.2021,126.71123333333333,115.335,117.665,341.55,348.45,188.3046,192.1087333333333,0.0,1e-12,2.112,2.1546666666666665,6.346153846153847,6.474358974358975,7.634423076923077,7.788653846153847,0.0,1e-12,0.0,0.0,13222.44,13489.56,103.95,106.05,0.0,1e-12,0.0,1e-12,0.0,1e-12,0.0,0.0,71.928714,73.38181933333334,35.6105673,36.3299727,194.76636299999998,198.70103699999999,97.5435615,99.51413849999999,42.7490226081072,43.6126392264528,104.96577426405844,107.08629495626163,169.4722755,172.89595783333334,78.3595899081072,79.9426119264528,299.73213726405845,305.7873319562616,8.637567327665295,8.812063637315095,9.300441820400223,9.488329533943665,52.536405405,53.597746928333336,0.8473613775,0.8644797891666667,0.78354145518,0.7993705754866667,1.63090283268,1.6638503646533334,0.0,1e-12,0.0,1e-12,0.0,1e-12,2.8563143399999995,2.9140176599999994,1.009421487756,1.0298138410439999,0.19068381812593752,0.19100066293656248,0.0735125033918625,0.0735127559856375,0.44107502035117496,0.441076535913825,1.7248890062689748,1.7252076192360248,0.0044153802,0.004504579799999999,0.9141857802000002,0.9326541798000001,2.5380352582200003,2.58930869778,0.11059448399999999,0.11282871599999998,0.12051929736,0.12295403063999999,0.204597589581,0.20873087421900002,0.00045362491019999997,0.00046278904979999997,0.99,1.01,0.0,1e-12,0.0,1e-12,0.0,1e-12
(all regions confounded),(all provinces confounded),BABACO,permanent,12.87,13.13,0.1782,0.1818,28512.0,29088.0,11137.5,11362.5,0.0,1e-12,518.90967128,529.3926949422222,0.0,0.0,0.0,0.0,498.951607,509.03143744444446,498.951607,509.03143744444446,2806.602789375,2863.301835625,9.9,10.1,,,7.975,8.136111111111111,0.99,1.01,4490.564463000001,4581.282937,0.0,0.0,0.0,0.0,0.0,1e-12,0.0,1e-12,0.0,1e-12,0.0,0.0,77.836450692,79.40890424133333,33.9678270819888,34.654045810917864,313.1198751018492,319.4455291443108,38.84338260495001,39.628097405050006,13.778930646496589,14.057292881779345,48.061404265131294,49.032341725032936,116.67983329695001,119.03700164638335,47.74675772848539,48.71133869269721,361.18127936698045,368.47787086934375,4.412919345574238,4.502069231343413,6.4919563284925985,6.62310696139144,36.1707483220545,36.901470510378836,0.5833991664847501,0.5951850082319168,0.506332099170744,0.5165610304671227,1.089731265655494,1.1117460386990394,0.0,1e-12,0.0,1e-12,0.0,1e-12,2.8563143399999995,2.9140176599999994,1.009421487756,1.0298138410439999,0.20191748866405462,0.20246127631383345,0.072765,0.074235,0.4365899999999999,0.44541,1.7360351530640545,1.7365789407138332,0.000647921093543955,0.0006610104085650449,0.17589541001571002,0.17944885264229,0.789373874128455,0.8053208210805449,0.006783177243940021,0.0069202111276559794,0.0145054213283826,0.0147984601430974,0.02112563598796035,0.021552416512969647,0.00033813950406390005,0.0003449706051561,0.99,1.01,0.0,1e-12,0.0,1e-12,0.0,1e-12
(all regions confounded),(all provinces confounded),BAMBÚ O CAÑA GUADUA,permanent,30.69,31.31,1.7226,1.7574,6749.999999999982,6886.363636363618,,,0.0,1e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-12,0.0,1e-12,1.4652,1.4948,1.98,2.02,,,0.0,1e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-12,0.0,1e-12,0.0,1e-12,0.0,0.0,0.0,1e-12,0.0,1e-12,0.0,1e-12,0.0,1e-12,0.0,1e-12,0.0,1e-12,0.0,1e-12,0.0,1e-12,0.0,1e-12,0.0,1e-12,0.0,1e-12,0.0,1e-12,0.0,1e-12,0.0,1e-12,0.0,1e-12,0.0,1e-12,0.0,1e-12,0.0,1e-12,2.8563143399999995,2.9140176599999994,1.009421487756,1.0298138410439999,0.17325,0.17675,0.072765,0.074235,0.4365899999999999,0.44541,1.6920264877559998,1.726208841044,0.0,1e-12,0.0,1e-12,0.0,1e-12,0.0,1e-12,0.0,1e-12,0.0,1e-12,0.0,1e-12,0.0,1e-12,0.0,1e-12,0.0,1e-12,0.0,1e-12
(all regions confounded),(all provinces confounded),CABUYA,permanent,1.0,1.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8851659999999995,2.8851659999999995,1.0196176644,1.0196176644,0.175,0.175,0.0735,0.0735,0.44099999999999995,0.44099999999999995,1.7091176644,1.7091176644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
(all regions confounded),(all provinces confounded),CARDAMOMO,permanent,1.0,1.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8851659999999995,2.8851659999999995,1.0196176644,1.0196176644,0.175,0.175,0.0735,0.0735,0.44099999999999995,0.44099999999999995,1.7091176644,1.7091176644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
(all regions confounded),(all provinces confounded),CAUCHO,permanent,7.92,8.08,12.3651,12.6149,6933.965287049399,7074.045393858478,,,0.0,1e-12,158.8125,162.02083333333331,123.95659432387312,126.46076794657765,29.74958263772955,30.350584307178632,49.58263772954925,50.58430717863105,0.0,1e-12,0.0,1e-12,,,2.3623895659432392,2.410114607679466,,,0.495,0.505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-12,0.0,1e-12,0.0,1e-12,0.0,0.0,65.96711707011687,67.2997861018364,16.23808928839733,16.56613149624374,44.46966698507929,45.368044095888976,0.0,1e-12,0.0,1e-12,0.0,1e-12,65.96711707011687,67.2997861018364,16.23808928839733,16.56613149624374,44.46966698507929,45.368044095888976,1.3051788133255182,1.3315460620795692,3.7391468644144568,3.8146851849076784,20.44980629173623,20.862933691569285,0.3298355853505844,0.336498930509182,0.2605701124269616,0.2658341551022538,0.590405697777546,0.6023330856114357,0.0,1e-12,0.0,1e-12,0.0,1e-12,2.8563143399999995,2.9140176599999994,1.009421487756,1.0298138410439999,0.18210416406367383,0.18224768252960663,0.072765,0.074235,0.4365899999999999,0.44541,1.7162218284636737,1.7163653469296065,0.0,1e-12,0.0,1e-12,0.0,1e-12,0.0,1e-12,0.0,1e-12,0.0,1e-12,0.0,1e-12,0.0,1e-12,0.0,1e-12,0.0,1e-12,0.0,1e-12
(all regions confounded),(all provinces confounded),CAÑA DE AZÚCAR /BIOCOMBUSTIBLE,permanent,6.93,7.07,4.95,5.05,40604.65116279062,41424.9471458773,,,0.0,1e-12,23.459479065964917,23.933407935984405,47.26909961052632,48.22403091578948,0.0,0.0,276.27906976744185,281.86046511627904,65.71557750731708,67.04316493170731,0.0,1e-12,7.2439024390243905,7.390243902439025,4.755299999999999,4.851366666666666,0.9658536585365854,0.9853658536585368,5.385599999999999,5.4944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-12,0.0,1e-12,0.0,1e-12,0.0,0.0,19.590415727473683,19.986181701766085,1.5356574996580636,1.5666808834895394,140.5246105242707,143.36349154496304,0.0,1e-12,0.0,1e-12,0.0,1e-12,19.590415727473683,19.986181701766085,1.5356574996580636,1.5666808834895394,140.5246105242707,143.36349154496304,0.3876021370550455,0.39543248325817776,1.1104235684894257,1.1328563678528487,6.073028875516842,6.195716327547486,0.09795207863736842,0.09993090850883043,0.07738214212352104,0.07894541772197602,0.17533422076088945,0.17887632623080646,0.0,1e-12,0.0,1e-12,0.0,1e-12,2.8563143399999995,2.9140176599999994,1.009421487756,1.0298138410439999,0.1756718501561004,0.17568542288652667,0.072765,0.074235,0.4365899999999999,0.44541,1.7097895145561002,1.7098030872865264,0.0,1e-12,0.0,1e-12,0.0,1e-12,0.0,1e-12,0.0,1e-12,0.0,1e-12,0.0,1e-12,0.0,1e-12,150.0,800.0,148.5,151.5,792.0,808.0
