Region,Province,Crop,Category,count__minValue,count__maxValue,Cycle_length_months__minValue,Cycle_length_months__maxValue,Area_ha__minValue,Area_ha__maxValue,Yield_kgha__minValue,Yield_kgha__maxValue,Irrig_m3__minValue,Irrig_m3__maxValue,Fuel_ha__minValue,Fuel_ha__maxValue,NPK_kgha__minValue,NPK_kgha__maxValue,AN_kgha__minValue,AN_kgha__maxValue,AP_kgha__minValue,AP_kgha__maxValue,AS_kgha__minValue,AS_kgha__maxValue,Total_fert_min_kgha__minValue,Total_fert_min_kgha__maxValue,Total_fert_org_kgha__minValue,Total_fert_org_kgha__maxValue,Insecticide_kgha__minValue,Insecticide_kgha__maxValue,Herbicide_kgha__minValue,Herbicide_kgha__maxValue,Fungicide_kgha__minValue,Fungicide_kgha__maxValue,Total_pesticides_kgha__minValue,Total_pesticides_kgha__maxValue,Seed_kgha__minValue,Seed_kgha__maxValue,Organic_estiercol_kgha__minValue,Organic_estiercol_kgha__maxValue,Organic_fermentado_kgha__minValue,Organic_fermentado_kgha__maxValue,Organic_liquido_kgha__minValue,Organic_liquido_kgha__maxValue,Irrig_lake_m3__minValue,Irrig_lake_m3__maxValue,Irrig_river_m3__minValue,Irrig_river_m3__maxValue,Irrig_well_m3__minValue,Irrig_well_m3__maxValue,N_min__minValue,N_min__maxValue,P_min__minValue,P_min__maxValue,K_min__minValue,K_min__maxValue,N_orga__minValue,N_orga__maxValue,P_orga__minValue,P_orga__maxValue,K_orga__minValue,K_orga__maxValue,N_tot__minValue,N_tot__maxValue,P_tot__minValue,P_tot__maxValue,K_tot__minValue,K_tot__maxValue,kgNH3N_ha__minValue,kgNH3N_ha__maxValue,kgNOxN_ha__minValue,kgNOxN_ha__maxValue,kgNO3N_ha__minValue,kgNO3N_ha__maxValue,kgN2ON_ha_direct__minValue,kgN2ON_ha_direct__maxValue,kgN2ON_ha_indirect__minValue,kgN2ON_ha_indirect__maxValue,kgN2ON_ha__minValue,kgN2ON_ha__maxValue,kgCO2urea_ha__minValue,kgCO2urea_ha__maxValue,kgCO2limestone_ha__minValue,kgCO2limestone_ha__maxValue,kgCO2_fert_ha__minValue,kgCO2_fert_ha__maxValue,soil_erosion_tha__minValue,soil_erosion_tha__maxValue,kgP_ha_erosion__minValue,kgP_ha_erosion__maxValue,kgP_ha_runoff__minValue,kgP_ha_runoff__maxValue,kgP_ha_leaching__minValue,kgP_ha_leaching__maxValue,kgP_ha_drainage__minValue,kgP_ha_drainage__maxValue,kgP_total__minValue,kgP_total__maxValue,Cd_kg_ha__minValue,Cd_kg_ha__maxValue,Cu_kg_ha__minValue,Cu_kg_ha__maxValue,Zn_kg_ha__minValue,Zn_kg_ha__maxValue,Pb_kg_ha__minValue,Pb_kg_ha__maxValue,Ni_kg_ha__minValue,Ni_kg_ha__maxValue,Cr_kg_ha__minValue,Cr_kg_ha__maxValue,Hg_kg_ha__minValue,Hg_kg_ha__maxValue,trace_metals_from_organic__minValue,trace_metals_from_organic__maxValue,SOC_mean_rate_kgChayr__minValue,SOC_mean_rate_kgChayr__maxValue,SOC_mean_rate_kgChayr__minValue__minValue,SOC_mean_rate_kgChayr__minValue__maxValue,SOC_mean_rate_kgChayr__maxValue__minValue,SOC_mean_rate_kgChayr__maxValue__maxValue
(all regions confounded),(all provinces confounded),ACELGA,transitory,14.85,15.15,3.96,4.04,0.0099,0.0101,2249.9999999999977,2295.4545454545428,7425.0,7575.0,367.64145,375.06855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-12,8981.128926000001,9162.565874,,,,,,,0.0,1e-12,0.0,0.0,4490.564463000001,4581.282937,4490.564463000001,4581.282937,0.0,0.0,0.0,1e-12,7425.0,7575.0,0.0,1e-12,0.0,1e-12,0.0,1e-12,0.0,1e-12,71.849031408,73.300526992,28.274112949035818,28.845307150026432,83.63629521777426,85.32591734338585,71.849031408,73.300526992,28.274112949035818,28.845307150026432,83.63629521777426,85.32591734338585,5.314038891207924,5.421393212242428,3.8474582629275416,3.9251846924816345,22.27319973648,22.72316336752,0.35924515704000004,0.36650263496,0.36786704080895993,0.37529869819904,0.72711219784896,0.7418013331590401,0.0,1e-12,0.0,1e-12,0.0,1e-12,2.8563143399999995,2.9140176599999994,1.009421487756,1.0298138410439999,0.18705656431568451,0.18730013127155692,0.072765,0.074235,0.4365899999999999,0.44541,1.7211742287156842,1.7214177956715568,0.0021298073663339554,0.0021728337777750448,0.4804903975410001,0.49019727425900006,1.6175484704994616,1.6502262173782385,0.044279390509990024,0.04517392365160597,0.05511808633175461,0.0562315830253254,0.09014796933061345,0.09196914042820156,0.000491739261520815,0.0005016733880161849,0.99,1.01,0.0,1e-12,0.0,1e-12,0.0,1e-12
(all regions confounded),(all provinces confounded),AJI,transitory,15.84,16.16,4.95,5.05,0.86625,0.88375,6738.749999999998,6874.886363636362,10330.434782608698,10539.13043478261,1225.4715,1250.2285000000002,59.87419284,61.083772493333335,0.0,0.0,0.0,0.0,49.5,50.5,44.90564463,45.81282937,0.0,1e-12,0.99,1.01,0.7425,0.7575,,,1.7325,1.7675,43.19999999999996,44.07272727272724,35.924515704,36.650263496,13.471693389,13.743848811,0.0,0.0,0.0,1e-12,0.0,1e-12,0.0,1e-12,8.981128926,9.162565874,3.9193646633064003,3.9985437474136005,32.1092051214726,32.757875932007394,0.40976400724875006,0.41804206800125004,0.1537169920795904,0.15682238585897604,0.4912159069789792,0.5011394606553222,9.39089293324875,9.58060794200125,4.073081655385991,4.155366133272577,32.60042102845158,33.25901539266272,0.20800090536083782,0.212202943852976,0.5310107129169968,0.541738202066835,2.9111768093071126,2.9699884620203876,0.046954464666243756,0.04790303971000626,0.0375734509748136,0.0383325105904664,0.08452791564105736,0.08623555030047265,0.0,1e-12,0.0,1e-12,0.0,1e-12,2.8563143399999995,2.9140176599999994,1.009421487756,1.0298138410439999,0.176811174554722,0.1768477639396659,0.072765,0.074235,0.4365899999999999,0.44541,1.7109288389547217,1.7109654283396658,9.62902756672164e-06,9.82355337615036e-06,0.00232094824270155,0.00236783608598845,0.008799514782140659,0.008977282757537439,0.00016675405774967017,0.00017012282659309782,0.0002378813656371768,0.00024268704979146322,0.000376072087931642,0.00038366950384945294,3.1659153048819448e-06,3.229873189829055e-06,0.99,1.01,0.0,1e-12,0.0,1e-12,0.0,1e-12
(all regions confounded),(all provinces confounded),AJONJOLI,transitory,2.97,3.03,3.96,4.04,0.99,1.01,540.0000000000005,550.9090909090914,,,367.64145,375.06855,49.56203007518797,50.563283208020046,99.0,101.0,0.0,0.0,0.0,0.0,148.5,151.5,0.0,1e-12,2.9737218045112783,3.0337969924812027,0.9924812030075189,1.012531328320802,,,3.969924812030075,4.050125313283208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-12,0.0,1e-12,0.0,1e-12,41.094304511278196,41.92449248120301,3.2443304887218045,3.3098725187969924,6.171216174812029,6.295887208646615,0.0,1e-12,0.0,1e-12,0.0,1e-12,41.094304511278196,41.92449248120301,3.2443304887218045,3.3098725187969924,6.171216174812029,6.295887208646615,0.8130629013157895,0.8294884144736843,2.329306580054348,2.3763632786413043,12.73923439849624,12.996592669172934,0.20547152255639098,0.20962246240601506,0.16232250281954885,0.1656017453007519,0.36779402537593986,0.37522420770676695,0.0,1e-12,0.0,1e-12,0.0,1e-12,2.8563143399999995,2.9140176599999994,1.009421487756,1.0298138410439999,0.17641939458881578,0.17644806922697368,0.072765,0.074235,0.4365899999999999,0.44541,1.7105370589888156,1.7105657336269733,0.0,1e-12,0.0,1e-12,0.0,1e-12,0.0,1e-12,0.0,1e-12,0.0,1e-12,0.0,1e-12,0.0,1e-12,0.0,1e-12,0.0,1e-12,0.0,1e-12
(all regions confounded),(all provinces confounded),ALFALFA,transitory,16.83,17.17,5.94,6.06,0.0891,0.0909,9999.999999999998,10202.0202020202,10330.434782608698,10539.13043478261,2450.943,2500.4570000000003,249.4758035,254.51571872222223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-12,690.8560712307692,704.8127595384615,5.140384615384614,5.244230769230769,4.5,4.590909090909092,3.9,3.978787878787879,5.5,5.611111111111111,219.88636363636357,224.3285123966941,2525.9425104375,2576.9716520625,0.0,0.0,0.0,0.0,0.0,1e-12,10330.434782608698,10539.13043478261,0.0,1e-12,37.421370525,38.17735780833333,16.330686097110004,16.660598947556668,31.063479672802497,31.6910247166975,21.849402715284377,22.29080479034063,7.75064848865433,7.907227246000883,27.03453989913635,27.580692220331027,59.27077324028438,60.46816259867396,24.081334585764335,24.56782619355755,58.09801957193885,59.27171693702853,2.356400352124671,2.4040043996423415,3.2911354757066267,3.3576230610744373,18.37393970448816,18.745130405588927,0.2963538662014219,0.30234081299336985,0.259683355476006,0.2649294838694607,0.5560372216774279,0.5672702968628305,0.0,1e-12,0.0,1e-12,0.0,1e-12,2.8563143399999995,2.9140176599999994,1.009421487756,1.0298138410439999,0.18892649259505817,0.1892078358798068,0.072765,0.074235,0.4365899999999999,0.44541,1.723044156995058,1.7233255002798065,0.0003644556151184747,0.0003718183548178378,0.09894116813383688,0.10093997961128813,0.4440228041972559,0.4529929618578066,0.003815537199716261,0.0038926187593064892,0.008159299497215212,0.008324133830492289,0.011883170243227695,0.012123234288545427,0.00019020347103594377,0.00019404596540030628,0.99,1.01,0.0,1e-12,0.0,1e-12,0.0,1e-12
(all regions confounded),(all provinces confounded),APIO,transitory,38.61,39.39,3.96,4.04,0.099,0.101,5999.999999999994,6121.212121212116,10330.434782608698,10539.13043478261,1715.6601,1750.3199,172.7140178076923,176.20318988461537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-12,8981.128926000001,9162.565874,1.8358516483516485,1.87293956043956,,,3.454280356153846,3.524063797692308,1.375,1.4027777777777777,0.0,0.0,4490.564463000001,4581.282937,4490.564463000001,4581.282937,0.0,0.0,0.0,1e-12,10330.434782608698,10539.13043478261,0.0,1e-12,25.907102671153844,26.430478482692305,11.30585960569154,11.534260809846923,21.505485927324806,21.93994018848288,71.849031408,73.300526992,28.274112949035818,28.845307150026432,83.63629521777426,85.32591734338585,97.75613407915384,99.73100547469231,39.579972554727355,40.379567959873356,105.14178114509906,107.26585753186873,5.826618537292783,5.944328002692637,5.315924159594574,5.4233165668591115,30.304401564537688,30.916611697154615,0.4887806703957692,0.49865502737346157,0.4702000963600176,0.47969908820567464,0.9589807667557868,0.9783541155791362,0.0,1e-12,0.0,1e-12,0.0,1e-12,2.8563143399999995,2.9140176599999994,1.009421487756,1.0298138410439999,0.19200287789317458,0.19234637037586497,0.072765,0.074235,0.4365899999999999,0.44541,1.7261205422931742,1.7264640347758649,0.0021298073663339554,0.0021728337777750448,0.4804903975410001,0.49019727425900006,1.6175484704994616,1.6502262173782385,0.044279390509990024,0.04517392365160597,0.05511808633175461,0.0562315830253254,0.09014796933061345,0.09196914042820156,0.000491739261520815,0.0005016733880161849,0.99,1.01,0.0,1e-12,0.0,1e-12,0.0,1e-12
(all regions confounded),(all provinces confounded),ARROZ,transitory,1.0,1.0,2.0,2.0,1.0,1.0,2727.27272727273,2727.27272727273,,,1732.99,1732.99,181.436948,181.436948,0.0,0.0,0.0,0.0,0.0,0.0,181.436948,181.436948,0.0,0.0,10.0,10.0,,,,,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.215542199999998,27.215542199999998,11.87686261608,11.87686261608,22.591621580219996,22.591621580219996,0.0,0.0,0.0,0.0,0.0,0.0,27.215542199999998,27.215542199999998,11.87686261608,11.87686261608,22.591621580219996,22.591621580219996,0.5384675069982352,0.5384675069982352,1.5426308409431455,1.5426308409431455,8.436818081999998,8.436818081999998,0.136077711,0.136077711,0.10750139168999998,0.10750139168999998,0.24357910268999997,0.24357910268999997,0.0,0.0,0.0,0.0,0.0,0.0,2.8851659999999995,2.8851659999999995,1.0196176644,1.0196176644,0.18019612739453497,0.18019612739453497,0.0735,0.0735,0.44099999999999995,0.44099999999999995,1.7143137917945346,1.7143137917945346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
(all regions confounded),(all provinces confounded),AVENA,transitory,18.81,19.19,7.92,8.08,0.8019000000000001,0.8181,1227.2727272727236,1252.0661157024758,,,0.0,1e-12,96.22638135,98.17034865,56.13205578749999,57.2660367125,0.0,0.0,0.0,0.0,106.9182015,109.07816516666668,0.0,1e-12,0.3712499999999999,0.3787499999999999,0.99,1.01,2.3595,2.4071666666666665,0.0,1e-12,6.412500000000007,6.542045454545461,754.2857142857143,769.5238095238095,0.0,0.0,0.0,0.0,0.0,1e-12,0.0,1e-12,0.0,1e-12,33.51885617025,34.19600477975,6.298978923171,6.426231022629,11.981627873795249,12.223680962154749,6.52457142857143,6.656380952380953,2.3144641682401335,2.3612210201237724,8.0729340251983,8.236023601464932,40.043427598821424,40.852385732130955,8.613443091411133,8.787452042752772,20.054561898993548,20.45970456361968,1.1457454066390345,1.1688917784903283,2.2493007528522857,2.2947411721018276,12.413462555634641,12.664239576960595,0.20021713799410712,0.2042619286606548,0.16580528758677318,0.16915488935620296,0.3660224255808803,0.3734168180168578,0.0,1e-12,0.0,1e-12,0.0,1e-12,2.8563143399999995,2.9140176599999994,1.009421487756,1.0298138410439999,0.17978095942609743,0.17987754446500848,0.072765,0.074235,0.4365899999999999,0.44541,1.7138986238260974,1.7139952088650081,0.00010883211428571428,0.00011103074285714285,0.02954537142857143,0.03014224761904762,0.13259211428571427,0.13527074285714283,0.001139378742857143,0.0011623964952380951,0.002436493714285714,0.0024857158095238094,0.003548499428571428,0.003620186285714285,5.679771428571429e-05,5.794514285714286e-05,0.99,1.01,0.0,1e-12,0.0,1e-12,0.0,1e-12
(all regions confounded),(all provinces confounded),AVENA FORRAJERA,transitory,7.92,8.08,10.89,11.11,0.2227499999999999,0.2272499999999999,1772.4489795918355,1808.2560296846,10330.434782608698,10539.13043478261,0.0,1e-12,214.9200334206081,219.26185227759007,0.0,0.0,0.0,0.0,0.0,0.0,126.55342631250002,129.1100611875,0.0,1e-12,2.778061224489796,2.8341836734693877,,,,,0.1337837837837838,0.1364864864864864,52.49999999999997,53.560606060606034,641.5092089999999,654.4689909999998,0.0,0.0,0.0,0.0,0.0,1e-12,0.0,1e-12,0.0,1e-12,32.23800501309121,32.88927784163851,14.068665387713006,14.352880850091047,26.760767961367012,27.301389536344125,5.54905465785,5.66115677215,1.9684186637852266,2.008184697397049,6.865914895018755,7.004620246433275,37.78705967094121,38.55043461378851,16.037084051498233,16.361065547488096,33.62668285638577,34.3060097827774,1.0482530217443733,1.069429850466482,2.1244614279752954,2.167379840661665,11.713988497991775,11.95063473027444,0.18893529835470607,0.19275217306894254,0.15575127964990226,0.1588977701478801,0.34468657800460833,0.35164994321682264,0.0,1e-12,0.0,1e-12,0.0,1e-12,2.8563143399999995,2.9140176599999994,1.009421487756,1.0298138410439999,0.18287740743793648,0.18303654698213723,0.072765,0.074235,0.4365899999999999,0.44541,1.7169950718379363,1.717154211382137,9.256015622056499e-05,9.443005836643498e-05,0.025127915716529996,0.025635550377469993,0.11276769630406498,0.11504583158293497,0.0009690253205628598,0.0009886015896651396,0.0020722030469118,0.0021140657347281993,0.0030179479982800493,0.003078916644709949,4.83056434377e-05,4.928151502229999e-05,0.99,1.01,0.0,1e-12,0.0,1e-12,0.0,1e-12
(all regions confounded),(all provinces confounded),CACAO CCN51 O RAMILLA (ALMENDRA FRESCA),transitory,1.0,1.0,3.0,3.0,1.5,1.5,533.3333333333334,533.3333333333334,,,0.0,0.0,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.6666666666666666,0.0,0.0,0.3333333333333333,0.3333333333333333,2.6666666666666665,2.6666666666666665,,,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09999999999999999,0.09999999999999999,0.04364,0.04364,0.08300999999999999,0.08300999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.09999999999999999,0.09999999999999999,0.04364,0.04364,0.08300999999999999,0.08300999999999999,0.001978529411764706,0.001978529411764706,0.005668198081841432,0.005668198081841432,0.030999999999999996,0.030999999999999996,0.0005,0.0005,0.00039499999999999995,0.00039499999999999995,0.000895,0.000895,0.0,0.0,0.0,0.0,0.0,0.0,2.8851659999999995,2.8851659999999995,1.0196176644,1.0196176644,0.17501909249999997,0.17501909249999997,0.0735,0.0735,0.44099999999999995,0.44099999999999995,1.7091367568999996,1.7091367568999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,800.0,150.0,150.0,800.0,800.0
(all regions confounded),(all provinces confounded),CAMOTE,transitory,12.87,13.13,3.96,4.04,0.2475,0.2525,2812.499999999994,2869.318181818176,10330.434782608698,10539.13043478261,0.0,1e-12,198.0,202.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-12,0.0,1e-12,,,,,,,0.0,1e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-12,0.0,1e-12,0.0,1e-12,29.7,30.299999999999997,12.96108,13.22292,24.653969999999997,25.152029999999996,0.0,1e-12,0.0,1e-12,0.0,1e-12,29.7,30.299999999999997,12.96108,13.22292,24.653969999999997,25.152029999999996,0.5876232352941176,0.5994944117647059,1.6834548303069055,1.7174640187979535,9.206999999999999,9.392999999999999,0.1485,0.1515,0.11731499999999997,0.11968499999999999,0.26581499999999997,0.271185,0.0,1e-12,0.0,1e-12,0.0,1e-12,2.8563143399999995,2.9140176599999994,1.009421487756,1.0298138410439999,0.18067047249999998,0.1807850275,0.072765,0.074235,0.4365899999999999,0.44541,1.7147881368999998,1.7149026918999999,0.0,1e-12,0.0,1e-12,0.0,1e-12,0.0,1e-12,0.0,1e-12,0.0,1e-12,0.0,1e-12,0.0,1e-12,0.0,1e-12,0.0,1e-12,0.0,1e-12
