Product,Species,System,Region,Functional_unit,Infrastructure_type,Infrastructure_source,Infra_water_electricity_status,Water_l_head_day,Electricity_kWh_head_day,Synthetic_normalized_product_output_kg,Synthetic_lifetime_output_kg_head,Synthetic_headcount_per_1kg_product,Synthetic_pasture_feed_total_kg_per_1kg_product,Synthetic_cultivated_pasture_feed_total_kg_per_1kg_product,Synthetic_natural_pasture_feed_total_kg_per_1kg_product,Synthetic_unmatched_pasture_feed_total_kg_per_1kg_product,Synthetic_proxy_forage_feed_total_kg_per_1kg_product,Synthetic_cultivated_pasture_feed_share_pct,Synthetic_natural_pasture_feed_share_pct,Synthetic_unmatched_pasture_feed_share_pct,Synthetic_pasture_linkage_status,Synthetic_supplement_feed_total_kg_per_1kg_product,Synthetic_common_feed_total_kg_per_1kg_product,Synthetic_waste_feed_total_kg_per_1kg_product,Synthetic_water_total_L_per_1kg_product,Synthetic_electricity_total_kWh_per_1kg_product,Synthetic_headcount_basis_note,Synthetic_feed_mapping_note,Infra_water_electricity_note,Infra_water_electricity_citations
cattle_live,cattle,(unknown),(unknown),1 kg meat (carcass-weight proxy),milking system: nan,ESPAC direct (gl_sistema_ordenio),mixed: direct ESPAC infrastructure + literature proxy water/electricity,50.0,0.0,1.0,,0.005,0.048499999999999995,0.0467008435583582,0.0,0.0,0.0,93.4016871167164,0.0,0.0,,0.005,0.0,0.0,0.25,0.0,Headcount per kg is based on current inventory mass basis for live weight equivalent products.,"pasture total = ESPAC pasture + proxy forage + proxy tree forage; cultivated and natural pasture totals show only the ESPAC-linked split of cattle pasture, while unmatched pasture is the residual cattle pasture share not linked to pcnac or sunac; supplement = ESPAC supplement + proxy mineral; common = ESPAC common feed + proxy compound feed; waste = ESPAC waste only",infrastructure from ESPAC cattle milking-system field; water/electricity from literature proxy,FAO Livestock housing water requirements - Reports dry dairy cow water requirements around 40 to 60 L/day; the midpoint 50 L/day was adopted when the cattle system is unspecified. (https://www.fao.org/3/S1250E/S1250E12.htm)
cattle_live,cattle,beef,(unknown),1 kg meat (carcass-weight proxy),milking system: nan,ESPAC direct (gl_sistema_ordenio),mixed: direct ESPAC infrastructure + literature proxy water/electricity,50.0,0.0,1.0,,0.005,0.038,0.036000000000000004,0.0,0.0,0.0,90.0,0.0,0.0,,0.004,0.0,0.0,0.25,0.0,Headcount per kg is based on current inventory mass basis for live weight equivalent products.,"pasture total = ESPAC pasture + proxy forage + proxy tree forage; cultivated and natural pasture totals show only the ESPAC-linked split of cattle pasture, while unmatched pasture is the residual cattle pasture share not linked to pcnac or sunac; supplement = ESPAC supplement + proxy mineral; common = ESPAC common feed + proxy compound feed; waste = ESPAC waste only",infrastructure from ESPAC cattle milking-system field; water/electricity from literature proxy,FAO Livestock housing water requirements - Reports dry dairy cow water requirements around 40 to 60 L/day; the midpoint 50 L/day was adopted for beef cattle. (https://www.fao.org/3/S1250E/S1250E12.htm)
cattle_live,cattle,dairy,(unknown),1 kg meat (carcass-weight proxy),milking system: Mecánico,ESPAC direct (gl_sistema_ordenio),mixed: direct ESPAC infrastructure + literature proxy water/electricity,66.0,1.5,1.0,,0.0044444444444444444,0.048,0.042666666666666665,0.0,0.0,0.0,80.0,0.0,0.0,,0.005333333333333333,0.0,0.0,0.29333333333333333,0.006666666666666666,Headcount per kg is based on current inventory mass basis for live weight equivalent products.,"pasture total = ESPAC pasture + proxy forage + proxy tree forage; cultivated and natural pasture totals show only the ESPAC-linked split of cattle pasture, while unmatched pasture is the residual cattle pasture share not linked to pcnac or sunac; supplement = ESPAC supplement + proxy mineral; common = ESPAC common feed + proxy compound feed; waste = ESPAC waste only",infrastructure from ESPAC cattle milking-system field; water/electricity from literature proxy,"FAO small-scale dairy manual - Uses 4 to 6 L water per kg dry matter intake; the worked example for a 300 kg cow producing 10 kg milk/day gives about 66 L/day, adopted here as the dairy drinking-water proxy. (https://www.fao.org/4/t1265e/t1275e01.htm) | FAO Livestock housing water requirements - Reports dry dairy cow water requirements around 40 to 60 L/day, supporting the order of magnitude adopted for low-intensity tropical dairy systems. (https://www.fao.org/3/S1250E/S1250E12.htm) | Uruguay MGAP dairy intermediate-consumption report - Provides Latin American dairy infrastructure energy benchmarks for milking-room electricity and milk cooling; a rounded 1.5 kWh/cow/day proxy was adopted as a moderate regional milking-plus-cooling estimate. (https://www.gub.uy/ministerio-ganaderia-agricultura-pesca/sites/ministerio-ganaderia-agricultura-pesca/files/documentos/publicaciones/informe_consumo_intermedio.pdf)"
cattle_live,cattle,dual-purpose,(unknown),1 kg meat (carcass-weight proxy),milking system: Mecánico,ESPAC direct (gl_sistema_ordenio),mixed: direct ESPAC infrastructure + literature proxy water/electricity,50.0,0.0,1.0,,0.005,0.045,0.045,0.0,0.0,0.0,90.0,0.0,0.0,,0.005,0.0,0.0,0.25,0.0,Headcount per kg is based on current inventory mass basis for live weight equivalent products.,"pasture total = ESPAC pasture + proxy forage + proxy tree forage; cultivated and natural pasture totals show only the ESPAC-linked split of cattle pasture, while unmatched pasture is the residual cattle pasture share not linked to pcnac or sunac; supplement = ESPAC supplement + proxy mineral; common = ESPAC common feed + proxy compound feed; waste = ESPAC waste only",infrastructure from ESPAC cattle milking-system field; water/electricity from literature proxy,FAO Livestock housing water requirements - Reports dry dairy cow water requirements around 40 to 60 L/day; the midpoint 50 L/day was adopted for dual-purpose cattle where milk intensity is lower than specialized dairy. (https://www.fao.org/3/S1250E/S1250E12.htm)
donkey_live,asnal,(all holdings),(unknown),1 kg live weight equivalent,donkey holding with shelter and trough,literature/system proxy,literature/system proxy,18.0,0.0,1.0,,0.005555555555555556,0.02,0.0,0.0,0.0,0.02,0.0,0.0,0.0,,0.0,0.0,0.0,0.1,0.0,Headcount per kg is based on current inventory mass basis for live weight equivalent products.,"pasture total = ESPAC pasture + proxy forage + proxy tree forage; cultivated and natural pasture totals show only the ESPAC-linked split of cattle pasture, while unmatched pasture is the residual cattle pasture share not linked to pcnac or sunac; supplement = ESPAC supplement + proxy mineral; common = ESPAC common feed + proxy compound feed; waste = ESPAC waste only",ESPAC livestock modules do not expose direct infrastructure/water/electricity variables for this row; literature/system proxy attached,WSU horse winter water note - Donkey water proxy was scaled from the horse baseline by representative body weight because no ESPAC or Ecuador-specific donkey water field was available. (https://s3.wp.wsu.edu/uploads/sites/2070/2024/01/1.24.pdf)
eggs,chicken,(unknown),(unknown),1 kg shell eggs,"non-cage poultry shelter or coop, system unspecified",literature/system proxy,literature/system proxy,0.222,0.005,,17.66391923076923,0.05661257770348466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,3.4667278082505866,0.0,4.7507010705656185,0.106997771859586,"Egg headcount per kg is based on one laying cycle of 54 weeks and 300 eggs/hen/year, converted with 0.056699 kg/egg.","pasture total = ESPAC pasture + proxy forage + proxy tree forage; cultivated and natural pasture totals show only the ESPAC-linked split of cattle pasture, while unmatched pasture is the residual cattle pasture share not linked to pcnac or sunac; supplement = ESPAC supplement + proxy mineral; common = ESPAC common feed + proxy compound feed; waste = ESPAC waste only",ESPAC livestock modules do not expose direct infrastructure/water/electricity variables for this row; literature/system proxy attached,"Producción sostenible en avicultura - Reports 222.03 L per 1000 hens per day, equivalent to 0.222 L/hen/day; used as the preferred practical water proxy for unspecified poultry rows. (https://dokumen.pub/produccion-sostenible-en-avicultura-l-6359269.html) | FAO small-scale poultry production - Reports that a laying hen can consume up to about 0.25 L/day of water, supporting the adopted 0.222 L/hen/day proxy. (https://www.fao.org/4/y4628e/y4628e03.htm) | Iowa layer-house electricity summary - A reduced poultry-house electricity proxy was retained as a fallback where ESPAC does not distinguish the shelter or lighting setup and no stronger Ecuador, Latin American, or FAO per-bird electricity factor was identified. (https://blogs.millersville.edu/aest/2022/05/13/dr-haughery-publishes-research-findings/) | FAO small-scale poultry production - Intensive deep-litter housing is described for egg production with about 3 to 4 birds per m2; the midpoint 3.5 birds per m2 was retained, equivalent to 0.286 m2 per hen, as the default non-cage poultry-house footprint proxy when the egg system is unspecified. (https://www.fao.org/4/y5169e/y5169e02.htm)"
eggs,chicken,dual-purpose poultry,(unknown),1 kg shell eggs,non-cage poultry house or coop,literature/system proxy,literature/system proxy,0.222,0.005,1.0,17.66391923076923,0.05661257770348466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,3.4667278082505866,0.0,4.7507010705656185,0.106997771859586,"Egg headcount per kg is based on one laying cycle of 54 weeks and 300 eggs/hen/year, converted with 0.056699 kg/egg.","pasture total = ESPAC pasture + proxy forage + proxy tree forage; cultivated and natural pasture totals show only the ESPAC-linked split of cattle pasture, while unmatched pasture is the residual cattle pasture share not linked to pcnac or sunac; supplement = ESPAC supplement + proxy mineral; common = ESPAC common feed + proxy compound feed; waste = ESPAC waste only",ESPAC livestock modules do not expose direct infrastructure/water/electricity variables for this row; literature/system proxy attached,"Producción sostenible en avicultura - Reports 222.03 L per 1000 hens per day, equivalent to 0.222 L/hen/day; used as the preferred practical water proxy for dual-purpose poultry rows. (https://dokumen.pub/produccion-sostenible-en-avicultura-l-6359269.html) | FAO small-scale poultry production - Reports that a laying hen can consume up to about 0.25 L/day of water, supporting the adopted 0.222 L/hen/day proxy. (https://www.fao.org/4/y4628e/y4628e03.htm) | Iowa layer-house electricity summary - A reduced fraction of the layer-house benchmark was retained as a small-scale poultry electricity fallback because no stronger Ecuador, Latin American, or FAO per-bird electricity factor was identified. (https://blogs.millersville.edu/aest/2022/05/13/dr-haughery-publishes-research-findings/) | FAO small-scale poultry production - Intensive deep-litter housing is described for egg production with about 3 to 4 birds per m2; the midpoint 3.5 birds per m2 was retained, equivalent to 0.286 m2 per hen, as a practical non-cage poultry-house footprint proxy where Ecuador poultry-area data are absent. (https://www.fao.org/4/y5169e/y5169e02.htm)"
eggs,chicken,layers,(unknown),1 kg shell eggs,non-cage layer house on deep litter with drinkers and lighting,literature/system proxy,literature/system proxy,0.222,0.0101,1.0,17.66391923076923,0.05661257770348466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,3.4667278082505866,0.0,4.7507010705656185,0.21613549915636374,"Egg headcount per kg is based on one laying cycle of 54 weeks and 300 eggs/hen/year, converted with 0.056699 kg/egg.","pasture total = ESPAC pasture + proxy forage + proxy tree forage; cultivated and natural pasture totals show only the ESPAC-linked split of cattle pasture, while unmatched pasture is the residual cattle pasture share not linked to pcnac or sunac; supplement = ESPAC supplement + proxy mineral; common = ESPAC common feed + proxy compound feed; waste = ESPAC waste only",ESPAC livestock modules do not expose direct infrastructure/water/electricity variables for this row; literature/system proxy attached,"Producción sostenible en avicultura - Reports 222.03 L per 1000 hens per day, equivalent to 0.222 L/hen/day; used as the preferred Latin American-style layer water proxy. (https://dokumen.pub/produccion-sostenible-en-avicultura-l-6359269.html) | FAO small-scale poultry production - Reports that a laying hen can consume up to about 0.25 L/day of water, supporting the adopted 0.222 L/hen/day proxy. (https://www.fao.org/4/y4628e/y4628e03.htm) | Iowa layer-house electricity summary - Layer-house electricity around 10.1 kWh/day per 1000 birds was used, equivalent to 0.0101 kWh/bird/day. (https://blogs.millersville.edu/aest/2022/05/13/dr-haughery-publishes-research-findings/) | FAO small-scale poultry production - Intensive deep-litter housing is described for egg production with about 3 to 4 birds per m2; the midpoint 3.5 birds per m2 was retained, equivalent to 0.286 m2 per hen, as the non-cage layer-house footprint proxy. (https://www.fao.org/4/y5169e/y5169e02.htm)"
goat_live,caprine,(all holdings),(unknown),1 kg meat (carcass-weight proxy),grazing goat holding with shelter and trough,literature/system proxy,literature/system proxy,9.5,0.0,1.0,,0.0945179584120983,0.19111531190926279,0.0,0.0,0.09555765595463137,0.09555765595463139,0.0,0.0,100.0,,0.0,0.0,0.0,0.8979206049149339,0.0,Headcount per kg is based on current inventory mass basis for live weight equivalent products.,"pasture total = ESPAC pasture + proxy forage + proxy tree forage; cultivated and natural pasture totals show only the ESPAC-linked split of cattle pasture, while unmatched pasture is the residual cattle pasture share not linked to pcnac or sunac; supplement = ESPAC supplement + proxy mineral; common = ESPAC common feed + proxy compound feed; waste = ESPAC waste only",ESPAC livestock modules do not expose direct infrastructure/water/electricity variables for this row; literature/system proxy attached,FAO-linked livestock watering structures guideline - Reports ewe or doe water requirements around 9.5 L/day and milking ewe or doe requirements around 13.2 L/day; 9.5 L/head/day was adopted as a general goat live-animal proxy. (https://www.fao.org/fileadmin/user_upload/emergencies/docs/UNEP_FAO_South_Sudan_WH_Structures_guidelines.pdf)
horse_live,equine,(all holdings),(unknown),1 kg live weight equivalent,"horse holding with shelter, trough, and simple handling area",literature/system proxy,literature/system proxy,45.0,0.0,1.0,,0.003205128205128205,0.021634615384615384,0.0,0.0,0.0,0.021634615384615384,0.0,0.0,0.0,,0.0,0.0,0.0,0.14423076923076922,0.0,Headcount per kg is based on current inventory mass basis for live weight equivalent products.,"pasture total = ESPAC pasture + proxy forage + proxy tree forage; cultivated and natural pasture totals show only the ESPAC-linked split of cattle pasture, while unmatched pasture is the residual cattle pasture share not linked to pcnac or sunac; supplement = ESPAC supplement + proxy mineral; common = ESPAC common feed + proxy compound feed; waste = ESPAC waste only",ESPAC livestock modules do not expose direct infrastructure/water/electricity variables for this row; literature/system proxy attached,WSU horse winter water note - Horses need at least 10 to 12 gallons/day; a rounded 45 L/day proxy was adopted. (https://s3.wp.wsu.edu/uploads/sites/2070/2024/01/1.24.pdf)
