Product,Species,System,Region,Province,Functional_unit,Infrastructure_type,Infrastructure_source,Infra_water_electricity_status,Water_l_head_day,Electricity_kWh_head_day,Synthetic_normalized_product_output_kg,Synthetic_lifetime_output_kg_head,Synthetic_headcount_per_1kg_product,Synthetic_pasture_feed_total_kg_per_1kg_product,Synthetic_cultivated_pasture_feed_total_kg_per_1kg_product,Synthetic_natural_pasture_feed_total_kg_per_1kg_product,Synthetic_unmatched_pasture_feed_total_kg_per_1kg_product,Synthetic_proxy_forage_feed_total_kg_per_1kg_product,Synthetic_cultivated_pasture_feed_share_pct,Synthetic_natural_pasture_feed_share_pct,Synthetic_unmatched_pasture_feed_share_pct,Synthetic_pasture_linkage_status,Synthetic_supplement_feed_total_kg_per_1kg_product,Synthetic_common_feed_total_kg_per_1kg_product,Synthetic_waste_feed_total_kg_per_1kg_product,Synthetic_water_total_L_per_1kg_product,Synthetic_electricity_total_kWh_per_1kg_product,Synthetic_headcount_basis_note,Synthetic_feed_mapping_note,Infra_water_electricity_note,Infra_water_electricity_citations
cattle_live,cattle,(unknown),(all regions confounded),(all provinces confounded),1 kg meat (carcass-weight proxy),milking system: Mecánico,ESPAC direct (gl_sistema_ordenio),mixed: direct ESPAC infrastructure + literature proxy water/electricity,50.0,0.0,1.0,,0.0044444444444444444,0.042222222222222223,0.035555555555555556,0.0,0.0,0.0,90.0,0.0,0.0,,0.0003125,0.0,0.0,0.2222222222222222,0.0,Headcount per kg is based on current inventory mass basis for live weight equivalent products.,"pasture total = ESPAC pasture + proxy forage + proxy tree forage; cultivated and natural pasture totals show only the ESPAC-linked split of cattle pasture, while unmatched pasture is the residual cattle pasture share not linked to pcnac or sunac; supplement = direct ESPAC per-kg supplement/proxy-mineral feed when available, otherwise ESPAC supplement + proxy mineral from head-day scaling; common = direct ESPAC per-kg common/proxy-compound feed when available, otherwise ESPAC common + proxy compound from head-day scaling; waste = direct ESPAC per-kg waste feed when available, otherwise ESPAC waste from head-day scaling",infrastructure from ESPAC cattle milking-system field; water/electricity from literature proxy,"FAO small-scale dairy manual - Uses 4 to 6 L water per kg dry matter intake; the worked example for a 300 kg cow producing 10 kg milk/day gives about 66 L/day, adopted here as the dairy drinking-water proxy. (https://www.fao.org/4/t1265e/t1275e01.htm) | FAO Livestock housing water requirements - Reports dry dairy cow water requirements around 40 to 60 L/day, supporting the order of magnitude adopted for low-intensity tropical dairy systems. (https://www.fao.org/3/S1250E/S1250E12.htm) | Uruguay MGAP dairy intermediate-consumption report - Provides Latin American dairy infrastructure energy benchmarks for milking-room electricity and milk cooling; a rounded 1.5 kWh/cow/day proxy was adopted as a moderate regional milking-plus-cooling estimate. (https://www.gub.uy/ministerio-ganaderia-agricultura-pesca/sites/ministerio-ganaderia-agricultura-pesca/files/documentos/publicaciones/informe_consumo_intermedio.pdf)"
donkey_live,asnal,(unknown),(all regions confounded),(all provinces confounded),1 kg live weight equivalent,donkey holding with shelter and trough,literature/system proxy,literature/system proxy,18.0,0.0,1.0,,0.005555555555555556,0.02,0.0,0.0,0.0,0.02,0.0,0.0,0.0,,0.0,0.0,0.0,0.1,0.0,Headcount per kg is based on current inventory mass basis for live weight equivalent products.,"pasture total = ESPAC pasture + proxy forage + proxy tree forage; cultivated and natural pasture totals show only the ESPAC-linked split of cattle pasture, while unmatched pasture is the residual cattle pasture share not linked to pcnac or sunac; supplement = direct ESPAC per-kg supplement/proxy-mineral feed when available, otherwise ESPAC supplement + proxy mineral from head-day scaling; common = direct ESPAC per-kg common/proxy-compound feed when available, otherwise ESPAC common + proxy compound from head-day scaling; waste = direct ESPAC per-kg waste feed when available, otherwise ESPAC waste from head-day scaling",ESPAC livestock modules do not expose direct infrastructure/water/electricity variables for this row; literature/system proxy attached,WSU horse winter water note - Donkey water proxy was scaled from the horse baseline by representative body weight because no ESPAC or Ecuador-specific donkey water field was available. (https://s3.wp.wsu.edu/uploads/sites/2070/2024/01/1.24.pdf)
eggs,chicken,(unknown),(all regions confounded),(all provinces confounded),1 kg shell eggs,non-cage layer house on deep litter with drinkers and lighting,literature/system proxy,literature/system proxy,0.222,0.0101,1.0,17.66391923076923,0.05661257770348466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,2.4918831750899836e-07,0.0,4.7507010705656185,0.21613549915636374,"Egg headcount per kg is based on one laying cycle of 54 weeks and 300 eggs/hen/year, converted with 0.056699 kg/egg.","pasture total = ESPAC pasture + proxy forage + proxy tree forage; cultivated and natural pasture totals show only the ESPAC-linked split of cattle pasture, while unmatched pasture is the residual cattle pasture share not linked to pcnac or sunac; supplement = direct ESPAC per-kg supplement/proxy-mineral feed when available, otherwise ESPAC supplement + proxy mineral from head-day scaling; common = direct ESPAC per-kg common/proxy-compound feed when available, otherwise ESPAC common + proxy compound from head-day scaling; waste = direct ESPAC per-kg waste feed when available, otherwise ESPAC waste from head-day scaling",ESPAC livestock modules do not expose direct infrastructure/water/electricity variables for this row; literature/system proxy attached,"Producción sostenible en avicultura - Reports 222.03 L per 1000 hens per day, equivalent to 0.222 L/hen/day; used as the preferred Latin American-style layer water proxy. (https://dokumen.pub/produccion-sostenible-en-avicultura-l-6359269.html) | FAO small-scale poultry production - Reports that a laying hen can consume up to about 0.25 L/day of water, supporting the adopted 0.222 L/hen/day proxy. (https://www.fao.org/4/y4628e/y4628e03.htm) | Iowa layer-house electricity summary - Layer-house electricity around 10.1 kWh/day per 1000 birds was used, equivalent to 0.0101 kWh/bird/day. (https://blogs.millersville.edu/aest/2022/05/13/dr-haughery-publishes-research-findings/) | FAO small-scale poultry production - Intensive deep-litter housing is described for egg production with about 3 to 4 birds per m2; the midpoint 3.5 birds per m2 was retained, equivalent to 0.286 m2 per hen, as the non-cage layer-house footprint proxy. (https://www.fao.org/4/y5169e/y5169e02.htm)"
goat_live,caprine,(unknown),(all regions confounded),(all provinces confounded),1 kg meat (carcass-weight proxy),grazing goat holding with shelter and trough,literature/system proxy,literature/system proxy,9.5,0.0,1.0,,0.0945179584120983,0.19111531190926279,0.0,0.0,0.09555765595463137,0.09555765595463139,0.0,0.0,100.0,,0.0,0.0,0.0,0.8979206049149339,0.0,Headcount per kg is based on current inventory mass basis for live weight equivalent products.,"pasture total = ESPAC pasture + proxy forage + proxy tree forage; cultivated and natural pasture totals show only the ESPAC-linked split of cattle pasture, while unmatched pasture is the residual cattle pasture share not linked to pcnac or sunac; supplement = direct ESPAC per-kg supplement/proxy-mineral feed when available, otherwise ESPAC supplement + proxy mineral from head-day scaling; common = direct ESPAC per-kg common/proxy-compound feed when available, otherwise ESPAC common + proxy compound from head-day scaling; waste = direct ESPAC per-kg waste feed when available, otherwise ESPAC waste from head-day scaling",ESPAC livestock modules do not expose direct infrastructure/water/electricity variables for this row; literature/system proxy attached,FAO-linked livestock watering structures guideline - Reports ewe or doe water requirements around 9.5 L/day and milking ewe or doe requirements around 13.2 L/day; 9.5 L/head/day was adopted as a general goat live-animal proxy. (https://www.fao.org/fileadmin/user_upload/emergencies/docs/UNEP_FAO_South_Sudan_WH_Structures_guidelines.pdf)
horse_live,equine,(unknown),(all regions confounded),(all provinces confounded),1 kg live weight equivalent,"horse holding with shelter, trough, and simple handling area",literature/system proxy,literature/system proxy,45.0,0.0,1.0,,0.003205128205128205,0.021634615384615384,0.0,0.0,0.0,0.021634615384615384,0.0,0.0,0.0,,0.0,0.0,0.0,0.14423076923076922,0.0,Headcount per kg is based on current inventory mass basis for live weight equivalent products.,"pasture total = ESPAC pasture + proxy forage + proxy tree forage; cultivated and natural pasture totals show only the ESPAC-linked split of cattle pasture, while unmatched pasture is the residual cattle pasture share not linked to pcnac or sunac; supplement = direct ESPAC per-kg supplement/proxy-mineral feed when available, otherwise ESPAC supplement + proxy mineral from head-day scaling; common = direct ESPAC per-kg common/proxy-compound feed when available, otherwise ESPAC common + proxy compound from head-day scaling; waste = direct ESPAC per-kg waste feed when available, otherwise ESPAC waste from head-day scaling",ESPAC livestock modules do not expose direct infrastructure/water/electricity variables for this row; literature/system proxy attached,WSU horse winter water note - Horses need at least 10 to 12 gallons/day; a rounded 45 L/day proxy was adopted. (https://s3.wp.wsu.edu/uploads/sites/2070/2024/01/1.24.pdf)
meat_poultry,chicken,(unknown),(all regions confounded),(all provinces confounded),1 kg meat (carcass-weight proxy),broiler house or coop for meat birds,literature/system proxy,literature/system proxy,0.275,0.005,1.0,,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,2.4681481481481485e-06,0.0,0.18333333333333335,0.003333333333333333,Headcount per kg is based on current inventory mass basis for live weight equivalent products.,"pasture total = ESPAC pasture + proxy forage + proxy tree forage; cultivated and natural pasture totals show only the ESPAC-linked split of cattle pasture, while unmatched pasture is the residual cattle pasture share not linked to pcnac or sunac; supplement = direct ESPAC per-kg supplement/proxy-mineral feed when available, otherwise ESPAC supplement + proxy mineral from head-day scaling; common = direct ESPAC per-kg common/proxy-compound feed when available, otherwise ESPAC common + proxy compound from head-day scaling; waste = direct ESPAC per-kg waste feed when available, otherwise ESPAC waste from head-day scaling",ESPAC livestock modules do not expose direct infrastructure/water/electricity variables for this row; literature/system proxy attached,"FAO Rural structures in the tropics - Table 10.15 reports broiler drinking-water requirements around 0.20 to 0.35 L/bird/day at 9 to 12 weeks; the midpoint 0.275 L/bird/day was adopted. (https://www.fao.org/4/s1250e/S1250E0q.htm) | Iowa layer-house electricity summary - In the absence of a stronger broiler electricity factor in ESPAC, a conservative small-poultry-house electricity proxy of 0.005 kWh/bird/day was retained. (https://blogs.millersville.edu/aest/2022/05/13/dr-haughery-publishes-research-findings/) | FAO Good practices for the small-scale production of broiler chickens - Reports that under tropical conditions about 900 cm2 per broiler is sufficient for a 1.65 kg bird in the deep-litter system, described there as the most widely used broiler housing system; this was retained as a dominant broiler-house area proxy for Ecuador. (https://www.fao.org/4/y4991e/y4991e00.pdf)"
milk,cattle,(unknown),(all regions confounded),(all provinces confounded),1 kg FPCM,milking system: Mecánico,ESPAC direct (gl_sistema_ordenio),mixed: direct ESPAC infrastructure + literature proxy water/electricity,60.0,0.6,1.0,11837.072223899999,8.448034962403285e-05,0.2960191450826111,0.27751794851494793,0.0,0.0,0.0,90.0,0.0,0.0,,0.0003975114233966,0.0,0.0,10.175658112214757,0.10175658112214757,Milk headcount per kg is based on lifetime FPCM per cow using 6.6 lactations of 305 days each.,"pasture total = ESPAC pasture + proxy forage + proxy tree forage; cultivated and natural pasture totals show only the ESPAC-linked split of cattle pasture, while unmatched pasture is the residual cattle pasture share not linked to pcnac or sunac; supplement = direct ESPAC per-kg supplement/proxy-mineral feed when available, otherwise ESPAC supplement + proxy mineral from head-day scaling; common = direct ESPAC per-kg common/proxy-compound feed when available, otherwise ESPAC common + proxy compound from head-day scaling; waste = direct ESPAC per-kg waste feed when available, otherwise ESPAC waste from head-day scaling",infrastructure from ESPAC cattle milking-system field; water/electricity from literature proxy,"FAO small-scale dairy manual - Uses 4 to 6 L water per kg dry matter intake; the worked example for a 300 kg cow producing 10 kg milk/day gives about 66 L/day, adopted here as the milk-row water proxy. (https://www.fao.org/4/t1265e/t1275e01.htm) | FAO Milking, milk collection and transport - Gives wash-water benchmarks for hand, bucket, and pipeline milking plus plate-cooler water loads, supporting a dedicated dairy handling infrastructure proxy. (https://www.fao.org/4/i2433e/i2433e07.pdf) | Uruguay MGAP dairy intermediate-consumption report - Provides Latin American dairy infrastructure energy benchmarks for milking-room electricity and milk cooling; a rounded 1.5 kWh/cow/day proxy was adopted as a moderate regional milking-plus-cooling estimate. (https://www.gub.uy/ministerio-ganaderia-agricultura-pesca/sites/ministerio-ganaderia-agricultura-pesca/files/documentos/publicaciones/informe_consumo_intermedio.pdf)"
mule_live,mule,(unknown),(all regions confounded),(all provinces confounded),1 kg live weight equivalent,mule holding with shelter and trough,literature/system proxy,literature/system proxy,35.0,0.0,1.0,,0.002857142857142857,0.02,0.0,0.0,0.0,0.02,0.0,0.0,0.0,,0.0,0.0,0.0,0.1,0.0,Headcount per kg is based on current inventory mass basis for live weight equivalent products.,"pasture total = ESPAC pasture + proxy forage + proxy tree forage; cultivated and natural pasture totals show only the ESPAC-linked split of cattle pasture, while unmatched pasture is the residual cattle pasture share not linked to pcnac or sunac; supplement = direct ESPAC per-kg supplement/proxy-mineral feed when available, otherwise ESPAC supplement + proxy mineral from head-day scaling; common = direct ESPAC per-kg common/proxy-compound feed when available, otherwise ESPAC common + proxy compound from head-day scaling; waste = direct ESPAC per-kg waste feed when available, otherwise ESPAC waste from head-day scaling",ESPAC livestock modules do not expose direct infrastructure/water/electricity variables for this row; literature/system proxy attached,WSU horse winter water note - Mule water proxy was scaled from the horse baseline by representative body weight because no ESPAC or Ecuador-specific mule water field was available. (https://s3.wp.wsu.edu/uploads/sites/2070/2024/01/1.24.pdf)
ovine_live,ovine,(unknown),(all regions confounded),(all provinces confounded),1 kg meat (carcass-weight proxy),grazing ovine holding with shelter and trough,literature/system proxy,literature/system proxy,7.6,0.0,1.0,,0.03596811786032861,0.0911432106580727,0.0,0.0,0.04557160532903634,0.04557160532903634,0.0,0.0,99.6069182389937,,0.0001348804419762323,0.0,0.0,0.2733576957384974,0.0,Headcount per kg is based on current inventory mass basis for live weight equivalent products.,"pasture total = ESPAC pasture + proxy forage + proxy tree forage; cultivated and natural pasture totals show only the ESPAC-linked split of cattle pasture, while unmatched pasture is the residual cattle pasture share not linked to pcnac or sunac; supplement = direct ESPAC per-kg supplement/proxy-mineral feed when available, otherwise ESPAC supplement + proxy mineral from head-day scaling; common = direct ESPAC per-kg common/proxy-compound feed when available, otherwise ESPAC common + proxy compound from head-day scaling; waste = direct ESPAC per-kg waste feed when available, otherwise ESPAC waste from head-day scaling",ESPAC livestock modules do not expose direct infrastructure/water/electricity variables for this row; literature/system proxy attached,FAO-linked livestock watering structures guideline - Reports feeder lamb and kid water requirements around 7.6 L/day and adult ewe or doe requirements above that level; 7.6 L/head/day was retained as a conservative live-animal proxy for mixed ovine rows. (https://www.fao.org/fileadmin/user_upload/emergencies/docs/UNEP_FAO_South_Sudan_WH_Structures_guidelines.pdf)
swine_live,swine,(unknown),(all regions confounded),(all provinces confounded),1 kg meat (carcass-weight proxy),Ecuador smallholder pigsty or swine pen with feeder and drinker,literature/system proxy,literature/system proxy,7.0,0.062,1.0,,0.020140256747993024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0094377243121095,0.0141565864681642,0.0176957330852053,0.14098179723595117,0.0012486959183755674,Headcount per kg is based on current inventory mass basis for live weight equivalent products.,"pasture total = ESPAC pasture + proxy forage + proxy tree forage; cultivated and natural pasture totals show only the ESPAC-linked split of cattle pasture, while unmatched pasture is the residual cattle pasture share not linked to pcnac or sunac; supplement = direct ESPAC per-kg supplement/proxy-mineral feed when available, otherwise ESPAC supplement + proxy mineral from head-day scaling; common = direct ESPAC per-kg common/proxy-compound feed when available, otherwise ESPAC common + proxy compound from head-day scaling; waste = direct ESPAC per-kg waste feed when available, otherwise ESPAC waste from head-day scaling",ESPAC livestock modules do not expose direct infrastructure/water/electricity variables for this row; literature/system proxy attached,"FAO Livestock housing for pigs - Pig water consumption varies by class from about 2.5 L/day at 25 kg to 7.0 L/day at 90 to 120 kg; 7.0 L/head/day was adopted as a practical market-pig proxy for mixed ESPAC swine rows. (https://www.fao.org/3/s1250e/S1250E14.htm) | Caracterización de granjas porcinas de Banasur, Pasaje, El Oro - Provides Ecuador smallholder swine-system context and supports the use of a simple pen-based infrastructure proxy, although it does not provide a clean biological drinking-water factor. (https://polodelconocimiento.com/ojs/index.php/es/article/view/1043/html) | National Hog Farmer study summary - Finishing-barn electricity around 11.2 kWh per finished pig produced was annualized over a 180-day finishing period to derive a daily proxy. (https://www.nationalhogfarmer.com/livestock-management/study-goes-to-pig-barns-to-find-actual-energy-use)"
