Region,Province,Product,Species,System,Functional_unit,Normalized_product_output_kg,ch4_enteric_kg_per_kg_product,ch4_manure_kg_per_kg_product,n2o_direct_kg_per_kg_product,total_direct_gas_kg_per_kg_product,water_l_per_kg_product,electricity_kwh_per_kg_product,area_ha_per_kg_product,total_feed_kg_per_kg_product,supplement_feed_kg_per_kg_product,pasture_feed_kg_per_kg_product,unmatched_pasture_feed_kg_per_kg_product,nh3_total_kg_per_kg_product,nh3_housing_kg_per_kg_product,nh3_grazing_kg_per_kg_product,nox_as_no2_kg_per_kg_product,animals_total_live_weight_kg_per_kg_product
(unknown),(all provinces confounded),cattle_meat,cattle,v2_integrated,1 kg product,1.0,0.212330430894046,0.0193027664449132,0.0011581659866947,0.2327913633256541,43.43122450105488,0.5790829933473983,0.0066866886160047,9.65138322245664,3.860553288982656,5.790829933473984,0.8686244900210975,0.0025479651707285,0.0017835756195099,0.0007643895512185,0.0004632663946778,1.0
(unknown),(all provinces confounded),milk,cattle,v2_integrated,1 kg FPCM,1.0,0.0236242762400443,0.0021476614763676,0.000128859688582,0.025900797404994,4.8322383218272575,0.06442984429103,0.0008634785053757,1.073830738183835,0.429532295273534,0.644298442910301,0.0966447664365451,0.0002834913148804,0.0001984439204163,8.504739446414913e-05,5.154387543282334e-05,0.1471001011210732
(unknown),(all provinces confounded),other_livestock_live,other,v2_integrated,1 kg product,1.0,0.0277314324572025,0.0069328581143005,0.0003466429057149,0.0350109334772181,16.638859474321528,0.0138657162286012,0.016604086178491,2.773143245720254,1.386571622860127,1.386571622860127,0.207985743429019,0.000762614392573,0.000533830074801,0.0002287843177719,0.0001386571622859,1.0
(unknown),(all provinces confounded),ovine_live,ovine,v2_integrated,1 kg live weight equivalent,1.0,0.2640604002156949,0.0352080533620926,0.0017604026681045,0.3010288562458921,66.89530138797603,0.0880201334052316,0.014669403987795,10.562416008627794,2.112483201725559,8.449932806902238,1.2674899210353352,0.0038728858698301,0.002711020108881,0.0011618657609489,0.0007041610672417,1.0
(unknown),(all provinces confounded),swine_live,swine,v2_integrated,1 kg live weight equivalent,1.0,0.045625,0.0684375,0.00136875,0.1154312499999999,31.937500000000004,0.136875,0.0011767328769625,10.0375,7.02625,0.0,0.0,0.00301125,0.002107875,0.0009033749999999,0.0005474999999999,1.0
Costa,(all provinces confounded),cattle_meat,cattle,v2_integrated,1 kg product,1.0,0.213023645149245,0.0193657859226585,0.0011619471553594,0.2335513782272632,43.57301832598195,0.5809735776797592,0.0005013446590712,9.68289296132932,3.8731571845317294,5.809735776797592,0.871460366519639,0.0025562837417908,0.0017893986192536,0.0007668851225372,0.0004647788621437,1.0
Costa,(all provinces confounded),eggs,poultry,v2_integrated,1 kg shell eggs,1.0,0.0,0.0047031987630586,0.0007054798144587,0.0054086785775174,6.466898299205747,0.117579969076468,5.931284447315688e-07,1.5990875794399666,1.5990875794399666,0.0,0.0,0.0015520555918093,0.0010864389142664,0.0004656166775427,0.0002821919257834,0.1224120226001585
Costa,(all provinces confounded),meat_poultry,poultry,v2_integrated,1 kg meat product,1.0,0.0,0.0122047917617058,0.0018307187642558,0.0140355105259616,16.78158867234553,0.3051197940426459,1.014176714454094e-05,4.149629198979985,4.149629198979985,0.0,0.0,0.0040275812813628,0.0028193068969539,0.0012082743844088,0.0007322875057022,1.0
Costa,(all provinces confounded),milk,cattle,v2_integrated,1 kg FPCM,1.0,0.0473282965167956,0.0043025724106177,0.000258154344637,0.0518890232720505,9.680787923890026,0.1290771723185336,8.76976350599995e-05,2.1512862053088946,0.8605144821235577,1.2907717231853366,0.1936157584778004,0.0005679395582015,0.000397557690741,0.0001703818674604,0.0001032617378548,0.2946967404532732
Costa,(all provinces confounded),other_livestock_live,other,v2_integrated,1 kg product,1.0,0.0343619560958182,0.0085904890239545,0.0004295244511976,0.0433819695709705,20.617173657490984,0.017180978047909,0.0087289626609658,3.43619560958183,1.718097804790915,1.718097804790915,0.2577146707186373,0.0009449537926349,0.0006614676548444,0.0002834861377904,0.000171809780479,1.0
Costa,(all provinces confounded),ovine_live,ovine,v2_integrated,1 kg live weight equivalent,1.0,0.2759448402878255,0.03679264537171,0.0018396322685854,0.3145771179281211,69.90602620624914,0.0919816134292751,0.0015649599390903,11.03779361151302,2.2075587223026045,8.830234889210418,1.3245352333815623,0.004047190990888,0.0028330336936216,0.0012141572972663,0.0007358529074341,1.0
Costa,(all provinces confounded),swine_live,swine,v2_integrated,1 kg live weight equivalent,1.0,0.0587410385147463,0.0881115577721194,0.0017622311554423,0.1486148274423082,41.11872696032244,0.1762231155442389,0.0005766027799803,12.923028473244193,9.046119931270937,0.0,0.0,0.0038769085419732,0.0027138359793812,0.0011630725625919,0.0007048924621769,1.0
Oriente,(all provinces confounded),cattle_meat,cattle,v2_integrated,1 kg product,1.0,0.2081976414197909,0.01892705831089,0.0011356234986533,0.2282603232293344,42.5858811995027,0.5678117493267025,0.0002190923288182,9.463529155445045,3.785411662178017,5.678117493267026,0.8517176239900538,0.0024983716970374,0.0017488601879261,0.0007495115091111,0.0004542493994613,1.0
Oriente,(all provinces confounded),eggs,poultry,v2_integrated,1 kg shell eggs,1.0,0.0,0.0047031987630586,0.0007054798144588,0.0054086785775175,6.466898299205746,0.1175799690764681,6.405847429418779e-06,1.5990875794399666,1.5990875794399666,0.0,0.0,0.0015520555918093,0.0010864389142665,0.0004656166775428,0.0002821919257835,0.1224120226001585
Oriente,(all provinces confounded),meat_poultry,poultry,v2_integrated,1 kg meat product,1.0,0.0,0.013696368606387,0.002054455290958,0.0157508238973451,18.832506833782286,0.3424092151596778,1.3882624863610897e-06,4.65676532617162,4.65676532617162,0.0,0.0,0.0045198016401076,0.0031638611480753,0.0013559404920323,0.0008217821163831,1.0
Oriente,(all provinces confounded),milk,cattle,v2_integrated,1 kg FPCM,1.0,0.0483353573123592,0.0043941233920326,0.0002636474035219,0.0529931281079138,9.88677763207349,0.1318237017609798,4.3876132010707526e-05,2.1970616960163314,0.8788246784065326,1.3182370176097986,0.1977355526414697,0.0005800242877482,0.0004060170014237,0.0001740072863244,0.0001054589614087,0.3009673556186755
Oriente,(all provinces confounded),other_livestock_live,other,v2_integrated,1 kg product,1.0,0.0271439003300225,0.0067859750825056,0.0003392987541252,0.0342691741666535,16.286340198013573,0.0135719501650112,0.0170293668434842,2.714390033002262,1.357195016501131,1.357195016501131,0.2035792524751696,0.0007464572590755,0.0005225200813528,0.0002239371777226,0.00013571950165,1.0
Oriente,(all provinces confounded),ovine_live,ovine,v2_integrated,1 kg live weight equivalent,1.0,0.2702894023416167,0.0360385869788821,0.001801929348944,0.308129918669443,68.47331525987623,0.0900964674472055,0.0022322922702122,10.81157609366467,2.162315218732934,8.649260874931736,1.29738913123976,0.003964244567677,0.0027749711973738,0.001189273370303,0.0007207717395775,1.0
Oriente,(all provinces confounded),swine_live,swine,v2_integrated,1 kg live weight equivalent,1.0,0.068852143239491,0.1032782148592365,0.0020655642971846,0.1741959223959124,48.19650026764374,0.2065564297184731,0.0008614278874281,15.147471512688034,10.603230058881625,0.0,0.0,0.0045442414538063,0.0031809690176644,0.0013632724361418,0.0008262257188738,1.0
Sierra,(all provinces confounded),cattle_meat,cattle,v2_integrated,1 kg product,1.0,0.2100601785223764,0.0190963798656705,0.0011457827919401,0.2303023411799872,42.96685469775884,0.5728913959701178,0.0001584648938387,9.548189932835296,3.819275973134119,5.728913959701178,0.8593370939551767,0.0025207221422684,0.0017645054995879,0.0007562166426805,0.000458313116776,1.0
Sierra,(all provinces confounded),eggs,poultry,v2_integrated,1 kg shell eggs,1.0,0.0,0.0047047911711097,0.0007057186756664,0.0054105098467761,6.469087860275896,0.1176197792777435,1.4918259468808124e-06,1.5996289981773129,1.5996289981773129,0.0,0.0,0.0015525810864661,0.0010868067605262,0.0004657743259398,0.0002822874702665,0.1224534688371028
Sierra,(all provinces confounded),meat_poultry,poultry,v2_integrated,1 kg meat product,1.0,0.0,0.0199193911759665,0.0029879086763949,0.0229072998523614,27.389162866954027,0.497984779399164,1.605698443269592e-05,6.772592999828633,6.772592999828633,0.0,0.0,0.0065733990880689,0.0046013793616482,0.0019720197264206,0.0011951634705579,1.0
Sierra,(all provinces confounded),milk,cattle,v2_integrated,1 kg FPCM,1.0,0.0273830783775366,0.0024893707615942,0.0001493622456956,0.0300218113848265,5.601084213587056,0.0746811228478274,1.474929083233224e-05,1.244685380797124,0.4978741523188495,0.7468112284782742,0.1120216842717411,0.0003285969405304,0.0002300178583712,9.857908215911696e-05,5.974489827825735e-05,0.1705048466845374
Sierra,(all provinces confounded),other_livestock_live,other,v2_integrated,1 kg product,1.0,0.0382828823577725,0.0095707205894431,0.000478536029472,0.0483321389766878,22.969729414663565,0.0191414411788862,0.001132148263722,3.828288235777261,1.9141441178886305,1.9141441178886305,0.2871216176832946,0.0010527792648386,0.000736945485387,0.0003158337794516,0.0001914144117888,1.0
Sierra,(all provinces confounded),ovine_live,ovine,v2_integrated,1 kg live weight equivalent,1.0,0.2688673785405718,0.0358489838054095,0.0017924491902704,0.3065088115362518,68.1130692302782,0.0896224595135239,0.0004780448578145,10.754695141622877,2.150939028324575,8.6037561132983,1.2905634169947449,0.003943388218595,0.0027603717530165,0.0011830164655784,0.0007169796761081,1.0
Sierra,(all provinces confounded),swine_live,swine,v2_integrated,1 kg live weight equivalent,1.0,0.0587706039634231,0.0881559059451348,0.0017631181189026,0.1486896280274607,41.13942277439624,0.1763118118902695,0.0002565726238216,12.929532871953104,9.050673010367172,0.0,0.0,0.0038788598615858,0.0027152019031101,0.0011636579584757,0.000705247247561,1.0
