Region,Product,System,count,Area_ha,Animals_total_head,Producing_animals_head,Animals_sold_head,Pasture_share_pct,Supplement_share_pct,Common_feed_share_pct,Waste_feed_share_pct,Intake_assumption_kg_head_day,Pasture_feed_kg_head_day,Supplement_feed_kg_head_day,Common_feed_kg_head_day,Waste_feed_kg_head_day,Unallocated_feed_share_pct,Unallocated_feed_kg_head_day,Total_feed_kg_head_day,Vaccinated_head,Vaccination_share_pct,Milk_output_l_day,Milk_sales_l_7d,Milk_yield_l_head_day,Proxy_total_feed_kg_head_day,Proxy_body_weight_kg,Proxy_forage_share_pct,Proxy_tree_forage_share_pct,Proxy_compound_feed_share_pct,Proxy_mineral_share_pct,Proxy_forage_kg_head_day,Proxy_tree_forage_kg_head_day,Proxy_compound_feed_kg_head_day,Proxy_mineral_kg_head_day,Egg_output_reported,Egg_sales_reported,Eggs_per_head_reported,Birds_sold_head,Birds_consumed_head,Species,Output_unit,Sales_unit,Diet_basis,Proxy_diet_basis,Diet_data_status,Ration_composition_note,Diet_proxy_source_key,Diet_proxy_quality,Diet_proxy_note,Diet_proxy_citations,Livestock_profile_key,Livestock_climate_zone,Emission_head_basis,Animals_emission_basis_head,Headcount_emissions_basis_head,kgCH4_enteric_yr,kgCH4_manure_mgmt_yr,kgCH4_livestock_total_yr,kgNH3_manure_mgmt_total_yr,kgNH3_manure_housing_storage_yard_yr,kgNH3_manure_application_yr,kgNH3_grazing_yr,kgNOx_manure_mgmt_as_NO2_yr,kgNexcretion_manure_yr,kgVS_manure_yr,FracGasMS_weighted,FracLeachMS_weighted,EF3_manure_direct_weighted,kgN2ON_manure_mgmt_direct_yr,kgN2ON_manure_mgmt_indirect_yr,kgN2ON_manure_mgmt_total_yr,kgN2O_manure_mgmt_direct_yr,kgN2O_manure_mgmt_indirect_yr,kgN2O_manure_mgmt_total_yr,kgN2_manure_mgmt_yr,kgN_manure_after_management_yr,DFE_livestock_status,Representative_live_weight_kg,Animals_total_live_weight_kg,Producing_animals_live_weight_kg,Animals_sold_live_weight_kg,Headcount_emissions_basis_per_1kg_product,kgCH4_enteric_per_1kg_product,kgCH4_manure_mgmt_per_1kg_product,kgCH4_livestock_total_per_1kg_product,kgNH3_manure_mgmt_total_per_1kg_product,kgNH3_manure_housing_storage_yard_per_1kg_product,kgNH3_manure_application_per_1kg_product,kgNH3_grazing_per_1kg_product,kgNOx_manure_mgmt_as_NO2_per_1kg_product,kgNexcretion_manure_per_1kg_product,kgVS_manure_per_1kg_product,kgN2ON_manure_mgmt_direct_per_1kg_product,kgN2ON_manure_mgmt_indirect_per_1kg_product,kgN2ON_manure_mgmt_total_per_1kg_product,kgN2O_manure_mgmt_direct_per_1kg_product,kgN2O_manure_mgmt_indirect_per_1kg_product,kgN2O_manure_mgmt_total_per_1kg_product,kgN2_manure_mgmt_per_1kg_product,kgN_manure_after_management_per_1kg_product,Animal_weight_normalization_note,Live_weight_equivalent_kg,Meat_yield_fraction,Estimated_meat_output_kg,Milk_output_kg_fpcm_day,Milk_sales_kg_fpcm_7d,Egg_output_kg,Egg_sales_kg,Reference_output_kg,Normalization_factor_to_1kg,Normalized_product_output_kg,Area_ha_per_1kg_product,Animals_total_live_weight_kg_per_1kg_product,Producing_animals_live_weight_kg_per_1kg_product,Animals_sold_live_weight_kg_per_1kg_product,Live_weight_equivalent_kg_per_1kg_product,Milk_output_l_per_1kg_product,Milk_output_kg_fpcm_per_1kg_product,Milk_sales_l_per_1kg_product,Milk_sales_kg_fpcm_per_1kg_product,Egg_output_reported_per_1kg_product,Egg_output_kg_per_1kg_product,Egg_sales_reported_per_1kg_product,Egg_sales_kg_per_1kg_product,Birds_sold_head_per_1kg_product,Birds_consumed_head_per_1kg_product,Intake_assumption_kg_per_1kg_product,Pasture_feed_kg_per_1kg_product,Supplement_feed_kg_per_1kg_product,Common_feed_kg_per_1kg_product,Waste_feed_kg_per_1kg_product,Unallocated_feed_kg_per_1kg_product,Total_feed_kg_per_1kg_product,Feed_mass_balance_note,Proxy_total_feed_kg_per_1kg_product,Proxy_forage_kg_per_1kg_product,Proxy_tree_forage_kg_per_1kg_product,Proxy_compound_feed_kg_per_1kg_product,Proxy_mineral_kg_per_1kg_product,Vaccinated_head_per_1kg_product,Functional_unit,Reference_output_basis_note
(unknown),cattle_live,dairy,28,15.36,16.5,6.0,,95.0,5.0,,,12.0,11.4,0.6,0.0,0.0,0.0,0.0,12.0,14.0,100.0,,,,,,,,,,,,,,,,,,,cattle,kg meat (carcass-weight proxy),,as-fed kg/head/day,,"share-based, absolute kg/head/day estimated from configured intake assumption",pasture + supplement shares from ESPAC cattle module,,,,,cattle_dairy,tropical_moist,Animals_total_head,16.5,,,,,,,,,,,,0.121,0.0133,0.0081,,,,,,,,,livestock DFE computed from YAML-configured Tier 1 factors,450.0,7425.0,2700.0,,,,,,,,,,,,,,,,,,,,,"Animal live-weight kg per 1 kg product expresses the standing animal biomass associated with 1 kg meat output, using representative live weight and a carcass-yield proxy for the row.",7425.0,0.5,3712.5,,,,,3712.5,0.0002693602693602,1.0,0.0041373737373737,2.0,0.7272727272727272,,2.0,,,,,,,,,,,0.0032323232323224,0.00307070707070628,0.00016161616161612,0.0,0.0,0.0,0.0032323232323224,Feed columns are constructed to satisfy: Pasture_feed_kg_per_1kg_product = Cultivated_pasture_feed_kg_per_1kg_product + Natural_pasture_feed_kg_per_1kg_product + Unmatched_pasture_feed_kg_per_1kg_product; and Total_feed_kg_per_1kg_product = Pasture_feed_kg_per_1kg_product + Supplement_feed_kg_per_1kg_product + Common_feed_kg_per_1kg_product + Waste_feed_kg_per_1kg_product + Unallocated_feed_kg_per_1kg_product.,,,,,,0.0037710437710437,1 kg meat (carcass-weight proxy),"Animals_total_head multiplied by representative live weight, then converted to estimated meat output with the configured carcass-yield proxy."
(unknown),donkey_live,(all holdings),2,15.53,1.5,,,,,,,,,,,,,,,,,,,,3.6,180.0,100.0,0.0,0.0,0.0,3.6,0.0,0.0,0.0,,,,,,asnal,kg live weight equivalent,,,dry-matter kg/head/day,no diet share data in ESPAC; literature proxy attached from config,no diet/ration fields found in other livestock module; literature proxy diet attached from inputs/02-05_espac_lci_coefficients.yml,donkey_live,Non-Ecuador fallback inference,"Derived as 2.0% of body weight in dry matter, using the midpoint of the 1.75% to 2.25% maintenance guideline for a representative 180 kg donkey.","Management recommendations for donkeys and mules - Ontario guidance gives 1.75% to 2.25% of body weight dry matter intake for maintenance in donkeys and mules; proxy uses the midpoint and a representative 180 kg body weight. (https://www.ontario.ca/page/management-recommendations-donkeys-and-mules) | Feeding Donkeys Straw and Hay Q and A with The Donkey Sanctuary - Reports research-based guidance that donkeys need about 1.5% of their body weight per day in dry feed, supporting a forage-first maintenance proxy. (https://www.thehaypillow.com/blogs/news/feeding-donkeys-straw-and-hay-q-a-with-the-donkey-sanctuary)",mule_ass_low,tropical_moist,Animals_total_head,1.5,,,,,,,,,,,,0.0175,0.00105,0.0023,,,,,,,,,livestock DFE computed from YAML-configured Tier 1 factors,180.0,270.0,,,,,,,,,,,,,,,,,,,,,,"For live-animal products without a meat-output proxy, animal-live-weight-kg-per-kg-product columns are left blank. Use Representative_live_weight_kg as the animal weight reference.",270.0,,,,,,,270.0,0.0037037037037037,1.0,0.0575185185185185,,,,1.0,,,,,,,,,,,,,,,,,,Feed columns are constructed to satisfy: Pasture_feed_kg_per_1kg_product = Cultivated_pasture_feed_kg_per_1kg_product + Natural_pasture_feed_kg_per_1kg_product + Unmatched_pasture_feed_kg_per_1kg_product; and Total_feed_kg_per_1kg_product = Pasture_feed_kg_per_1kg_product + Supplement_feed_kg_per_1kg_product + Common_feed_kg_per_1kg_product + Waste_feed_kg_per_1kg_product + Unallocated_feed_kg_per_1kg_product.,0.0133333333333333,0.0133333333333333,0.0,0.0,0.0,,1 kg live weight equivalent,Animals_total_head multiplied by representative live weight to express kg live weight equivalent.
(unknown),horse_live,(all holdings),18,25.58,1.5,,,,,,,,,,,,,,,,,,,,6.75,450.0,100.0,0.0,0.0,0.0,6.75,0.0,0.0,0.0,,,,,,equine,kg live weight equivalent,,,dry-matter kg/head/day,no diet share data in ESPAC; literature proxy attached from config,no diet/ration fields found in other livestock module; literature proxy diet attached from inputs/02-05_espac_lci_coefficients.yml,horse_live,Non-Ecuador fallback inference,Derived as 1.5% of body weight in forage dry matter for a representative 450 kg adult horse.,Understanding Hay Quality Even Good Hay Can Have Bad Things In It - AAEP guidance indicates horses should receive about 1 to 1.5% of body weight in forage; proxy uses the upper end and a representative 450 kg body weight. (https://aaep.org/post/understanding-hay-quality-even-good-hay-can-have-bad-things-in-it/),horse_low,tropical_moist,Animals_total_head,1.5,,,,,,,,,,,,0.0175,0.00105,0.0023,,,,,,,,,livestock DFE computed from YAML-configured Tier 1 factors,450.0,675.0,,,,,,,,,,,,,,,,,,,,,,"For live-animal products without a meat-output proxy, animal-live-weight-kg-per-kg-product columns are left blank. Use Representative_live_weight_kg as the animal weight reference.",675.0,,,,,,,675.0,0.0014814814814814,1.0,0.0378962962962962,,,,1.0,,,,,,,,,,,,,,,,,,Feed columns are constructed to satisfy: Pasture_feed_kg_per_1kg_product = Cultivated_pasture_feed_kg_per_1kg_product + Natural_pasture_feed_kg_per_1kg_product + Unmatched_pasture_feed_kg_per_1kg_product; and Total_feed_kg_per_1kg_product = Pasture_feed_kg_per_1kg_product + Supplement_feed_kg_per_1kg_product + Common_feed_kg_per_1kg_product + Waste_feed_kg_per_1kg_product + Unallocated_feed_kg_per_1kg_product.,0.01,0.01,0.0,0.0,0.0,,1 kg live weight equivalent,Animals_total_head multiplied by representative live weight to express kg live weight equivalent.
(unknown),milk,dairy,28,15.36,16.5,4.0,,95.0,5.0,,,12.0,11.4,0.6,0.0,0.0,0.0,0.0,12.0,14.0,100.0,30.0,271.0,9.0,,,,,,,,,,,,,,,,cattle,kg FPCM/day,L/7d,as-fed kg/head/day,,"share-based, absolute kg/head/day estimated from configured intake assumption",pasture + supplement shares from ESPAC cattle module,,,,,cattle_dairy,tropical_moist,Animals_total_head,16.5,,,,,,,,,,,,0.121,0.0133,0.0081,,,,,,,,,livestock DFE computed from YAML-configured Tier 1 factors,450.0,7425.0,1800.0,,,,,,,,,,,,,,,,,,,,,"Animal kg per 1 kg product expresses the live-weight biomass associated with 1 kg FPCM, calculated as total animal live weight divided by total milk output for the row, i.e. based on total head count rather than producing-head count.",7425.0,,,29.4821226,266.32184082,,,29.4821226,0.0339188603740491,1.0,0.5209936953453955,251.84753827731524,61.05394867328854,,251.84753827731524,1.0175658112214756,1.0,9.192011161367333,9.033333333333331,,,,,,,0.4070263244885892,0.38667500826415974,0.02035131622442946,0.0,0.0,0.0,0.4070263244885892,Feed columns are constructed to satisfy: Pasture_feed_kg_per_1kg_product = Cultivated_pasture_feed_kg_per_1kg_product + Natural_pasture_feed_kg_per_1kg_product + Unmatched_pasture_feed_kg_per_1kg_product; and Total_feed_kg_per_1kg_product = Pasture_feed_kg_per_1kg_product + Supplement_feed_kg_per_1kg_product + Common_feed_kg_per_1kg_product + Waste_feed_kg_per_1kg_product + Unallocated_feed_kg_per_1kg_product.,,,,,,0.4748640452366887,1 kg FPCM,Milk liters/day converted to kg FPCM; live-weight-equivalent per kg FPCM is based on total herd live weight divided by total milk output; DFE annualizes this daily output by multiplying by 365.
(unknown),mule_live,(all holdings),3,22.11,1.0,,,,,,,,,,,,,,,,,,,,7.0,350.0,100.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,,,,,,mule,kg live weight equivalent,,,dry-matter kg/head/day,no diet share data in ESPAC; literature proxy attached from config,no diet/ration fields found in other livestock module; literature proxy diet attached from inputs/02-05_espac_lci_coefficients.yml,mule_live,Non-Ecuador fallback inference,"Derived as 2.0% of body weight in dry matter, using the midpoint of the 1.75% to 2.25% maintenance guideline for a representative 350 kg mule.",Management recommendations for donkeys and mules - Ontario guidance gives 1.75% to 2.25% of body weight dry matter intake for maintenance in donkeys and mules; proxy uses the midpoint and a representative 350 kg body weight. (https://www.ontario.ca/page/management-recommendations-donkeys-and-mules),mule_ass_low,tropical_moist,Animals_total_head,1.0,,,,,,,,,,,,0.0175,0.00105,0.0023,,,,,,,,,livestock DFE computed from YAML-configured Tier 1 factors,350.0,350.0,,,,,,,,,,,,,,,,,,,,,,"For live-animal products without a meat-output proxy, animal-live-weight-kg-per-kg-product columns are left blank. Use Representative_live_weight_kg as the animal weight reference.",350.0,,,,,,,350.0,0.0028571428571428,1.0,0.0631714285714285,,,,1.0,,,,,,,,,,,,,,,,,,Feed columns are constructed to satisfy: Pasture_feed_kg_per_1kg_product = Cultivated_pasture_feed_kg_per_1kg_product + Natural_pasture_feed_kg_per_1kg_product + Unmatched_pasture_feed_kg_per_1kg_product; and Total_feed_kg_per_1kg_product = Pasture_feed_kg_per_1kg_product + Supplement_feed_kg_per_1kg_product + Common_feed_kg_per_1kg_product + Waste_feed_kg_per_1kg_product + Unallocated_feed_kg_per_1kg_product.,0.02,0.02,0.0,0.0,0.0,,1 kg live weight equivalent,Animals_total_head multiplied by representative live weight to express kg live weight equivalent.
(unknown),ovine_live,(all ovine),11,4.01,4.0,,2.0,,,,,,,,,,,,,,,,,,1.272,60.44,78.1,21.5,0.0,0.4,0.994,0.273,0.0,0.005,,,,,,ovine,kg meat (carcass-weight proxy),head,,dry-matter kg/head/day,no diet share data in ESPAC; literature proxy attached from config,no diet/ration fields found in ovine module; literature proxy diet attached from inputs/02-05_espac_lci_coefficients.yml,ovine_live,Ecuador composite,Composite Ecuador proxy. Total intake is based on an ovine feeding trial; tree-forage share comes from Acacia mearnsii voluntary intake; mineral intake comes from a Blackbelly sheep grazing study in the Ecuadorian Amazon.,UTA thesis by Erika Esthefanía Lluay Guilcapi (bitstream 32507) - Reports voluntary dry matter intake of 1268.85 g/day in weaned sheep in Ecuador. (https://repositorio.uta.edu.ec/bitstream/123456789/32507/1/Tesis%20182%20Medicina%20Veterinaria%20y%20Zootecnia%20-Lluay%20Guilcapi%20Erika%20Esthefan%C3%ADa.pdf) | Evaluación de la preferencia de consumo de leguminosas arbóreas con potencial forrajero en rumiantes menores - Reports ovine Acacia mearnssi voluntary intake of 272.50 g/kg MS and 12.60 g/kg PV^0.75 at 60.44 kg live weight. (https://repositorio.uta.edu.ec/items/770d67bf-97e2-485a-8227-d941b7f4e1b2) | Effect of Mineral Supplementation on the Macromineral Concentration in Blood in Pre- and Postpartum Blackbelly Sheep - Reports 0.005 kg per animal per day mineral supplementation under free-grazing conditions in the Ecuadorian Amazon. (https://pmc.ncbi.nlm.nih.gov/articles/PMC7401505/),ovine_low,tropical_moist,Animals_total_head,4.0,,,,,,,,,,,,0.0175,0.00105,0.0023,,,,,,,,,livestock DFE computed from YAML-configured Tier 1 factors,60.44,241.76,,120.88,,,,,,,,,,,,,,,,,,,,"Animal live-weight kg per 1 kg product expresses the standing animal biomass associated with 1 kg meat output, using representative live weight and a carcass-yield proxy for the row.",241.76,0.46,111.2096,,,,,111.2096,0.0089920294650821,1.0,0.0360580381549794,2.1739130434782608,,1.0869565217391304,2.1739130434782608,,,,,,,,,,,,,,,,,,Feed columns are constructed to satisfy: Pasture_feed_kg_per_1kg_product = Cultivated_pasture_feed_kg_per_1kg_product + Natural_pasture_feed_kg_per_1kg_product + Unmatched_pasture_feed_kg_per_1kg_product; and Total_feed_kg_per_1kg_product = Pasture_feed_kg_per_1kg_product + Supplement_feed_kg_per_1kg_product + Common_feed_kg_per_1kg_product + Waste_feed_kg_per_1kg_product + Unallocated_feed_kg_per_1kg_product.,0.0114378614795844,0.0089380772882916,0.0024548240439674,0.0,4.496014732541076e-05,,1 kg meat (carcass-weight proxy),"Animals_total_head multiplied by representative live weight, then converted to estimated meat output with the configured carcass-yield proxy."
(unknown),swine_live,(all swine),2,9.105,1.5,,1.5,,,,100.0,2.5,,,0.0,2.5,0.0,0.0,2.5,,,,,,,,,,,,,,,,,,,,,swine,kg meat (carcass-weight proxy),head,as-fed kg/head/day,,"share-based, absolute kg/head/day estimated from configured intake assumption",common feed + supplement + waste shares from ESPAC swine module,,,,,swine_mixed,tropical_moist,Animals_total_head,1.5,,,,,,,,,,,,0.332,0.00525,0.00483,,,,,,,,,livestock DFE computed from YAML-configured Tier 1 factors,75.23,112.845,,112.845,,,,,,,,,,,,,,,,,,,,"Animal live-weight kg per 1 kg product expresses the standing animal biomass associated with 1 kg meat output, using representative live weight and a carcass-yield proxy for the row.",112.845,0.66,74.4777,,,,,74.4777,0.0134268378319953,1.0,0.1222513584603176,1.5151515151515151,,1.5151515151515151,1.5151515151515151,,,,,,,,,,,0.03356709457998825,,,0.0,0.03356709457998825,0.0,0.03356709457998825,Feed columns are constructed to satisfy: Pasture_feed_kg_per_1kg_product = Cultivated_pasture_feed_kg_per_1kg_product + Natural_pasture_feed_kg_per_1kg_product + Unmatched_pasture_feed_kg_per_1kg_product; and Total_feed_kg_per_1kg_product = Pasture_feed_kg_per_1kg_product + Supplement_feed_kg_per_1kg_product + Common_feed_kg_per_1kg_product + Waste_feed_kg_per_1kg_product + Unallocated_feed_kg_per_1kg_product.,,,,,,,1 kg meat (carcass-weight proxy),"Animals_total_head multiplied by representative live weight, then converted to estimated meat output with the configured carcass-yield proxy."
Costa,cattle_live,(unknown),76,11.9976,14.0,5.0,,98.0,10.0,,,10.0,9.8,1.0,0.0,0.0,0.0,0.0,10.8,13.5,100.0,,,,,,,,,,,,,,,,,,,cattle,kg meat (carcass-weight proxy),,as-fed kg/head/day,,"share-based, absolute kg/head/day estimated from configured intake assumption",pasture + supplement shares from ESPAC cattle module,,,,,cattle_other,tropical_moist,Animals_total_head,14.0,,,,,,,,,,,,0.0216,0.00175,0.0013,,,,,,,,,livestock DFE computed from YAML-configured Tier 1 factors,400.0,5600.0,2000.0,,,,,,,,,,,,,,,,,,,,,"Animal live-weight kg per 1 kg product expresses the standing animal biomass associated with 1 kg meat output, using representative live weight and a carcass-yield proxy for the row.",5600.0,0.5,2800.0,,,,,2800.0,0.0003571428571428,1.0,0.0042848571428571,2.0,0.7142857142857143,,2.0,,,,,,,,,,,0.003571428571428,0.00349999999999944,0.0003571428571428,0.0,0.0,0.0,0.0038571428571422405,Feed columns are constructed to satisfy: Pasture_feed_kg_per_1kg_product = Cultivated_pasture_feed_kg_per_1kg_product + Natural_pasture_feed_kg_per_1kg_product + Unmatched_pasture_feed_kg_per_1kg_product; and Total_feed_kg_per_1kg_product = Pasture_feed_kg_per_1kg_product + Supplement_feed_kg_per_1kg_product + Common_feed_kg_per_1kg_product + Waste_feed_kg_per_1kg_product + Unallocated_feed_kg_per_1kg_product.,,,,,,0.0048214285714285,1 kg meat (carcass-weight proxy),"Animals_total_head multiplied by representative live weight, then converted to estimated meat output with the configured carcass-yield proxy."
Costa,cattle_live,beef,953,27.0,24.0,10.0,,90.0,10.0,,,8.0,7.2,0.8,0.0,0.0,0.0,0.0,8.0,27.0,100.0,,,,,,,,,,,,,,,,,,,cattle,kg meat (carcass-weight proxy),,as-fed kg/head/day,,"share-based, absolute kg/head/day estimated from configured intake assumption",pasture + supplement shares from ESPAC cattle module,,,,,cattle_other,tropical_moist,Animals_total_head,24.0,,,,,,,,,,,,0.0216,0.00175,0.0013,,,,,,,,,livestock DFE computed from YAML-configured Tier 1 factors,400.0,9600.0,4000.0,,,,,,,,,,,,,,,,,,,,,"Animal live-weight kg per 1 kg product expresses the standing animal biomass associated with 1 kg meat output, using representative live weight and a carcass-yield proxy for the row.",9600.0,0.5,4800.0,,,,,4800.0,0.0002083333333333,1.0,0.005625,2.0,0.8333333333333334,,2.0,,,,,,,,,,,0.0016666666666664,0.00149999999999976,0.00016666666666664002,0.0,0.0,0.0,0.0016666666666664,Feed columns are constructed to satisfy: Pasture_feed_kg_per_1kg_product = Cultivated_pasture_feed_kg_per_1kg_product + Natural_pasture_feed_kg_per_1kg_product + Unmatched_pasture_feed_kg_per_1kg_product; and Total_feed_kg_per_1kg_product = Pasture_feed_kg_per_1kg_product + Supplement_feed_kg_per_1kg_product + Common_feed_kg_per_1kg_product + Waste_feed_kg_per_1kg_product + Unallocated_feed_kg_per_1kg_product.,,,,,,0.005625,1 kg meat (carcass-weight proxy),"Animals_total_head multiplied by representative live weight, then converted to estimated meat output with the configured carcass-yield proxy."
Costa,cattle_live,dairy,534,20.125,20.0,9.0,,90.0,10.0,,,12.0,10.8,1.2,0.0,0.0,0.0,0.0,12.0,20.0,100.0,,,,,,,,,,,,,,,,,,,cattle,kg meat (carcass-weight proxy),,as-fed kg/head/day,,"share-based, absolute kg/head/day estimated from configured intake assumption",pasture + supplement shares from ESPAC cattle module,,,,,cattle_dairy,tropical_moist,Animals_total_head,20.0,,,,,,,,,,,,0.121,0.0133,0.0081,,,,,,,,,livestock DFE computed from YAML-configured Tier 1 factors,450.0,9000.0,4050.0,,,,,,,,,,,,,,,,,,,,,"Animal live-weight kg per 1 kg product expresses the standing animal biomass associated with 1 kg meat output, using representative live weight and a carcass-yield proxy for the row.",9000.0,0.5,4500.0,,,,,4500.0,0.0002222222222222,1.0,0.0044722222222222,2.0,0.9,,2.0,,,,,,,,,,,0.0026666666666664,0.0023999999999997604,0.00026666666666664,0.0,0.0,0.0,0.0026666666666664,Feed columns are constructed to satisfy: Pasture_feed_kg_per_1kg_product = Cultivated_pasture_feed_kg_per_1kg_product + Natural_pasture_feed_kg_per_1kg_product + Unmatched_pasture_feed_kg_per_1kg_product; and Total_feed_kg_per_1kg_product = Pasture_feed_kg_per_1kg_product + Supplement_feed_kg_per_1kg_product + Common_feed_kg_per_1kg_product + Waste_feed_kg_per_1kg_product + Unallocated_feed_kg_per_1kg_product.,,,,,,0.0044444444444444,1 kg meat (carcass-weight proxy),"Animals_total_head multiplied by representative live weight, then converted to estimated meat output with the configured carcass-yield proxy."
