Crop,proxy_category,source_crop_match,Fuel_ha_median,Fuel_ha_min,Fuel_ha_max
AGUACATE (FRUTA FRESCA),perennial,,213.684,168.947,301.053
ARROZ (EN CÁSCARA),starch,rice,158.421,58.026,158.421
ARVEJA SECA (GRANO SECO),starch,bean,70.263,58.026,140.132
ARVEJA TIERNA (VAINA),starch,bean,70.263,58.026,140.132
BANANO (FRUTA FRESCA),horticultural,banana,92.895,92.895,339.079
BROCOLI,horticultural,,258.684,209.737,339.079
CACAO (ALMENDRA SECA),perennial,,213.684,168.947,301.053
CAFÉ (GRANO ORO),perennial,coffee,213.684,168.947,301.053
CAÑA DE AZÚCAR / AZÚCAR (TALLO FRESCO),perennial,sugarcane,124.211,124.211,301.053
CAÑA DE AZÚCAR / OTROS USOS (TALLO FRESCO),perennial,sugarcane,124.211,124.211,301.053
CEBADA,starch,wheat,50.789,50.789,140.132
CEBOLLA BLANCA,horticultural,onion,412.105,209.737,412.105
FREJOL SECO (GRANO SECO),starch,bean,70.263,58.026,140.132
FREJOL TIERNO (VAINA),starch,bean,70.263,58.026,140.132
HABA SECA (GRANO SECO),starch,bean,70.263,58.026,140.132
HABA TIERNA (VAINA),starch,bean,70.263,58.026,140.132
LIMÓN (FRUTA FRESCA),perennial,citrus,388.421,168.947,388.421
MAIZ DURO CHOCLO (CHOCLO),starch,maize,53.947,53.947,140.132
MAIZ DURO SECO (GRANO SECO),starch,maize,53.947,53.947,140.132
MAIZ SUAVE CHOCLO (CHOCLO),starch,maize,53.947,53.947,140.132
MAIZ SUAVE SECO (GRANO SECO),starch,maize,53.947,53.947,140.132
MANGO (FRUTA FRESCA),perennial,,213.684,168.947,301.053
MANI,oil,peanut,87.105,29.342,87.105
MARACUYÁ (FRUTA FRESCA),perennial,,213.684,168.947,301.053
NARANJA (FRUTA FRESCA),perennial,citrus,388.421,168.947,388.421
ORITO (FRUTA FRESCA),horticultural,banana,92.895,92.895,339.079
OTROS PERMANENTES,perennial,,213.684,168.947,301.053
OTROS TRANSITORIOS,starch,,77.763,58.026,140.132
PALMA AFRICANA (FRUTA FRESCA),oil,palm,18.684,18.684,64.474
PALMITO (TALLO FRESCO),perennial,,213.684,168.947,301.053
PAPA,starch,potato,185.0,58.026,185.0
PIÑA (FRUTA FRESCA),perennial,,213.684,168.947,301.053
PLÁTANO (FRUTA FRESCA),horticultural,banana,92.895,92.895,339.079
QUINUA,starch,,77.763,58.026,140.132
SOYA,oil,soybean_parana,41.842,29.342,64.474
TABACO,fiber,cotton,116.579,116.579,116.579
TOMATE DE ÁRBOL (FRUTA FRESCA),perennial,,213.684,168.947,301.053
TOMATE RIÑON,horticultural,tomato,237.105,209.737,339.079
TRIGO,starch,wheat,50.789,50.789,140.132
YUCA,starch,cassava,85.263,58.026,140.132
