product,scope,n_records,product_output_kg_year__median,product_output_kg_year__p05,product_output_kg_year__p95,product_output_kg_year__min,product_output_kg_year__max,ch4_enteric_kg_per_kg_product__median,ch4_enteric_kg_per_kg_product__p05,ch4_enteric_kg_per_kg_product__p95,ch4_enteric_kg_per_kg_product__min,ch4_enteric_kg_per_kg_product__max,ch4_manure_kg_per_kg_product__median,ch4_manure_kg_per_kg_product__p05,ch4_manure_kg_per_kg_product__p95,ch4_manure_kg_per_kg_product__min,ch4_manure_kg_per_kg_product__max,n2o_direct_kg_per_kg_product__median,n2o_direct_kg_per_kg_product__p05,n2o_direct_kg_per_kg_product__p95,n2o_direct_kg_per_kg_product__min,n2o_direct_kg_per_kg_product__max,total_direct_gas_kg_per_kg_product__median,total_direct_gas_kg_per_kg_product__p05,total_direct_gas_kg_per_kg_product__p95,total_direct_gas_kg_per_kg_product__min,total_direct_gas_kg_per_kg_product__max,water_l_per_kg_product__median,water_l_per_kg_product__p05,water_l_per_kg_product__p95,water_l_per_kg_product__min,water_l_per_kg_product__max,electricity_kwh_per_kg_product__median,electricity_kwh_per_kg_product__p05,electricity_kwh_per_kg_product__p95,electricity_kwh_per_kg_product__min,electricity_kwh_per_kg_product__max,area_ha_per_kg_product__median,area_ha_per_kg_product__p05,area_ha_per_kg_product__p95,area_ha_per_kg_product__min,area_ha_per_kg_product__max,total_feed_kg_per_kg_product__median,total_feed_kg_per_kg_product__p05,total_feed_kg_per_kg_product__p95,total_feed_kg_per_kg_product__min,total_feed_kg_per_kg_product__max,supplement_feed_kg_per_kg_product__median,supplement_feed_kg_per_kg_product__p05,supplement_feed_kg_per_kg_product__p95,supplement_feed_kg_per_kg_product__min,supplement_feed_kg_per_kg_product__max,pasture_feed_kg_per_kg_product__median,pasture_feed_kg_per_kg_product__p05,pasture_feed_kg_per_kg_product__p95,pasture_feed_kg_per_kg_product__min,pasture_feed_kg_per_kg_product__max,unmatched_pasture_feed_kg_per_kg_product__median,unmatched_pasture_feed_kg_per_kg_product__p05,unmatched_pasture_feed_kg_per_kg_product__p95,unmatched_pasture_feed_kg_per_kg_product__min,unmatched_pasture_feed_kg_per_kg_product__max,nh3_total_kg_per_kg_product__median,nh3_total_kg_per_kg_product__p05,nh3_total_kg_per_kg_product__p95,nh3_total_kg_per_kg_product__min,nh3_total_kg_per_kg_product__max,nh3_housing_kg_per_kg_product__median,nh3_housing_kg_per_kg_product__p05,nh3_housing_kg_per_kg_product__p95,nh3_housing_kg_per_kg_product__min,nh3_housing_kg_per_kg_product__max,nh3_grazing_kg_per_kg_product__median,nh3_grazing_kg_per_kg_product__p05,nh3_grazing_kg_per_kg_product__p95,nh3_grazing_kg_per_kg_product__min,nh3_grazing_kg_per_kg_product__max,nox_as_no2_kg_per_kg_product__median,nox_as_no2_kg_per_kg_product__p05,nox_as_no2_kg_per_kg_product__p95,nox_as_no2_kg_per_kg_product__min,nox_as_no2_kg_per_kg_product__max,animals_total_live_weight_kg_per_kg_product__median,animals_total_live_weight_kg_per_kg_product__p05,animals_total_live_weight_kg_per_kg_product__p95,animals_total_live_weight_kg_per_kg_product__min,animals_total_live_weight_kg_per_kg_product__max,farm_total_live_weight_kg__median,farm_total_live_weight_kg__p05,farm_total_live_weight_kg__p95,farm_total_live_weight_kg__min,farm_total_live_weight_kg__max,attributed_live_weight_kg__median,attributed_live_weight_kg__p05,attributed_live_weight_kg__p95,attributed_live_weight_kg__min,attributed_live_weight_kg__max,ual_prov
cattle_meat,national,12515,122885.11581119426,7633.593454230491,882941.8328794106,50.85386566750296,21001490.307845023,0.2141050686378036,0.17844444444444443,0.23939498674627466,0.1500934579439252,0.31490196078431376,0.019464097148891236,0.01622222222222222,0.0217631806132977,0.01364485981308411,0.028627450980392162,0.0011678458289334742,0.0009733333333333332,0.0013057908367978617,0.0008186915887850465,0.0017176470588235297,0.23473701161562832,0.19563999999999998,0.2624639581963702,0.16455700934579434,0.3452470588235295,43.79421858500528,36.5,48.96715637991982,30.700934579439245,64.41176470588236,0.583922914466737,0.48666666666666664,0.652895418398931,0.4093457943925232,0.8588235294117649,7.247879754616056e-05,1.8511197610489462e-06,0.0033272837908250507,3.883347854896895e-09,1.6572040026722534,9.732048574445617,8.11111111111111,10.88159030664885,6.822429906542054,14.31372549019608,3.892819429778247,3.2444444444444445,4.352636122659541,2.728971962616822,5.725490196078432,5.839229144667371,4.866666666666666,6.52895418398931,4.093457943925232,8.588235294117649,0.8758843717001056,0.7299999999999999,0.9793431275983965,0.6140186915887849,1.2882352941176471,0.0025692608236536434,0.002141333333333333,0.002872739840955296,0.0018011214953271024,0.0037788235294117655,0.0017984825765575503,0.0014989333333333332,0.002010917888668707,0.0012607850467289715,0.002645176470588236,0.0007707782470960929,0.0006423999999999999,0.0008618219522865889,0.0005403364485981306,0.0011336470588235296,0.00046713833157338965,0.0003893333333333333,0.0005223163347191448,0.0003274766355140186,0.0006870588235294119,1.0,1.0,1.0,1.0,1.0,122885.11581119426,7633.593454230491,882941.8328794106,50.85386566750296,21001490.307845023,,,,,,
eggs,national,257,558768.645,27269.640248018717,6078105.27263549,18.200347260734933,22507168.95031231,0.0,0.0,0.0,0.0,0.0,0.004703198763058725,0.004703198763058725,0.004703198763058726,0.004703198763058725,0.07024007972653169,0.0007054798144588088,0.0007054798144588087,0.0007054798144588088,0.0007054798144588087,0.010536011958979756,0.005408678577517534,0.005408678577517534,0.005408678577517535,0.005408678577517533,0.08077609168551145,6.466898299205748,6.466898299205747,6.466898299205749,6.466898299205747,96.5801096239811,0.11757996907646813,0.11757996907646813,0.11757996907646814,0.11757996907646812,1.7560019931632924,0.0,0.0,1.793850105347202e-05,0.0,0.018773272373553734,1.5990875794399666,1.5990875794399666,1.5990875794399668,1.5990875794399664,23.881627107020776,1.5990875794399666,1.5990875794399666,1.5990875794399668,1.5990875794399664,23.881627107020776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015520555918093796,0.0015520555918093794,0.0015520555918093798,0.0015520555918093792,0.02317922630975546,0.0010864389142665656,0.0010864389142665654,0.0010864389142665658,0.0010864389142665654,0.016225458416828823,0.0004656166775428138,0.00046561667754281376,0.0004656166775428139,0.00046561667754281376,0.0069537678929266385,0.0002821919257835235,0.0002821919257835235,0.00028219192578352357,0.0002821919257835235,0.004214404783591903,0.1224120226001586,0.1224120226001586,0.12241202260015861,0.12241202260015858,1.8281664586357564,76730.0,7600.0,758649.159999999,2.2279413202118192,2755148.0742112184,68400.0,3800.0,744033.1599999988,2.2279413202118192,2755148.0742112184,
meat_poultry,national,752,121500.0,1719.0000000000007,1678319.9999999986,0.18,8892000.0,0.0,0.0,0.0,0.0,0.0,0.010111111111111112,0.01011111111111111,0.038421052631578946,0.009125,0.4055555555555556,0.0015166666666666668,0.0015166666666666666,0.005763157894736842,0.00136875,0.060833333333333336,0.011627777777777779,0.011627777777777777,0.04418421052631579,0.01049375,0.46638888888888896,13.90277777777778,13.902777777777779,52.82894736842106,12.546875,557.638888888889,0.25277777777777777,0.25277777777777777,0.9605263157894737,0.228125,10.13888888888889,0.0,0.0,0.00017444315589464288,0.0,2.9675166970248936,3.4377777777777783,3.437777777777778,13.063157894736843,3.1025,137.8888888888889,3.4377777777777783,3.437777777777778,13.063157894736843,3.1025,137.8888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033366666666666675,0.0033366666666666666,0.012678947368421055,0.00301125,0.13383333333333336,0.002335666666666667,0.0023356666666666664,0.008875263157894739,0.002107875,0.09368333333333334,0.0010010000000000002,0.001001,0.0038036842105263163,0.0009033749999999999,0.040150000000000005,0.0006066666666666668,0.0006066666666666666,0.0023052631578947373,0.0005475,0.024333333333333335,1.0,1.0,1.0,1.0,1.0,121500.0,1719.0000000000007,1678319.9999999986,0.18,8892000.0,,,,,,
milk,national,7591,101363.05060136515,5836.18954539986,967335.9572931146,22.101741027385458,17517053.360954497,0.044,0.015714285714285715,0.11,0.006285714285714285,0.66,0.004,0.0014285714285714288,0.01,0.0005714285714285714,0.06,0.00023999999999999998,8.571428571428571e-05,0.0006,3.4285714285714284e-05,0.0035999999999999995,0.04824,0.01722857142857143,0.1206,0.006891428571428571,0.7236,9.0,3.2142857142857144,22.5,1.2857142857142856,135.0,0.12,0.04285714285714286,0.3,0.017142857142857144,1.8,1.559624877469505e-05,3.1512360496266986e-07,0.000880741984539822,1.763451454568138e-09,0.19116026693712895,2.0,0.7142857142857143,5.0,0.2857142857142857,30.0,0.8,0.28571428571428575,2.0,0.11428571428571428,12.0,1.2,0.42857142857142855,3.0,0.17142857142857143,18.0,0.18,0.06428571428571428,0.45,0.02571428571428571,2.7,0.0005279999999999999,0.00018857142857142857,0.00132,7.542857142857144e-05,0.007919999999999998,0.00036959999999999993,0.00013199999999999998,0.0009239999999999999,5.28e-05,0.005543999999999999,0.00015839999999999997,5.6571428571428574e-05,0.000396,2.262857142857143e-05,0.0023759999999999996,9.599999999999999e-05,3.4285714285714284e-05,0.00024,1.3714285714285714e-05,0.0014399999999999999,0.273972602739726,0.09784735812133072,0.684931506849315,0.03913894324853229,4.109589041095891,155695.4454830143,9858.821843269314,989601.6416582887,94.7549943578614,10143810.30661334,27981.5952592066,1691.657718848291,179181.07886466582,15.13817878588045,4422561.64537968,
other_livestock_live,national,5974,4115.980073464584,269.28248624171755,32794.971218966995,4.321293467789454,577904.2562224107,0.027037037037037037,0.024333333333333332,0.12166666666666667,0.02433333333333333,0.16222222222222227,0.006759259259259259,0.006083333333333333,0.030416666666666668,0.006083333333333332,0.04055555555555557,0.000337962962962963,0.0003041666666666666,0.0015208333333333335,0.0003041666666666666,0.002027777777777778,0.03413425925925926,0.03072083333333333,0.15360416666666668,0.030720833333333326,0.20480555555555563,16.22222222222222,14.599999999999998,73.0,14.599999999999996,97.33333333333336,0.013518518518518518,0.012166666666666666,0.060833333333333336,0.012166666666666664,0.08111111111111113,0.0005601345847273036,2.0590049477309258e-05,0.027577733683922193,1.4538838598585916e-07,9.482104268426896,2.7037037037037037,2.433333333333333,12.166666666666668,2.433333333333333,16.222222222222225,1.3518518518518519,1.2166666666666666,6.083333333333334,1.2166666666666666,8.111111111111112,1.3518518518518519,1.2166666666666666,6.083333333333334,1.2166666666666666,8.111111111111112,0.20277777777777778,0.18249999999999997,0.9125,0.18249999999999994,1.2166666666666668,0.0007435185185185186,0.0006691666666666667,0.003345833333333334,0.0006691666666666665,0.004461111111111113,0.000520462962962963,0.0004684166666666666,0.0023420833333333336,0.0004684166666666665,0.003122777777777779,0.00022305555555555555,0.00020074999999999997,0.00100375,0.00020074999999999995,0.0013383333333333337,0.00013518518518518518,0.00012166666666666667,0.0006083333333333334,0.00012166666666666664,0.0008111111111111113,1.0,1.0,1.0,1.0,1.0,4115.980073464584,269.28248624171755,32794.971218966995,4.321293467789454,577904.2562224107,,,,,,
ovine_live,national,2158,5180.214632510611,294.1426054480035,31055.64999670317,8.441790211259233,529290.7286368946,0.24333333333333335,0.2433333333333333,0.34739779681762645,0.24333333333333326,0.43800000000000006,0.03244444444444445,0.03244444444444444,0.04631970624235019,0.032444444444444435,0.058400000000000014,0.0016222222222222226,0.0016222222222222222,0.0023159853121175102,0.001622222222222222,0.0029200000000000007,0.27740000000000004,0.2774,0.3960334883720942,0.2773999999999999,0.4993200000000001,61.64444444444445,61.64444444444443,88.00744186046536,61.644444444444424,110.96000000000001,0.08111111111111112,0.0811111111111111,0.1157992656058755,0.08111111111111109,0.14600000000000002,0.00020784064058385976,1.593599815619502e-05,0.00924519352571366,1.0413743987169653e-06,0.723031942031186,9.733333333333334,9.733333333333333,13.895911872705058,9.73333333333333,17.520000000000003,1.946666666666667,1.9466666666666665,2.779182374541012,1.946666666666666,3.504000000000001,7.786666666666668,7.786666666666666,11.116729498164048,7.786666666666664,14.016000000000004,1.1680000000000001,1.168,1.6675094247246072,1.1679999999999997,2.1024000000000003,0.00356888888888889,0.003568888888888889,0.005095167686658523,0.0035688888888888884,0.006424000000000002,0.002498222222222223,0.002498222222222222,0.003566617380660965,0.0024982222222222216,0.004496800000000001,0.001070666666666667,0.0010706666666666666,0.0015285503059975566,0.0010706666666666664,0.0019272000000000007,0.0006488888888888891,0.0006488888888888888,0.0009263941248470041,0.0006488888888888887,0.0011680000000000004,1.0,1.0,1.0,1.0,1.0,5180.214632510611,294.1426054480035,31055.64999670317,8.441790211259233,529290.7286368946,,,,,,
swine_live,national,4599,3906.553397888576,213.0040915311885,37555.055678505676,0.5168938697975736,16262894.315492623,0.045625000000000006,0.045625,0.20277777777777778,0.04562499999999999,0.20277777777777783,0.0684375,0.06843749999999998,0.30416666666666664,0.06843749999999998,0.30416666666666675,0.00136875,0.0013687499999999997,0.006083333333333333,0.0013687499999999995,0.006083333333333335,0.11543125000000001,0.11543124999999999,0.5130277777777777,0.11543124999999996,0.5130277777777779,31.9375,31.937499999999996,141.94444444444443,31.937499999999993,141.94444444444449,0.136875,0.13687499999999997,0.6083333333333333,0.13687499999999997,0.6083333333333335,0.0004406185353471766,1.0346050727800802e-05,0.02312385864268267,1.9497955954912505e-08,3.7569721733164396,10.037500000000001,10.0375,44.611111111111114,10.037499999999998,44.61111111111112,7.026250000000001,7.026249999999999,31.227777777777778,7.026249999999997,31.227777777777785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00301125,0.0030112499999999996,0.013383333333333332,0.003011249999999999,0.013383333333333337,0.002107875,0.0021078749999999995,0.009368333333333333,0.002107874999999999,0.009368333333333336,0.000903375,0.0009033749999999998,0.0040149999999999995,0.0009033749999999997,0.004015000000000001,0.0005475,0.0005474999999999999,0.0024333333333333334,0.0005474999999999998,0.002433333333333334,1.0,1.0,1.0,1.0,1.0,3906.553397888576,213.0040915311885,37555.055678505676,0.5168938697975736,16262894.315492623,,,,,,
cattle_meat,province,1282,107303.50652972874,8427.711151225647,534914.7995897898,177.50575092864008,4157786.807025792,0.20911079296568186,0.17844444444444443,0.22942857142857145,0.1500934579439252,0.3059047619047619,0.019010072087789258,0.01622222222222222,0.02085714285714286,0.013644859813084111,0.027809523809523815,0.0011406043252673553,0.0009733333333333331,0.0012514285714285715,0.0008186915887850465,0.0016685714285714285,0.22926146937873845,0.19563999999999998,0.2515371428571429,0.16455700934579434,0.3353828571428572,42.77266219752583,36.5,46.92857142857143,30.700934579439245,62.571428571428584,0.5703021626336777,0.48666666666666664,0.6257142857142858,0.4093457943925233,0.8342857142857144,5.0556316775839475e-05,3.024657418471316e-06,0.0011341116623322708,4.2149696582669215e-07,0.09746287620475517,9.50503604389463,8.11111111111111,10.42857142857143,6.822429906542055,13.904761904761907,3.8020144175578516,3.2444444444444445,4.171428571428573,2.7289719626168223,5.5619047619047635,5.703021626336778,4.866666666666666,6.257142857142858,4.093457943925233,8.342857142857143,0.8554532439505166,0.7299999999999999,0.9385714285714286,0.614018691588785,1.2514285714285713,0.0025093295155881818,0.002141333333333333,0.0027531428571428576,0.0018011214953271024,0.0036708571428571432,0.0017565306609117271,0.001498933333333333,0.0019272000000000002,0.0012607850467289718,0.0025696,0.0007527988546764544,0.0006423999999999999,0.0008259428571428572,0.0005403364485981307,0.0011012571428571428,0.00045624173010694216,0.0003893333333333333,0.0005005714285714287,0.00032747663551401863,0.0006674285714285714,1.0,1.0,1.0,1.0,1.0,107303.50652972874,8427.711151225647,534914.7995897898,177.50575092864008,4157786.807025792,,,,,,AZUAY
eggs,province,4,420779.887801723,3187.3334977340787,10020584.366999997,3148.602684961407,11641013.4375,0.0,0.0,0.0,0.0,0.0,0.004703198763058725,0.004703198763058725,0.004703198763058726,0.004703198763058725,0.004703198763058726,0.0007054798144588088,0.0007054798144588088,0.0007054798144588088,0.0007054798144588088,0.0007054798144588088,0.005408678577517534,0.005408678577517534,0.005408678577517535,0.005408678577517534,0.005408678577517535,6.466898299205747,6.466898299205747,6.466898299205749,6.466898299205747,6.466898299205749,0.11757996907646813,0.11757996907646813,0.11757996907646813,0.11757996907646813,0.11757996907646813,0.0,0.0,0.00025253332283526545,0.0,0.0002970980268650183,1.5990875794399666,1.5990875794399666,1.5990875794399668,1.5990875794399666,1.5990875794399668,1.5990875794399666,1.5990875794399666,1.5990875794399668,1.5990875794399666,1.5990875794399668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015520555918093796,0.0015520555918093794,0.0015520555918093798,0.0015520555918093794,0.0015520555918093798,0.0010864389142665656,0.0010864389142665656,0.0010864389142665658,0.0010864389142665656,0.0010864389142665658,0.0004656166775428138,0.0004656166775428138,0.0004656166775428139,0.0004656166775428138,0.0004656166775428139,0.00028219192578352357,0.0002821919257835235,0.00028219192578352357,0.0002821919257835235,0.00028219192578352357,0.1224120226001586,0.1224120226001586,0.12241202260015863,0.1224120226001586,0.12241202260015863,229483.10096852723,15744.47912997041,1264704.930290558,417.0342705534214,1425000.0,51508.517135276714,390.16794015886666,1226639.9999999995,385.42682303041585,1425000.0,AZUAY
meat_poultry,province,19,26190.968456014725,413.8735258011208,1873626.8496270238,385.42682303041585,2708746.358009337,0.0,0.0,0.0,0.0,0.0,0.01011111111111111,0.01011111111111111,0.038421052631578946,0.01011111111111111,0.03842105263157895,0.0015166666666666668,0.0015166666666666666,0.005763157894736842,0.0015166666666666666,0.005763157894736842,0.011627777777777779,0.011627777777777777,0.04418421052631579,0.011627777777777777,0.04418421052631579,13.902777777777779,13.902777777777779,52.828947368421055,13.902777777777777,52.828947368421055,0.25277777777777777,0.25277777777777777,0.9605263157894737,0.25277777777777777,0.9605263157894737,0.0,0.0,0.00045544439396009247,0.0,0.002427033068765202,3.437777777777778,3.437777777777778,13.063157894736841,3.437777777777778,13.063157894736841,3.437777777777778,3.437777777777778,13.063157894736841,3.437777777777778,13.063157894736841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003336666666666667,0.0033366666666666666,0.012678947368421054,0.0033366666666666666,0.012678947368421055,0.002335666666666667,0.0023356666666666664,0.008875263157894739,0.0023356666666666664,0.008875263157894739,0.001001,0.001001,0.003803684210526316,0.001001,0.0038036842105263168,0.0006066666666666667,0.0006066666666666666,0.002305263157894737,0.0006066666666666666,0.0023052631578947373,1.0,1.0,1.0,1.0,1.0,26190.968456014725,413.8735258011208,1873626.8496270238,385.42682303041585,2708746.358009337,,,,,,AZUAY
