Region,Province,Crop,Category,Irrigated_area_ha__minValue,Irrigated_area_ha__maxValue,Electricity_kWh_ha__minValue,Electricity_kWh_ha__maxValue,Manure_kgha__minValue,Manure_kgha__maxValue,Urea_kgha__minValue,Urea_kgha__maxValue,MAP_kgha__minValue,MAP_kgha__maxValue,UAN_kgha__minValue,UAN_kgha__maxValue,CAN_kgha__minValue,CAN_kgha__maxValue,Compost_kg_ha__minValue,Compost_kg_ha__maxValue,Digestate_kg_ha__minValue,Digestate_kg_ha__maxValue,Acaricide_kgha__minValue,Acaricide_kgha__maxValue,Biocide_NE_kgha__minValue,Biocide_NE_kgha__maxValue,Seed_share_pct__minValue,Seed_share_pct__maxValue,Manure_type__minValue,Manure_type__maxValue,count__minValue,count__maxValue,Seeding_date__minValue,Seeding_date__maxValue,Harvest_date__minValue,Harvest_date__maxValue,Cycle_length_months__minValue,Cycle_length_months__maxValue,Area_ha__minValue,Area_ha__maxValue,Yield_kgha__minValue,Yield_kgha__maxValue,Irrig_m3__minValue,Irrig_m3__maxValue,Irrig_equipment__minValue,Irrig_equipment__maxValue,Packaging_type1__minValue,Packaging_type1__maxValue,Packaging_type2__minValue,Packaging_type2__maxValue,Fuel_type__minValue,Fuel_type__maxValue,Fuel_unit__minValue,Fuel_unit__maxValue,Fuel_ha__minValue,Fuel_ha__maxValue,NPK_kgha__minValue,NPK_kgha__maxValue,AN_kgha__minValue,AN_kgha__maxValue,AP_kgha__minValue,AP_kgha__maxValue,AS_kgha__minValue,AS_kgha__maxValue,Total_fert_min_kgha__minValue,Total_fert_min_kgha__maxValue,Total_fert_org_kgha__minValue,Total_fert_org_kgha__maxValue,Insecticide_kgha__minValue,Insecticide_kgha__maxValue,Herbicide_kgha__minValue,Herbicide_kgha__maxValue,Fungicide_kgha__minValue,Fungicide_kgha__maxValue,Total_pesticides_kgha__minValue,Total_pesticides_kgha__maxValue,Seed_kgha__minValue,Seed_kgha__maxValue,Organic_estiercol_kgha__minValue,Organic_estiercol_kgha__maxValue,Organic_fermentado_kgha__minValue,Organic_fermentado_kgha__maxValue,Organic_liquido_kgha__minValue,Organic_liquido_kgha__maxValue
costa,(all selected provinces),AGUACATE (FRUTA FRESCA),permanent,1.5,10.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,4.0,4.0,,,,,11.0,11.0,1.5,10.0,2600.0,8484.848484848468,0.0,13846.153846153846,,,,,,,,,,,3851.9916,6864.0084,200.0,250.0,0.0,200.0,,,,,250.0,400.0,0.0,0.0,1.5,1.5,1.0,1.0,,,0.0,2.5,,,,,,,,
costa,(all selected provinces),ARROZ (EN CÁSCARA),transitory,0.0564,592.0,0.0,0.0,0.0,1238.095238095238,,,,,,,,,,,,,0.0,0.0,0.0,17.5,0.0,100.0,,,2330.0,2330.0,,,,,2.0,7.0,0.0564,592.0,500.0,9395.454545454539,0.0,10000.0,,,,,,,,,,,1653.741,4514.9985,0.19841269841269843,600.0,0.0,1500.0,1.0,480.0,0.11810279667422524,400.0,0.0,1500.0,0.0,1238.095238095238,0.03125,50.0,0.05555555555555555,64.79891,0.046082267781491604,50.0,0.0,150.0,0.0,4480.0,0.0,1238.095238095238,0.0,266.6666666666667,0.0,200.50125313283206
costa,(all selected provinces),ARVEJA SECA (GRANO SECO),transitory,,,0.0,0.0,0.0,680.388555,,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,1.0,,,3.0,3.0,,,,,5.0,8.0,0.05,0.17,133.68983957219234,454.545454545454,0.0,0.0,,,,,,,,,,,1653.741,3993.7619999999997,,,,,,,,,0.0,0.0,0.0,680.388555,,,,,,,0.0,0.0,1.3368983957219234,4.54545454545454,0.0,680.388555,,,,
costa,(all selected provinces),BANANO (FRUTA FRESCA),permanent,0.02,1660.0,0.0,0.0,0.0,25000.0,,,,,,,,,,,,,0.0,0.0,0.0,111.11111111111111,,,,,454.0,454.0,,,,,11.0,11.0,0.0,1660.0,288.7700534759353,119506.49350649344,0.0,29565.21739130435,,,,,,,,,,,2294.5065000000004,8375.2513,0.7142857142857143,13325.042589437819,0.0,1587.573295,3.9622641509433962,600.0,0.5660377358490566,2400.0,0.0,13325.042589437819,0.0,25000.0,0.016129032258064516,50.72463768115942,0.024,52.5,0.09681697612732096,50.72463768115942,0.0,111.11111111111111,,,0.0,25000.0,0.0,6333.333333333333,0.0,724.80181200453
costa,(all selected provinces),CACAO (ALMENDRA SECA),permanent,0.02,600.0,0.0,0.0,0.0,100788.224614,,,,,,,,,,,,,0.0,0.0,0.0,104.16666666666667,,,,,4288.0,4288.0,,,,,11.0,11.0,0.0,600.0,3.18181818181818,9090.90909090909,0.0,15652.17391304348,,,,,,,,,,,3851.9916,6864.0084,0.10014306151645207,2500.0,0.0,550.0,0.6666666666666666,294.11764705882354,0.2,800.0,0.0,2500.0,0.0,100788.224614,0.027272727272727268,50.0,0.025025025025025023,66.66666666666667,0.013333333333333334,50.0,0.0,119.72222222222223,,,0.0,26448.964614809003,0.0,100788.224614,0.0,750.0
costa,(all selected provinces),CAFÉ (GRANO ORO),permanent,0.02,18.0,0.0,0.0,0.0,3400.0,,,,,,,,,,,,,0.0,0.0,0.0,45.359237,,,,,111.0,111.0,,,,,11.0,11.0,0.01,19.98,35.7954545454545,1609.0909090909079,0.0,15652.17391304348,,,,,,,,,,,3851.9916,6864.0084,2.857142857142857,388.8888888888889,0.0,510.2040816326531,160.0,160.0,60.0,60.0,0.0,540.0,0.0,3400.0,0.3333333333333333,20.0,0.025025025025025023,20.0,0.5968320657894737,2.0,0.0,45.359237,,,0.0,3400.0,,,0.0,26.666666666666668
costa,(all selected provinces),CAÑA DE AZÚCAR / AZÚCAR (TALLO FRESCO),permanent,5.9,8607.25,0.0,0.0,0.0,444.44444444444446,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,80.0,80.0,,,,,11.0,11.0,3.0,8607.25,39639.967269751796,124359.0995962706,0.0,34782.608695652176,,,,,,,,,,,2832.0108,6864.0084,14.864987726156924,750.0,0.0,500.0,70.0,70.0,70.0,250.0,0.0,750.0,0.0,444.44444444444446,0.3333333333333333,6.0,0.4816955684007707,16.0,1.0,2.5,0.0,23.0,,,0.0,444.44444444444446,,,0.0,3.0
costa,(all selected provinces),CAÑA DE AZÚCAR / OTROS USOS (TALLO FRESCO),permanent,0.1,1.0,0.0,0.0,0.0,925.6987142857143,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,51.0,51.0,,,,,11.0,11.0,0.01,8.44,113.63636363636374,113818.1818181818,0.0,34782.608695652176,,,,,,,,,,,2832.0108,6864.0084,106.66666666666667,120.00000000000001,,,110.0,110.0,140.0,140.0,0.0,370.0,0.0,925.6987142857143,,,0.6666666666666666,1.4285714285714286,,,0.0,1.4285714285714286,,,0.0,377.9936416666667,0.0,925.6987142857143,,
costa,(all selected provinces),FREJOL SECO (GRANO SECO),transitory,0.08,0.42,0.0,0.0,0.0,1457.975475,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.25,2.0,,,22.0,22.0,,,,,3.0,9.0,0.05,37.0,196.3636363636364,1381.6496205644742,0.0,6153.846153846153,,,,,,,,,,,1653.741,3993.7619999999997,45.359237,50.0,0.0,151.98145826209202,,,,,0.0,151.98145826209202,0.0,1457.975475,0.5,0.5,0.7599072913104602,3.0,0.5,0.7599072913104602,0.0,3.0,0.6493506493506489,6.363636363636361,0.0,1457.975475,,,,
costa,(all selected provinces),FREJOL TIERNO (VAINA),transitory,0.07,1.0,0.0,0.0,0.0,1209.5796533333335,,,,,,,,,,,,,0.0,0.0,0.0,1.0,0.5,5.0,,,43.0,43.0,,,,,2.0,9.0,0.07,7.0,389.6103896103899,4820.93663911846,0.0,6956.521739130435,,,,,,,,,,,1653.741,3993.7619999999997,17.445860384615386,200.0,0.0,116.66666666666667,,,50.0,66.66666666666667,0.0,200.0,0.0,1209.5796533333335,0.16666666666666666,3.543586109142452,0.3333333333333333,13.333333333333334,0.17142857142857143,6.666666666666667,0.0,20.666666666666668,3.146853146853146,159.09090909090898,0.0,1209.5796533333335,,,0.0,1.4285714285714286
