count,Region,Province,Crop,Category,Seeding_date,Harvest_date,Cycle_length_months,Area_ha,Yield_kgha,Irrig_m3,Irrig_equipment,Packaging_type1,Packaging_type2,Fuel_type,Fuel_unit,Fuel_ha,NPK_kgha,AN_kgha,AP_kgha,AS_kgha,Total_fert_min_kgha,Total_fert_org_kgha,Insecticide_kgha,Herbicide_kgha,Fungicide_kgha,Total_pesticides_kgha,Seed_kgha,Organic_estiercol_kgha,Organic_fermentado_kgha,Organic_liquido_kgha
4,costa,(all selected provinces),AGUACATE (FRUTA FRESCA),permanent,2024-01-01,2024-12-01,11.0,5.75,5542.424242424234,0.0,microaspersi?n,CAJA,FRUTA FRESCA,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,4871.9952,225.0,200.0,,,325.0,0.0,1.5,1.0,,0.0,,,,
2330,costa,(all selected provinces),ARROZ (EN CÁSCARA),transitory,2024-05-01,2024-12-01,7.0,2.5,4500.0,10000.0,surcos,SACA,EN CASCARA,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,4514.9985,150.0,141.7233560090703,100.0,100.0,283.68794326241135,0.0,1.0,1.3333333333333333,1.0,2.517611053765777,175.0,136.077711,129.59782,2.49840717594084
3,costa,(all selected provinces),ARVEJA SECA (GRANO SECO),transitory,2024-03-01,2024-08-01,5.0,0.15,227.27272727272734,0.0,sin riego,,,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,2002.4955,,,,,0.0,0.0,,,,0.0,2.2727272727272734,680.388555,,
454,costa,(all selected provinces),BANANO (FRUTA FRESCA),permanent,2024-01-01,2024-12-01,11.0,43.56,39090.9090909091,26153.846153846152,aspersi?n,CAJA,FRUTA FRESCA,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,2294.5065000000004,250.0,136.07771100000002,75.0,110.0,200.0,0.0,1.0004806577926522,2.0,3.7171052631578947,2.667778704475952,,589.670081,181.436948,20.333333333333332
4288,costa,(all selected provinces),CACAO (ALMENDRA SECA),permanent,2024-01-01,2024-12-01,11.0,2.0,579.6995430264841,0.0,sin riego,QUINTAL,ALMENDRA SECA,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,4871.9952,150.0,125.0,79.16666666666667,100.0,100.0,0.0,1.0,1.342281879194631,1.0,0.24548192771084337,,216.2535051984127,93.60842144773628,3.0060240963855422
111,costa,(all selected provinces),CAFÉ (GRANO ORO),permanent,2024-01-01,2024-12-01,11.0,1.0,210.0,0.0,sin riego,QUINTAL,GRANO ORO,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,4871.9952,150.0,160.0,160.0,60.0,0.0,0.0,1.5,2.0,1.2984160328947367,0.0,,604.7898266666666,,23.333333333333332
80,costa,(all selected provinces),CAÑA DE AZÚCAR / AZÚCAR (TALLO FRESCO),permanent,2024-01-01,2024-12-01,11.0,100.0,70000.0,34782.608695652176,surcos,TONELADA METR.,TALLO FRESCO,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,2832.0108,300.0,150.37688442211055,70.0,100.0,400.0,0.0,1.0,4.0,1.0,3.0,,27.79996839869691,,3.0
51,costa,(all selected provinces),CAÑA DE AZÚCAR / OTROS USOS (TALLO FRESCO),permanent,2024-01-01,2024-12-01,11.0,0.75,10606.060606060611,0.0,sin riego,QUINTAL,TALLO FRESCO,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,2832.0108,113.33333333333334,,110.0,140.0,0.0,0.0,,1.0,,0.0,,377.9936416666667,925.6987142857143,
22,costa,(all selected provinces),FREJOL SECO (GRANO SECO),transitory,2023-12-01,2024-08-01,8.0,0.15,304.9242424242426,0.0,sin riego,QUINTAL,VAINA SECA,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,2002.4955,47.679618500000004,151.98145826209202,,,0.0,0.0,0.5,1.8799536456552302,0.6299536456552302,0.0,2.2727272727272734,566.9904625,,
43,costa,(all selected provinces),FREJOL TIERNO (VAINA),transitory,2024-01-01,2024-07-01,6.0,1.5,1931.8181818181802,0.0,sin riego,QUINTAL,VAINA,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,2002.4955,100.0,94.48223733938019,,53.57142857142857,110.0,0.0,1.0,1.0,0.6164021164021163,1.0,22.1590909090909,928.7843766666667,,1.4285714285714286
8,costa,(all selected provinces),HABA SECA (GRANO SECO),transitory,2023-12-01,2024-06-01,6.0,0.15,303.03030303030334,0.0,sin riego,QUINTAL,GRANO SECO,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,2002.4955,,208.33333333333334,,,0.0,0.0,,8.0,,0.0,0.9469696969696959,177.1170206666667,,
16,costa,(all selected provinces),HABA TIERNA (VAINA),transitory,2024-01-01,2024-03-01,2.0,0.47,1778.656126482213,0.0,sin riego,SACO,VAINA,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,2002.4955,90.718474,200.0,,,106.38297872340426,0.0,2.0,2.150786308973173,,2.0,17.78656126482213,,,
171,costa,(all selected provinces),LIMÓN (FRUTA FRESCA),permanent,2024-01-01,2024-12-01,11.0,1.0,4090.909090909095,13125.0,sin riego,COSTAL,FRUTA FRESCA,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,8855.9988,150.0,85.35923700000001,90.718474,82.85923700000001,63.75,0.0,1.3602941176470589,2.0202020202020203,0.3476190476190476,0.3333333333333333,,181.436948,75.0,20.512820512820515
28,costa,(all selected provinces),MAIZ DURO CHOCLO (CHOCLO),transitory,2024-04-01,2024-04-01,0.0,1.125,2206.493155398265,10000.0,aspersi?n,SACO,CHOCLO,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,1537.4895,200.0,172.95531610526314,0.0036287389600000003,66.66666666666667,270.83333333333337,0.0,0.6666666666666666,1.255050505050505,2.5,1.5,,1666.6666666666667,,
1508,costa,(all selected provinces),MAIZ DURO SECO (GRANO SECO),transitory,2024-01-01,2024-06-01,5.0,2.2716000000000003,4545.454545454533,0.0,sin riego,QUINTAL,GRANO SECO,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,1537.4895,185.16483516483515,150.0,100.0,71.42857142857143,250.0,0.0,1.0,2.0,1.0909090909090908,2.1258503401360542,45.45454545454545,566.9904625,375.0,1.7142857142857144
11,costa,(all selected provinces),MAIZ SUAVE CHOCLO (CHOCLO),transitory,2024-09-01,2024-11-01,2.0,0.2,1136.363636363635,7500.0,aspersi?n,ALMUD,CHOCLO,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,1537.4895,70.86167800453515,125.0,,,90.71847400000001,0.0,0.7086167800453514,1.25,0.7086167800453514,2.1258503401360542,103.11050008592531,836.9859208333334,,
42,costa,(all selected provinces),MAIZ SUAVE SECO (GRANO SECO),transitory,2023-12-01,2024-08-01,8.0,0.155,454.5454545454546,0.0,sin riego,QUINTAL,MAZORCA,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,1537.4895,500.0,188.99682083333335,388.79346,,0.0,0.0,3.928571428571429,4.0,1.1883346465384614,0.0,1.3533057851239643,815.5939729807692,,
66,costa,(all selected provinces),MANGO (FRUTA FRESCA),permanent,2024-01-01,2024-12-01,11.0,3.99,7714.285714285712,0.0,sin riego,CAJA,FRUTA FRESCA,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,4871.9952,100.16722408026754,40.644555694618276,12.76595744680851,15.30839477408523,25.75,0.0,0.925531914893617,1.0,0.65,0.3833333333333333,,316.5748693361905,80.32128514056224,
42,costa,(all selected provinces),MANI,transitory,2024-01-01,2024-05-01,4.0,1.0,836.363636363636,0.0,sin riego,QUINTAL,GRANO DESCASCARADO,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,2647.992,150.0,150.0,,,78.69257033333334,0.0,1.0,2.0,1.0,2.0,12.121212121212118,,7.25747792,2.0
132,costa,(all selected provinces),MARACUYÁ (FRUTA FRESCA),permanent,2024-01-01,2024-12-01,11.0,1.0,4363.636363636359,0.0,sin riego,QUINTAL,FRUTA FRESCA,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,4871.9952,141.7233560090703,100.0,,45.359237,81.21827411167513,0.0,1.5,2.0,1.0,0.13857709750566893,,1837.0490985000001,40.5,16.0
42,costa,(all selected provinces),NARANJA (FRUTA FRESCA),permanent,2024-01-01,2024-12-01,11.0,1.0,4161.11611161116,0.0,sin riego,LIBRA,FRUTA FRESCA,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,8855.9988,130.03237958333332,113.39809249999999,126.66666666666667,135.39707359735974,0.0,0.0,1.0,1.1904761904761905,17.857142857142858,0.0,,317.514659,723.3046296952516,0.7863274064990804
18,costa,(all selected provinces),ORITO (FRUTA FRESCA),permanent,2024-01-01,2024-12-01,11.0,1.0,4462.809917355373,0.0,sin riego,OTRA,FRUTA FRESCA,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,2294.5065000000004,146.34146341463415,40.0,60.0,,0.0,0.0,,2.0,,0.0,,362.873896,,
403,costa,(all selected provinces),OTROS PERMANENTES,permanent,2024-01-01,2024-12-01,11.0,2.0,3508.2367297132414,0.0,sin riego,LIBRA,FRUTA FRESCA,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,4871.9952,150.0,112.5,77.5,105.0,0.0,0.0,1.0,1.8928571428571428,1.4586167800453516,0.0,,317.514659,160.0,50.0
63,costa,(all selected provinces),OTROS TRANSITORIOS,transitory,2024-07-01,2024-12-01,5.0,1.0,5797.773654916525,5357.142857142857,sin riego,SACO,FRUTA FRESCA,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,2216.2455,200.0,125.12531328320802,,125.0,200.0,0.0,2.4319419237749544,1.2406015037593985,1.5,2.0,8.658008658008667,190.94078813333334,13.607771099999999,24.0
424,costa,(all selected provinces),PALMA AFRICANA (FRUTA FRESCA),permanent,2024-01-01,2024-12-01,11.0,35.0,15000.0,0.0,sin riego,TONELADA METR.,FRUTA FRESCA,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,567.9936,353.57142857142856,63.492063492063494,56.462740295555555,50.0,200.0,0.0,0.5,1.5721092994016428,0.12092629542293973,0.24185259084587946,,600.0,2538.0643464671607,376.9230769230769
17,costa,(all selected provinces),PALMITO (TALLO FRESCO),permanent,2024-01-01,2024-12-01,11.0,10.0,4297.520661157025,0.0,sin riego,LIBRA,TALLO FRESCO,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,4871.9952,175.0,,,,0.0,0.0,0.5625,1.8888888888888888,,0.0,,92.5925925925926,600.0,0.06060606060606061
7,costa,(all selected provinces),PAPA,transitory,2024-03-01,2024-07-01,4.0,0.08,2272.727272727275,9230.76923076923,aspersi?n,QUINTAL,TUBERCULO FRESCO,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,5272.5,49.13917341666667,,,,0.0,518.39128,1.41747615625,,2.380952380952381,1.133980925,14.069264069264074,680.3885549999999,,
37,costa,(all selected provinces),PIÑA (FRUTA FRESCA),permanent,2024-01-01,2024-12-01,11.0,20.5,66216.89155422288,13846.153846153846,aspersi?n,CAJA,FRUTA FRESCA,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,4871.9952,283.4467120181406,616.6603773584906,162.14470284237726,850.0,1599.9773909111464,0.0,4.0,9.991437745272922,2.31436948,4.567035948451278,,2971.4285714285716,2000.0,60.0
1253,costa,(all selected provinces),PLÁTANO (FRUTA FRESCA),permanent,2024-01-01,2024-12-01,11.0,1.57,6818.18181818182,0.0,sin riego,OTRA,FRUTA FRESCA,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,2294.5065000000004,150.0,150.0,170.06802721088437,25.0,35.41666666666667,0.0,1.0,2.0,1.0,0.15197568389057753,4181.818181818187,480.0,75.0,5.0
80,costa,(all selected provinces),SOYA,transitory,2024-06-01,2024-10-01,4.0,2.9,1509.0787635877805,0.0,sin riego,QUINTAL,GRANO SECO,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,1271.9968000000001,94.0,100.0,62.8140703517588,100.0,100.0,0.0,1.0,1.0,1.0,1.417233560090703,37.79229248023985,,,18.0
30,costa,(all selected provinces),TABACO,transitory,2024-06-01,2024-12-01,6.0,21.0,909.09090909091,7500.0,goteo,CAJA,HOJA SECA,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,3101.0014,200.0,80.0,,105.01779359430606,200.0,0.0,1.0,2.0,2.0,1.9772727272727273,182.9454545454545,1000.0,181.436948,1.5
1,costa,(all selected provinces),TOMATE DE ÁRBOL (FRUTA FRESCA),permanent,2024-01-01,2024-12-01,11.0,,10909.090909090917,0.0,sin riego,,,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,4871.9952,,,,,,0.0,,,,0.0,,,,
2,costa,(all selected provinces),TOMATE RIÑON,transitory,2024-08-01,2024-10-01,2.0,0.51,11522.727272727276,10434.782608695654,surcos,CAJA,FRUTA FRESCA,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,5856.4935000000005,500.0,,,,250.0,1250.0,12.0,,,6.0,,2500.0,,
1,costa,(all selected provinces),TRIGO,transitory,2023-12-01,2024-08-01,8.0,0.03,1515.1515151515166,0.0,sin riego,,,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,1447.4865,,,,,0.0,0.0,,,,0.0,3.7878787878787916,,,
75,costa,(all selected provinces),YUCA,transitory,2024-01-01,2024-12-01,11.0,1.0,5454.5454545454495,0.0,sin riego,SACO,RAIZ FRESCA,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,2429.9955,150.0,141.7233560090703,150.0,200.0,0.0,0.0,1.7727272727272727,2.0135135135135136,1.0,1.0,25.454545454545443,,150.0,80.0
11,oriente,(all selected provinces),ARROZ (EN CÁSCARA),transitory,2024-03-01,2024-06-01,3.0,1.0,1336.8983957219264,0.0,sin riego,QUINTAL,EN CASCARA,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,4514.9985,3.0,100.0,36.287389600000004,3.0,9.0,0.0,1.5,0.48,,0.48,,,,
19,oriente,(all selected provinces),BANANO (FRUTA FRESCA),permanent,2024-01-01,2024-12-01,11.0,0.21,12689.393939393934,0.0,sin riego,OTRA,FRUTA FRESCA,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,2294.5065000000004,,,,,0.0,0.0,,2.7083333333333335,,0.0,,4913.917341666667,2267.96185,
610,oriente,(all selected provinces),CACAO (ALMENDRA SECA),permanent,2024-01-01,2024-12-01,11.0,1.0,397.6284584980237,0.0,sin riego,QUINTAL,ALMENDRA SECA,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,4871.9952,60.40268456375839,30.239491333333334,,1.5,0.0,0.0,1.0,1.5,1.1,0.0,21.818181818181802,181.436948,190.71847400000001,5.5
194,oriente,(all selected provinces),CAFÉ (GRANO ORO),permanent,2024-01-01,2024-12-01,11.0,1.0,190.909090909091,0.0,sin riego,QUINTAL,GRANO ORO,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,4871.9952,95.35923700000001,90.718474,,90.718474,0.0,0.0,0.7575757575757576,2.0,2.0,0.0,,204.1165665,275.5917278333333,20.869565217391305
65,oriente,(all selected provinces),CAÑA DE AZÚCAR / OTROS USOS (TALLO FRESCO),permanent,2024-01-01,2024-12-01,11.0,0.5,11363.6363636364,0.0,sin riego,LIBRA,TALLO FRESCO,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,2832.0108,37.47742845528455,113.39809250000002,,,0.0,0.0,6.219512195121951,1.1339809250000001,2.0,0.0,,907.18474,181.436948,60.0
9,oriente,(all selected provinces),FREJOL SECO (GRANO SECO),transitory,2024-06-01,2024-11-01,5.0,0.06,852.2727272727275,0.0,sin riego,QUINTAL,GRANO SECO,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,2002.4955,,157.01274346153846,,,0.0,0.0,9.004856937500001,,,0.0,2.8125000000000013,,,
2,oriente,(all selected provinces),FREJOL TIERNO (VAINA),transitory,2024-10-01,2024-12-01,2.0,0.13,1181.818181818182,3076.9230769230767,sin riego,,,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,2002.4955,,200.0,,,100.0,1250.0,,25.0,,12.5,2.72727272727272,2500.0,,
3,oriente,(all selected provinces),LIMÓN (FRUTA FRESCA),permanent,2024-01-01,2024-12-01,11.0,0.65,9790.209790209783,0.0,sin riego,COSTAL,FRUTA FRESCA,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,8855.9988,,,,,0.0,0.0,,,,0.0,,,,
25,oriente,(all selected provinces),MAIZ DURO CHOCLO (CHOCLO),transitory,2024-08-01,2024-12-01,4.0,0.2,454.54545454545496,0.0,sin riego,QUINTAL,CHOCLO,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,1537.4895,,200.0,,,0.0,0.0,2.0,3.0303030303030303,,0.0,0.0,2383.980925,1000.0,
187,oriente,(all selected provinces),MAIZ DURO SECO (GRANO SECO),transitory,2024-01-01,2024-12-01,11.0,0.5,1136.3636363636401,0.0,sin riego,QUINTAL,GRANO SECO,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,1537.4895,174.05180733333333,122.59253243243244,5.333333333333333,,0.0,0.0,1.2626262626262625,1.968503937007874,1.3333333333333333,0.049999999999999996,7.386363636363626,453.59237,,
2,oriente,(all selected provinces),MAIZ SUAVE CHOCLO (CHOCLO),transitory,2024-06-01,2024-12-01,6.0,0.99,734.6189164370979,0.0,sin riego,SACO,CHOCLO,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,1537.4895,,,,,0.0,0.0,,,,0.0,,,,
