poultry,meat_fish_seafood_eggs,411334_29398460663_98715_87114479998_111221_11728,464025_6_494495_1099999996_111999_99999999999,464025_6_1923655_1099999994_111999_99999999999,6000_236760_1000,0,0_2,poultry_fish_eggs,178628_93751682673_89314_46875841335,195171_67215_97585_836075,411334_29398460663_98715_87114479998_111221_11728_2,0_79913_06637202675,0_96455_80100520002,464025_6_494495_1099999996_111999_99999999999_2,464025_6_1923655_1099999994_111999_99999999999_2,6000_236760_1000_2,0_3,0_4
,"Fish, Seafood",98715.87114479998,494495.1099999996,1923655.1099999994,236760,0,0,Fish,178628.93751682673,195171.67215,98715.87114479998,79913.06637202675,96455.80100520002,494495.1099999996,1923655.1099999994,236760,0,0
,Eggs,111221.11728,111999.99999999999,111999.99999999999,1000,0,0,Eggs,89314.46875841335,97585.836075,111221.11728,0,0,111999.99999999999,111999.99999999999,1000,0,0
beef,Meat,106216.25683484088,119822.40000000002,119822.40000000002,6000,0,0,Red meat (beef),35771.35610987474,39084.12312187501,106216.25683484088,0,0,119822.40000000002,119822.40000000002,6000,0,0
swine,Meat,158986.11691839236,179351.99999999997,179351.99999999997,6000,0,0,Red meat (swine),53543.11264853861,58501.712953124996,158986.11691839236,0,0,179351.99999999997,179351.99999999997,6000,0,0
,Vegetable Oils,370202.34069000004,202000,391000,199000,168202.34069000004,0,Unsaturated plant oils,238171.9166891023,260228.8962,370202.34069000004,0,0,202000,391000,199000,58228.89619999999,0
,Oilcrops,26008.6305024,1901000.0000000002,1901000.0000000002,21000,0,0,Palm and coconut oil,35725.78750336534,0,26008.6305024,9717.15700096534,0,1901000.0000000002,1901000.0000000002,21000,0,0
,Animal fats,40638.48516,65999.99999999999,77000,9000,0,0,"Lard, tallow, butter",0,0,40638.48516,0,0,65999.99999999999,77000,9000,0,0
,Sugar & Sweeteners,1398997.67553,1432000,1478000,171000,0,0,Sugar,178628.93751682673,0,1398997.67553,0,0,1432000,1478000,171000,0,0
,Spices,5881.886009999999,999.9999999999999,5000,3000,4881.886009999999,881.8860099999993,Sodium,32528.612025,32528.612025,5881.886009999999,26646.726015,26646.726015,999.9999999999999,5000,3000,31528.612025,27528.612025
,Alcoholic Beverages,733096.88361,672000,683000,70000,61096.88361000002,50096.88361000002,Total,7779070.202338054,8203715.9527050005,7366825.704411809,3288338.577718296,3639804.4602082805,8245595.11,15533255.11,3035760,4530870.335005,3112110.8375550006
,Miscelaneous,33687.16533,0,0,,33687.16533,33687.16533,,,,,,,,,,,
,Offals,55680.071838300006,59999.99999999999,59999.99999999999,3000,0,0,,,,,,,,,,,
,Total,8189289.825190109,8977595.11,16276255.11,3108760,1966290.1973612502,1574855.5270282503,,,,,,,,,,,
,,,,,,,,,,Imports,,,,,,,,
,,,,,,,,,Alcoholic Beverages,70000,,,,,,,,
,,,,,,,,,Animal fats,9000,,,,,,,,
,,,,,,,,,Animal Products,0,,,,,,,,
,,,,,,,,,"Aquatic Products, Other",60,,,,,,,,
,,,,,,,,,Cereals - Excluding Beer,2056000,,,,,,,,
,,,,,,,,,Eggs,1000,,,,,,,,
,,,,,,,,,"Fish, Seafood",236760,,,,,,,,
,,,,,,,,,Fruits - Excluding Wine,138000,,,,,,,,
,,,,,,,,,Grand Total,0,,,,,,,,
,,,,,,,,,Meat,6000,,,,,,,,
,,,,,,,,,Milk - Excluding Butter,21000,,,,,,,,
,,,,,,,,,Miscellaneous,37000,,,,,,,,
,,,,,,,,,Offals,3000,,,,,,,,
,,,,,,,,,Oilcrops,21000,,,,,,,,
,,,,,,,,,Pulses,27000,,,,,,,,
,,,,,,,,,Spices,3000,,,,,,,,
,,,,,,,,,Starchy Roots,59000,,,,,,,,
,,,,,,,,,Stimulants,10000,,,,,,,,
,,,,,,,,,Sugar & Sweeteners,171000,,,,,,,,
,,,,,,,,,Sugar Crops,0,,,,,,,,
,,,,,,,,,Treenuts,6000,,,,,,,,
,,,,,,,,,Vegetable Oils,199000,,,,,,,,
,,,,,,,,,Vegetables,70000,,,,,,,,
