dano_de_categoria_puntuacion_unica,unidad_pt,promedio_5_8269244,mediana_6_0990465,sd_4_199662,cv_72_073391,0_025_4_4993868,0_975_13_783837,sem_0_13280497,roots_tubers_summary_strategy_8,potato_cn_potato_production_cut_off_u,vegetables_summary_strategy_8,fruits_summary_strategy_8,peanut_ar_peanut_production_cut_off_u,pulses_oilseeds_summary_strategy_8,beans_dry_market_mix_at_regional_storage_rer_economic,product_milk_summary_strategy_9,product_meat_poultry_summary_strategy_9,landed_tuna_frozen_epo_ec_tuna_capture_by_purse_seiner_and_landing_whole_frozen_cut_off_u,shrimp_or_prawn_raw_processed_in_fr_chilled_ps_at_distribution_fr_u,product_eggs_summary_strategy_9,product_cattle_live_summary_strategy_9,product_swine_live_summary_strategy_9,refined_sunflower_oil_solvent_at_processing_ar_economic,pulses_oilseeds_summary_strategy_8_2,butter_from_cow_milk_glo_market_for_butter_from_cow_milk_cut_off_u,fruit_soft_drink_carbonated_less_than_10_of_fruit_juice_with_sugar_processed_in_fr_chilled_pet_at_distribution_fr_u,salt_glo_market_for_salt_cut_off_u,beer_regular_4_5_degrees_alcohol_at_plant_fr_u,caen_style_tripe_at_plant_fr_u,salty_snacks_crackers_plain_at_plant_fr_u
Puntuación única,Pt,5.8269244,6.0990465,4.199662,72.073391,-4.4993868,13.783837,0.13280497,,,,,,,,,,,,,,,,,,,,,,
Intervalo de confidencia: ,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daño de categoría,Unidad,Promedio,Mediana,SD,CV,0.025,0.975,SEM,,,,,,,,,,,,,,,,,,,,,,
Ecosystem quality,Pt,2.9233755,2.865672,0.47830993,16.361563,2.1137975,3.9962129,0.015125488,,,,,,,,,,,,,,,,,,,,,,
Human health,Pt,2.9035489,3.2912881,4.1154053,141.73708,-7.296275,10.527294,0.13014054,,,,,,,,,,,,,,,,,,,,,,
Intervalo de confidencia: ,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Categoría de impacto,Unidad,Promedio,Mediana,SD,CV,0.025,0.975,SEM,,,,,,,,,,,,,,,,,,,,,,
CC. EQ. mar. LT. biogenic (beta),PDF.m2.yr,0.57807404,0.56970211,0.10913914,18.879785,0.38534664,0.79269215,0.0034512825,,,,,,,,,,,,,,,,,,,,,,
CC. EQ. mar. LT. CO2 uptake (beta),PDF.m2.yr,-0.17634605,-0.15341771,0.095461343,-54.132962,-0.43284391,-0.060522616,0.0030187527,,,,,,,,,,,,,,,,,,,,,,
CC. EQ. mar. LT. fossil (beta),PDF.m2.yr,2.4594632,2.4316808,0.3098794,12.599473,1.9301844,3.0772369,0.0097992469,,,,,,,,,,,,,,,,,,,,,,
CC. EQ. mar. LT. land transformation (be,PDF.m2.yr,4.8178681,4.7119205,0.97683083,20.275167,3.1958126,6.8340591,0.030890103,,,,,,,,,,,,,,,,,,,,,,
CC. EQ. mar. ST. biogenic (beta),PDF.m2.yr,1.3552837,1.3352787,0.25392047,18.735595,0.91752263,1.8738954,0.0080296703,,,,,,,,,,,,,,,,,,,,,,
CC. EQ. mar. ST. CO2 uptake (beta),PDF.m2.yr,-0.050832601,-0.044223395,0.027517193,-54.132962,-0.12476935,-0.017445936,0.00087017004,,,,,,,,,,,,,,,,,,,,,,
