metric_col,crop_display,crop_candidate,impact_value,Category,crop_norm,crop_group,n_crop,Yield_kgha,crop_base_norm,n_crop_base,crop_group_norm,n_crop_group,n_crop_dp_exact,n_crop_dp_base,n_crop_final,n,n_source,source_summary_file,source_inventory_level,source_key,Yield_kgha_plot,Yield_kgha_jitter
crop_abaca_category_permanent_summary_strategy_3,ABACA,ABACA,0.30535711,permanent,abaca,industrial_cash,37.0,2881.35593220339,abaca,37.0,industrial_cash,7350,37.0,37.0,37.0,37.0,crop_exact,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,abaca,2881.35593220339,2642.665057505548
crop_achiote_category_permanent_summary_strategy_3,ACHIOTE,ACHIOTE,0.79190578,permanent,achiote,vegetables,6.0,795.454545454546,achiote,6.0,vegetables,2143,6.0,6.0,6.0,6.0,crop_exact,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,achiote,795.454545454546,706.7017169869503
crop_aguacate_fruta_fresca_category_permanent_summary_strategy_3,AGUACATE,AGUACATE,1.0702526,permanent,aguacate,fruits,,,aguacate,,fruits,5571,217.0,217.0,217.0,217.0,datapoints_exact,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,aguacate,5457.963089542034,5768.760149027674
crop_aji_category_transitory_summary_strategy_3,AJI,AJI,0.38056231,transitory,aji,vegetables,,,aji,,vegetables,2143,13.0,13.0,13.0,13.0,datapoints_exact,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,aji,5457.963089542034,5504.7722335924445
crop_ajonjoli_category_transitory_summary_strategy_3,AJONJOLI,AJONJOLI,2.3876725,transitory,ajonjoli,pulses_oilseeds,,,ajonjoli,,pulses_oilseeds,2888,3.0,3.0,3.0,3.0,datapoints_exact,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,ajonjoli,5457.963089542034,5680.029591576162
crop_alcachofa_category_permanent_summary_strategy_3,ALCACHOFA,ALCACHOFA,0.15107911,permanent,alcachofa,vegetables,2.0,12467.532467532466,alcachofa,2.0,vegetables,2143,1.0,1.0,2.0,2.0,crop_exact,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,alcachofa,12467.532467532466,12606.796885066464
crop_alfalfa_category_transitory_summary_strategy_3,ALFALFA,ALFALFA,0.31784239,transitory,alfalfa,forages_pastures,,,alfalfa,,forages_pastures,14458,9.0,9.0,9.0,9.0,datapoints_exact,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,alfalfa,5457.963089542034,5304.374185195524
crop_apio_category_transitory_summary_strategy_3,APIO,APIO,0.5539558,transitory,apio,vegetables,,,apio,,vegetables,2143,20.0,20.0,20.0,20.0,datapoints_exact,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,apio,5457.963089542034,5588.744868227408
crop_arroz_en_cascara_category_transitory_summary_strategy_3,ARROZ,ARROZ,0.6708723050000001,transitory,arroz,cereals,,,arroz,,cereals,8601,2346.0,2346.0,2346.0,2346.0,datapoints_exact,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,arroz,5457.963089542034,5381.563520229784
crop_arveja_seca_grano_seco_category_transitory_summary_strategy_3,ARVEJA SECA,ARVEJA SECA,6.0817408,transitory,arveja seca,pulses_oilseeds,,,arveja seca,,pulses_oilseeds,2888,73.0,73.0,73.0,73.0,datapoints_exact,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,arveja seca,5457.963089542034,5380.165415776339
crop_arveja_tierna_vaina_category_transitory_summary_strategy_3,ARVEJA TIERNA,ARVEJA TIERNA,2.1184361,transitory,arveja tierna,pulses_oilseeds,,,arveja tierna,,pulses_oilseeds,2888,304.0,304.0,304.0,304.0,datapoints_exact,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,arveja tierna,5457.963089542034,5481.411124788002
crop_avena_category_transitory_summary_strategy_3,AVENA,AVENA,0.97485486,transitory,avena,cereals,,,avena,,cereals,8601,27.0,27.0,27.0,27.0,datapoints_exact,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,avena,5457.963089542034,5089.7315643283155
crop_avena_forrajera_category_transitory_summary_strategy_3,AVENA FORRAJERA,AVENA FORRAJERA,1.434705,transitory,avena forrajera,forages_pastures,,,avena forrajera,,forages_pastures,14458,8.0,8.0,8.0,8.0,datapoints_exact,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,avena forrajera,5457.963089542034,5745.651925773373
crop_babaco_category_permanent_summary_strategy_3,BABACO,BABACO,0.1500067,permanent,babaco,fruits,13.0,28800.0,babaco,13.0,fruits,5571,10.0,10.0,13.0,13.0,crop_exact,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,babaco,28800.0,28638.05527854427
crop_bambu_o_cana_guadua_category_permanent_summary_strategy_3,BAMBU O CANA GUADUA,BAMBU O CANA GUADUA,0.10211459,permanent,bambu o cana guadua,industrial_cash,31.0,6818.1818181818,bambu o cana guadua,31.0,industrial_cash,7350,28.0,28.0,31.0,31.0,crop_exact,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,bambu o cana guadua,6818.1818181818,7059.562901127846
crop_banano_fruta_fresca_category_permanent_summary_strategy_3,BANANO,BANANO,0.078965332,permanent,banano,fruits,,,banano,,fruits,5571,707.0,707.0,707.0,707.0,datapoints_exact,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,banano,5457.963089542034,5490.859567088343
crop_brachiaria_category_cultivated_pasture_summary_strategy_3,BRACHIARIA,BRACHIARIA,0.10137209,cultivated_pasture,brachiaria,forages_pastures,,,brachiaria,,forages_pastures,14458,,,,,unmatched,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_group_national.csv,crop_group_national,forages_pastures,5457.963089542034,5827.6672878327945
crop_brocoli_category_transitory_summary_strategy_3,BROCOLI,BROCOLI,0.28383613,transitory,brocoli,vegetables,,,brocoli,,vegetables,2143,283.0,283.0,283.0,283.0,datapoints_exact,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,brocoli,5457.963089542034,5298.701865834354
crop_cacao_almendra_seca_category_permanent_summary_strategy_3,CACAO,CACAO,7.212029,permanent,cacao,industrial_cash,,,cacao,,industrial_cash,7350,5628.0,5628.0,5628.0,5628.0,datapoints_exact,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,cacao,5457.963089542034,5382.721980864196
crop_cacao_ccn51_o_ramilla_almendra_fresca_category_transitory_summary_strategy_3,CACAO CCN51 O RAMILLA,CACAO CCN51 O RAMILLA,1.7368229,transitory,cacao ccn51 o ramilla,industrial_cash,,,cacao ccn51 o ramilla,,industrial_cash,7350,1.0,1.0,1.0,1.0,datapoints_exact,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,cacao ccn51 o ramilla,5457.963089542034,5539.472206937892
crop_cafe_grano_oro_category_permanent_summary_strategy_3,CAFE,CAFE,18.70433,permanent,cafe,industrial_cash,,,cafe,,industrial_cash,7350,522.0,522.0,522.0,522.0,datapoints_exact,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,cafe,5457.963089542034,4925.264844666198
crop_camote_category_transitory_summary_strategy_3,CAMOTE,CAMOTE,0.86320837,transitory,camote,roots_tubers,,,camote,,roots_tubers,1259,12.0,12.0,12.0,12.0,datapoints_exact,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,camote,5457.963089542034,5657.7538361448205
crop_cana_de_azucar_azucar_tallo_fresco_category_permanent_summary_strategy_3,CANA DE AZUCAR / AZUCAR,CANA DE AZUCAR / AZUCAR,0.097033535,permanent,cana de azucar / azucar,industrial_cash,,,cana de azucar / azucar,,industrial_cash,7350,124.0,124.0,124.0,124.0,datapoints_exact,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,cana de azucar / azucar,5457.963089542034,5829.983274163543
crop_cana_de_azucar_otros_usos_tallo_fresco_category_permanent_summary_strategy_3,CANA DE AZUCAR / OTROS USOS,CANA DE AZUCAR / OTROS USOS,0.52590079,permanent,cana de azucar / otros usos,industrial_cash,,,cana de azucar / otros usos,,industrial_cash,7350,407.0,407.0,407.0,407.0,datapoints_exact,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,cana de azucar / otros usos,5457.963089542034,5729.879673897749
crop_cana_de_azucar_biocombustible_category_permanent_summary_strategy_3,CANA DE AZUCAR /BIOCOMBUSTIBLE,CANA DE AZUCAR /BIOCOMBUSTIBLE,0.035299634,permanent,cana de azucar /biocombustible,industrial_cash,7.0,41014.79915433396,cana de azucar /biocombustible,7.0,industrial_cash,7350,7.0,7.0,7.0,7.0,crop_exact,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,cana de azucar /biocombustible,41014.79915433396,41196.93719688345
crop_caucho_category_permanent_summary_strategy_3,CAUCHO,CAUCHO,0.18591769,permanent,caucho,industrial_cash,8.0,7004.0053404539385,caucho,8.0,industrial_cash,7350,8.0,8.0,8.0,8.0,crop_exact,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,caucho,7004.0053404539385,6968.778529323063
crop_cebada_category_transitory_summary_strategy_3,CEBADA,CEBADA,2.3173177,transitory,cebada,cereals,,,cebada,,cereals,8601,276.0,276.0,276.0,276.0,datapoints_exact,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,cebada,5457.963089542034,5767.306694092062
crop_cebada_forrajera_category_transitory_summary_strategy_3,CEBADA FORRAJERA,CEBADA FORRAJERA,1.7732449,transitory,cebada forrajera,forages_pastures,,,cebada forrajera,,forages_pastures,14458,4.0,4.0,4.0,4.0,datapoints_exact,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,cebada forrajera,5457.963089542034,5717.143935775506
crop_cebolla_blanca_category_transitory_summary_strategy_3,CEBOLLA BLANCA,CEBOLLA BLANCA,1.8983955,transitory,cebolla blanca,vegetables,,,cebolla blanca,,vegetables,2143,527.0,527.0,527.0,527.0,datapoints_exact,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,cebolla blanca,5457.963089542034,5552.708807834129
crop_cebolla_colorada_category_transitory_summary_strategy_3,CEBOLLA COLORADA,CEBOLLA COLORADA,0.33427619,transitory,cebolla colorada,vegetables,,,cebolla colorada,,vegetables,2143,84.0,84.0,84.0,84.0,datapoints_exact,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,cebolla colorada,5457.963089542034,5459.197255402673
