metric,domain,source_summary_file,source_inventory_level,source_key,n,sheet_name,figure_id
"industrial cash | crop group, national",crops,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_group_national.csv,crop_group_national,crops aggregate proxy,42270.0,ESPAC,espac_fingerprint_matrix_by_domain
"pulses oilseeds | crop group, national",crops,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_group_national.csv,crop_group_national,crops aggregate proxy,42270.0,ESPAC,espac_fingerprint_matrix_by_domain
"cereals | crop group, national",crops,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_group_national.csv,crop_group_national,crops aggregate proxy,42270.0,ESPAC,espac_fingerprint_matrix_by_domain
"fruits | crop group, national",crops,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_group_national.csv,crop_group_national,crops aggregate proxy,42270.0,ESPAC,espac_fingerprint_matrix_by_domain
"roots tubers | crop group, national",crops,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_group_national.csv,crop_group_national,crops aggregate proxy,42270.0,ESPAC,espac_fingerprint_matrix_by_domain
"vegetables | crop group, national",crops,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_group_national.csv,crop_group_national,crops aggregate proxy,42270.0,ESPAC,espac_fingerprint_matrix_by_domain
"forages pastures | crop group, national",crops,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_group_national.csv,crop_group_national,crops aggregate proxy,42270.0,ESPAC,espac_fingerprint_matrix_by_domain
"meat poultry | livestock product, national",livestock,outputs\CSVs\03-05_espac_livestock_lci_table_filtered_dfe__summary_product.csv,livestock_product,livestock aggregate proxy,10.0,ESPAC,espac_fingerprint_matrix_by_domain
"swine live | livestock product, national",livestock,outputs\CSVs\03-05_espac_livestock_lci_table_filtered_dfe__summary_product.csv,livestock_product,livestock aggregate proxy,10.0,ESPAC,espac_fingerprint_matrix_by_domain
"cattle live | livestock product, national",livestock,outputs\CSVs\03-05_espac_livestock_lci_table_filtered_dfe__summary_product.csv,livestock_product,livestock aggregate proxy,10.0,ESPAC,espac_fingerprint_matrix_by_domain
"goat live | livestock product, national",livestock,outputs\CSVs\03-05_espac_livestock_lci_table_filtered_dfe__summary_product.csv,livestock_product,livestock aggregate proxy,10.0,ESPAC,espac_fingerprint_matrix_by_domain
"donkey live | livestock product, national",livestock,outputs\CSVs\03-05_espac_livestock_lci_table_filtered_dfe__summary_product.csv,livestock_product,livestock aggregate proxy,10.0,ESPAC,espac_fingerprint_matrix_by_domain
"milk | livestock product, national",livestock,outputs\CSVs\03-05_espac_livestock_lci_table_filtered_dfe__summary_product.csv,livestock_product,livestock aggregate proxy,10.0,ESPAC,espac_fingerprint_matrix_by_domain
"ovine live | livestock product, national",livestock,outputs\CSVs\03-05_espac_livestock_lci_table_filtered_dfe__summary_product.csv,livestock_product,livestock aggregate proxy,10.0,ESPAC,espac_fingerprint_matrix_by_domain
"horse live | livestock product, national",livestock,outputs\CSVs\03-05_espac_livestock_lci_table_filtered_dfe__summary_product.csv,livestock_product,livestock aggregate proxy,10.0,ESPAC,espac_fingerprint_matrix_by_domain
"mule live | livestock product, national",livestock,outputs\CSVs\03-05_espac_livestock_lci_table_filtered_dfe__summary_product.csv,livestock_product,livestock aggregate proxy,10.0,ESPAC,espac_fingerprint_matrix_by_domain
"eggs | livestock product, national",livestock,outputs\CSVs\03-05_espac_livestock_lci_table_filtered_dfe__summary_product.csv,livestock_product,livestock aggregate proxy,10.0,ESPAC,espac_fingerprint_matrix_by_domain
"cacao almendra seca - oriente | crop, region",crops,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_region.csv,region,costa,4288.0,regional differences,regional_dumbbell_regions
