product,count
CACAO,5628
MAIZ SUAVE,2755
ARROZ,2346
MAIZ DURO,2275
PLÁTANO,1718
FREJOL,1259
MAIZ SUAVE CHOCLO,837
HUERTO FRUTAL,837
PAPA,718
BANANO,707
PALMA AFRICANA,586
CEBOLLA BLANCA,527
CAFÉ,522
CAÑA DE AZÚCAR / OTROS USOS,407
HUERTO HORTICOLA,347
HABA TIERNA,340
YUCA,329
ARVEJA TIERNA,304
FREJOL TIERNO,295
BROCOLI,283
CEBADA,276
HABA SECA,265
LIMÓN,255
AGUACATE,217
TOMATE RIÑON,209
MORA,201
CHOCHO,176
MARACUYÁ,157
NARANJA,149
CILANTRO,147
CAÑA DE AZÚCAR / AZÚCAR,124
MANDARINA,114
LECHUGA,104
TOMATE DE ÁRBOL,101
ORITO,93
MANI,88
MAIZ DURO CHOCLO,87
CEBOLLA COLORADA,84
COL,82
SOYA,80
MANGO,79
PIMIENTO,73
ARVEJA SECA,73
"PAPA CHINA, PELMA",71
TRIGO,70
VIVEROS DE PERMANENTES,65
COCO,63
GRANADILLA,57
PIÑA,53
PALMITO,52
NARANJILLA,51
ZANAHORIA AMARILLA,51
PLANTAS MEDICINALES,50
FRUTILLAS O FRESAS,49
CLAUDIA,45
PAPAYA,44
MELLOCO,43
QUINUA,41
PITAHAYA ROJA,40
ABACÁ,37
PITAHAYA AMARILLA,37
TABACO,31
REMOLACHA,29
BAMBÚ O CAÑA GUADUA,28
MANZANA,28
AVENA,27
PERMANENTES SIN DETALLE,27
PEREJIL,25
COLIFLOR,21
PERA,20
APIO,20
ESPINACA,14
CIRUELO,13
AJI,13
DURAZNO,12
CEBOLLA PERLA,12
PASTO MIXTO,12
VIVEROS TRANSITORIOS,12
VICIA FORRAJERA,12
ZAPALLO,12
CAMOTE,12
PEPINILLO,12
PIMIENTA NEGRA,11
TRANSITORIOS SIN DETALLE,11
VAINITA,11
GUANABANA,10
BABACO,10
ZANAHORIA BLANCA,10
ALFALFA,9
MELON,8
OCA,8
NABO,8
AVENA FORRAJERA,8
CAUCHO,8
ARÁNDANO,7
SANDIA,7
GUAYABA,7
CAÑA DE AZÚCAR /BIOCOMBUSTIBLE,7
UVA,6
PAJA TOQUILLA,6
ACHIOTE,6
ZAMBO,5
CENTENO,5
PEPINO DULCE,5
RABANO,5
UVILLA,5
ESPARRAGO,4
MALANGA,4
TUNA,4
RAIGRAS,4
CHIRIMOYA,4
CEBADA FORRAJERA,4
TAXO,3
AJO,3
AJONJOLI,3
GUABA,3
TOMATILLO,3
LENTEJA,3
ACELGA,2
SABILA,2
MASHUA,2
PASTO AZUL,2
LIMA,2
SUQUINI,2
CABUYA,1
CEIBO,1
JÍCAMA,1
CARDAMOMO,1
CACAO CCN51 O RAMILLA,1
ALCACHOFA,1
MARACUYA,1
ROMANESCO,1
SACHA INCHI,1
TÉ,1
