label,count
ganadería: bovinos,12441
ganadería: leche,10168
cultivo: CACAO,5628
ganadería: cerdos,4599
ganadería: caballos,4076
cultivo: MAIZ SUAVE,2755
cultivo: ARROZ,2346
cultivo: MAIZ DURO,2275
ganadería: ovinos,2164
ganadería: mulas,2077
cultivo: PLÁTANO,1718
cultivo: FREJOL,1259
ganadería: burros,1070
cultivo: HUERTO FRUTAL,837
cultivo: MAIZ SUAVE CHOCLO,837
cultivo: PAPA,718
cultivo: BANANO,707
cultivo: PALMA AFRICANA,586
cultivo: CEBOLLA BLANCA,527
cultivo: CAFÉ,522
cultivo: CAÑA DE AZÚCAR / OTROS USOS,407
cultivo: HUERTO HORTICOLA,347
cultivo: HABA TIERNA,340
cultivo: YUCA,329
cultivo: ARVEJA TIERNA,304
cultivo: FREJOL TIERNO,295
cultivo: BROCOLI,283
cultivo: CEBADA,276
cultivo: HABA SECA,265
cultivo: LIMÓN,255
ganadería: huevos,251
cultivo: AGUACATE,217
cultivo: TOMATE RIÑON,209
cultivo: MORA,201
cultivo: CHOCHO,176
cultivo: MARACUYÁ,157
cultivo: NARANJA,149
cultivo: CILANTRO,147
cultivo: CAÑA DE AZÚCAR / AZÚCAR,124
ganadería: caprinos,115
cultivo: MANDARINA,114
cultivo: LECHUGA,104
cultivo: TOMATE DE ÁRBOL,101
cultivo: ORITO,93
cultivo: MANI,88
cultivo: MAIZ DURO CHOCLO,87
cultivo: CEBOLLA COLORADA,84
cultivo: COL,82
cultivo: SOYA,80
cultivo: MANGO,79
cultivo: ARVEJA SECA,73
cultivo: PIMIENTO,73
"cultivo: PAPA CHINA, PELMA",71
cultivo: TRIGO,70
cultivo: VIVEROS DE PERMANENTES,65
cultivo: COCO,63
cultivo: GRANADILLA,57
cultivo: PIÑA,53
cultivo: PALMITO,52
cultivo: ZANAHORIA AMARILLA,51
cultivo: NARANJILLA,51
cultivo: PLANTAS MEDICINALES,50
cultivo: FRUTILLAS O FRESAS,49
cultivo: CLAUDIA,45
cultivo: PAPAYA,44
cultivo: MELLOCO,43
cultivo: QUINUA,41
cultivo: PITAHAYA ROJA,40
cultivo: PITAHAYA AMARILLA,37
cultivo: ABACÁ,37
cultivo: TABACO,31
cultivo: REMOLACHA,29
cultivo: BAMBÚ O CAÑA GUADUA,28
cultivo: MANZANA,28
cultivo: AVENA,27
cultivo: PERMANENTES SIN DETALLE,27
cultivo: PEREJIL,25
cultivo: COLIFLOR,21
cultivo: PERA,20
cultivo: APIO,20
cultivo: ESPINACA,14
cultivo: AJI,13
cultivo: CIRUELO,13
cultivo: PASTO MIXTO,12
cultivo: PEPINILLO,12
cultivo: VICIA FORRAJERA,12
cultivo: VIVEROS TRANSITORIOS,12
cultivo: ZAPALLO,12
cultivo: DURAZNO,12
cultivo: CEBOLLA PERLA,12
cultivo: CAMOTE,12
cultivo: TRANSITORIOS SIN DETALLE,11
cultivo: PIMIENTA NEGRA,11
cultivo: VAINITA,11
cultivo: GUANABANA,10
cultivo: BABACO,10
cultivo: ZANAHORIA BLANCA,10
cultivo: ALFALFA,9
cultivo: CAUCHO,8
cultivo: MELON,8
cultivo: OCA,8
cultivo: NABO,8
cultivo: AVENA FORRAJERA,8
cultivo: ARÁNDANO,7
cultivo: SANDIA,7
cultivo: CAÑA DE AZÚCAR /BIOCOMBUSTIBLE,7
cultivo: GUAYABA,7
ganadería: carne de pollo,6
cultivo: ACHIOTE,6
cultivo: UVA,6
cultivo: PAJA TOQUILLA,6
cultivo: ZAMBO,5
cultivo: PEPINO DULCE,5
cultivo: RABANO,5
cultivo: CENTENO,5
cultivo: UVILLA,5
cultivo: MALANGA,4
cultivo: CHIRIMOYA,4
cultivo: ESPARRAGO,4
cultivo: CEBADA FORRAJERA,4
cultivo: RAIGRAS,4
cultivo: TUNA,4
cultivo: AJONJOLI,3
cultivo: AJO,3
cultivo: TOMATILLO,3
cultivo: TAXO,3
cultivo: GUABA,3
cultivo: LENTEJA,3
cultivo: SUQUINI,2
cultivo: ACELGA,2
cultivo: SABILA,2
cultivo: PASTO AZUL,2
cultivo: LIMA,2
cultivo: MASHUA,2
cultivo: ALCACHOFA,1
cultivo: CACAO CCN51 O RAMILLA,1
cultivo: MARACUYA,1
cultivo: JÍCAMA,1
cultivo: CABUYA,1
cultivo: CEIBO,1
cultivo: CARDAMOMO,1
cultivo: ROMANESCO,1
cultivo: SACHA INCHI,1
cultivo: TÉ,1
